ApsimVersion = 7.8
factors = cultivar=Soy_long;date=1-jun;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=600
Title = Ames-Soy;cultivar=Soy_long;date=1-jun;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            8.256            1.415              0.115              -1.089          8.142          2.504           0.000           0.000        599.700        445.510         50.511         66.801          0.000          0.000       -153.411       -127.398             1.000             4.678           84.6           92.9            133.0            112.1       3119.040       2512.530         29.000         3436.3         6537.8          24.40              ?        146.000         43.000                  0.000                  11.000           23.1        683.045           17.9        729.213            10.1        694.749          4.755          5.214          6.019          3.452          1.594          0.785          1.715          0.525          0.106          0.079          0.753          0.335         13.074          3.035          1.060          0.308          0.157          0.147            0.000
     11/11/1982           1982         35.000           14.693            0.037              7.195              -2.195          7.498          2.232           0.000           0.000        852.170        437.900         46.688         64.621          0.000          0.000         34.745       -100.952             1.000             6.647           67.9           73.9            111.5             96.7       2883.870       2380.590         14.000         3006.3         5728.1          21.95              ?        157.000         49.000                  0.000                  12.000           21.1        762.700           17.9        756.249            13.2        780.999          1.138          2.789          4.694          4.826          3.909          1.835          2.070          0.346          0.560          3.400          2.789          1.235          9.611          4.496          0.968          0.818          1.217          0.460            0.000
     11/11/1983           1983         35.000           17.489            1.136              7.605              -2.552          9.884          3.687           0.000           0.000       1205.960        671.570         50.282         69.211          0.000          0.000         42.825       -116.514             1.000             9.406           72.5           80.4            119.6            108.1       3293.730       2959.470         65.000         2758.0         5138.9          18.50              ?        151.000         44.000                  0.000                   7.000           20.3        751.895           18.9        764.930            17.3        726.842          1.351          2.425          4.132          4.547          3.890          1.903          2.397          0.405          0.315          1.592          2.799          1.316          9.708          5.751          1.969          0.417          0.272          0.330            0.000
     11/11/1984           1984         35.000           13.519           -0.758              6.417              -2.625          7.102          1.867           0.000           0.000        971.040        454.130         47.181         66.859          0.000          0.000        -60.101       -188.844             1.000             7.574           54.3           61.4             98.0             87.1       3015.540       2664.090         33.000         3263.0         6121.6          22.65              ?        153.000         43.000                  0.000                  11.000           21.8        766.931           19.2        736.393            14.9        709.968          1.330          3.564          4.787          4.763          3.799          1.752          2.809          0.308          0.153          1.309          2.653          1.161         10.180          5.389          2.390          0.583          0.282          0.215            0.000
     11/11/1985           1985         35.000           10.925            0.779              3.292              -1.729          7.633          2.508           0.000           0.000        652.530        448.560         49.175         64.437          0.000          0.000       -138.569       -190.823             1.000             5.090           76.5           80.8            120.5             99.7       3120.119       2379.600         31.000         3557.5         6357.5          25.32              ?        158.000         48.000                  0.000                   8.000           26.1        685.476           14.7        761.799            13.2        649.220          5.721          4.676          6.006          4.505          2.770          1.062          3.062          0.520          0.135          0.118          0.393          0.381          8.509          3.973          1.626          0.316          0.071          0.092            0.000
     11/11/1986           1986         35.000           17.841            4.804              8.613               0.747          9.229          4.057           0.000           0.000       1091.450        696.220         48.344         66.197          0.000          0.000        138.201         20.309             1.000             8.513           71.4           77.4            115.9             97.6       3262.950       2619.090         28.000         2820.7         5348.5          20.31              ?        157.000         43.000                  0.000                   8.000           20.8        757.579           17.5        770.025            14.3        780.479          1.305          2.803          4.733          4.729          3.611          1.648          1.758          0.311          1.724          3.367          2.798          1.314          9.388          2.430          0.846          1.482          1.744          0.881            0.000
     11/11/1987           1987         35.000           11.128            1.206              2.863              -1.145          8.265          2.351           0.000           0.000        866.160        571.010         51.669         69.097          0.000          0.000        -29.521        -56.559             1.000             6.756           84.1           89.7            134.0            107.9       3446.911       2585.880         39.000         3470.8         6615.5          23.88              ?        134.000         42.000                  0.000                  14.000           23.3        756.108           12.5        719.455            11.3        767.610          2.173          5.408          6.942          4.255          2.476          0.985          4.761          0.486          0.371          1.559          1.709          0.573          8.560          1.491          0.694          0.155          0.754          0.358            0.000
     11/11/1988           1988         35.000           10.453           -0.186              3.540              -1.873          6.913          1.686           0.000           0.000        591.840        383.530         50.680         69.044          0.000          0.000       -218.932       -241.635             1.000             4.616           79.2           81.6            123.2            102.5       3582.810       2883.690         60.000         3517.0         6676.2          24.04              ?        148.000         43.000                  0.000                  18.000           26.1        689.469           21.9        711.203            13.2        646.504          5.487          4.962          6.023          4.411          2.701          0.973          3.616          0.614          0.163          0.160          0.845          0.366         16.281          3.548          1.350          0.359          0.092          0.074            0.000
     11/11/1989           1989         35.000           10.706           -1.085              4.319              -2.082          6.386          0.997           0.000           0.000        638.310        305.830         49.100         66.587          0.000          0.000       -138.675       -197.152             1.000             4.979           72.3           75.0            117.0             95.3       3103.650       2436.931         24.000         3497.1         6313.4          25.20              ?        143.000         46.000                  0.000                  18.000           21.8        752.320           14.8        689.000            13.0        673.491          1.929          4.074          5.755          4.323          3.042          1.242          3.434          0.424          0.126          0.214          1.452          0.624         11.266          1.864          0.787          0.300          0.134          0.148            0.000
