ApsimVersion = 7.8
factors = cultivar=Corn_long;date=1-jun;fert_amount=0;FertAmt=0;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=600
Title = Ames-Corn;cultivar=Corn_long;date=1-jun;fert_amount=0;FertAmt=0;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           10.633            0.071              0.228              -1.995         10.405          2.066           0.000           0.000        599.700        444.750         50.511         67.670          0.000          0.000       -100.623        -83.225             0.000             4.678           82.1           94.7            113.1            102.4       3119.040       2529.990         29.000         6403.9        13656.8          10.99              ?        142.000         62.000                  0.000                  11.000           44.1        676.028            1.5        760.140            42.9        678.109         12.962          9.131         10.145          5.985          3.164          1.515          1.880          0.230          0.012          0.013          0.993          0.582          0.696          0.064          0.000          0.001          0.102          0.383            0.000
     11/11/1982           1982          9.000           24.940           -1.310             14.850              -2.770         10.091          1.460           0.000           0.000        852.170        404.120         46.688         66.156          0.000          0.000         76.086        -59.088             0.000             6.647           71.5           81.1             96.1             86.1       2883.870       2374.110         14.000         5432.0        10844.4           8.52              ?        144.000         68.000                  0.000                  12.000           39.6        763.013            8.6        761.864            36.5        688.258          1.974          5.080          9.462          9.389          7.433          3.394          2.264          0.238          0.247          5.316          4.686          1.852          0.491          0.056          0.016          2.691          3.294          1.254            0.000
     11/11/1983           1983          9.000           26.261           -2.346             14.277              -4.408         11.985          2.061           0.000           0.000       1205.960        597.400         50.282         71.259          0.000          0.000         93.531        -71.139             0.000             9.406           83.9           95.9            113.4            105.1       3293.730       2939.940         65.000         5937.2        10368.5           9.86              ?        136.000         60.000                  0.000                   7.000           37.8        744.920           11.5        781.101            36.6        711.056          2.249          4.206          8.249          8.978          7.464          3.544          4.066          0.400          0.165          2.112          4.925          2.198          5.793          1.082          0.063          0.484          2.024          1.128            0.000
     11/11/1984           1984          9.000           22.758           -2.766             12.420              -4.505         10.339          1.739           0.000           0.000        971.040        440.410         47.181         67.802          0.000          0.000         12.227       -120.798             0.000             7.574           81.2           92.3            105.3             99.9       3015.540       2671.200         33.000         5707.7        11095.8          10.22              ?        146.000         63.000                  0.000                  11.000           40.7        769.044            4.9        776.239            36.1        762.464          2.432          5.910          9.692          9.298          7.313          3.294          4.075          0.364          0.141          0.737          4.144          1.930          2.565          0.676          0.084          0.036          0.297          0.620            0.000
     11/11/1985           1985          9.000           15.632           -2.304              5.984              -3.347          9.648          1.043           0.000           0.000        652.530        353.060         49.175         68.208          0.000          0.000       -100.681       -174.272             0.000             5.090           83.9           90.9            114.2             97.9       3120.119       2292.300         31.000         5599.3        13069.9          10.99              ?        124.000         68.000                  0.000                   8.000           46.4        678.462            0.9        772.415            45.2        710.989         11.180          8.026         10.369          8.011          5.304          1.961          3.176          0.494          0.142          0.055          0.048          0.556          0.531          0.104          0.016          0.002          0.001          0.202            0.000
     11/11/1986           1986          9.000           28.173            4.314             17.426               2.252         10.747          2.062           0.000           0.000       1091.450        643.130         48.344         68.522          0.000          0.000        166.729         39.437             0.000             8.513           65.9           76.7             95.5             81.3       3262.950       2581.020         28.000         4143.4         9098.4           6.88              ?        137.000         61.000                  0.000                   8.000           38.7        752.010           13.0        778.891            37.7        707.440          2.429          4.771          9.463          9.363          6.896          3.090          0.820          0.138          3.158          6.347          5.019          2.266          0.402          0.007          1.194          3.700          3.932          2.046            0.000
     11/11/1987           1987          9.000           15.915           -0.464              4.801              -2.571         11.114          2.107           0.000           0.000        866.160        571.010         51.669         70.563          0.000          0.000         -8.693        -40.252             0.000             6.756           91.9           99.7            122.4            106.3       3446.911       2595.420         39.000         6975.5        13738.9          11.11              ?        126.000         59.000                  0.000                  14.000           44.1        738.265            3.8        746.083            45.8        694.467          7.094          9.401         11.819          7.839          4.678          1.802          5.902          0.464          0.213          1.070          2.799          0.877          1.205          0.217          0.000          0.006          1.120          0.708            0.000
     11/11/1988           1988          9.000           16.586           -1.987              6.813              -3.350          9.773          1.363           0.000           0.000        591.840        383.530         50.680         69.669          0.000          0.000       -150.520       -178.251             0.000             4.616           99.1          104.6            123.9            113.0       3582.810       2909.249         61.000         6939.1        14105.0          11.48              ?        145.000         59.000                  0.000                  18.000           45.4        679.566            7.7        746.310            46.8        678.695         10.867          8.258         10.203          7.745          5.149          1.800          7.127          0.681          0.181          0.126          0.458          0.612          6.007          1.042          0.105          0.001          0.010          0.231            0.000
     11/11/1989           1989          9.000           17.236           -2.588              7.543              -3.816          9.693          1.228           0.000           0.000        638.310        305.830         49.100         66.682          0.000          0.000       -106.846       -168.433             0.000             4.979           86.5           96.8            114.2            102.9       3103.650       2450.431         24.000         5673.8        12501.6          10.99              ?        142.000         65.000                  0.000                  18.000           41.7        724.002            1.3        741.349            37.9        725.727          5.821          7.325         10.792          8.295          5.614          2.114          3.808          0.392          0.122          0.143          0.886          0.775          0.731          0.129          0.023          0.001          0.019          0.315            0.000
