ApsimVersion = 7.8
factors = cultivar=Corn_long;date=1-jun;fert_amount=0;FertAmt=0;initNAmes=SoilAmesCorn80;Residue_SOM=SOMsoy;WTDepth=1800
Title = Ames-Corn;cultivar=Corn_long;date=1-jun;fert_amount=0;FertAmt=0;initNAmes=SoilAmesCorn80;Residue_SOM=SOMsoy;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            3.767            1.379              0.527              -1.042          3.240          2.421           0.000           0.000        599.700        444.750         50.511         67.670          0.000          0.000       -148.018        -86.015             0.000             4.678          145.3          133.2            159.6            134.2       3119.040       2529.990         29.000         9879.3        19783.6          19.22              ?        142.000         62.000                  0.000                  11.000           96.4        604.852            1.5        612.932           109.7        606.595         48.270         19.035         15.379          6.854          4.099          1.501          3.114          0.546          0.231          0.091          0.019          0.100          1.262          0.212          0.087          0.049          0.010          0.003            0.000
     11/11/1982           1982          9.000           29.701            2.376             24.752               1.114          4.949          1.262           0.000           0.000        852.170        404.120         46.688         66.156          0.000          0.000         36.637        -40.745             0.000             6.647          137.4          131.8            149.4            132.3       2883.870       2374.110         14.000         9264.6        19108.6          16.73              ?        144.000         68.000                  0.000                  12.000           74.7        684.818            1.1        615.252            79.7        627.452         12.925         10.750         15.701         14.995         12.062          4.667          5.915          0.532          0.169          0.068          0.023          0.231          0.965          0.189          0.083          0.046          0.008          0.003            0.000
     11/11/1983           1983          9.000           49.366            8.360             43.126               6.126          6.240          2.234           0.000           0.000       1205.960        597.400         50.282         71.259          0.000          0.000        233.485         18.401             0.000             9.406          134.2          132.7            148.6            134.0       3293.730       2939.940         65.000         7724.8        14527.0          14.01              ?        136.000         60.000                  0.000                   7.000           61.2        659.768           16.3        686.063            68.8        637.679          9.858          6.460          9.793         10.975         12.085          6.317          7.849          0.774          0.216          0.303          0.734          5.138          6.592          4.151          1.744          0.508          0.236          1.131            0.000
     11/11/1984           1984          9.000           36.502            5.251             31.519               3.539          4.983          1.712           0.000           0.000        971.040        440.410         47.181         67.802          0.000          0.000         64.823        -36.712             0.000             7.574          102.9          100.6            113.3            101.6       3015.540       2671.200         33.000         7010.6        15600.9          12.89              ?        146.000         63.000                  0.000                  11.000           69.0        686.420            5.7        613.327            74.0        697.992         11.351         10.023         13.635         13.001         11.783          5.051          7.537          0.710          0.232          0.080          0.030          0.307          3.227          1.455          0.654          0.191          0.056          0.011            0.000
     11/11/1985           1985          9.000           11.703           -1.316              8.522              -2.225          3.181          0.909           0.000           0.000        652.530        353.060         49.175         68.208          0.000          0.000        -62.540        -64.868             0.000             5.090          118.0           99.7            134.6            100.6       3120.119       2292.300         31.000         6708.9        16250.1          15.88              ?        124.000         68.000                  0.000                   8.000           93.8        610.011            1.3        562.405           108.4        640.394         37.289         16.134         17.591         10.742          7.658          2.353          7.248          0.965          0.335          0.186          0.020          0.045          0.764          0.401          0.206          0.091          0.016          0.003            0.000
     11/11/1986           1986          9.000           28.619            4.298             21.975               1.963          6.644          2.334           0.000           0.000       1091.450        643.130         48.344         68.522          0.000          0.000        122.687         -9.300             0.000             8.513          149.3          139.4            162.1            139.9       3262.950       2581.020         28.000         9801.3        20190.2          18.14              ?        137.000         61.000                  0.000                   8.000           79.8        667.353            0.7        726.079            89.4        627.407         17.308         11.830         17.004         14.935         11.397          4.169          2.732          0.862          0.177          0.070          0.025          0.256          0.530          0.166          0.077          0.026          0.001          0.000            0.000
     11/11/1987           1987          9.000           11.479            2.638              5.866              -0.035          5.613          2.672           0.000           0.000        866.160        571.010         51.669         70.563          0.000          0.000        -60.445        -43.990             0.000             6.756          154.5          134.9            171.1            135.7       3446.911       2595.420         39.000        11344.8        21567.3          19.28              ?        126.000         59.000                  0.000                  14.000           96.7        663.291            2.8        637.768           113.6        631.509         35.034         24.270         19.117          9.376          5.631          1.763          9.731          0.943          0.344          0.130          0.046          0.358          2.090          0.247          0.108          0.053          0.009          0.009            0.000
     11/11/1988           1988          9.000           15.450           -1.389             12.382              -2.400          3.068          1.010           0.000           0.000        591.840        383.530         50.680         69.669          0.000          0.000        -51.581        -78.560             0.000             4.616          131.8          110.6            141.3            111.7       3582.810       2909.249         61.000         8451.8        17427.9          15.71              ?        145.000         59.000                  0.000                  18.000           90.7        607.653           11.6        526.291           109.5        607.415         36.638         15.014         15.925         10.218          8.313          2.510          8.735          1.539          0.500          0.284          0.049          0.317          8.300          1.645          0.873          0.297          0.136          0.056            0.000
     11/11/1989           1989          9.000           16.121           -0.200             11.886              -1.303          4.236          1.103           0.000           0.000        638.310        305.830         49.100         66.682          0.000          0.000        -56.427        -72.345             0.000             4.979          110.8          100.4            124.4            101.2       3103.650       2450.431         24.000         7478.0        17103.7          14.94              ?        142.000         65.000                  0.000                  18.000           83.9        649.064            1.9        535.101            95.0        658.393         24.167         16.562         18.239         11.913          8.480          2.532          7.599          0.855          0.337          0.145          0.022          0.108          1.739          0.297          0.121          0.063          0.012          0.003            0.000
     11/11/1990           1990          9.000           31.453           11.767             24.499               8.540          6.954          3.227           0.000           0.000        998.533        545.444         49.689         68.371          0.000          0.000         92.139         54.989             0.000             7.789          156.9          155.0            170.9            155.7       3276.134       2793.439         42.000         9115.8        18809.8          16.77              ?        148.000         63.000                  0.000                  14.000           76.2        701.920           16.6        619.680            80.6        697.233         12.513         11.698         18.000         16.689         10.550          3.818          3.455          0.330          0.116          0.063          0.569          4.118          7.851          2.022          0.811          0.452          0.646          2.444            0.000
     11/11/1991           1991          9.000           36.083           -0.161             30.367              -1.634          5.716          1.472           0.000           0.000        821.349        217.540         50.164         70.381          0.000          0.000         66.792        -52.383             0.000             6.407          103.3           84.8            122.5             85.3       3619.281       2687.662         46.000         7038.8        14465.7          12.79              ?        130.000         56.000                  0.000                  20.000           79.3        660.695            6.0        517.466            91.6        642.128         25.612          7.514         10.671         11.277         12.233          6.345         17.644          0.890          0.350          0.225          0.099          1.144          3.876          0.609          0.210          0.124          0.040          0.107            0.000
     11/11/1992           1992          9.000           30.644            1.827             25.857               0.047          4.787          1.780           0.000           0.000        879.812        475.944         49.338         64.242          0.000          0.000        197.105         84.298             0.000             6.863          120.8          113.5            137.1            114.7       2533.040       2032.169         10.000         6728.8        17232.8          14.03              ?        139.000         72.000                  0.000                  14.000           73.0        621.829            6.1        650.111            85.2        610.195         19.957          8.634         12.674         12.228         11.277          4.461          2.842          0.261          0.104          0.100          2.582          3.576          0.809          0.127          0.071          0.041          0.103          2.253            0.000
     11/11/1993           1993          9.000           50.344           12.008             43.937               8.989          6.407          3.019           0.000           0.000       1370.990        891.798         46.812         68.480          0.000          0.000        400.806        209.829             0.000            10.694          115.2          111.2            126.4            111.8       2849.719       2439.358         31.000         5001.2        14161.8          12.21              ?        132.000         66.000                  0.000                  17.000           64.0        673.461            7.1        693.293            67.0        649.939         11.015          7.107         10.569         11.393         12.311          6.197          2.320          0.729          0.273          0.688          7.266          5.880          1.596          0.193          0.069          0.037          0.107          2.209            0.000
     11/11/1994           1994          9.000            9.284            1.219              4.911              -1.066          4.373          2.286           0.000           0.000        681.161        483.095         48.850         66.449          0.000          0.000       -105.365        -92.787             0.000             5.313          138.8          127.4            148.2            128.6       3004.924       2480.769         29.000         9557.2        20535.2          17.87              ?        149.000         65.000                  0.000                   7.000           89.3        610.228            1.0        630.737           101.8        661.813         35.962         17.155         17.454          9.248          5.918          1.910          3.996          0.533          0.207          0.077          0.012          0.024          0.771          0.144          0.078          0.044          0.009          0.003            0.000
     11/11/1995           1995          9.000           25.079           -0.384             20.734              -1.128          4.345          0.744           0.000           0.000        751.645        323.135         48.086         67.377          0.000          0.000          7.954        -60.952             0.000             5.863          140.9          138.5            150.3            139.5       2764.728       2553.003         35.000         7930.7        16843.8          16.34              ?        144.000         66.000                  0.000                  15.000           69.6        652.394            7.8        585.268            78.7        629.458         12.800          9.145         14.792         13.508         11.338          4.510          4.532          1.002          0.204          0.076          0.020          0.167          5.829          0.936          0.471          0.218          0.066          0.014            0.000
     11/11/1996           1996          9.000           21.166            7.363             14.966               4.668          6.200          2.695           0.000           0.000        848.413        487.382         46.596         65.166          0.000          0.000         16.746         -7.063             0.000             6.618          130.4          126.4            136.3            127.3       2735.663       2387.708         17.000         8537.8        18404.1          16.48              ?        152.000         65.000                  0.000                  14.000           79.0        711.027            0.8        696.789            82.4        693.342         13.335         16.330         21.016         15.256          8.304          2.717          4.240          0.395          0.145          0.055          0.011          0.102          0.802          0.169          0.060          0.031          0.006          0.002            0.000
     11/11/1997           1997          9.000           27.150           -1.463             23.805              -2.308          3.344          0.845           0.000           0.000        698.516        334.416         47.187         68.295          0.000          0.000         14.613        -79.120             0.000             5.448          123.5          119.4            131.4            121.0       2964.064       2702.203         42.000         8682.3        17875.5          15.12              ?        145.000         64.000                  0.000                  12.000           70.0        641.869            6.2        576.373            79.7        650.992         14.762          9.791         13.683         12.549         11.041          4.453          4.295          0.599          0.206          0.076          0.017          0.142          3.685          1.505          0.592          0.226          0.067          0.012            0.000
     11/11/1998           1998          9.000           34.752            8.271             28.068               5.109          6.684          3.163           0.000           0.000        881.628        521.708         50.291         66.362          0.000          0.000         52.503        -37.090             0.000             6.877          141.1          128.4            150.1            129.1       3285.676       2675.926         29.000         8951.7        18562.4          15.88              ?        158.000         70.000                  0.000                   7.000           78.1        653.039            6.1        606.452            82.3        692.410         20.068         11.042         14.530         13.069         11.274          4.412          7.819          0.676          0.226          0.078          0.019          0.165          4.000          1.195          0.536          0.236          0.079          0.017            0.000
     11/11/1999           1999          9.000           26.484            6.284             19.186               3.702          7.298          2.581           0.000           0.000        916.920        519.686         50.120         68.526          0.000          0.000         13.518         -7.264             0.000             7.152          141.3          133.1            159.8            133.9       2964.396       2386.645         32.000         9387.0        18949.4          17.09              ?        127.000         62.000                  0.000                  12.000           78.9        670.655            1.6        606.885            83.8        674.618         17.648         12.015         17.530         14.659         10.404          3.796          4.101          0.679          0.205          0.092          0.037          0.364          1.248          0.208          0.098          0.051          0.009          0.004            0.000
