ApsimVersion = 7.8
factors = cultivar=Corn_long;date=15-apr;fert_amount=150;FertAmt=0;initNAmes=SoilAmesCorn19;Residue_SOM=SOMsoy;WTDepth=1200
Title = Ames-Corn;cultivar=Corn_long;date=15-apr;fert_amount=150;FertAmt=0;initNAmes=SoilAmesCorn19;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            5.291            1.127              0.044              -0.433          5.248          1.560           0.000           0.000        599.700        430.530         50.511         67.052          0.000          0.000       -271.309       -228.238             0.000             4.678          109.9          120.7            140.4            122.8       3119.040       2718.180         28.000        13279.1        25141.1          23.69              ?        158.000         82.000                  3.000                  11.000          118.6        656.466           15.4        666.540           174.6        643.835        101.131          9.059          4.517          2.146          1.072          0.397          8.099          0.827          0.208          0.055          0.007          0.021         11.780          2.019          0.695          0.227          0.051          0.003            0.000
     11/11/1982           1982          9.000           23.380           14.486              5.094               0.565         18.286         13.921           0.000           0.000        852.170        554.260         46.688         65.716          0.000          0.000        -50.070       -142.469             0.000             6.647          113.5          127.1            139.1            129.7       2883.870       2640.960         15.000        12444.7        25562.5          22.28              ?        166.000         87.000                  2.000                  12.000           54.9        700.842           13.9        679.901           150.8        708.330         31.953          7.082          6.631          4.751          2.733          0.983          3.384          0.585          0.134          0.032          0.020          0.200         10.074          2.392          0.748          0.215          0.049          0.012            0.000
     11/11/1983           1983          9.000           28.557           12.926             10.338               1.773         18.219         11.153           0.000           0.000       1205.960        607.300         50.282         68.431          0.000          0.000        138.274        -34.749             0.000             9.406           95.3          104.7            133.4            107.4       3293.730       2791.800         61.000        10955.3        21854.4          19.77              ?        146.000         87.000                  6.000                   7.000           53.4        772.649           20.0        627.636           134.1        712.971         16.708         15.026         10.087          5.513          3.467          1.417          7.245          0.427          0.119          0.050          0.323          1.183         12.846          3.493          0.978          0.309          0.280          0.597            0.000
     11/11/1984           1984          9.000           27.393           18.484              7.092               2.124         20.301         16.360           0.000           0.000        971.040        558.030         47.181         66.880          0.000          0.000         -9.316        -78.647             0.000             7.574           88.5           99.3            115.9            102.1       3015.540       2711.250         31.000        11645.6        23663.7          19.21              ?        157.000         86.000                  0.000                  11.000           48.8        731.190           17.6        595.064           143.6        710.210         26.525          8.160          5.765          4.310          2.454          0.899          5.062          0.503          0.130          0.119          0.291          0.944         11.804          3.506          0.608          0.284          0.167          0.301            0.000
     11/11/1985           1985          9.000            6.810           -0.101              2.033              -0.682          4.777          0.581           0.000           0.000        652.530        314.190         49.175         68.600          0.000          0.000       -214.333       -220.565             0.000             5.090           69.8           81.5            100.7             84.0       3120.119       2790.000         30.000        11508.4        25227.5          19.70              ?        150.000         78.000                  0.000                   8.000           76.4        674.347           16.0        546.713           163.7        647.237         56.680          7.356          5.814          3.536          1.884          0.634          7.559          0.758          0.193          0.070          0.007          0.019         13.224          1.384          0.360          0.092          0.017          0.005            0.000
     11/11/1986           1986          9.000           30.487           20.254              5.082               1.066         25.404         19.188           0.000           0.000       1091.450        637.540         48.344         67.427          0.000          0.000         87.094        -63.747             0.000             8.513          122.0          129.9            149.3            132.3       3262.950       2724.840         27.000        13140.3        24617.0          22.36              ?        154.000         79.000                  3.000                   8.000          104.5        720.233           15.4        688.266           150.4        749.889         74.420         15.838          7.027          3.923          1.993          0.708          3.139          0.539          0.131          0.040          0.024          0.502         11.250          2.278          0.618          0.202          0.062          0.119            0.000
     11/11/1987           1987          9.000           12.734            7.058              1.128              -0.253         11.607          7.310           0.000           0.000        866.160        616.980         51.669         70.181          0.000          0.000       -126.980       -178.322             0.000             6.756          111.6          119.7            147.2            122.1       3446.911       2900.520         48.000        11439.5        23740.6          23.14              ?        143.000         72.000                  0.000                  14.000           92.5        704.411           13.4        720.171           164.0        646.378         68.114         14.200          5.188          2.852          1.334          0.454          6.970          1.281          0.244          0.076          0.010          0.029          7.783          2.644          1.520          0.522          0.079          0.010            0.000
     11/11/1988           1988          9.000            8.190            0.126              2.340              -1.046          5.850          1.171           0.000           0.000        591.840        354.080         50.680         70.609          0.000          0.000       -232.911       -204.904             0.000             4.616           63.9           68.2            105.7             70.2       3582.810       2941.470         62.000         7520.4        18219.5          17.97              ?        140.000         76.000                  4.000                  18.000          104.1        651.588           19.3        571.531           163.3        636.896         84.334          7.677          5.419          3.285          2.205          0.660         21.900          1.390          0.300          0.120          0.014          0.027         10.581          4.460          2.861          0.335          0.029          0.011            0.000
     11/11/1989           1989          9.000           13.355            7.391              1.983              -0.446         11.372          7.837           0.000           0.000        638.310        432.820         49.100         67.289          0.000          0.000       -245.293       -213.591             0.000             4.979           85.8           96.2            113.8             99.2       3103.650       2744.820         28.000        11978.7        24822.8          20.50              ?        157.000         83.000                  3.000                  18.000           70.5        657.299           15.7        588.962           162.9        663.875         52.139          6.927          5.326          3.237          1.811          0.593          8.733          0.862          0.233          0.068          0.012          0.054          9.434          4.016          1.268          0.164          0.072          0.012            0.000
     11/11/1990           1990          9.000           33.214           24.315              6.300               4.152         26.914         20.164           0.000           0.000        998.533        729.006         49.689         68.487          0.000          0.000        101.978         71.608             0.000             7.789          111.3          122.9            149.9            125.1       3276.134       2791.983         37.000        11497.1        22379.7          20.39              ?        148.000         81.000                  4.000                  14.000           65.1        706.770           21.8        690.009           141.4        770.099         41.421          9.707          6.860          4.022          1.953          0.664          2.143          0.302          0.067          1.599          3.374          1.155         13.955          1.377          0.492          0.613          2.262          0.973            0.000
     11/11/1991           1991          9.000           36.613           23.317              8.128               4.067         28.485         19.250           0.000           0.000        821.349        328.853         50.164         70.621          0.000          0.000        -87.921        -72.397             0.000             6.407           94.0          105.0            132.1            107.0       3619.281       2917.007         52.000        11801.9        23342.7          18.83              ?        140.000         74.000                  0.000                  20.000          109.5        783.900           15.2        547.060           137.5        729.219         50.497         34.465         14.089          6.001          2.842          0.940          8.660          0.650          0.171          0.091          0.135          1.058         12.651          0.957          0.372          0.193          0.076          0.135            0.000
     11/11/1992           1992          9.000           17.209            5.171              4.854               0.030         12.355          5.141           0.000           0.000        879.812        575.766         49.338         62.193          0.000          0.000         44.663        -59.041             0.000             6.863           97.7          108.6            114.6            110.6       2533.040       2421.786         12.000        12367.8        25743.9          21.35              ?        186.000         87.000                  2.000                  14.000           81.1        692.852            8.3        708.772           147.6        657.797         52.429         11.735          7.990          4.592          2.645          0.958          1.579          0.462          0.132          0.042          0.006          0.019          6.662          1.047          0.372          0.144          0.001          0.002            0.000
     11/11/1993           1993          9.000           30.187           21.038              6.908               1.008         23.279         20.030           0.000           0.000       1370.990       1047.319         46.812         66.248          0.000          0.000        320.016        126.870             0.000            10.694           97.8          103.7            116.5            106.9       2849.719       2658.896         31.000         4291.8        23003.4          20.48              ?        162.000         87.000                  2.000                  17.000           33.2        734.433           12.9        738.241           132.9        728.377         16.169          4.260          4.134          3.747          2.755          1.167          2.355          0.070          0.002          0.053          1.266          1.096          8.010          2.029          0.581          0.088          0.389          0.652            0.000
     11/11/1994           1994          9.000           10.036            4.136              1.044              -0.488          8.993          4.624           0.000           0.000        681.161        482.246         48.850         66.437          0.000          0.000       -189.418       -216.286             0.000             5.313          123.9          133.5            148.0            136.3       3004.924       2753.627         33.000        14108.6        26945.0          24.31              ?        164.000         84.000                  1.000                   7.000           81.1        670.113           16.3        690.863           160.2        641.625         62.517          7.896          5.392          2.868          1.468          0.511          5.444          0.510          0.140          0.040          0.014          0.168         10.380          4.242          0.888          0.225          0.056          0.013            0.000
     11/11/1995           1995          9.000           20.272           12.317              4.466               1.871         15.806         10.446           0.000           0.000        751.645        493.575         48.086         64.915          0.000          0.000       -106.639       -128.748             0.000             5.863          117.0          128.9            140.6            131.3       2764.728       2591.195         35.000        12207.7        24971.8          22.36              ?        167.000         91.000                  1.000                  15.000           68.3        736.672           16.3        668.135           133.1        690.509         32.697         18.501          9.647          4.429          1.893          0.628          3.976          0.441          0.124          0.037          0.018          0.180         11.357          3.053          0.796          0.254          0.075          0.024            0.000
