ApsimVersion = 7.8
factors = cultivar=Corn_long;date=15-apr;fert_amount=200;FertAmt=0;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=1800
Title = Ames-Corn;cultivar=Corn_long;date=15-apr;fert_amount=200;FertAmt=0;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            7.254            1.547              0.911              -0.070          6.343          1.617           0.000           0.000        599.700        430.530         50.511         67.052          0.000          0.000       -108.052        -63.500             0.000             4.678           46.0           72.1             96.7             84.7       3119.040       2718.180         28.000        12593.7        24130.8          22.11              ?        158.000         82.000                  3.000                  11.000          128.5        667.856           16.3        536.139           186.0        625.219        100.509         14.348          7.077          3.961          1.351          0.750          7.229          0.915          0.217          0.076          0.007          0.006         12.175          2.469          0.798          0.133          0.050          0.010            0.000
     11/11/1982           1982          9.000           29.330           16.711             13.056               3.969         16.274         12.742           0.000           0.000        852.170        554.260         46.688         65.716          0.000          0.000         73.300        -14.805             0.000             6.647           54.7           73.0             97.0             88.0       2883.870       2640.960         15.000        12059.3        25138.4          21.44              ?        166.000         87.000                  2.000                  12.000           60.4        688.140           15.2        580.341           166.3        684.104         31.596          7.278          7.411          6.058          4.706          1.870          3.163          0.643          0.167          0.042          0.005          0.008         10.455          2.951          0.989          0.268          0.073          0.010            0.000
     11/11/1983           1983          9.000           37.899           16.767             23.001               7.283         14.899          9.484           0.000           0.000       1205.960        607.300         50.282         68.431          0.000          0.000        304.915         83.146             0.000             9.406           30.7           43.6             85.7             58.6       3293.730       2791.800         61.000        10292.2        21772.8          18.24              ?        146.000         87.000                  6.000                   7.000           59.1        755.278           18.8        559.210           152.1        697.358         13.958         13.969         13.315          7.901          5.394          2.476          6.286          0.477          0.126          0.037          0.009          1.904         11.742          3.233          0.603          0.265          0.162          0.851            0.000
     11/11/1984           1984          9.000           32.606           20.228             16.656               7.334         15.950         12.893           0.000           0.000        971.040        558.030         47.181         66.880          0.000          0.000        146.655         56.583             0.000             7.574           18.1           33.1             60.5             47.8       3015.540       2711.250         31.000        10847.5        23346.4          17.84              ?        157.000         86.000                  0.000                  11.000           53.8        706.647           14.4        499.143           161.4        689.902         26.105          8.735          6.654          5.066          4.135          1.715          4.702          0.585          0.159          0.061          0.054          0.733         10.173          2.559          0.270          0.160          0.082          0.131            0.000
     11/11/1985           1985          9.000           10.832           -0.163              6.379              -0.599          4.452          0.437           0.000           0.000        652.530        314.190         49.175         68.600          0.000          0.000       -111.457       -183.966             0.000             5.090           15.7           33.2             62.3             47.7       3120.119       2790.000         30.000        10851.3        24072.6          19.34              ?        150.000         78.000                  0.000                   8.000           83.5        660.707           15.0        515.562           179.8        621.535         57.234          8.156          7.069          4.990          3.641          1.387          5.901          0.902          0.212          0.087          0.009          0.004         12.363          1.358          0.377          0.070          0.005          0.003            0.000
     11/11/1986           1986          9.000           37.162           22.506             14.989               5.681         22.173         16.825           0.000           0.000       1091.450        637.540         48.344         67.427          0.000          0.000        221.808         16.061             0.000             8.513           70.0           90.8            120.3            104.2       3262.950       2724.840         27.000        12933.2        24398.2          22.09              ?        154.000         79.000                  3.000                   8.000          114.8        706.549           16.3        629.210           164.6        729.899         75.385         18.386          9.307          5.578          3.693          1.361          3.081          0.581          0.165          0.044          0.007          0.057         11.965          2.473          0.740          0.263          0.068          0.011            0.000
     11/11/1987           1987          9.000           15.066            6.835              4.358               0.376         10.708          6.459           0.000           0.000        866.160        616.980         51.669         70.181          0.000          0.000         -6.887        -41.154             0.000             6.756           38.6           54.5             94.1             68.8       3446.911       2900.520         48.000        10629.9        22699.4          20.99              ?        143.000         72.000                  0.000                  14.000           99.4        693.546           13.8        611.166           181.3        621.362         66.183         17.655          6.851          4.371          2.675          0.952          6.530          2.144          0.313          0.104          0.010          0.012          7.923          2.671          1.610          0.594          0.103          0.014            0.000
     11/11/1988           1988          9.000           13.250            0.570              6.335              -0.994          6.915          1.564           0.000           0.000        591.840        354.080         50.680         70.609          0.000          0.000        -85.642       -135.320             0.000             4.616           15.2           27.4             69.2             39.8       3582.810       2941.470         62.000         5838.2        15317.6          16.60              ?        140.000         76.000                  4.000                  18.000          112.9        643.276           31.5        564.194           178.9        612.422         84.429         10.246          7.408          4.889          3.560          1.296         22.784          1.843          0.373          0.187          0.021          0.051         13.630          9.245          6.689          0.967          0.092          0.024            0.000
     11/11/1989           1989          9.000           15.996            6.585              5.917              -0.401         10.079          6.987           0.000           0.000        638.310        432.820         49.100         67.289          0.000          0.000        -30.068        -87.611             0.000             4.979            9.0           23.3             53.4             38.7       3103.650       2744.820         28.000        10529.6        23220.7          18.41              ?        157.000         83.000                  3.000                  18.000           76.0        639.171           14.1        494.827           179.6        639.658         52.031          7.200          6.413          4.532          3.518          1.317          7.464          0.993          0.260          0.086          0.008          0.010          8.657          3.743          0.854          0.101          0.020          0.013            0.000
