ApsimVersion = 7.8
factors = cultivar=Corn_long;date=15-may;fert_amount=0;FertAmt=100;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=1200
Title = Ames-Corn;cultivar=Corn_long;date=15-may;fert_amount=0;FertAmt=100;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            9.725            0.999              1.855              -1.172          7.870          2.171           0.000           0.000        599.700        452.120         50.511         67.668          0.000          0.000       -176.587       -167.645           100.000             4.678           80.1           97.4            116.1            107.0       3119.040       2732.310         29.000        11852.5        22462.5          20.15              ?        154.000         65.000                  0.000                  11.000           55.8        654.688           12.6        686.809           137.7        639.721         12.029         12.810         15.061          8.637          3.700          1.923          2.476          1.127          0.244          0.072          0.035          0.334          9.254          1.873          0.677          0.265          0.061          0.016            0.000
     11/11/1982           1982          9.000           37.087            9.037             24.902               0.909         12.185          8.128           0.000           0.000        852.170        498.370         46.688         65.777          0.000          0.000         50.551        -89.618           100.000             6.647           76.8           88.0            103.0             96.9       2883.870       2587.680         14.000        10503.3        21106.3          17.79              ?        161.000         73.000                  0.000                  12.000           50.1        718.061            8.2        702.945           107.4        713.760          2.654          6.183         10.687         11.552         10.269          4.739          4.125          0.747          0.137          0.053          0.113          3.149          4.598          1.201          0.431          0.174          0.096          0.828            0.000
     11/11/1983           1983          9.000           50.841           10.851             36.244               1.834         14.597          9.017           0.000           0.000       1205.960        601.460         50.282         71.249          0.000          0.000        235.140        -40.684           100.000             9.406           60.7           72.5             98.9             84.7       3293.730       2932.380         64.000         8335.8        16856.8          14.58              ?        137.000         69.000                  0.000                   7.000           42.4        725.094           21.4        689.378           107.2        704.951          1.980          3.492          6.622          9.276          9.752          5.767          5.115          0.870          0.219          0.584          4.405          4.441          9.739          4.293          1.668          0.562          0.741          2.049            0.000
     11/11/1984           1984          9.000           46.767           13.727             31.341               2.682         15.427         11.045           0.000           0.000        971.040        494.780         47.181         68.705          0.000          0.000         98.920        -90.245           100.000             7.574           54.5           66.2             84.8             77.6       3015.540       2814.660         33.000         8649.7        18281.8          14.61              ?        149.000         68.000                  0.000                  11.000           46.4        719.191           15.8        672.148           109.1        715.210          2.488          4.121          8.869         11.038         10.104          5.160          3.775          0.449          0.130          0.124          0.380          4.049          8.780          2.950          0.833          0.360          0.423          1.061            0.000
     11/11/1985           1985          9.000           16.217           -2.558             11.021              -3.497          5.197          0.939           0.000           0.000        652.530        365.260         49.175         67.840          0.000          0.000       -122.781       -213.111           100.000             5.090           61.4           71.7             93.6             79.7       3120.119       2550.060         31.000         8652.2        19601.2          18.29              ?        141.000         68.000                  0.000                   8.000           53.8        657.961            1.0        678.747           135.4        640.275          6.977          9.383         13.168         10.533          8.111          3.084          7.022          0.856          0.250          0.103          0.020          0.092          0.717          0.304          0.129          0.045          0.008          0.002            0.000
     11/11/1986           1986          9.000           36.673           11.475             21.625               1.687         15.049          9.788           0.000           0.000       1091.450        710.430         48.344         67.646          0.000          0.000        184.745         14.751           100.000             8.513           82.6           95.6            114.4            102.4       3262.950       2760.930         28.000        10893.1        20738.8          18.23              ?        154.000         65.000                  0.000                   8.000           50.7        748.538           12.6        775.616           116.6        692.037          2.427          5.849         12.308         12.583          9.696          4.263          3.721          0.656          0.129          0.307          4.033          3.519          6.291          2.911          0.616          0.076          0.040          1.186            0.000
     11/11/1987           1987          9.000           19.969            4.711              8.400              -1.650         11.569          6.361           0.000           0.000        866.160        650.760         51.669         70.129          0.000          0.000        -30.249        -89.286           100.000             6.756           88.5          100.8            122.5            112.7       3446.911       2882.970         41.000        11387.1        22598.4          19.89              ?        143.000         67.000                  0.000                  14.000           55.8        660.577           10.4        710.854           129.3        672.613         10.213         10.098         13.931         10.463          6.587          2.437          6.894          0.587          0.183          0.069          0.070          1.184          7.680          0.995          0.399          0.129          0.001          0.356            0.000
     11/11/1988           1988          9.000           17.757           -2.057             11.621              -3.606          6.136          1.549           0.000           0.000        591.840        379.220         50.680         72.988          0.000          0.000       -172.054       -207.588           100.000             4.616           48.4           61.3             88.7             71.3       3582.810       3080.340         66.000         8022.8        16826.4          16.15              ?        134.000         63.000                  0.000                  18.000           52.3        652.948           16.6        648.087           131.7        656.707          7.452          9.284         12.719          9.988          7.731          2.804          5.265          1.353          0.361          0.125          0.037          0.187         10.653          3.992          0.983          0.280          0.090          0.020            0.000
     11/11/1989           1989          9.000           21.563            3.043             12.192              -2.157          9.370          5.200           0.000           0.000        638.310        397.520         49.100         67.016          0.000          0.000       -154.508       -210.841           100.000             4.979           60.7           74.7             92.1             84.7       3103.650       2728.801         26.000         9217.7        19398.5          17.16              ?        157.000         66.000                  0.000                  18.000           52.6        663.793           12.1        658.440           120.9        679.406          5.957          9.179         13.587         10.986          7.718          2.820          5.835          0.708          0.217          0.069          0.027          0.171          9.596          1.432          0.556          0.219          0.069          0.012            0.000
