ApsimVersion = 7.8
factors = cultivar=Corn_long;date=15-may;fert_amount=200;FertAmt=0;initNAmes=SoilAmesCorn40;Residue_SOM=SOMsoy;WTDepth=1200
Title = Ames-Corn;cultivar=Corn_long;date=15-may;fert_amount=200;FertAmt=0;initNAmes=SoilAmesCorn40;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           13.382            7.078             -0.372              -0.953         13.755          8.032           0.000           0.000        599.700        452.120         50.511         67.668          0.000          0.000       -273.653       -198.868             0.000             4.678          139.9          141.2            157.9            142.6       3119.040       2732.310         29.000        14614.4        25326.2          28.91              ?        154.000         65.000                  0.000                  11.000          239.0        641.533           52.7        667.915           252.2        635.908        206.036         19.575          7.182          3.166          1.829          0.663         44.255         30.267          2.905          0.795          0.360          0.297         29.757         16.001          5.265          0.920          0.279          0.058            0.000
     11/11/1982           1982          9.000           36.552           20.098              8.752               0.123         27.800         19.975           0.000           0.000        852.170        498.370         46.688         65.777          0.000          0.000        -93.469       -165.232             0.000             6.647          132.4          136.8            145.0            138.0       2883.870       2587.680         14.000        14483.0        26758.5          28.77              ?        161.000         73.000                  0.000                  12.000          199.5        699.820            7.8        676.683           207.7        706.537        153.254         21.515          9.948          6.883          4.730          1.749          9.580          2.764          0.682          0.216          0.134          1.007          5.343          1.387          0.485          0.187          0.068          0.091            0.000
     11/11/1983           1983          9.000           53.356           25.015             18.296               2.236         35.060         22.779           0.000           0.000       1205.960        601.460         50.282         71.249          0.000          0.000         97.622        -88.025             0.000             9.406           92.8          100.9            116.8            103.0       3293.730       2932.380         64.000        10676.6        21128.9          22.51              ?        137.000         69.000                  0.000                   7.000          160.5        704.500           22.9        644.504           207.2        697.273        106.526         21.276         12.706          8.726          6.150          2.748         11.768          2.689          1.193          1.003          3.681          2.454         11.815          6.049          1.454          0.547          0.561          0.843            0.000
     11/11/1984           1984          9.000           42.273           21.854             12.249               1.533         30.025         20.322           0.000           0.000        971.040        494.780         47.181         68.705          0.000          0.000        -83.044       -152.967             0.000             7.574           82.5           90.8             98.9             92.7       3015.540       2814.660         33.000        12531.2        25421.3          22.95              ?        149.000         68.000                  0.000                  11.000          153.5        695.768           12.6        589.332           213.6        694.910        103.366         21.814         12.243          7.481          4.978          1.984          6.025          0.875          0.195          0.072          0.072          0.781          8.394          2.707          0.449          0.230          0.095          0.048            0.000
     11/11/1985           1985          9.000           15.855            2.210              4.375              -1.362         11.481          3.572           0.000           0.000        652.530        365.260         49.175         67.840          0.000          0.000       -201.019       -214.869             0.000             5.090          108.7          109.4            129.1            110.5       3120.119       2550.060         31.000         9241.5        20949.6          24.02              ?        141.000         68.000                  0.000                   8.000          238.3        648.155           66.4        648.336           250.6        637.781        202.034         17.312          8.788          5.027          3.208          1.043         39.681          4.811          0.591          0.170          0.033          0.081         25.940         27.301         11.928          0.751          0.269          0.067            0.000
     11/11/1986           1986          9.000           46.263           21.290              6.685               0.301         39.578         20.989           0.000           0.000       1091.450        710.430         48.344         67.646          0.000          0.000         46.081        -59.619             0.000             8.513          142.6          143.9            157.0            144.7       3262.950       2760.930         28.000        14913.3        25740.4          28.89              ?        154.000         65.000                  0.000                   8.000          214.5        729.528           12.5        762.563           210.4        678.319        119.636         58.494         21.970          7.867          3.923          1.445         16.915          8.434          4.121          1.884          2.480          1.121          6.151          3.992          1.307          0.246          0.051          0.351            0.000
     11/11/1987           1987          9.000           28.225           17.957              1.647              -0.629         26.578         18.586           0.000           0.000        866.160        650.760         51.669         70.129          0.000          0.000       -149.277       -129.533             0.000             6.756          143.2          143.8            164.0            145.8       3446.911       2882.970         41.000        13747.9        25439.4          28.23              ?        143.000         67.000                  0.000                  14.000          240.4        649.522           41.9        693.184           240.5        664.824        200.331         22.895          9.153          4.273          2.308          0.804         36.268         17.941          4.665          1.273          0.789          0.371         20.023          9.411          8.155          3.187          0.467          0.179            0.000
     11/11/1988           1988          9.000           21.281            5.492              3.890              -1.794         17.392          7.286           0.000           0.000        591.840        379.220         50.680         72.988          0.000          0.000       -221.787       -211.158             0.000             4.616          109.8          109.7            133.4            111.2       3582.810       3080.340         66.000         7221.4        16133.9          17.73              ?        134.000         63.000                  0.000                  18.000          231.8        642.849          130.5        649.609           248.1        652.504        196.842         16.598          8.221          4.849          3.509          1.017         68.677         30.036          1.162          0.408          0.314          0.409         47.788         44.607         31.667          5.000          0.682          0.138            0.000
     11/11/1989           1989          9.000           22.607           10.643              3.332              -1.074         19.275         11.717           0.000           0.000        638.310        397.520         49.100         67.016          0.000          0.000       -244.876       -235.546             0.000             4.979          105.2          108.6            120.3            110.2       3103.650       2728.801         26.000        10994.5        22067.3          23.95              ?        157.000         66.000                  0.000                  18.000          215.5        650.541           51.8        622.329           228.3        666.567        178.525         18.392          8.554          5.075          3.219          0.986         28.807          8.329          0.881          0.196          0.087          0.175         32.524         13.328          4.689          0.716          0.265          0.050            0.000
