ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=1-jun;fert_amount=0;FertAmt=200;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1200
Title = Ames-Corn;cultivar=Corn_normal;date=1-jun;fert_amount=0;FertAmt=200;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           18.533           15.490             -0.123              -0.367         18.656         15.856           0.000           0.000        599.700        444.750         50.511         67.670          0.000          0.000       -251.043       -163.500           200.000             4.678          144.8          133.4            160.0            134.4       3119.040       2529.990         29.000        11970.2        22592.5          25.30              ?        142.000         62.000                  0.000                  11.000           34.2        639.130           62.9        669.224           243.8        641.174         24.301          5.078          2.849          1.174          0.621          0.124         34.673         31.738          4.742          0.490          0.249          0.129         33.110         21.956          6.341          0.953          0.282          0.031            0.000
     11/11/1982           1982          9.000           21.223           15.148              2.779              -0.369         18.443         15.516           0.000           0.000        852.170        404.120         46.688         66.156          0.000          0.000        -77.841       -153.219           200.000             6.647          131.2          127.1            143.5            127.7       2883.870       2374.110         14.000        11946.6        23960.2          26.26              ?        144.000         68.000                  0.000                  12.000           24.5        722.411           30.2        669.192           214.4        659.967          9.586          5.285          4.215          2.808          1.614          0.545         22.874          5.505          0.984          0.270          0.141          0.274         18.220          9.392          1.737          0.458          0.168          0.080            0.000
     11/11/1983           1983          9.000           40.778           28.440              8.289               1.027         32.488         27.413           0.000           0.000       1205.960        516.110         50.282         73.090          0.000          0.000         88.644       -100.349           200.000             9.406          103.6          106.6            125.0            108.0       3293.730       2882.520         65.000         9420.3        19290.6          20.63              ?        124.000         60.000                  0.000                   7.000           19.7        696.627           50.3        627.367           218.6        672.316          7.779          3.336          2.978          2.342          1.736          0.814         25.541          6.814          2.568          1.244          1.146          0.693         25.875         16.323          4.880          0.994          0.570          0.275            0.000
     11/11/1984           1984          9.000           22.750           17.329              3.954               0.393         18.797         16.936           0.000           0.000        971.040        440.410         47.181         67.973          0.000          0.000        -88.873       -170.207           200.000             7.574           90.1           89.2            100.8             90.2       3015.540       2671.200         33.000        11011.0        22953.6          23.75              ?        145.000         63.000                  0.000                  11.000           22.0        721.111           11.5        641.958           208.9        736.117          8.203          4.924          3.757          2.689          1.488          0.554         18.913          2.472          0.452          0.086          0.026          0.170          5.909          3.622          1.529          0.227          0.090          0.019            0.000
     11/11/1985           1985          9.000           13.783            5.803              2.836              -0.542         10.947          6.345           0.000           0.000        652.530        353.060         49.175         68.208          0.000          0.000       -177.915       -185.316           200.000             5.090          119.6          106.4            139.8            107.3       3120.119       2292.300         31.000         7996.9        19258.6          22.48              ?        124.000         68.000                  0.000                   8.000           38.3        642.023           74.2        656.833           247.0        674.127         26.768          5.170          3.193          1.651          1.084          0.240         54.093          5.405          0.721          0.268          0.097          0.089         27.544         31.418         13.925          0.870          0.286          0.054            0.000
     11/11/1986           1986          9.000           30.617           22.067              4.505               0.295         26.112         21.772           0.000           0.000       1091.450        643.130         48.344         68.522          0.000          0.000         46.078        -70.219           200.000             8.513          141.4          135.6            156.6            136.1       3262.950       2581.020         28.000        11962.7        24075.2          26.37              ?        137.000         61.000                  0.000                   8.000           27.5        712.445           35.4        755.150           228.0        663.892         12.654          5.566          4.490          2.634          1.339          0.456         17.158         13.892          3.708          1.020          0.479          0.282         10.611         12.055          9.538          2.682          0.395          0.132            0.000
     11/11/1987           1987          9.000           22.398           18.197              1.376               0.451         21.022         17.747           0.000           0.000        866.160        571.010         51.669         70.563          0.000          0.000       -132.966        -89.467           200.000             6.756          149.9          135.8            170.6            136.6       3446.911       2595.420         39.000        13145.2        23964.4          26.89              ?        126.000         59.000                  0.000                  14.000           39.0        695.163           48.2        666.391           246.8        660.445         22.810          9.869          3.759          1.521          0.793          0.158         59.275         18.557          4.230          0.955          0.342          0.126         20.581         12.090         10.598          3.730          0.616          0.097            0.000
     11/11/1988           1988          9.000           11.047            7.690              1.386              -0.441          9.661          8.132           0.000           0.000        591.840        376.670         50.680         71.505          0.000          0.000       -234.968       -206.199           200.000             4.616          128.3          109.0            142.8            110.1       3582.810       2863.259         61.000         9644.6        19597.2          21.20              ?        132.000         59.000                  0.000                  18.000           38.0        641.495           93.6        632.648           254.4        641.763         26.699          5.026          3.127          1.656          1.126          0.235         76.713         21.253          1.285          0.334          0.072          0.081         33.846         33.718         22.806          2.290          0.430          0.048            0.000
     11/11/1989           1989          9.000           10.515            6.666              1.043              -0.381          9.471          7.048           0.000           0.000        638.310        305.830         49.100         66.682          0.000          0.000       -221.698       -202.344           200.000             4.979          109.1          101.3            123.6            102.1       3103.650       2450.431         24.000        10011.8        21377.1          23.66              ?        142.000         65.000                  0.000                  18.000           30.1        680.792           49.2        614.307           230.2        688.230         16.456          6.493          3.600          2.017          1.119          0.213         42.264          6.950          0.627          0.149          0.021          0.046         30.598         13.802          3.669          0.669          0.263          0.040            0.000
