ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=1-jun;fert_amount=300;FertAmt=0;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=600
Title = Ames-Corn;cultivar=Corn_normal;date=1-jun;fert_amount=300;FertAmt=0;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           53.509           29.652              0.037              -0.524         53.472         30.176           0.000           0.000        599.700        444.750         50.511         67.670          0.000          0.000       -248.597       -211.329             0.000             4.678           79.4          115.4            113.0            122.8       3119.040       2529.990         29.000        12657.7        23502.2          26.31              ?        142.000         62.000                  0.000                  11.000          268.8        675.986           51.4        723.578           268.7        677.784        236.820         23.685          5.008          1.921          0.755          0.341         33.966         30.019          7.059          0.951          0.533          0.103         29.353         15.740          4.944          0.880          0.253          0.028            0.000
     11/11/1982           1982          9.000           78.361           27.388              3.501              -1.019         74.860         28.408           0.000           0.000        852.170        404.120         46.688         66.156          0.000          0.000        -77.254       -190.683             0.000             6.647           65.6          103.7             92.6            108.6       2883.870       2374.110         14.000        11978.1        24022.7          26.26              ?        144.000         68.000                  0.000                  12.000          217.2        762.967            3.2        717.059           209.3        687.626        146.362         53.714         10.324          3.235          2.034          0.853          7.810          0.724          0.170          0.146          0.433          0.359          2.197          0.432          0.156          0.064          0.024          0.104            0.000
     11/11/1983           1983          9.000           88.985           40.371              4.277              -1.075         84.709         41.447           0.000           0.000       1205.960        516.110         50.282         73.090          0.000          0.000        -32.050       -183.894             0.000             9.406           44.2           80.3             81.4             89.2       3293.730       2882.520         65.000         9713.9        19280.8          20.75              ?        124.000         60.000                  0.000                   7.000          200.1        744.795           43.6        680.527           227.0        710.495        148.914         35.746          8.348          3.294          2.099          0.902         25.612          6.028          1.904          1.078          1.343          0.492         24.297         13.263          3.546          0.756          0.370          0.129            0.000
     11/11/1984           1984          9.000           82.968           47.111              3.798              -0.482         79.170         47.593           0.000           0.000        971.040        440.410         47.181         67.973          0.000          0.000       -150.262       -263.674             0.000             7.574           39.9           74.7             65.0             82.1       3015.540       2671.200         33.000        11964.1        23855.1          22.89              ?        145.000         63.000                  0.000                  11.000          209.8        769.010           11.9        721.193           205.6        762.067        140.279         56.521          6.992          2.673          1.867          0.804         11.294          1.030          0.198          0.083          0.066          0.381          6.359          3.536          1.398          0.336          0.073          0.042            0.000
     11/11/1985           1985          9.000           39.352            9.368              1.977              -0.896         37.375         10.264           0.000           0.000        652.530        353.060         49.175         68.208          0.000          0.000       -207.137       -258.458             0.000             5.090           62.2          100.9             98.2            107.8       3120.119       2292.300         31.000         9259.3        21671.4          24.79              ?        124.000         68.000                  0.000                   8.000          272.1        678.442           69.7        714.345           271.3        710.763        238.229         23.673          5.425          2.655          1.322          0.455         47.309          5.318          0.785          0.256          0.145          0.097         26.837         28.911         12.484          1.142          0.229          0.030            0.000
     11/11/1986           1986          9.000           99.223           34.386              2.619              -0.943         96.604         35.329           0.000           0.000       1091.450        643.130         48.344         68.522          0.000          0.000         38.251        -91.232             0.000             8.513           72.7          112.6            105.1            116.9       3262.950       2581.020         28.000        11785.9        23921.9          24.97              ?        137.000         61.000                  0.000                   8.000          206.6        751.814            3.0        779.389           197.7        706.749        143.963         47.862          8.918          2.723          1.719          0.744          2.842          0.766          0.154          0.202          0.908          0.397          2.455          0.105          0.004          0.011          0.105          0.163            0.000
     11/11/1987           1987          9.000           66.143           30.637              1.393              -0.392         64.750         31.029           0.000           0.000        866.160        571.010         51.669         70.563          0.000          0.000       -105.161       -116.862             0.000             6.756           81.7          119.5            118.2            126.1       3446.911       2595.420         39.000        13160.0        24038.6          26.95              ?        126.000         59.000                  0.000                  14.000          260.0        738.145           31.2        715.039           253.9        694.336        170.892         73.349         11.408          2.486          1.136          0.416         49.469         13.308          4.629          1.722          0.837          0.174         16.331          7.208          5.224          1.378          0.532          0.097            0.000
     11/11/1988           1988          9.000           38.471           11.045              1.724              -0.806         36.747         11.851           0.000           0.000        591.840        376.670         50.680         71.505          0.000          0.000       -293.983       -290.859             0.000             4.616           67.8          100.1             99.5            108.1       3582.810       2863.259         61.000        10594.0        21698.0          23.44              ?        132.000         59.000                  0.000                  18.000          271.3        679.413           85.6        697.814           274.2        678.385        239.317         22.163          5.228          2.556          1.289          0.418         69.283         18.542          1.554          0.379          0.203          0.114         33.975         32.401         16.881          1.737          0.367          0.021            0.000
     11/11/1989           1989          9.000           53.250           17.244              2.005              -0.718         51.244         17.961           0.000           0.000        638.310        305.830         49.100         66.682          0.000          0.000       -237.704       -275.194             0.000             4.979           62.6          101.1             93.1            107.3       3103.650       2450.431         24.000        10340.2        22108.1          24.73              ?        142.000         65.000                  0.000                  18.000          251.1        724.339           48.4        694.240           241.3        725.826        182.815         52.979         10.591          2.502          1.355          0.486         30.833          4.446          0.594          0.136          0.052          0.124         32.240         12.081          3.177          0.597          0.177          0.025            0.000
