ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=1-may;fert_amount=0;FertAmt=100;initNAmes=SoilAmesCorn40;Residue_SOM=SOMsoy;WTDepth=600
Title = Ames-Corn;cultivar=Corn_normal;date=1-may;fert_amount=0;FertAmt=100;initNAmes=SoilAmesCorn40;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            7.933            1.390             -0.662              -0.945          8.596          2.335           0.000           0.000        599.700        416.560         50.511         68.182          0.000          0.000       -291.350       -239.163           100.000             4.678          122.0          129.0            148.8            130.7       3119.040       2627.100         27.000        11962.8        23213.5          21.32              ?        144.000         73.000                  2.000                  11.000           35.3        685.447           12.6        722.319           134.8        671.535         17.044          6.681          5.877          3.024          1.507          0.677          8.797          0.700          0.172          0.050          0.034          0.171          9.975          1.339          0.446          0.047          0.007          0.033            0.000
     11/11/1982           1982          9.000           29.041           16.866              4.292              -1.772         24.750         18.638           0.000           0.000        852.170        506.250         46.688         67.221          0.000          0.000        -52.652       -152.614           100.000             6.647          107.1          118.0            130.9            120.1       2883.870       2604.870         15.000        10231.2        21302.0          18.03              ?        151.000         78.000                  0.000                  12.000           26.9        723.841           13.3        730.034           109.4        762.999          5.053          3.965          6.319          5.412          3.490          1.462          3.676          0.280          0.080          0.079          0.678          0.693          9.506          2.015          0.548          0.119          0.148          0.254            0.000
     11/11/1983           1983          9.000           28.697           13.683              5.169              -2.309         23.528         15.992           0.000           0.000       1205.960        602.980         50.282         70.975          0.000          0.000        -15.360       -134.612           100.000             9.406           99.7          108.6            135.1            111.3       3293.730       2758.230         62.000         9156.4        18845.7          16.93              ?        131.000         76.000                  0.000                   7.000           25.9        720.208           18.9        674.450            99.6        702.511          4.859          3.504          5.581          5.227          3.730          1.630          9.035          0.520          0.191          0.646          2.350          0.992         12.284          3.091          0.865          0.370          0.456          0.355            0.000
     11/11/1984           1984          9.000           31.694           19.877              4.778              -0.782         26.917         20.659           0.000           0.000        971.040        449.320         47.181         68.800          0.000          0.000        -90.423       -146.898           100.000             7.574           92.6          103.2            119.4            105.3       3015.540       2665.260         31.000         9644.3        20141.7          16.08              ?        141.000         76.000                  0.000                  11.000           27.7        783.900           18.3        653.473           107.0        742.307          5.398          4.875          6.432          5.235          3.240          1.353          6.063          0.401          0.126          0.212          0.977          0.804         12.330          3.708          0.754          0.261          0.176          0.256            0.000
     11/11/1985           1985          9.000            9.595           -0.630              1.483              -1.543          8.112          0.913           0.000           0.000        652.530        292.600         49.175         68.965          0.000          0.000       -276.676       -311.485           100.000             5.090          107.1          113.8            129.5            115.5       3120.119       2674.080         29.000        10593.4        23371.2          19.26              ?        141.000         72.000                  0.000                   8.000           32.9        697.259           16.9        661.274           130.2        672.635         11.764          5.775          6.704          4.468          2.431          0.983          7.908          0.701          0.227          0.067          0.027          0.227         13.134          1.503          0.558          0.181          0.052          0.042            0.000
     11/11/1986           1986          9.000           33.826           22.033              3.236              -1.152         30.590         23.185           0.000           0.000       1091.450        664.960         48.344         68.772          0.000          0.000         33.603        -73.347           100.000             8.513          111.6          117.8            135.0            119.4       3262.950       2688.840         27.000        10736.0        21062.6          17.95              ?        143.000         72.000                  1.000                   8.000           30.1        768.007           13.6        783.900           106.2        743.526          7.043          6.151          6.655          5.049          2.890          1.249          4.048          0.292          0.115          0.597          2.087          0.845          8.402          2.897          0.411          0.416          0.924          0.407            0.000
     11/11/1987           1987          9.000           15.291            6.942              0.649              -1.035         14.642          7.977           0.000           0.000        866.160        613.420         51.669         71.451          0.000          0.000       -169.068       -201.476           100.000             6.756          119.4          124.9            148.9            127.1       3446.911       2767.230         47.000        10401.3        22555.7          20.34              ?        129.000         66.000                  0.000                  14.000           32.8        697.347            9.6        770.801           135.9        711.170         13.137          6.427          6.411          3.433          1.862          0.824          3.189          0.568          0.165          0.052          0.023          0.195          7.063          1.379          0.431          0.074          0.007          0.037            0.000
     11/11/1988           1988          9.000           10.872            0.024              2.546              -1.625          8.326          1.648           0.000           0.000        591.840        337.570         50.680         73.536          0.000          0.000       -321.847       -313.621           100.000             4.616           75.9           84.1            118.0             86.0       3582.810       2894.940         62.000         8527.4        19416.8          16.39              ?        123.000         65.000                  0.000                  18.000           30.5        683.903           19.6        669.372           130.2        679.282         10.219          5.474          6.218          4.290          2.672          0.908         18.029          1.005          0.276          0.107          0.033          0.173          9.857          4.961          3.341          0.485          0.076          0.015            0.000
     11/11/1989           1989          9.000           16.164            6.821              1.966              -1.488         14.198          8.309           0.000           0.000        638.310        381.260         49.100         68.130          0.000          0.000       -296.050       -291.843           100.000             4.979          110.5          118.3            135.4            120.1       3103.650       2627.190         26.000        10263.1        22145.4          19.17              ?        144.000         73.000                  1.000                  18.000           32.4        712.095           15.9        695.333           124.4        713.852         11.032          6.305          6.556          4.310          2.493          0.935          4.056          0.721          0.171          0.057          0.032          0.247         10.252          3.220          1.225          0.270          0.058          0.045            0.000
     11/11/1990           1990          9.000           37.678           28.378              3.093               1.253         34.585         27.125           0.000           0.000        998.533        693.192         49.689         70.211          0.000          0.000         26.494         23.929           100.000             7.789           97.0          105.4            130.5            107.3       3276.134       2716.270         38.000         8395.3        18136.4          15.09              ?        134.000         76.000                  1.000                  14.000           29.4        722.917           22.1        735.650           104.3        731.338          9.241          6.401          6.665          3.651          1.869          0.873          2.560          0.278          2.532          3.527          1.748          0.704         12.145          1.356          2.021          2.660          1.547          0.598            0.000
