ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=15-apr;fert_amount=0;FertAmt=150;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=600
Title = Ames-Corn;cultivar=Corn_normal;date=15-apr;fert_amount=0;FertAmt=150;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           11.668            3.784              0.471              -0.904         11.197          4.687           0.000           0.000        599.700        430.530         50.511         67.280          0.000          0.000       -189.024       -231.048           150.000             4.678           47.9           62.3             97.8             75.5       3119.040       2598.210         25.000        10815.4        22168.9          18.80              ?        149.000         82.000                  3.000                  11.000           24.8        746.874           12.3        754.124           143.4        685.313          3.212          6.040          7.429          4.332          1.642          1.093          6.084          0.542          0.136          0.040          0.025          0.311          8.525          2.460          0.401          0.022          0.011          0.086            0.000
     11/11/1982           1982          9.000           40.395           26.267              6.751              -0.989         33.644         27.257           0.000           0.000        852.170        544.610         46.688         66.657          0.000          0.000         51.963        -86.603           150.000             6.647           45.3           55.9             86.4             71.4       2883.870       2562.390         15.000         9042.5        19820.0          16.03              ?        152.000         87.000                  2.000                  12.000           24.9        760.011           13.4        748.467           127.1        763.574          1.710          3.474          6.353          5.841          4.128          1.812          2.417          0.371          0.068          0.077          1.413          1.071          9.899          1.152          0.352          0.090          0.270          0.527            0.000
     11/11/1983           1983          9.000           38.610           22.116              7.054              -1.812         31.556         23.928           0.000           0.000       1205.960        597.910         50.282         68.222          0.000          0.000         61.789        -85.994           150.000             9.406           43.7           53.0             99.7             68.1       3293.730       2652.030         57.000         8851.7        18236.4          15.45              ?        140.000         87.000                  6.000                   7.000           23.2        783.900           21.8        695.251           118.6        756.936          1.301          2.962          5.641          5.557          4.207          1.920          5.112          0.363          0.152          1.382          2.776          1.315         10.500          5.552          1.197          0.951          1.512          0.576            0.000
     11/11/1984           1984          9.000           41.430           28.161              6.999              -0.310         34.431         28.471           0.000           0.000        971.040        525.520         47.181         67.105          0.000          0.000         -3.227        -92.760           150.000             7.574           40.1           50.4             87.2             65.1       3015.540       2592.720         29.000         8927.6        19027.3          15.07              ?        148.000         86.000                  0.000                  11.000           24.3        783.900           17.0        646.290           122.2        756.436          1.415          3.711          6.347          5.737          3.949          1.707          3.249          0.334          0.170          0.423          2.233          1.218         12.478          1.673          0.587          0.272          0.346          0.467            0.000
     11/11/1985           1985          9.000           16.756            4.889              3.542              -1.911         13.214          6.800           0.000           0.000        652.530        313.680         49.175         68.366          0.000          0.000       -200.198       -296.478           150.000             5.090           38.8           52.7             90.1             67.5       3120.119       2644.650         26.000         9885.9        22354.6          17.60              ?        144.000         78.000                  0.000                   8.000           24.3        747.262           14.1        700.462           134.7        699.558          1.894          4.046          6.790          5.502          3.403          1.454          6.129          0.558          0.143          0.045          0.036          0.394         10.330          1.646          0.580          0.162          0.049          0.081            0.000
     11/11/1986           1986          9.000           45.242           33.396              5.476              -0.166         39.766         33.562           0.000           0.000       1091.450        617.980         48.344         67.739          0.000          0.000        118.373        -16.782           150.000             8.513           43.5           54.4             92.8             68.7       3262.950       2595.510         27.000         9186.2        18928.3          15.35              ?        144.000         79.000                  3.000                   8.000           25.5        766.964           13.9        754.885           117.3        779.658          2.346          4.294          6.775          5.670          3.565          1.532          2.321          0.340          0.029          0.223          2.714          1.161          8.263          1.932          0.247          0.141          1.405          0.761            0.000
     11/11/1987           1987          9.000           23.286           11.455              2.922              -1.203         20.364         12.658           0.000           0.000        866.160        611.390         51.669         70.533          0.000          0.000        -67.172       -176.076           150.000             6.756           53.2           64.1            104.2             78.7       3446.911       2765.970         47.000         9323.1        20877.3          18.06              ?        134.000         72.000                  0.000                  14.000           24.5        780.525           13.3        783.900           134.0        690.914          2.482          5.036          6.850          5.033          2.786          1.222          4.557          0.593          0.156          0.082          0.083          0.481          8.878          3.395          0.768          0.145          0.021          0.110            0.000
     11/11/1988           1988          9.000           14.981            2.242              4.034              -2.028         10.946          4.270           0.000           0.000        591.840        347.480         50.680         70.897          0.000          0.000       -243.573       -303.026           150.000             4.616           13.5           21.5             72.5             34.9       3582.810       2814.570         62.000         8311.6        19807.0          15.26              ?        132.000         76.000                  4.000                  18.000           25.1        736.493           14.4        680.535           137.2        679.344          2.815          4.405          6.487          5.351          3.427          1.409          8.991          0.779          0.261          0.103          0.042          0.290          5.447          5.269          2.575          0.208          0.059          0.031            0.000
     11/11/1989           1989          9.000           25.879           13.202              4.481              -1.886         21.399         15.089           0.000           0.000        638.310        399.040         49.100         67.895          0.000          0.000       -157.282       -222.450           150.000             4.979           50.7           62.0             98.3             77.6       3103.650       2643.210         28.000         9787.6        21157.3          17.34              ?        146.000         83.000                  3.000                  18.000           24.5        735.203           17.7        681.878           134.0        715.544          2.910          3.859          6.115          5.353          3.525          1.480          7.077          0.600          0.142          0.084          0.099          0.557         12.648          2.951          0.573          0.191          0.083          0.152            0.000
