ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=15-apr;fert_amount=300;FertAmt=0;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1800
Title = Ames-Corn;cultivar=Corn_normal;date=15-apr;fert_amount=300;FertAmt=0;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           10.242            6.050              0.140              -0.302         10.102          6.352           0.000           0.000        599.700        430.530         50.511         67.280          0.000          0.000       -146.632        -77.804             0.000             4.678           85.6          101.5            130.0            103.6       3119.040       2598.210         25.000        12380.1        23678.9          26.42              ?        149.000         82.000                  3.000                  11.000          164.2        617.887          110.6        533.520           314.8        609.003        149.364          7.909          3.667          1.793          0.871          0.333         72.665         22.730          1.140          0.484          0.337          0.122         45.616         48.293         14.580          0.689          0.310          0.090            0.000
     11/11/1982           1982          9.000           28.926           20.589              5.586               1.338         23.340         19.251           0.000           0.000        852.170        544.610         46.688         66.657          0.000          0.000          9.970        -32.499             0.000             6.647           88.0          107.6            126.8            110.3       2883.870       2562.390         15.000        13768.2        27903.7          30.29              ?        152.000         87.000                  2.000                  12.000           63.7        655.704           48.0        515.833           264.7        666.434         42.540          7.297          6.064          3.723          2.509          0.896         19.664         17.099          4.703          0.815          0.346          0.294         31.597         11.692          2.931          0.639          0.125          0.043            0.000
     11/11/1983           1983          9.000           58.476           26.284             32.774               8.755         25.702         17.530           0.000           0.000       1205.960        597.910         50.282         68.222          0.000          0.000        215.072         50.997             0.000             9.406           70.2           82.3            119.9             85.0       3293.730       2652.030         57.000        10010.5        21690.8          24.55              ?        140.000         87.000                  6.000                   7.000           64.5        732.589           79.3        552.892           235.6        675.783         21.229         18.157         12.855          6.431          3.485          1.297         28.414         17.232         19.952         11.683          5.540          2.266         28.526         24.719         10.863          6.903          4.899          1.333            0.000
     11/11/1984           1984          9.000           36.716           26.648             11.467               5.111         25.249         21.536           0.000           0.000        971.040        525.520         47.181         67.105          0.000          0.000         70.412         25.824             0.000             7.574           56.1           71.2             95.1             74.0       3015.540       2592.720         29.000        10462.6        23299.7          25.79              ?        148.000         86.000                  0.000                  11.000           56.6        684.950           54.3        463.269           251.1        677.747         36.171          8.886          4.877          3.081          2.165          0.798         28.495         16.759          9.473          3.709          2.238          0.919         29.591         13.000          6.635          1.929          1.410          0.647            0.000
     11/11/1985           1985          9.000           19.584            1.928             12.161              -0.508          7.423          2.436           0.000           0.000        652.530        313.680         49.175         68.366          0.000          0.000       -190.520       -222.254             0.000             5.090           52.7           67.1             97.1             69.7       3120.119       2644.650         26.000        11832.5        25196.6          26.37              ?        144.000         78.000                  0.000                   8.000           97.7        629.369           72.1        520.265           299.8        613.872         80.362          6.861          4.865          2.841          1.737          0.570         63.973          8.976          0.692          0.309          0.051          0.024         38.394         25.043          6.874          0.351          0.047          0.009            0.000
     11/11/1986           1986          9.000           63.849           28.924             29.650               1.367         34.199         27.557           0.000           0.000       1091.450        617.980         48.344         67.739          0.000          0.000        137.183        -17.831             0.000             8.513          109.4          124.5            155.0            127.0       3262.950       2595.510         27.000        13402.8        25212.8          28.11              ?        144.000         79.000                  3.000                   8.000          136.5        672.492           88.6        596.020           273.4        707.126        107.316         17.469          5.917          2.977          1.755          0.606         31.222         38.271         20.079          3.453          1.666          0.491         34.909         27.374         20.251          3.328          1.371          0.262            0.000
     11/11/1987           1987          9.000           44.224           15.484             23.250              -0.123         20.973         15.607           0.000           0.000        866.160        611.390         51.669         70.533          0.000          0.000        -62.417        -60.502             0.000             6.756           83.5           94.7            131.4             97.2       3446.911       2765.970         47.000        10005.4        22068.2          24.95              ?        134.000         72.000                  0.000                  14.000          122.0        664.781          106.8        621.446           302.7        614.955        100.323         13.836          3.858          2.162          1.192          0.365         65.163         27.376          3.631          0.676          0.174          0.121         27.696         39.377         35.959          3.406          0.265          0.119            0.000
     11/11/1988           1988          9.000           25.122            3.916              8.073              -0.798         17.049          4.714           0.000           0.000        591.840        347.480         50.680         70.897          0.000          0.000       -116.440       -133.382             0.000             4.616           77.1           64.5            111.9             66.5       3582.810       2814.570         62.000         5291.6        14464.7          18.59              ?        132.000         76.000                  4.000                  18.000          145.5        615.541          153.6        571.216           303.1        602.340        126.968          7.520          5.108          2.811          2.009          0.625        134.890          8.251          1.394          0.785          0.337          0.150         53.229         66.855         31.878          0.835          0.396          0.107            0.000
     11/11/1989           1989          9.000           17.365           10.760              2.361              -0.323         15.004         11.084           0.000           0.000        638.310        399.040         49.100         67.895          0.000          0.000       -107.851       -123.169             0.000             4.979           50.5           64.0             90.8             67.0       3103.650       2643.210         28.000        11162.6        24094.0          26.41              ?        146.000         83.000                  3.000                  18.000           92.2        620.702           60.7        471.258           294.1        630.876         75.394          6.801          4.509          2.715          1.826          0.575         56.029         18.503          2.215          0.484          0.091          0.054         39.855         17.202          2.194          0.505          0.106          0.039            0.000
