ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=15-may;fert_amount=0;FertAmt=200;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=600
Title = Ames-Corn;cultivar=Corn_normal;date=15-may;fert_amount=0;FertAmt=200;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           10.797            6.144              0.254              -0.395         10.543          6.539           0.000           0.000        599.700        430.030         50.511         69.102          0.000          0.000       -238.468       -222.111           200.000             4.678           70.8           84.4            109.9             94.6       3119.040       2674.800         29.000        13115.0        24122.6          24.25              ?        140.000         65.000                  0.000                  11.000           14.6        686.349           14.0        710.856           188.5        672.961          4.096          3.310          3.714          1.989          0.785          0.417          3.902          1.819          0.201          0.057          0.048          0.122         10.589          1.894          0.567          0.178          0.021          0.030            0.000
     11/11/1982           1982          9.000           33.809           26.099              2.961              -1.003         30.848         27.103           0.000           0.000        852.170        482.880         46.688         66.491          0.000          0.000        -59.491       -174.453           200.000             6.647           65.6           76.5             93.3             85.7       2883.870       2573.190         14.000        11991.4        24139.8          21.32              ?        155.000         73.000                  0.000                  12.000           13.7        757.225           11.2        732.151           154.2        740.734          1.471          2.907          3.354          2.574          1.890          0.811          4.305          0.699          0.126          0.212          0.815          0.404          8.131          1.967          0.540          0.117          0.056          0.107            0.000
     11/11/1983           1983          9.000           40.792           30.850              3.862              -0.773         36.930         31.622           0.000           0.000       1205.960        556.000         50.282         72.243          0.000          0.000         19.346       -122.993           200.000             9.406           27.8           40.4             72.1             52.7       3293.730       2804.580         64.000         8611.7        18632.2          17.04              ?        126.000         69.000                  0.000                   7.000           12.6        752.388           18.3        669.557           166.9        727.378          1.584          2.299          2.669          2.472          1.928          0.876          6.334          0.944          0.223          0.310          1.140          0.534         13.224          2.759          0.763          0.300          0.211          0.200            0.000
     11/11/1984           1984          9.000           47.488           39.131              3.662              -0.569         43.826         39.700           0.000           0.000        971.040        478.780         47.181         70.119          0.000          0.000        -74.218       -180.518           200.000             7.574           32.7           45.8             68.5             57.8       3015.540       2725.650         33.000         9819.0        21360.9          17.18              ?        135.000         68.000                  0.000                  11.000           12.4        737.571           15.0        674.800           160.2        748.723          1.794          1.927          2.647          2.531          1.910          0.851          4.389          0.501          0.130          0.123          0.305          0.472         10.910          2.609          0.657          0.231          0.104          0.119            0.000
     11/11/1985           1985          9.000            9.053            2.407              1.638              -0.833          7.414          3.240           0.000           0.000        652.530        365.260         49.175         67.840          0.000          0.000       -244.799       -318.864           200.000             5.090           57.9           69.0             89.5             77.2       3120.119       2550.060         31.000        11387.6        24459.4          22.67              ?        141.000         68.000                  0.000                   8.000           15.1        699.319           12.3        721.632           185.5        673.485          3.069          3.238          3.833          2.545          1.439          0.554          9.863          0.871          0.231          0.075          0.018          0.095          5.972          4.256          1.512          0.279          0.047          0.010            0.000
     11/11/1986           1986          9.000           35.363           27.959              2.265              -0.974         33.098         28.933           0.000           0.000       1091.450        626.100         48.344         69.518          0.000          0.000         52.614        -85.456           200.000             8.513           64.2           76.2             99.3             83.4       3262.950       2693.430         28.000        12473.5        23248.9          21.59              ?        138.000         65.000                  0.000                   8.000           12.2        778.998            8.1        783.900           164.8        724.573          1.456          2.355          2.820          2.487          1.717          0.743          3.892          0.514          0.268          0.943          1.237          0.490          6.178          0.943          0.221          0.098          0.367          0.204            0.000
     11/11/1987           1987          9.000           18.777           12.722              1.313              -0.660         17.464         13.382           0.000           0.000        866.160        645.680         51.669         70.673          0.000          0.000       -102.305       -159.864           200.000             6.756           77.3           88.8            115.0            101.1       3446.911       2811.510         41.000        12545.0        24686.5          23.89              ?        136.000         67.000                  0.000                  14.000           15.8        692.474           11.1        750.718           179.0        707.546          4.491          3.335          3.644          2.203          1.254          0.503          6.539          0.508          0.139          0.055          0.074          0.176          8.687          1.420          0.157          0.000          0.002          0.070            0.000
     11/11/1988           1988          9.000           10.394            2.678              1.835              -0.821          8.559          3.499           0.000           0.000        591.840        332.990         50.680         73.579          0.000          0.000       -278.404       -295.888           200.000             4.616           37.7           50.0             84.3             60.2       3582.810       2947.410         64.000         9270.1        19575.9          20.42              ?        125.000         63.000                  0.000                  18.000           15.0        691.048           22.1        658.657           190.3        690.862          3.172          3.241          3.716          2.479          1.423          0.516          9.185          2.816          0.305          0.078          0.023          0.107         15.753          3.212          1.575          0.382          0.109          0.044            0.000
     11/11/1989           1989          9.000           19.592           13.352              2.065              -0.796         17.527         14.148           0.000           0.000        638.310        381.770         49.100         68.193          0.000          0.000       -249.176       -288.817           200.000             4.979           52.3           66.0             89.3             76.1       3103.650       2642.311         26.000        11267.0        23022.2          21.49              ?        144.000         66.000                  0.000                  18.000           14.1        707.510           12.4        683.858           171.3        715.192          2.798          3.181          3.442          2.172          1.477          0.570          6.637          0.862          0.175          0.059          0.024          0.152          9.956          1.292          0.555          0.202          0.050          0.016            0.000
     11/11/1990           1990          9.000           50.358           44.439              2.316               0.705         48.042         43.734           0.000           0.000        998.533        628.422         49.689         71.063          0.000          0.000         38.470          6.506           200.000             7.789           55.0           69.5             95.4             79.7       3276.134       2802.270         40.000         9302.4        19758.6          17.62              ?        133.000         71.000                  0.000                  14.000           12.7        771.983           23.7        713.113           160.0        722.121          1.430          3.302          3.667          2.139          1.179          0.507          2.338          0.277          5.438          2.456          1.147          0.473         12.560          2.384          4.125          2.760          0.880          0.299            0.000
     11/11/1991           1991          9.000           36.977           28.994              3.365              -0.717         33.612         29.711           0.000           0.000        821.349        251.633         50.164         74.489          0.000          0.000       -151.086       -207.797           200.000             6.407           37.7           50.7             86.0             59.9       3619.281       2963.225         54.000        10528.9        22121.4          18.45              ?        121.000         59.000                  0.000                  20.000           12.3        744.772           16.6        629.274           169.2        757.736          1.810          1.871          2.647          2.547          1.899          0.845         11.222          0.913          0.231          0.144          0.178          0.440         12.696          1.681          0.684          0.239          0.087          0.100            0.000
     11/11/1992           1992          9.000           12.575            5.580              3.462              -0.930          9.113          6.510           0.000           0.000        879.812        499.312         49.338         63.780          0.000          0.000         51.532        -78.580           200.000             6.863           41.6           49.2             70.0             62.3       2533.040       2210.363         11.000        11853.9        23948.6          21.58              ?        156.000         77.000                  0.000                  14.000           13.5        704.218            1.7        731.972           179.1        673.530          2.935          2.320          2.665          2.271          1.823          0.828          1.850          0.205          0.000          0.324          1.047          0.439          0.538          0.087          0.045          0.169          0.552          0.253            0.000
     11/11/1993           1993          9.000           55.745           46.926              5.858               0.738         49.887         46.188           0.000           0.000       1370.990        949.405         46.812         67.290          0.000          0.000        208.276         34.283           200.000            10.694           41.4           50.5             67.1             58.8       2849.719       2576.228         31.000        10103.6        18427.8          17.75              ?        149.000         74.000                  0.000                  17.000           11.4        767.850           10.1        773.563           155.2        755.645          1.185          1.723          2.268          2.398          2.015          0.967          3.152          0.507          1.159          2.468          1.499          0.760          6.691          0.479          0.027          0.545          1.110          0.577            0.000
     11/11/1994           1994          9.000           19.950           13.794              1.105              -0.739         18.845         14.533           0.000           0.000        681.161        413.945         48.850         68.462          0.000          0.000       -175.376       -223.131           200.000             5.313           67.3           80.5            101.3             90.3       3004.924       2658.552         32.000        12089.5        25691.4          22.45              ?        144.000         66.000                  0.000                   7.000           13.3        730.067           14.6        714.449           177.9        720.337          2.038          3.278          3.727          2.116          1.233          0.493          4.561          0.699          0.137          0.077          0.109          0.174          9.941          2.857          0.898          0.227          0.041          0.044            0.000
     11/11/1995           1995          9.000           22.655           15.113              2.814              -1.096         19.841         16.209           0.000           0.000        751.645        355.645         48.086         67.404          0.000          0.000       -109.561       -203.722           200.000             5.863           68.0           78.4             96.9             89.0       2764.728       2643.191         35.000        11427.9        23925.7          22.14              ?        150.000         76.000                  0.000                  15.000           10.9        772.679           11.8        706.170           165.3        700.660          0.706          1.638          2.694          2.516          1.848          0.816          4.590          0.402          0.111          0.094          0.308          0.328          8.362          1.736          0.550          0.213          0.077          0.088            0.000
     11/11/1996           1996          9.000           48.100           42.613              1.853              -0.188         46.247         42.801           0.000           0.000        848.413        529.617         46.596         66.488          0.000          0.000        -30.442        -96.322           200.000             6.618           50.1           60.0             75.3             71.6       2735.663       2556.950         20.000        10858.2        22889.2          18.67              ?        154.000         69.000                  0.000                  14.000           13.2        766.244            8.3        745.100           151.2        727.402          1.351          3.437          3.838          2.272          1.354          0.545          2.697          0.388          0.089          0.102          0.553          0.336          6.679          0.760          0.032          0.006          0.025          0.132            0.000
     11/11/1997           1997          9.000           17.015            8.681              3.266              -1.209         13.749          9.890           0.000           0.000        698.516        307.848         47.187         69.055          0.000          0.000       -162.466       -272.216           200.000             5.448           53.7           65.6             88.0             78.1       2964.064       2705.812         40.000        11727.9        24048.5          21.43              ?        142.000         70.000                  0.000                  12.000           12.9        732.884           17.5        662.041           172.3        686.800          2.002          2.440          2.580          2.400          1.903          0.860          5.169          0.611          0.150          0.061          0.031          0.270         13.101          2.260          0.614          0.194          0.059          0.034            0.000
     11/11/1998           1998          9.000           50.245           42.368              3.106              -0.804         47.138         43.171           0.000           0.000        881.628        499.110         50.291         70.642          0.000          0.000        -33.407       -124.053           200.000             6.877           60.6           73.0            100.5             84.8       3285.676       2789.189         33.000        10563.7        22065.0          18.72              ?        135.000         68.000                  0.000                   7.000           13.8        717.984           17.8        652.805           162.5        771.040          2.603          2.764          2.790          2.345          1.806          0.803          6.134          0.445          0.175          0.330          1.105          0.503         13.345          1.742          0.677          0.266          0.202          0.172            0.000
     11/11/1999           1999          9.000           45.635           40.223              1.411              -0.507         44.224         40.730           0.000           0.000        916.920        581.154         50.120         67.977          0.000          0.000        -49.554        -88.447           200.000             7.152           63.0           77.0            101.0             86.8       2964.396       2622.553         32.000        11581.7        23254.7          19.97              ?        144.000         68.000                  0.000                  12.000           11.6        776.471           10.2        729.961           160.4        783.900          1.202          2.427          3.302          2.357          1.326          0.560          5.350          0.473          0.207          0.405          1.004          0.388          7.276          1.530          0.535          0.181          0.196          0.151            0.000
     11/11/2000           2000          9.000           26.115           21.069              1.266              -0.666         24.849         21.735           0.000           0.000        560.980        324.538         51.136         68.696          0.000          0.000       -271.454       -246.596           200.000             4.376           65.7           79.1            109.5             92.1       3235.177       2677.521         32.000        11671.1        24250.9          21.40              ?        143.000         72.000                  0.000                  10.000           16.0        683.302           16.4        612.219           176.2        711.620          4.571          3.103          3.807          2.439          1.255          0.470          5.432          0.452          0.126          0.077          0.122          0.167         13.086          1.632          0.776          0.293          0.102          0.035            0.000
     11/11/2001           2001          9.000           36.708           28.987              3.264              -0.512         33.445         29.500           0.000           0.000        726.898        362.456         46.582         68.551          0.000          0.000       -112.560       -226.722           200.000             5.670           52.7           63.6             81.9             71.3       3084.816       2657.533         39.000        11033.5        22178.4          20.07              ?        143.000         70.000                  0.000                   9.000           12.0        771.420           11.7        712.310           157.4        751.642          1.032          2.407          2.703          2.490          1.840          0.811          7.762          0.708          0.170          0.064          0.039          0.375          8.908          1.381          0.586          0.194          0.041          0.074            0.000
     11/11/2002           2002          9.000           22.247           16.085              1.559              -0.644         20.688         16.730           0.000           0.000        724.612        387.604         49.940         69.821          0.000          0.000       -168.755       -200.391           200.000             5.652           64.7           78.4            100.8             88.5       3067.122       2737.414         45.000        12152.9        24265.3          21.84              ?        138.000         66.000                  0.000                  21.000           12.3        767.361           17.4        660.810           171.1        748.010          1.765          2.573          3.340          2.278          1.333          0.544          6.310          0.549          0.142          0.078          0.179          0.233         13.000          2.394          0.768          0.263          0.095          0.061            0.000
     11/11/2003           2003          9.000           24.993           20.602              0.499              -0.643         24.494         21.244           0.000           0.000        762.244        418.520         47.711         66.697          0.000          0.000       -182.217       -186.068           200.000             5.946           53.6           66.8             83.5             76.3       2896.081       2576.519         25.000        11401.0        24485.2          20.61              ?        153.000         74.000                  0.000                  15.000           12.0        781.607           11.5        695.225           165.7        705.055          1.140          3.149          3.693          2.084          1.036          0.482          4.124          0.336          0.118          0.179          0.615          0.242          8.627          1.373          0.613          0.253          0.118          0.058            0.000
     11/11/2004           2004          9.000           39.936           33.427              2.970              -0.634         36.965         34.061           0.000           0.000        782.783        494.544         48.235         63.293          0.000          0.000        -88.396       -190.600           200.000             6.106           65.5           72.8             88.6             82.1       2714.813       2411.252          6.000        11402.3        24374.6          20.31              ?        174.000         76.000                  0.000                  10.000           13.4        740.823           10.1        759.644           164.4        736.003          1.781          2.893          3.209          2.402          1.744          0.746          2.568          0.322          0.102          0.084          0.142          0.342          5.841          3.123          0.740          0.176          0.053          0.078            0.000
     11/11/2005           2005          9.000           25.589           17.906              2.820              -0.720         22.768         18.626           0.000           0.000        808.621        483.490         50.179         69.826          0.000          0.000       -111.645       -198.050           200.000             6.307           68.7           82.4            108.0             93.9       3247.023       2739.340         35.000        11716.4        24546.0          22.29              ?        138.000         68.000                  0.000                  12.000           13.4        778.323           15.0        733.019           171.5        706.914          1.881          2.914          3.285          2.352          1.692          0.715          3.791          0.734          0.163          0.073          0.037          0.265          9.671          3.630          1.064          0.234          0.036          0.050            0.000
     11/11/2006           2006          9.000           11.335            3.588              2.523              -0.929          8.812          4.517           0.000           0.000        622.522        306.578         49.283         69.537          0.000          0.000       -189.453       -282.726           200.000             4.856           67.6           77.6             97.7             87.6       3110.728       2760.117         34.000        11606.9        23965.2          23.44              ?        141.000         67.000                  0.000                  17.000           13.4        733.890           12.4        716.687           179.8        681.850          1.974          3.009          3.157          2.361          1.656          0.685          7.710          0.781          0.203          0.055          0.024          0.169          8.331          2.080          0.832          0.225          0.033          0.020            0.000
     11/11/2007           2007          9.000           31.346           21.948              3.528              -0.794         27.819         22.742           0.000           0.000        977.677        414.299         50.363         70.924          0.000          0.000        -79.191       -220.909           200.000             7.626           60.9           74.2            103.3             84.5       3480.379       2784.121         36.000        10625.0        23211.2          21.15              ?        133.000         66.000                  0.000                  11.000           12.8        745.166           14.1        706.063           161.6        726.989          2.111          2.174          2.548          2.467          1.905          0.862          6.026          0.795          0.189          0.066          0.034          0.297         10.597          1.721          0.570          0.192          0.039          0.070            0.000
     11/11/2008           2008          9.000           45.723           37.596              2.712              -1.041         43.011         38.637           0.000           0.000       1119.630        702.566         46.589         67.562          0.000          0.000         47.452        -89.082           200.000             8.733           52.1           63.0             81.0             73.8       2875.694       2616.781         17.000        10966.5        22631.3          19.18              ?        149.000         69.000                  0.000                   7.000           11.8        760.363           12.0        757.611           137.3        783.466          1.145          1.862          2.839          2.603          1.864          0.812          2.719          0.232          0.034          0.020          1.193          0.537          7.839          2.566          0.401          0.116          0.355          0.218            0.000
     11/11/2009           2009          9.000           32.643           25.800              3.021              -0.731         29.621         26.531           0.000           0.000        837.778        368.589         46.496         65.783          0.000          0.000        -59.799       -186.291           200.000             6.535           55.3           65.6             82.2             75.5       2659.370       2419.184         11.000        11613.1        24327.1          20.80              ?        150.000         73.000                  0.000                  12.000           12.3        761.986            5.7        735.284           159.5        745.275          1.378          2.476          2.801          2.446          1.795          0.786          4.806          0.408          0.112          0.056          0.078          0.334          3.688          1.288          0.439          0.083          0.025          0.097            0.000
     11/11/2010           2010          9.000           49.869           39.876              4.548              -0.111         45.321         39.986           0.000           0.000       1233.415        833.882         49.191         71.600          0.000          0.000        149.701        -10.478           200.000             9.621           57.3           67.1             97.4             76.6       3371.171       2808.026         30.000        10190.8        20942.8          18.94              ?        130.000         65.000                  0.000                   8.000           12.6        777.765           12.7        783.900           171.9        738.363          1.138          2.269          2.837          2.625          2.032          0.920          3.749          0.361          0.315          1.410          1.509          0.654          8.875          1.878          0.093          0.198          0.924          0.477            0.000
     11/11/2011           2011          9.000           38.316           31.287              2.145              -1.558         36.170         32.844           0.000           0.000        645.426        305.054         47.379         68.008          0.000          0.000        -72.809       -137.326           200.000             5.034           57.5           67.3             87.7             79.1       2892.067       2633.901         20.000        11238.8        21673.3          19.64              ?        146.000         70.000                  0.000                   9.000           12.9        744.529           14.6        664.620           165.7        752.989          1.641          2.663          2.909          2.457          1.820          0.790          4.548          0.359          0.190          0.714          1.252          0.500         10.572          1.383          0.583          0.388          0.439          0.148            0.000
     11/11/2012           2012          9.000           13.167            5.733              2.480              -0.932         10.687          6.665           0.000           0.000        656.830        243.570         53.794         73.843          0.000          0.000       -265.500       -265.537           200.000             5.123           38.1           49.4             94.1             56.0       3824.910       2885.040         63.000        11518.0        22588.9          20.47              ?        121.000         61.000                  0.000                  12.000           11.9        744.133           16.4        575.192           187.2        681.591          1.773          2.068          2.618          2.369          1.689          0.738         31.542          1.717          0.307          0.113          0.055          0.252         13.042          1.359          0.452          0.249          0.081          0.041            0.000
     11/11/2013           2013          9.000           39.314           33.726              2.283              -0.366         37.031         34.092           0.000           0.000        609.810        246.888         49.222         70.876          0.000          0.000       -220.702       -221.656           200.000             4.756           25.8           43.0             68.2             54.1       3236.383       2797.387         44.000         9513.9        21523.9          17.18              ?        134.000         66.000                  0.000                  10.000           11.5        757.613           16.8        615.414           151.9        750.907          1.270          1.905          3.042          2.485          1.570          0.659          6.907          0.655          0.183          0.080          0.042          0.266         12.864          2.170          0.842          0.284          0.085          0.034            0.000
     11/11/2014           2014          9.000           53.621           48.249              1.886              -0.169         51.735         48.418           0.000           0.000        976.400        713.486         46.448         66.681          0.000          0.000         82.964          1.230           200.000             7.616           47.0           57.3             75.0             68.1       2892.580       2605.408         15.000        10129.3        20928.4          17.76              ?        154.000         72.000                  0.000                   4.000           12.4        768.788            6.9        782.068           150.9        746.054          1.480          2.732          3.270          2.437          1.405          0.598          4.693          0.401          0.332          0.899          1.207          0.470          5.327          0.497          0.021          0.064          0.362          0.263            0.000
     11/11/2015           2015          9.000           39.940           33.533              2.063              -0.447         37.877         33.980           0.000           0.000        968.899        713.496         49.255         69.167          0.000          0.000         42.419        -43.846           200.000             7.557           58.9           72.6             95.8             81.4       3202.227       2714.232         24.000        11362.7        23320.5          20.12              ?        141.000         70.000                  0.000                   5.000           13.2        752.911           10.6        770.229           166.2        757.719          1.681          3.126          3.522          2.310          1.453          0.591          3.349          0.355          0.133          0.183          0.790          0.352          8.755          1.258          0.033          0.006          0.074          0.193            0.000
