ApsimVersion = 7.8
factors = cultivar=Corn_short;date=1-jun;fert_amount=0;FertAmt=150;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=1800
Title = Ames-Corn;cultivar=Corn_short;date=1-jun;fert_amount=0;FertAmt=150;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            9.523            5.662              1.484              -0.512          8.039          6.173           0.000           0.000        599.700        431.290         50.511         68.375          0.000          0.000       -105.256        -75.003           150.000             4.678           79.1           90.4            114.9             98.1       3119.040       2510.460         29.000        10348.8        20795.3          22.05              ?        136.000         61.000                  0.000                  11.000           38.1        617.549           15.4        592.695           176.8        614.520          9.115          9.227          9.996          5.421          2.432          1.062          4.068          1.628          0.494          0.151          0.044          0.092         10.889          2.538          0.842          0.353          0.116          0.022            0.000
     11/11/1982           1982          9.000           27.506            6.870             19.292               0.598          8.214          6.272           0.000           0.000        852.170        404.120         46.688         66.156          0.000          0.000         97.944        -41.998           150.000             6.647           68.8           77.9             94.8             82.9       2883.870       2374.110         14.000        10401.6        22487.8          19.96              ?        144.000         68.000                  0.000                  12.000           32.1        699.401           10.1        575.364           152.6        631.900          2.019          3.319          6.122          7.191          7.036          3.410          5.966          0.682          0.206          0.072          0.020          0.170          7.111          1.900          0.543          0.256          0.085          0.015            0.000
     11/11/1983           1983          9.000           44.421           17.001             30.656               5.442         13.765         11.559           0.000           0.000       1205.960        516.110         50.282         73.567          0.000          0.000        291.165         32.790           150.000             9.406           36.6           48.9             79.9             58.0       3293.730       2729.610         64.000         7263.2        17379.5          15.19              ?        115.000         60.000                  0.000                   7.000           25.9        681.156           17.8        575.819           149.2        648.107          1.819          2.398          3.877          4.834          5.686          3.642          6.400          0.874          0.366          0.391          0.580          2.890          9.229          4.779          0.691          0.370          0.261          0.979            0.000
     11/11/1984           1984          9.000           33.371           10.946             23.116               2.491         10.254          8.456           0.000           0.000        971.040        377.930         47.181         69.702          0.000          0.000        172.218          4.500           150.000             7.574           19.1           31.4             51.5             38.9       3015.540       2588.760         33.000         7881.2        19407.4          15.48              ?        130.000         63.000                  0.000                  11.000           29.9        702.836           10.1        483.012           146.8        713.545          1.864          3.220          5.397          6.230          6.642          3.459          7.342          0.863          0.271          0.104          0.024          0.222          7.128          2.017          0.293          0.133          0.047          0.014            0.000
     11/11/1985           1985          9.000           14.491            0.873              9.566              -1.729          4.924          2.602           0.000           0.000        652.530        353.060         49.175         68.208          0.000          0.000         -5.372        -60.506           150.000             5.090           49.4           55.7             83.6             62.7       3120.119       2292.300         31.000         7117.3        17430.1          18.35              ?        124.000         68.000                  0.000                   8.000           39.9        614.762           21.8        543.614           178.3        643.603          8.017          7.358          8.768          6.564          5.521          1.980         12.118          1.785          0.327          0.186          0.019          0.035         10.886          8.600          1.748          0.303          0.099          0.027            0.000
     11/11/1986           1986          9.000           30.734           10.999             18.790               1.414         11.944          9.586           0.000           0.000       1091.450        643.130         48.344         68.522          0.000          0.000        171.019        -17.415           150.000             8.513           86.8           96.9            118.8            101.4       3262.950       2581.020         28.000        10471.8        22627.5          21.48              ?        137.000         61.000                  0.000                   8.000           33.2        688.000           13.5        716.993           160.9        634.763          2.750          3.629          6.649          7.228          6.985          3.239          2.871          1.015          0.187          0.069          0.021          0.196          5.983          4.055          2.250          0.843          0.193          0.035            0.000
     11/11/1987           1987          9.000           15.925            5.822              7.788              -0.069          8.137          5.891           0.000           0.000        866.160        571.010         51.669         70.563          0.000          0.000         -1.102        -44.402           150.000             6.756           90.5           98.0            125.0            104.7       3446.911       2595.420         39.000        11306.8        21998.8          23.07              ?        126.000         59.000                  0.000                  14.000           39.5        668.898           13.2        644.107           179.4        636.040          6.214          8.877         10.156          6.746          4.710          1.549         14.670          2.837          0.724          0.209          0.062          0.340          9.829          1.458          0.653          0.306          0.080          0.071            0.000
     11/11/1988           1988          9.000           15.306            2.454              9.747              -1.424          5.559          3.878           0.000           0.000        591.840        355.340         50.680         73.510          0.000          0.000        -10.319        -61.570           150.000             4.616           49.4           54.3             88.5             62.6       3582.810       2774.159         61.000         7414.3        16736.4          17.26              ?        118.000         59.000                  0.000                  18.000           39.3        615.911           34.5        517.466           181.5        612.914          8.319          7.531          8.696          6.240          5.198          1.794         28.780          8.155          1.012          0.486          0.057          0.225         16.911         10.943          4.625          0.857          0.130          0.097            0.000
     11/11/1989           1989          9.000           15.429            2.440             10.321              -0.969          5.108          3.409           0.000           0.000        638.310        305.830         49.100         66.682          0.000          0.000          9.353        -58.858           150.000             4.979           37.9           47.2             68.6             53.4       3103.650       2450.431         24.000         9302.2        20211.2          18.16              ?        142.000         65.000                  0.000                  18.000           36.1        660.090           10.2        479.410           166.9        665.601          4.160          6.316          9.180          7.251          5.603          2.003         11.187          1.911          0.387          0.158          0.019          0.081          8.309          1.182          0.350          0.164          0.063          0.021            0.000
