ApsimVersion = 7.8
factors = cultivar=Corn_short;date=1-jun;fert_amount=200;FertAmt=0;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1200
Title = Ames-Corn;cultivar=Corn_short;date=1-jun;fert_amount=200;FertAmt=0;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           20.643           15.110             -0.120              -0.365         20.763         15.475           0.000           0.000        599.700        431.290         50.511         68.375          0.000          0.000       -243.418       -154.667             0.000             4.678          140.2          131.7            158.7            132.7       3119.040       2510.460         29.000        11042.4        21828.6          23.94              ?        136.000         62.000                  0.000                  11.000          231.2        639.130           72.5        663.715           243.5        641.174        206.018         19.690          3.428          1.185          0.621          0.124         34.022         32.057          5.204          0.541          0.260          0.130         37.676         24.929          7.918          1.097          0.331          0.038            0.000
     11/11/1982           1982          9.000           36.497           14.163              3.331              -0.129         33.165         14.292           0.000           0.000        852.170        404.120         46.688         66.156          0.000          0.000        -73.775       -151.713             0.000             6.647          131.4          129.5            143.8            130.1       2883.870       2374.110         14.000        10908.7        23098.5          24.86              ?        144.000         68.000                  0.000                  12.000          199.1        722.398           23.2        677.874           200.8        660.003        110.976         59.214         21.336          4.779          1.848          0.574         11.363          1.720          0.340          0.100          0.039          0.248         14.777          6.322          1.361          0.394          0.133          0.061            0.000
     11/11/1983           1983          9.000           50.630           24.578             10.865               2.351         39.764         22.228           0.000           0.000       1205.960        516.110         50.282         73.567          0.000          0.000        100.993        -82.648             0.000             9.406           94.0          102.4            123.9            103.7       3293.730       2729.610         64.000         8129.8        18029.8          19.10              ?        115.000         60.000                  0.000                   7.000          181.7        696.627           42.2        637.409           200.6        672.313        118.116         36.454         16.738          5.782          2.741          1.046         16.140          3.221          1.145          0.847          1.151          0.991         22.007         15.603          2.274          0.793          0.546          0.438            0.000
     11/11/1984           1984          9.000           33.914           16.717              4.800               1.049         29.114         15.668           0.000           0.000        971.040        377.930         47.181         69.702          0.000          0.000        -81.921       -139.911             0.000             7.574           80.3           84.6             98.5             85.6       3015.540       2588.760         33.000        10008.6        22270.3          21.43              ?        130.000         63.000                  0.000                  11.000          192.7        721.111           11.9        568.591           196.4        736.058        116.908         52.151         16.610          4.383          1.671          0.580         13.634          1.762          0.387          0.081          0.026          0.185          8.096          2.628          0.380          0.202          0.089          0.026            0.000
     11/11/1985           1985          9.000           16.355            5.727              2.972              -0.532         13.383          6.260           0.000           0.000        652.530        353.060         49.175         68.208          0.000          0.000       -177.908       -185.316             0.000             5.090          119.3          107.5            140.0            108.5       3120.119       2292.300         31.000         7997.0        19258.6          21.91              ?        124.000         68.000                  0.000                   8.000          233.4        642.023           77.0        656.830           246.6        674.130        206.506         19.357          4.201          1.775          1.105          0.240         51.721          6.575          0.774          0.266          0.094          0.087         28.428         32.595         14.562          0.941          0.308          0.055            0.000
     11/11/1986           1986          9.000           48.420           17.993              4.329               0.740         44.091         17.253           0.000           0.000       1091.450        643.130         48.344         68.522          0.000          0.000         54.411        -65.085             0.000             8.513          141.8          137.7            156.8            138.1       3262.950       2581.020         28.000        10894.9        23085.2          24.88              ?        137.000         61.000                  0.000                   8.000          196.8        712.445           24.9        761.213           200.4        663.918        110.564         54.521         24.488          4.970          1.485          0.467          6.758          3.756          0.932          0.335          0.138          0.295          9.391          8.743          5.069          1.291          0.210          0.119            0.000
     11/11/1987           1987          9.000           33.385           20.412              1.448               0.425         31.937         19.986           0.000           0.000        866.160        571.010         51.669         70.563          0.000          0.000       -118.211        -86.796             0.000             6.756          149.2          136.2            169.8            137.0       3446.911       2595.420         39.000        11336.9        22153.7          24.36              ?        126.000         59.000                  0.000                  14.000          228.9        695.163           61.2        692.910           241.1        660.445        161.198         58.146          6.919          1.580          0.794          0.158         49.918         17.051          4.704          1.029          0.330          0.125         24.748         15.656         14.448          5.194          0.712          0.108            0.000
     11/11/1988           1988          9.000           14.477            6.681              1.478              -0.457         12.999          7.138           0.000           0.000        591.840        355.340         50.680         73.510          0.000          0.000       -227.169       -178.170             0.000             4.616          115.1          101.7            140.1            102.7       3582.810       2774.159         61.000         8713.3        18765.7          19.88              ?        118.000         59.000                  0.000                  18.000          233.1        641.495           96.4        605.293           251.5        641.763        207.262         18.209          4.206          1.832          1.177          0.237         73.231         22.082          1.500          0.359          0.080          0.083         36.642         36.519         20.074          1.923          0.371          0.055            0.000
     11/11/1989           1989          9.000           20.964            7.646              1.093              -0.345         19.871          7.991           0.000           0.000        638.310        305.830         49.100         66.682          0.000          0.000       -221.239       -202.314             0.000             4.979          108.9          102.7            123.7            103.5       3103.650       2450.431         24.000         9985.4        21361.9          22.96              ?        142.000         65.000                  0.000                  18.000          217.2        680.792           44.1        614.571           224.4        688.234        157.159         48.574          7.807          2.167          1.128          0.214         34.202          6.903          0.777          0.147          0.020          0.045         27.847         11.873          3.338          0.643          0.250          0.037            0.000
