ApsimVersion = 7.8
factors = cultivar=Corn_short;date=1-may;fert_amount=0;FertAmt=100;initNAmes=SoilAmesCorn40;Residue_SOM=SOMsoy;WTDepth=1800
Title = Ames-Corn;cultivar=Corn_short;date=1-may;fert_amount=0;FertAmt=100;initNAmes=SoilAmesCorn40;Residue_SOM=SOMsoy;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            3.212            0.947              0.468              -0.621          2.744          1.568           0.000           0.000        599.700        416.560         50.511         68.579          0.000          0.000       -156.710        -84.636           100.000             4.678          103.0          108.5            138.8            110.2       3119.040       2516.670         25.000        10698.6        21501.8          20.26              ?        135.000         73.000                  2.000                  11.000           48.4        610.037           16.9        580.452           149.0        600.549         19.946         10.583          9.402          4.396          2.380          0.961         10.396          1.312          0.334          0.108          0.013          0.046         11.233          3.330          0.865          0.267          0.078          0.012            0.000
     11/11/1982           1982          9.000           22.656            8.540             13.031               1.213          9.625          7.328           0.000           0.000        852.170        498.120         46.688         68.360          0.000          0.000         11.462        -37.469           100.000             6.647          102.0          112.8            133.2            115.0       2883.870       2518.290         15.000        10188.6        22246.2          18.95              ?        137.000         78.000                  0.000                  12.000           38.1        638.906           16.6        570.456           129.1        687.625          5.618          5.134          8.546          7.796          6.487          2.549          4.884          0.468          0.163          0.052          0.007          0.023         12.630          2.198          0.625          0.246          0.058          0.008            0.000
     11/11/1983           1983          9.000           32.410            9.177             23.143               2.668          9.267          6.509           0.000           0.000       1205.960        593.080         50.282         70.826          0.000          0.000        247.038         46.984           100.000             9.406           74.6           81.8            118.2             84.4       3293.730       2592.990         57.000         7927.2        18848.3          15.28              ?        124.000         76.000                  0.000                   7.000           34.3        662.379           22.0        569.063           116.9        640.508          4.325          3.591          6.167          6.874          7.030          3.406          8.612          0.681          0.173          0.213          1.243          2.826         11.065          4.941          0.396          0.285          0.304          2.082            0.000
     11/11/1984           1984          9.000           27.464           12.896             18.165               5.519          9.299          7.378           0.000           0.000        971.040        416.810         47.181         69.184          0.000          0.000         69.581         19.788           100.000             7.574           69.4           76.7            101.8             78.8       3015.540       2546.730         29.000         9346.6        20910.6          16.08              ?        132.000         76.000                  0.000                  11.000           38.0        719.214           11.7        462.706           124.0        670.978          4.629          5.860          8.780          8.045          6.266          2.464          7.238          0.623          0.190          0.062          0.023          0.221          9.985          0.681          0.271          0.130          0.055          0.009            0.000
     11/11/1985           1985          9.000            8.577           -0.702              5.934              -1.274          2.643          0.572           0.000           0.000        652.530        290.310         49.175         69.248          0.000          0.000       -143.635       -172.137           100.000             5.090           79.0           84.7            112.4             86.4       3120.119       2540.790         28.000         9628.0        21869.2          17.84              ?        132.000         72.000                  0.000                   8.000           45.3        620.694           16.3        516.589           145.4        606.368         12.536          8.126         10.267          6.937          4.586          1.527         10.923          1.399          0.331          0.149          0.018          0.039         12.792          1.430          0.445          0.106          0.019          0.005            0.000
     11/11/1986           1986          9.000           24.593           10.443             13.865               2.450         10.728          7.994           0.000           0.000       1091.450        559.300         48.344         69.009          0.000          0.000        152.689        -17.755           100.000             8.513          118.6          123.9            153.3            125.4       3262.950       2551.770         27.000        11191.0        22063.7          20.51              ?        134.000         72.000                  1.000                   8.000           44.1        676.598           17.2        604.212           132.2        662.361          9.266          7.832         10.137          7.994          5.388          1.937          5.478          0.447          0.153          0.052          0.010          0.080         12.410          2.451          0.779          0.293          0.076          0.012            0.000
     11/11/1987           1987          9.000           13.371            5.240              5.052              -0.434          8.319          5.674           0.000           0.000        866.160        604.530         51.669         71.691          0.000          0.000        -19.601        -57.702           100.000             6.756          103.8          105.3            145.2            107.5       3446.911       2624.670         46.000         7788.7        18587.4          19.04              ?        121.000         66.000                  0.000                  14.000           46.1        627.612           20.1        665.258           150.0        646.682         14.572          9.605         10.629          5.957          3.331          1.119          3.519          0.890          0.334          0.099          0.013          0.038          7.210          5.812          4.408          1.625          0.382          0.020            0.000
     11/11/1988           1988          9.000           10.008           -0.919              7.045              -1.696          2.963          0.776           0.000           0.000        591.840        330.970         50.680         74.071          0.000          0.000       -110.293       -113.012           100.000             4.616           60.6           52.9            107.3             54.8       3582.810       2768.130         62.000         6253.3        15044.2          15.13              ?        115.000         65.000                  0.000                  18.000           40.9        611.271           12.4        539.987           141.8        608.291          9.994          7.403          9.167          6.259          5.049          1.637         34.932          2.105          0.606          0.417          0.055          0.116          5.303          5.139          0.599          0.365          0.021          0.014            0.000
     11/11/1989           1989          9.000           12.358            3.401              6.577              -0.655          5.781          4.056           0.000           0.000        638.310        380.750         49.100         68.811          0.000          0.000        -97.087       -109.429           100.000             4.979           65.5           70.7             97.7             72.5       3103.650       2518.380         26.000         9137.9        21000.0          16.47              ?        133.000         73.000                  1.000                  18.000           43.8        636.700           15.4        506.775           139.0        646.578         11.528          8.048          9.869          6.685          4.837          1.545          5.242          1.289          0.314          0.122          0.012          0.022          9.989          4.534          0.263          0.129          0.026          0.012            0.000
