ApsimVersion = 7.8
factors = cultivar=Corn_short;date=1-may;fert_amount=0;FertAmt=150;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=1800
Title = Ames-Corn;cultivar=Corn_short;date=1-may;fert_amount=0;FertAmt=150;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            8.403            1.308              3.098              -0.458          5.305          1.766           0.000           0.000        599.700        416.560         50.511         68.579          0.000          0.000       -115.866        -71.279           150.000             4.678           47.1           64.7            101.9             75.3       3119.040       2516.670         25.000        11217.1        22258.3          22.17              ?        135.000         73.000                  2.000                  11.000           65.7        638.772           16.4        579.239           191.7        612.363          9.096         15.480         20.455         11.834          4.520          2.409         10.978          2.092          0.506          0.157          0.020          0.100         10.820          3.335          0.833          0.267          0.074          0.011            0.000
     11/11/1982           1982          9.000           49.134           14.555             35.726               4.488         13.408         10.067           0.000           0.000        852.170        498.120         46.688         68.360          0.000          0.000         81.585        -13.173           150.000             6.647           46.3           60.0             91.9             73.1       2883.870       2518.290         15.000        10565.5        22982.4          19.63              ?        137.000         78.000                  0.000                  12.000           58.9        664.407           15.5        565.080           162.4        701.729          2.781          5.604         11.759         13.387         13.586          6.397          4.369          0.455          0.158          0.051          0.009          0.064         11.781          2.126          0.592          0.235          0.056          0.008            0.000
     11/11/1983           1983          9.000           61.656           14.428             49.105               5.413         12.550          9.015           0.000           0.000       1205.960        593.080         50.282         70.826          0.000          0.000        339.758         72.509           150.000             9.406           22.0           31.1             81.7             45.9       3293.730       2592.990         57.000         7926.2        18791.3          15.14              ?        124.000         76.000                  0.000                   7.000           49.0        675.966           24.1        574.067           146.2        653.053          2.414          3.182          7.167         10.091         12.036          7.231          7.177          0.658          0.163          0.251          1.820          5.161          9.831          4.467          0.416          0.303          0.515          3.940            0.000
     11/11/1984           1984          9.000           56.610           20.104             43.980              10.244         12.630          9.861           0.000           0.000        971.040        416.810         47.181         69.184          0.000          0.000        150.854         47.463           150.000             7.574           14.0           24.3             61.6             36.3       3015.540       2546.730         29.000         9197.6        20684.9          16.16              ?        132.000         76.000                  0.000                  11.000           56.6        740.248           12.2        475.758           157.2        687.082          1.750          4.587         10.744         14.530         13.362          6.237          6.182          0.601          0.183          0.109          0.122          1.646          8.517          0.647          0.267          0.163          0.081          0.379            0.000
     11/11/1985           1985          9.000           22.743           -2.767             18.779              -3.374          3.964          0.607           0.000           0.000        652.530        290.310         49.175         69.248          0.000          0.000       -103.250       -176.434           150.000             5.090           21.0           35.8             70.2             46.6       3120.119       2540.790         28.000        10383.2        23069.5          19.29              ?        132.000         72.000                  0.000                   8.000           63.3        633.802           15.2        510.046           186.9        611.038          4.261          9.465         15.578         13.932         11.609          4.700         10.931          1.681          0.414          0.240          0.032          0.109         11.819          1.426          0.443          0.126          0.014          0.004            0.000
     11/11/1986           1986          9.000           49.843           18.076             35.108               7.153         14.735         10.924           0.000           0.000       1091.450        559.300         48.344         69.009          0.000          0.000        228.052         12.067           150.000             8.513           62.6           76.2            116.6             86.2       3262.950       2551.770         27.000        11505.1        22456.0          21.22              ?        134.000         72.000                  1.000                   8.000           61.9        706.855           16.7        606.151           164.9        682.224          2.211          7.459         14.729         14.781         13.036          5.402          5.063          0.425          0.142          0.051          0.016          0.235         12.071          2.422          0.771          0.287          0.073          0.015            0.000
     11/11/1987           1987          9.000           28.909            5.978             17.457              -0.909         11.452          6.887           0.000           0.000        866.160        604.530         51.669         71.691          0.000          0.000         42.579        -50.084           150.000             6.756           45.0           55.4            104.8             68.5       3446.911       2624.670         46.000         7954.4        18924.9          19.60              ?        121.000         66.000                  0.000                  14.000           65.7        642.055           28.2        667.869           190.3        651.281          6.888         10.641         18.167         14.308          9.520          3.503          3.108          0.991          0.489          0.136          0.020          0.114          8.311          8.136          7.478          2.951          0.638          0.028            0.000
     11/11/1988           1988          9.000           23.223           -2.525             18.823              -3.454          4.400          0.930           0.000           0.000        591.840        330.970         50.680         74.071          0.000          0.000        -76.395       -111.156           150.000             4.616            7.6            5.1             68.9             16.8       3582.810       2768.130         62.000         6525.9        15573.7          16.75              ?        115.000         65.000                  0.000                  18.000           62.3        627.623           14.7        542.810           181.9        617.904          5.669          9.312         15.521         13.299         10.920          4.102         35.871          3.149          1.156          0.779          0.096          0.305          5.725          6.354          1.134          0.700          0.053          0.044            0.000
     11/11/1989           1989          9.000           28.145            4.015             19.858              -1.379          8.287          5.394           0.000           0.000        638.310        380.750         49.100         68.811          0.000          0.000        -43.931        -95.348           150.000             4.979            7.8           20.0             56.7             31.0       3103.650       2518.380         26.000         9381.9        21557.8          17.72              ?        133.000         73.000                  1.000                  18.000           62.6        649.843           13.3        502.876           177.3        657.117          4.399          9.845         15.746         13.631         11.309          4.184          4.428          1.363          0.395          0.154          0.014          0.060          8.530          3.867          0.288          0.133          0.024          0.011            0.000
     11/11/1990           1990          9.000           55.642           30.336             38.238              17.058         17.404         13.278           0.000           0.000        998.533        692.404         49.689         69.908          0.000          0.000        212.737        113.537           150.000             7.789           57.6           70.8            118.1             83.6       3276.134       2556.177         34.000         9295.2        20629.9          18.52              ?        128.000         76.000                  1.000                  14.000           61.5        670.438           26.3        650.939           158.1        690.460          4.166          8.648         14.808         13.025         11.583          5.091          3.069          0.304          0.099          0.049          0.220          5.502         13.457          1.670          0.580          0.220          0.151          4.045            0.000
     11/11/1991           1991          9.000           55.525           16.377             41.905               5.934         13.620         10.444           0.000           0.000        821.349        259.511         50.164         72.953          0.000          0.000        157.427         33.888           150.000             6.407           13.7           28.6             73.1             39.0       3619.281       2740.782         49.000         8403.4        19820.3          16.11              ?        119.000         63.000                  0.000                  20.000           53.7        754.189           16.9        450.921           164.1        681.680          1.007          3.591          8.952         12.778         13.393          7.329          8.204          0.841          0.277          0.131          0.099          1.135         13.548          0.839          0.297          0.149          0.062          0.136            0.000
     11/11/1992           1992          9.000           39.382            0.552             34.632              -1.010          4.750          1.562           0.000           0.000        879.812        487.884         49.338         64.751          0.000          0.000        190.992         -1.831           150.000             6.863           38.4           53.1             74.4             65.4       2533.040       2343.006         11.000        10632.5        23619.7          19.88              ?        158.000         80.000                  0.000                  14.000           51.7        701.764           10.8        675.102           161.0        622.954          1.410          3.541          8.940         12.545         12.857          6.577          1.359          0.255          0.105          0.046          0.006          0.008          8.132          1.232          0.545          0.236          0.057          0.011            0.000
     11/11/1993           1993          9.000           61.793           21.826             43.710               7.293         18.082         14.533           0.000           0.000       1370.990        974.242         46.812         68.383          0.000          0.000        453.202        189.048           150.000            10.694           44.7           53.0             85.2             65.6       2849.719       2500.135         31.000         9185.0        18754.0          17.61              ?        136.000         79.000                  0.000                  17.000           54.4        698.141           17.3        719.597           150.5        692.532          2.289          4.938          9.518         11.919         13.014          6.727          2.505          0.357          0.109          0.042          0.512          3.582          8.931          1.730          0.683          0.198          0.061          2.002            0.000
     11/11/1994           1994          9.000           19.598            2.576             12.259              -1.395          7.339          3.971           0.000           0.000        681.161        392.382         48.850         68.201          0.000          0.000        -53.651        -66.374           150.000             5.313           46.4           58.7             95.3             70.3       3004.924       2488.559         31.000        12116.3        24760.4          21.35              ?        136.000         73.000                  0.000                   7.000           66.3        644.148           15.1        526.462           183.1        614.604          6.337         12.515         18.688         13.636          9.294          3.188          6.507          0.730          0.219          0.070          0.011          0.056         10.533          2.312          0.473          0.179          0.058          0.009            0.000
     11/11/1995           1995          9.000           42.059           12.353             33.699               7.031          8.360          5.323           0.000           0.000        751.645        375.353         48.086         68.020          0.000          0.000         68.839          7.609           150.000             5.863           46.1           61.4             94.1             74.3       2764.728       2460.854         35.000         9721.3        22483.8          19.84              ?        136.000         81.000                  0.000                  15.000           59.6        727.893           16.5        521.618           160.7        646.643          1.612          5.131         12.866         16.566         13.532          5.509          5.204          0.581          0.172          0.056          0.011          0.080         12.832          1.699          0.713          0.311          0.074          0.011            0.000
     11/11/1996           1996          9.000           41.822           22.585             25.688               9.859         16.134         12.726           0.000           0.000        848.413        552.297         46.596         66.750          0.000          0.000         63.652         -2.903           150.000             6.618           45.5           59.7             83.4             74.0       2735.663       2432.802         20.000        10372.5        23081.5          19.58              ?        144.000         77.000                  0.000                  14.000           66.3        638.968           16.2        597.818           166.2        694.846          7.719         10.908         17.050         13.775         10.009          3.698          3.232          0.514          0.179          0.061          0.017          0.177         12.452          2.042          0.750          0.274          0.080          0.012            0.000
     11/11/1997           1997          9.000           38.910            2.805             32.940              -0.712          5.970          3.517           0.000           0.000        698.516        300.127         47.187         67.978          0.000          0.000         86.790        -38.752           150.000             5.448           16.7           29.0             68.3             43.7       2964.064       2492.356         35.000        10115.7        21985.2          18.05              ?        138.000         77.000                  1.000                  12.000           56.2        678.916           13.4        451.004           167.3        629.217          3.672          5.932         10.549         11.673         12.557          6.317          4.165          1.243          0.264          0.105          0.016          0.134         11.223          0.791          0.299          0.125          0.032          0.007            0.000
     11/11/1998           1998          9.000           52.842           19.583             39.352               9.423         13.490         10.160           0.000           0.000        881.628        490.982         50.291         70.122          0.000          0.000        126.638         36.305           150.000             6.877           52.8           67.2            113.4             79.7       3285.676       2618.366         27.000        10140.0        22201.0          19.28              ?        130.000         75.000                  0.000                   7.000           58.6        682.817           20.4        541.489           170.5        669.150          2.739          5.734         11.865         13.476         13.414          6.193          5.625          0.547          0.158          0.118          0.240          4.199         13.837          1.806          0.610          0.275          0.132          0.690            0.000
     11/11/1999           1999          9.000           51.563           28.095             34.384              14.994         17.179         13.102           0.000           0.000        916.920        633.476         50.120         69.244          0.000          0.000        124.417         66.198           150.000             7.152           64.6           83.4            116.1             94.1       2964.396       2561.951         32.000        10481.1        22833.9          20.35              ?        133.000         76.000                  0.000                  12.000           61.1        728.235           17.5        644.127           160.3        681.904          2.074          6.045         15.108         16.976         12.392          4.772          5.595          0.587          0.168          0.067          0.058          0.748         11.983          3.338          0.839          0.289          0.080          0.080            0.000
     11/11/2000           2000          9.000           25.143            7.105             14.548              -0.676         10.595          7.781           0.000           0.000        560.980        306.756         51.136         69.483          0.000          0.000        -41.820        -58.393           150.000             4.376           33.5           46.4             85.0             59.0       3235.177       2612.608         30.000        10475.6        23511.2          20.23              ?        134.000         75.000                  0.000                  10.000           64.2        624.050            7.8        444.935           184.0        673.663          5.678         10.854         17.762         13.851          9.865          3.396          4.456          0.646          0.219          0.075          0.012          0.038          6.398          0.769          0.340          0.177          0.071          0.014            0.000
