ApsimVersion = 7.8
factors = cultivar=Corn_short;date=15-apr;fert_amount=150;FertAmt=0;initNAmes=SoilAmesCorn10;Residue_SOM=SOMcorn;WTDepth=600
Title = Ames-Corn;cultivar=Corn_short;date=15-apr;fert_amount=150;FertAmt=0;initNAmes=SoilAmesCorn10;Residue_SOM=SOMcorn;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           18.886            6.031              0.220              -0.151         18.666          6.181           0.000           0.000        599.700        390.400         50.511         67.344          0.000          0.000       -143.028       -202.011             0.000             4.678           42.2           66.5             98.0             79.1       3119.040       2451.600         24.000         8886.7        19468.1          15.94              ?        140.000         82.000                  3.000                  11.000           92.0        746.519           12.3        744.804           114.5        685.022         77.464         10.397          2.180          1.086          0.408          0.265          5.766          0.469          0.122          0.034          0.010          0.065          9.165          1.928          0.362          0.038          0.003          0.020            0.000
     11/11/1982           1982          9.000           35.062           23.334              2.036              -0.202         33.026         23.536           0.000           0.000        852.170        515.910         46.688         66.499          0.000          0.000         83.704        -62.502             0.000             6.647           37.7           52.1             85.1             67.0       2883.870       2422.890         15.000         7131.7        17713.5          13.99              ?        145.000         87.000                  2.000                  12.000           38.4        759.813           14.1        733.983           104.2        763.129         26.060          4.705          3.533          2.082          1.195          0.479          2.385          0.351          0.043          0.020          0.583          0.292          9.581          2.496          0.613          0.149          0.160          0.165            0.000
     11/11/1983           1983          9.000           35.059           18.310              2.748              -0.205         32.310         18.515           0.000           0.000       1205.960        516.890         50.282         67.904          0.000          0.000         83.531        -69.540             0.000             9.406           40.2           49.3            102.5             64.1       3293.730       2500.020         53.000         7758.7        16966.8          13.60              ?        134.000         87.000                  6.000                   7.000           32.2        783.900           20.9        641.756            95.5        756.890         15.841          7.923          4.124          2.144          1.256          0.515          4.751          0.353          0.140          0.602          0.935          0.368         15.072          1.912          0.645          0.610          0.783          0.178            0.000
     11/11/1984           1984          9.000           32.727           23.615              2.045              -0.012         30.681         23.627           0.000           0.000        971.040        498.090         47.181         67.061          0.000          0.000         17.101        -73.490             0.000             7.574           34.7           46.8             88.9             61.4       3015.540       2449.620         26.000         7726.0        17613.3          13.77              ?        140.000         86.000                  0.000                  11.000           28.4        783.900           14.9        636.687           102.0        756.326         17.726          4.475          2.627          1.689          1.063          0.438          3.164          0.321          0.143          0.222          0.689          0.314         11.519          1.450          0.488          0.189          0.178          0.138            0.000
     11/11/1985           1985          9.000           17.871            6.123              1.058              -0.428         16.813          6.551           0.000           0.000        652.530        306.060         49.175         68.053          0.000          0.000       -174.150       -270.965             0.000             5.090           35.7           53.4             93.7             67.9       3120.119       2491.290         23.000         8310.3        19924.2          15.25              ?        138.000         78.000                  0.000                   8.000           57.7        747.127           15.3        705.325           110.7        699.242         46.207          5.304          3.005          1.668          0.896          0.358          6.105          0.534          0.132          0.037          0.013          0.090          9.358          3.677          1.036          0.192          0.046          0.019            0.000
     11/11/1986           1986          9.000           43.403           31.699              1.879               0.279         41.525         31.419           0.000           0.000       1091.450        594.360         48.344         67.922          0.000          0.000        147.751          5.000             0.000             8.513           34.9           54.9             92.3             68.3       3262.950       2460.600         27.000         7561.1        16703.6          13.14              ?        135.000         79.000                  3.000                   8.000           70.1        766.609           11.1        756.436            94.8        779.637         57.300          7.211          2.346          1.565          0.935          0.387          2.170          0.221          0.009          0.456          0.775          0.299          8.357          0.970          0.011          0.250          0.572          0.229            0.000
     11/11/1987           1987          9.000           26.457           12.801              1.215              -0.264         25.242         13.064           0.000           0.000        866.160        437.910         51.669         70.923          0.000          0.000        -47.836       -159.643             0.000             6.756           48.5           64.6            106.9             78.8       3446.911       2629.980         45.000         7904.1        18788.8          15.41              ?        125.000         72.000                  0.000                  14.000           70.3        780.249           16.8        741.213           108.7        690.659         52.933         12.568          2.195          1.315          0.722          0.302          4.525          0.564          0.134          0.058          0.037          0.111          8.565          4.535          2.147          0.370          0.037          0.041            0.000
     11/11/1988           1988          9.000           18.408            4.379              1.311              -0.452         17.097          4.830           0.000           0.000        591.840        205.490         50.680         70.650          0.000          0.000       -189.507       -259.452             0.000             4.616           15.4           32.0             78.0             44.5       3582.810       2637.360         59.000         7216.4        17836.0          13.23              ?        125.000         76.000                  4.000                  18.000           80.1        736.038           13.3        564.043           108.8        678.959         66.096          7.857          3.000          1.600          0.919          0.355          7.722          0.716          0.240          0.075          0.014          0.061         10.635          1.425          0.434          0.176          0.041          0.011            0.000
     11/11/1989           1989          9.000           24.290           12.981              1.190              -0.474         23.100         13.455           0.000           0.000        638.310        351.540         49.100         67.779          0.000          0.000       -127.309       -191.286             0.000             4.979           45.0           60.6            101.5             75.9       3103.650       2501.820         28.000         8535.5        19303.6          15.23              ?        139.000         83.000                  3.000                  18.000           51.3        735.105           18.4        642.138           111.2        715.317         40.116          5.518          2.632          1.485          0.895          0.358          7.041          0.550          0.127          0.069          0.081          0.124         14.244          1.867          0.554          0.176          0.051          0.042            0.000
     11/11/1990           1990          9.000           38.206           29.248              2.070               0.896         36.136         28.352           0.000           0.000        998.533        718.820         49.689         67.634          0.000          0.000        125.726         51.785             0.000             7.789           24.2           36.2             87.8             50.5       3276.134       2454.006         28.000         7038.0        14956.9          11.93              ?        136.000         81.000                  4.000                  14.000           34.2        752.011            9.3        774.185            96.5        783.900         25.218          4.043          2.423          1.341          0.664          0.292          0.871          0.050          1.149          1.698          0.726          0.262          5.329          0.260          0.523          1.234          0.769          0.274            0.000
     11/11/1991           1991          9.000           46.295           24.192              1.603              -0.349         44.692         24.541           0.000           0.000        821.349        328.853         50.164         70.064          0.000          0.000        -28.419        -77.074             0.000             6.407           51.4           65.3            117.8             78.0       3619.281       2598.263         44.000         7264.9        16445.0          12.87              ?        128.000         74.000                  0.000                  20.000           72.6        783.900           19.0        675.228            87.3        762.868         50.301         12.163          5.516          2.561          1.225          0.458          5.361          0.373          0.287          0.874          1.135          0.360         13.785          2.477          0.691          0.427          0.551          0.150            0.000
     11/11/1992           1992          9.000           26.362            9.008              2.091              -0.325         24.271          9.333           0.000           0.000        879.812        560.604         49.338         63.501          0.000          0.000         94.963        -54.748             0.000             6.863           19.6           39.5             61.1             52.9       2533.040       2288.696         12.000         7587.1        18667.9          13.52              ?        162.000         87.000                  2.000                  14.000           53.9        757.266            6.1        775.068            98.9        685.391         37.505          8.098          4.157          2.113          1.198          0.482          1.150          0.239          0.020          0.001          0.001          0.160          4.920          0.664          0.034          0.001          0.000          0.071            0.000
     11/11/1993           1993          9.000           34.814           27.445              3.735               1.008         31.079         26.436           0.000           0.000       1370.990       1001.853         46.812         66.821          0.000          0.000        265.156         76.071             0.000            10.694           17.1           25.3             59.0             41.1       2849.719       2415.184         29.000         2066.4        15509.0          12.43              ?        142.000         87.000                  2.000                  17.000           21.7        776.710            9.8        776.925            91.3        758.914         14.358          1.849          1.885          1.591          1.140          0.497          1.827          0.020          0.519          1.183          0.952          0.468          6.430          0.210          0.288          0.801          0.792          0.407            0.000
     11/11/1994           1994          9.000           22.960           11.531              0.523              -0.534         22.437         12.065           0.000           0.000        681.161        427.815         48.850         66.389          0.000          0.000        -79.855       -161.122             0.000             5.313           47.6           62.1             96.0             76.9       3004.924       2483.487         30.000         9134.5        20248.2          15.90              ?        148.000         84.000                  1.000                   7.000           57.6        747.597           13.3        738.968           105.1        697.217         44.131          7.779          3.050          1.399          0.729          0.298          3.391          0.278          0.080          0.092          0.308          0.108          8.841          2.688          0.712          0.120          0.051          0.041            0.000
     11/11/1995           1995          9.000           32.272           19.726              1.444              -0.313         30.828         20.039           0.000           0.000        751.645        432.716         48.086         65.955          0.000          0.000         15.043        -81.229             0.000             5.863           37.5           55.8             89.5             70.2       2764.728       2372.343         34.000         7177.1        17783.0          14.11              ?        144.000         91.000                  1.000                  15.000           48.0        775.026           15.6        701.862            88.9        734.472         33.688          7.906          3.005          1.701          1.002          0.405          2.534          0.247          0.072          0.050          0.408          0.204         12.297          1.249          0.446          0.170          0.167          0.117            0.000
     11/11/1996           1996          9.000           70.638           12.518              1.236               0.045         69.403         12.473           0.000           0.000        848.413        172.669         46.596         55.542          0.000          0.000        -43.568         -3.475             0.000             6.618           64.0          -21.7             83.6            -14.5       2735.663        272.804          3.000            0.0            1.8           0.01              ?         40.000          0.000                 17.000                 176.000           36.8        738.644          111.2        783.900            88.9        734.472         28.504          3.318          2.219          1.422          0.780          0.325          2.534          0.247          0.072          0.050          0.408          0.204         76.068         28.928          4.821          1.348          0.728          0.284            0.000
