ApsimVersion = 7.8
factors = cultivar=Corn_short;date=15-apr;fert_amount=150;FertAmt=0;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1800
Title = Ames-Corn;cultivar=Corn_short;date=15-apr;fert_amount=150;FertAmt=0;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            3.077            1.132              0.217              -0.203          2.860          1.334           0.000           0.000        599.700        390.400         50.511         67.344          0.000          0.000       -145.395        -73.368             0.000             4.678           86.8           93.7            131.6             95.8       3119.040       2451.600         24.000        10670.4        22094.2          20.71              ?        140.000         82.000                  3.000                  11.000          120.2        617.887           16.2        523.348           170.7        609.006        106.312          7.039          3.659          1.792          0.871          0.333          8.424          0.946          0.224          0.083          0.008          0.003         11.675          2.697          0.575          0.127          0.033          0.008            0.000
     11/11/1982           1982          9.000           18.508           11.209              5.459               1.262         13.049          9.947           0.000           0.000        852.170        515.910         46.688         66.499          0.000          0.000         12.561        -31.652             0.000             6.647           93.0          105.5            130.2            108.2       2883.870       2422.890         15.000        10434.9        23709.1          20.22              ?        145.000         87.000                  2.000                  12.000           51.1        655.704           18.2        549.370           151.5        666.395         31.857          6.173          5.523          3.557          2.467          0.890          3.525          0.714          0.181          0.046          0.005          0.003         12.655          3.444          0.675          0.234          0.053          0.007            0.000
     11/11/1983           1983          9.000           26.246           11.227             13.426               3.605         12.820          7.622           0.000           0.000       1205.960        516.890         50.282         67.904          0.000          0.000        236.581         56.763             0.000             9.406           72.5           77.4            121.4             80.1       3293.730       2500.020         53.000         9440.0        20880.7          17.72              ?        134.000         87.000                  6.000                   7.000           51.5        732.589           16.9        494.947           136.6        675.750         15.827         13.948         10.452          5.696          3.300          1.260          7.459          0.508          0.136          0.041          0.022          1.007         12.735          0.771          0.302          0.204          0.111          0.549            0.000
     11/11/1984           1984          9.000           20.557           14.401              7.716               3.519         12.841         10.882           0.000           0.000        971.040        498.090         47.181         67.061          0.000          0.000         68.853         29.491             0.000             7.574           63.8           72.2            101.5             74.9       3015.540       2449.620         26.000         9992.4        22731.8          18.07              ?        140.000         86.000                  0.000                  11.000           45.7        684.950            8.2        447.719           145.7        677.703         27.307          7.317          4.508          2.992          2.139          0.793          5.624          0.614          0.175          0.052          0.021          0.208          7.008          0.649          0.250          0.128          0.049          0.029            0.000
     11/11/1985           1985          9.000            6.040           -0.056              3.219              -0.437          2.822          0.381           0.000           0.000        652.530        306.060         49.175         68.053          0.000          0.000       -154.879       -192.057             0.000             5.090           53.7           62.6             99.4             65.2       3120.119       2491.290         23.000         9482.8        22576.5          17.88              ?        138.000         78.000                  0.000                   8.000           76.0        629.369           15.5        528.522           161.6        613.874         59.805          5.999          4.631          2.806          1.733          0.569          7.331          0.920          0.216          0.089          0.009          0.002          9.960          3.747          0.713          0.094          0.009          0.006            0.000
     11/11/1986           1986          9.000           24.280           14.956              7.124               1.727         17.156         13.229           0.000           0.000       1091.450        594.360         48.344         67.922          0.000          0.000        167.747        -10.198             0.000             8.513          108.9          116.2            153.3            118.7       3262.950       2460.600         27.000        11219.1        22792.3          21.47              ?        135.000         79.000                  3.000                   8.000          100.7        672.492           15.6        606.488           151.7        707.057         75.812         13.776          5.386          2.939          1.756          0.606          3.351          0.649          0.185          0.047          0.005          0.015         11.984          1.654          0.686          0.230          0.054          0.007            0.000
     11/11/1987           1987          9.000           13.279            5.329              5.421              -0.112          7.857          5.441           0.000           0.000        866.160        437.910         51.669         70.923          0.000          0.000          1.373        -55.445             0.000             6.756           82.0           86.0            129.3             88.4       3446.911       2629.980         45.000         9042.9        21126.9          19.46              ?        125.000         72.000                  0.000                  14.000           93.1        664.781           17.4        533.121           162.3        614.960         73.943         11.292          3.848          2.162          1.192          0.364          7.938          2.170          0.296          0.104          0.011          0.004          9.209          5.145          1.754          0.114          0.024          0.010            0.000
     11/11/1988           1988          9.000            9.410            0.060              4.302              -0.667          5.108          0.728           0.000           0.000        591.840        205.490         50.680         70.650          0.000          0.000       -104.534       -125.251             0.000             4.616           65.5           60.2            113.4             62.2       3582.810       2637.360         59.000         5170.1        14360.2          15.76              ?        125.000         76.000                  4.000                  18.000          107.7        615.541           33.7        446.350           160.2        602.471         90.454          6.569          4.803          2.740          1.989          0.622         26.850          1.773          0.343          0.167          0.019          0.024         25.717          6.501          0.635          0.208          0.072          0.020            0.000
     11/11/1989           1989          9.000            9.844            5.026              2.381              -0.267          7.463          5.293           0.000           0.000        638.310        351.540         49.100         67.779          0.000          0.000        -90.322       -101.509             0.000             4.979           55.3           64.9             97.5             67.9       3103.650       2501.820         28.000         9583.1        22395.8          17.95              ?        139.000         83.000                  3.000                  18.000           73.3        620.702           14.8        434.597           161.8        630.872         57.500          5.938          4.310          2.693          1.824          0.575          8.624          1.073          0.272          0.093          0.009          0.004         12.418          0.784          0.250          0.107          0.018          0.010            0.000
