ApsimVersion = 7.8
factors = cultivar=Corn_long;date=1-jun;fert_amount=0;FertAmt=200;initNCobs=SoilCobsNew80;Residue_SOM=SOMsoy;WTDepth=1800
Title = Cobs-Corn;cultivar=Corn_long;date=1-jun;fert_amount=0;FertAmt=200;initNCobs=SoilCobsNew80;Residue_SOM=SOMsoy;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            9.943            8.412              0.629              -0.247          9.315          8.659           0.000           0.000        599.700        444.750         50.511         67.670          0.000          0.000          2.584          1.380           200.000             5.997          188.1          165.8            206.0            168.5       3119.040       2529.990         29.000         9536.9        19857.6          24.81              ?        142.000         69.000                  0.000                  11.000          112.2        608.716          189.5        544.804           331.4        642.431         32.305         24.045         31.284         16.931          2.972          4.657         46.942         63.703         34.890         17.084          3.065          4.740         59.366         65.229         39.666         16.838          3.057          4.836            0.000
     11/11/1982           1982          9.000           18.259           11.386              3.556              -0.043         13.660         10.385           1.044           1.044        852.170        404.120         46.688         66.156          6.503          6.503         24.691          7.772           200.000             8.522          167.2          152.7            184.1            154.1       2883.870       2374.110         14.000        11893.1        23886.4          27.71              ?        144.000         68.000                  0.000                  12.000           95.8        758.070          105.3        580.460           292.8        720.088         15.021         16.121         37.822         19.042          3.336          4.462         42.503         31.643         18.142         12.986          2.818          3.759         33.239         35.115         19.545         11.499          2.380          3.298            0.000
     11/11/1983           1983          9.000           57.745           41.286              2.937              -0.470         18.051         13.670          36.757          28.086       1205.960        597.400         50.282         71.259        162.679        107.093         24.389          6.315           200.000            12.060          138.9          133.3            161.7            137.0       3293.730       2939.940         65.000         8984.1        19005.3          21.22              ?        136.000         60.000                  0.000                   7.000           83.7        735.923          110.2        597.055           286.7        728.674         12.232         11.826         32.080         19.379          3.518          4.698         22.803         18.340         18.552         12.562          2.977          4.048         30.453         41.802         20.291         11.464          2.475          3.602            0.000
     11/11/1984           1984          9.000           26.831           14.427              3.982              -0.751         11.199          8.771          11.650           6.407        971.040        440.410         47.181         67.802         50.302         30.493         41.699          6.259           200.000             9.710          116.5          105.9            131.8            108.6       3015.540       2671.200         33.000         8948.1        20192.3          23.02              ?        146.000         63.000                  0.000                  11.000          100.1        736.833          108.1        540.182           290.2        751.215         15.115         18.629         37.561         20.011          3.781          4.989         44.758         29.692         15.664         12.504          3.148          4.281         30.680         43.033         17.144         10.878          2.476          3.787            0.000
     11/11/1985           1985          9.000           11.390            4.839              0.866              -0.764         10.524          5.604           0.000           0.000        652.530        353.060         49.175         68.208          0.000          0.000          6.268          2.361           200.000             6.525          147.9          118.0            169.5            120.6       3120.119       2292.300         31.000         5931.2        15101.1          20.34              ?        124.000         68.000                  0.000                   8.000          117.9        636.770          195.7        545.988           331.8        662.893         34.803         22.465         34.552         18.088          3.273          4.693        110.614         27.472         15.691         13.124          2.942          4.240         66.945         87.413         20.653         13.659          2.736          4.169            0.000
     11/11/1986           1986          9.000           30.694           17.664              4.115               0.236         18.904         15.346           7.675           2.082       1091.450        643.130         48.344         68.522         32.852         32.852         18.559          7.995           200.000            10.914          197.4          178.4            217.7            179.6       3262.950       2581.020         28.000        11937.4        23892.9          27.49              ?        137.000         61.000                  0.000                   8.000          106.2        732.126          138.3        733.907           313.7        708.691         19.944         17.730         38.721         21.179          3.708          4.879         33.886         46.463         32.798         15.466          3.161          4.144         20.195         33.995         62.255         15.533          2.731          3.611            0.000
     11/11/1987           1987          9.000           14.311           11.211              1.470              -0.069         12.379         11.280           0.463           0.000        866.160        571.010         51.669         70.563          0.829          0.000         10.587          1.802           200.000             8.662          210.0          175.9            234.6            178.0       3446.911       2595.420         39.000        13601.1        23952.1          28.45              ?        126.000         59.000                  0.000                  14.000          125.3        672.757          172.2        585.715           342.7        646.475         34.882         29.995         35.007         17.563          3.121          4.745         66.828         46.008         26.797         17.844          3.318          4.774         36.597         38.528         70.335         18.043          3.238          4.738            0.000
     11/11/1988           1988          9.000           11.468            6.923              2.137              -0.799          9.331          7.722           0.000           0.000        591.840        383.530         50.680         69.669          0.000          0.000         25.201          1.457           200.000             5.918          171.3          137.9            185.1            141.0       3582.810       2909.249         61.000         8321.5        16275.4          18.33              ?        145.000         62.000                  0.000                  18.000          120.4        618.383          239.5        487.357           344.4        615.233         37.944         24.611         32.657         17.337          3.097          4.705        109.780         41.412         19.676         14.553          3.103          4.670         80.249         91.646         44.946         14.790          2.878          4.706            0.000
     11/11/1989           1989          9.000           11.858            4.580              2.014              -0.517          9.844          5.097           0.000           0.000        638.310        305.830         49.100         66.682          0.000          0.000         19.182          2.941           200.000             6.383          135.7          113.2            154.3            115.4       3103.650       2450.431         24.000         8757.9        18976.8          23.29              ?        142.000         65.000                  0.000                  18.000          112.8        674.341          155.3        463.474           324.2        689.550         25.956         24.403         36.364         18.126          3.239          4.687         96.586         34.069         18.492         14.187          2.997          4.349         69.287         48.695         18.632         11.930          2.467          4.186            0.000
     11/11/1990           1990          9.000           38.345           27.077              3.071               0.373         18.541         16.630          16.733          10.073        998.533        545.444         49.689         68.371         96.637         54.775         13.446          9.011           200.000             9.985          211.1          199.4            229.5            201.1       3276.134       2793.439         42.000        11790.0        24029.4          26.42              ?        148.000         63.000                  0.000                  14.000           87.0        744.961          133.8        608.679           280.7        757.665         11.304         12.462         35.762         19.370          3.441          4.660         24.109         22.842         22.758         15.452          2.913          3.931         53.722         33.521         27.169         13.243          2.450          3.355            0.000
     11/11/1991           1991          9.000           25.906            5.537              2.219              -0.633         10.610          6.170          13.077           0.000        821.349        217.540         50.164         70.381         81.171          0.000         15.834          6.004           200.000             8.213          125.1           95.5            150.1             97.0       3619.281       2687.662         46.000         8618.0        18381.9          22.55              ?        130.000         56.000                  0.000                  20.000           95.4        739.076          119.0        485.369           302.5        737.965         26.760         12.018         29.482         18.969          3.481          4.675        112.059          9.708          1.936          5.712          2.878          3.999         88.412         12.694          4.653          6.957          2.355          3.598            0.000
