ApsimVersion = 7.8
factors = cultivar=Corn_long;date=1-jun;fert_amount=0;FertAmt=300;initNCobs=SoilCobsNew80;Residue_SOM=SOMcorn;WTDepth=600
Title = Cobs-Corn;cultivar=Corn_long;date=1-jun;fert_amount=0;FertAmt=300;initNCobs=SoilCobsNew80;Residue_SOM=SOMcorn;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           21.935           10.960              0.228              -0.269         12.751         11.229           8.956           0.000        599.700        444.750         50.511         67.670         85.534          0.000        -28.224          2.210           300.000             5.997          126.9          127.6            181.4            146.3       3119.040       2529.990         29.000         9891.5        19450.6          23.61              ?        142.000         63.000                  0.000                  11.000           90.4        631.355          238.7        573.287           380.8        668.127          9.574         21.718         33.351         17.842          3.193          4.698         60.321         78.890         35.603         17.769          3.171          4.525         77.365         87.058         48.832         17.386          3.094          4.492            0.000
     11/11/1982           1982          9.000           62.023           14.890              1.561              -0.017         17.784         12.978          42.678           1.929        852.170        404.120         46.688         66.156        223.515         12.429        -17.257          7.872           300.000             8.522           95.8           99.4            146.5            115.6       2883.870       2374.110         14.000        11832.4        23823.4          27.78              ?        144.000         68.000                  0.000                  12.000           61.1        758.184          114.1        579.178           328.6        721.482          2.386          6.550         26.832         17.621          3.270          4.419         44.483         40.871         20.734         13.029          2.761          3.728         33.435         41.491         21.436         11.905          2.342          3.267            0.000
     11/11/1983           1983          9.000           99.286           53.426              1.407              -0.453         20.953         16.341          76.926          37.538       1205.960        597.400         50.282         71.259        417.401        129.834        -19.274          6.323           300.000            12.060           73.8           78.9            130.8            104.5       3293.730       2939.940         65.000         9044.8        19100.7          21.35              ?        136.000         60.000                  0.000                   7.000           59.1        741.887          115.0        598.244           328.0        738.613          2.447          5.776         24.454         18.495          3.401          4.571         18.432         22.763         29.042         13.226          2.884          3.944         28.356         41.448         27.164         11.969          2.404          3.519            0.000
     11/11/1984           1984          9.000           77.504           24.019              1.027              -0.713         13.070         10.662          63.407          14.070        971.040        440.410         47.181         67.802        320.161         77.357        -20.330          6.286           300.000             9.710           51.8           57.1            100.6             78.6       3015.540       2671.200         33.000         8974.7        20268.3          23.13              ?        146.000         63.000                  0.000                  11.000           67.8        771.519          115.2        541.994           314.1        754.578          2.417          7.260         30.381         19.508          3.535          4.716         45.798         36.144         18.673         12.247          2.944          4.048         31.446         47.148         19.805         10.710          2.337          3.599            0.000
     11/11/1985           1985          9.000           27.693            6.254              0.880              -0.794         13.408          7.049          13.405           0.000        652.530        353.060         49.175         68.208        112.401          0.000        -22.036          5.302           300.000             6.525           84.4           78.2            139.6             96.6       3120.119       2292.300         31.000         6298.4        15702.0          21.49              ?        124.000         68.000                  0.000                   8.000           90.3        669.738          211.3        567.321           377.0        695.740         10.192         18.333         34.860         18.745          3.481          4.652        128.582         29.742         16.658         13.581          2.781          3.818         69.969         97.466         23.984         13.744          2.470          3.656            0.000
     11/11/1986           1986          9.000           87.565           22.861              2.778               0.198         22.140         18.261          62.646           4.402       1091.450        643.130         48.344         68.522        237.933         49.853        -17.652          7.987           300.000            10.914          134.6          138.6            191.2            151.2       3262.950       2581.020         28.000        11938.7        23912.3          27.68              ?        137.000         61.000                  0.000                   8.000           65.9        748.176          149.2        734.115           343.3        721.538          3.105          7.157         28.879         18.664          3.446          4.665         35.706         55.356         35.956         14.388          2.930          3.960         22.136         38.003         68.365         14.779          2.557          3.475            0.000
     11/11/1987           1987          9.000           47.660           14.182              1.432               0.137         15.474         14.046          30.754           0.000        866.160        571.010         51.669         70.563        112.816          0.000        -21.638          6.279           300.000             8.662          144.2          140.9            204.0            156.4       3446.911       2595.420         39.000        13703.2        24143.6          28.68              ?        126.000         59.000                  0.000                  14.000           93.2        715.878          191.8        623.594           386.8        688.466          7.816         20.128         37.472         19.204          3.576          4.983         72.037         50.562         29.124         18.248          3.269          4.268         40.435         44.670         80.482         18.588          2.990          3.832            0.000
     11/11/1988           1988          9.000           56.543            8.559             -0.578              -0.798         11.531          9.358          45.589           0.000        591.840        383.530         50.680         69.669        149.446          0.000        -27.139          1.881           300.000             5.918          101.8           95.1            149.8            114.6       3582.810       2909.249         61.000         8585.1        16553.3          18.90              ?        145.000         59.000                  0.000                  18.000           94.5        634.013          263.0        502.272           393.2        631.867         12.616         22.803         33.390         17.822          3.190          4.703        128.392         47.744         20.239         16.473          3.121          4.534         81.479        101.907         54.212         17.756          2.840          4.481            0.000
     11/11/1989           1989          9.000           41.585            6.616              0.793              -0.605         12.729          7.221          28.063           0.000        638.310        305.830         49.100         66.682        123.188          0.000        -21.669          5.834           300.000             6.383           70.4           73.4            124.0             89.5       3103.650       2450.431         24.000         9331.3        19950.7          24.57              ?        142.000         65.000                  0.000                  18.000           87.2        714.623          167.5        484.049           366.5        725.621          5.531         16.126         38.187         19.176          3.506          4.673        105.186         38.476         18.621         15.785          3.000          3.945         73.605         54.315         19.526         13.814          2.467          3.625            0.000
