ApsimVersion = 7.8
factors = cultivar=Corn_long;date=15-apr;fert_amount=0;FertAmt=0;initNCobs=SoilCobsNew10;Residue_SOM=SOMsoy;WTDepth=1200
Title = Cobs-Corn;cultivar=Corn_long;date=15-apr;fert_amount=0;FertAmt=0;initNCobs=SoilCobsNew10;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            1.206            0.523              0.142               0.001          1.065          0.522           0.000           0.000        599.700        430.530         50.511         67.052          0.000          0.000          0.626          1.628             0.000             5.997          162.3          156.0            201.1            161.4       3119.040       2718.180         28.000         8456.4        14842.4          13.69              ?        158.000         82.000                  3.000                  11.000           20.9        622.674           22.5        623.375            30.6        612.755          5.794          4.905          5.201          3.469          0.603          0.962          6.265          1.129          0.494          0.122          0.168          1.066         13.861          3.550          2.620          0.190          0.045          1.206            0.000
     11/11/1982           1982          9.000            3.715            1.455              0.669               0.172          1.800          0.870           1.246           0.413        852.170        554.260         46.688         65.716         38.855         21.968         21.894         10.367             0.000             8.522          163.6          166.4            200.3            173.8       2883.870       2640.960         15.000         7656.2        15113.4          14.17              ?        166.000         87.000                  2.000                  12.000           15.4        706.107           21.6        710.259            22.3        736.441          3.196          2.428          4.610          3.422          0.707          1.003          2.986          0.766          0.333          1.399          0.589          0.825         11.994          3.969          2.562          1.305          0.499          0.702            0.000
     11/11/1983           1983          9.000           12.821            2.186              0.812               0.191          2.336          0.836           9.673           1.159       1205.960        607.300         50.282         68.431        314.915        243.545         19.699          9.110             0.000            12.060          156.9          148.1            207.6            155.8       3293.730       2791.800         61.000         6817.4        13468.4          12.16              ?        146.000         87.000                  6.000                   7.000           18.2        772.677           26.2        666.364            19.5        744.032          2.589          3.374          6.283          4.057          0.781          1.093          5.672          0.741          0.310          2.430          0.672          0.905         14.042          4.676          2.445          2.128          0.620          0.806            0.000
     11/11/1984           1984          9.000            7.381            1.255              0.678               0.369          1.270          0.540           5.433           0.346        971.040        558.030         47.181         66.880        115.215         44.723         19.707          8.298             0.000             9.710          146.4          143.2            183.2            150.7       3015.540       2711.250         31.000         7913.4        15081.0          12.26              ?        157.000         86.000                  0.000                  11.000           16.6        685.268           21.1        602.149            22.0        724.019          3.851          3.291          4.470          3.347          0.632          0.993          3.604          0.812          0.319          2.516          0.727          0.971         11.857          3.369          1.804          1.690          0.659          0.886            0.000
     11/11/1985           1985          9.000            2.252            0.202              0.354               0.041          1.401          0.161           0.497           0.000        652.530        314.190         49.175         68.600         10.672          0.000          5.133          3.092             0.000             6.525          130.5          122.7            168.7            129.9       3120.119       2790.000         30.000         6255.4        12951.3          10.38              ?        150.000         78.000                  0.000                   8.000           19.0        654.359           22.5        555.030            25.7        640.940          5.299          3.458          4.968          3.556          0.675          1.020          4.857          0.921          0.434          0.041          0.028          1.004         15.962          2.815          1.181          0.127          0.032          1.070            0.000
     11/11/1986           1986          9.000           10.281            1.670              0.725               0.411          2.486          1.258           7.070           0.001       1091.450        637.540         48.344         67.427        222.062        209.711         18.422          8.836             0.000            10.914          180.7          173.8            222.4            180.2       3262.950       2724.840         27.000         9463.4        16754.8          15.24              ?        154.000         79.000                  3.000                   8.000           21.5        697.677           22.5        752.278            28.3        756.131          6.095          4.575          5.688          3.509          0.650          0.982          2.951          0.713          0.309          1.734          0.715          0.943         13.532          3.372          1.850          1.261          0.610          0.809            0.000
     11/11/1987           1987          9.000            2.417            0.816              0.314               0.044          1.611          0.772           0.492           0.000        866.160        616.980         51.669         70.181          9.222          0.000         11.485          1.779             0.000             8.662          174.0          165.1            224.6            171.4       3446.911       2900.520         48.000         8126.7        15808.6          14.67              ?        143.000         72.000                  0.000                  14.000           21.6        667.702           20.5        713.743            29.8        626.444          5.838          4.705          5.635          3.751          0.642          1.022          4.229          0.999          0.487          0.092          0.115          1.128          9.347          4.037          4.013          0.509          0.052          1.252            0.000
     11/11/1988           1988          9.000            3.368            0.327              0.163              -0.033          1.483          0.360           1.721           0.000        591.840        354.080         50.680         70.609         43.042          0.000         11.200          1.723             0.000             5.918          119.5           95.6            161.4            101.6       3582.810       2941.470         62.000         5094.0        11295.7           8.05              ?        140.000         76.000                  4.000                  18.000           20.5        626.918           22.7        552.747            29.4        614.856          5.531          4.458          5.157          3.633          0.654          1.038          4.636          1.172          0.594          0.274          0.478          1.111         11.172          5.297          3.435          0.158          0.049          1.209            0.000
     11/11/1989           1989          9.000            2.397            0.582              0.344               0.078          1.462          0.504           0.590           0.000        638.310        432.820         49.100         67.289         12.293          0.000         12.301          3.164             0.000             6.383          149.4          140.3            182.1            148.8       3103.650       2744.820         28.000         7551.7        14666.5          12.29              ?        157.000         83.000                  3.000                  18.000           19.4        645.003           20.0        571.578            28.9        655.026          5.524          3.411          4.997          3.718          0.689          1.045          5.858          1.222          0.495          0.054          0.048          1.057         10.501          5.226          1.936          0.192          0.050          1.120            0.000
