ApsimVersion = 7.8
factors = cultivar=Corn_long;date=15-apr;fert_amount=0;FertAmt=300;initNCobs=SoilCobsNew80;Residue_SOM=SOMcorn;WTDepth=1800
Title = Cobs-Corn;cultivar=Corn_long;date=15-apr;fert_amount=0;FertAmt=300;initNCobs=SoilCobsNew80;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            7.487            4.920              0.503              -0.465          6.983          5.384           0.000           0.000        599.700        430.530         50.511         67.052          0.000          0.000          4.136          2.183           300.000             5.997           73.7           81.5            149.9            113.4       3119.040       2718.180         28.000        12998.0        23514.2          26.54              ?        158.000         82.000                  3.000                  11.000           83.7        659.375          160.8        497.234           342.0        637.440          8.258         20.010         30.529         17.159          3.028          4.693         61.573         23.223         14.170         14.660          3.032          4.541         58.196         59.373         20.599         14.611          2.724          4.404            0.000
     11/11/1982           1982          9.000           36.554           29.713              2.665              -0.346         17.317         15.258          16.572          14.802        852.170        554.260         46.688         65.716         93.818         81.497         21.996          8.148           300.000             8.522           64.1           75.7            135.7            114.4       2883.870       2640.960         15.000        15131.1        29040.2          31.69              ?        166.000         87.000                  2.000                  12.000           74.6        750.235           42.7        524.783           311.1        774.283          4.435          9.648         32.627         19.534          3.525          4.818         10.810         13.086          5.853          7.000          2.841          3.991         20.605         10.380          3.986          1.816          1.914          3.506            0.000
     11/11/1983           1983          9.000           61.557           47.214              4.076               0.291         16.198         13.327          41.283          33.597       1205.960        607.300         50.282         68.431        236.322        183.991         25.997          8.732           300.000            12.060           43.5           46.7            132.9             85.9       3293.730       2791.800         61.000        10911.4        22740.9          24.35              ?        146.000         87.000                  6.000                   7.000           75.7        795.209           76.1        559.818           284.3        751.251          3.776          8.732         34.000         20.560          3.676          5.004         14.672         12.872         25.595         15.539          3.080          4.129         25.989         16.105         13.361         13.239          2.619          3.642            0.000
     11/11/1984           1984          9.000           62.066           52.314              4.621               0.494         14.931         13.524          42.514          38.296        971.040        558.030         47.181         66.880        168.148        145.314         42.623          8.177           300.000             9.710           25.0           32.4             97.9             70.9       3015.540       2711.250         31.000         9941.4        22885.5          24.86              ?        157.000         86.000                  0.000                  11.000           82.7        739.849           49.6        503.185           306.6        768.624          6.396         14.627         34.706         18.723          3.385          4.886          9.967         10.364          7.858         10.632          3.194          4.270         17.922          9.988          5.539          9.295          2.569          3.702            0.000
     11/11/1985           1985          9.000            7.539            1.253              1.648              -0.531          5.892          1.785           0.000           0.000        652.530        314.190         49.175         68.600          0.000          0.000          8.783          5.797           300.000             6.525           20.9           21.5             93.5             59.7       3120.119       2790.000         30.000         9052.1        21953.3          25.09              ?        150.000         78.000                  0.000                   8.000           82.8        702.292          109.3        426.297           333.5        678.205          7.987         14.200         32.887         19.091          3.580          5.088         59.200         15.685         10.273          8.563          2.538          4.088         54.927         30.853          9.618          6.799          2.028          3.954            0.000
     11/11/1986           1986          9.000           56.034           31.798              3.844               0.018         21.466         18.302          30.724          13.478       1091.450        637.540         48.344         67.427        157.068        157.068         18.397          8.351           300.000            10.914          109.7          119.1            195.3            153.4       3262.950       2724.840         27.000        15104.2        26767.1          30.53              ?        154.000         79.000                  3.000                   8.000           81.3        756.318          106.7        613.204           302.9        779.967          4.952         11.937         34.910         20.737          3.713          5.082         22.690         34.333         29.207         14.637          3.129          4.274         36.480         25.750         25.582         11.376          2.657          3.695            0.000
     11/11/1987           1987          9.000           16.538           11.541              2.145               0.138         14.099         11.404           0.294           0.000        866.160        616.980         51.669         70.181          0.737          0.000         12.406          4.623           300.000             8.662           76.0           77.3            165.8            114.1       3446.911       2900.520         48.000        10574.6        22543.0          25.42              ?        143.000         72.000                  0.000                  14.000           86.1        712.666          156.6        613.510           350.2        667.148          8.903         17.781         33.237         18.221          3.171          4.773         47.757         43.564         19.464         13.521          2.954          4.439         26.523         35.509         72.442         14.280          2.531          4.158            0.000
     11/11/1988           1988          9.000           13.364            5.395              2.989              -0.533         10.375          5.928           0.000           0.000        591.840        354.080         50.680         70.609          0.000          0.000         24.551          2.046           300.000             5.918           57.9           26.7            119.9             58.9       3582.810       2941.470         62.000         5105.5        13408.6          18.05              ?        140.000         76.000                  4.000                  18.000           84.1        649.565          196.2        500.359           341.2        628.744          9.867         19.115         29.947         17.350          3.104          4.758        132.089         17.994         14.783         12.038          2.883          4.522         61.713         72.476         42.374         11.488          2.636          4.430            0.000
     11/11/1989           1989          9.000           14.397            8.847              2.479              -0.184         11.918          9.031           0.000           0.000        638.310        432.820         49.100         67.289          0.000          0.000         20.514          6.272           300.000             6.383           28.7           27.8             97.4             67.7       3103.650       2744.820         28.000        10656.4        23394.3          26.54              ?        157.000         83.000                  3.000                  18.000           85.2        673.440           94.9        461.439           335.8        687.502         11.004         15.275         31.992         18.568          3.435          4.955         38.671         36.109         14.806         10.398          2.546          4.177         28.888         36.982         13.801          8.433          2.050          3.843            0.000
     11/11/1990           1990          9.000           65.428           56.341              3.655               0.839         20.399         18.055          41.374          37.447        998.533        729.006         49.689         68.487        172.266        147.750         14.788          9.236           300.000             9.985          119.0          119.9            204.9            157.1       3276.134       2791.983         37.000        13563.0        24727.8          27.71              ?        148.000         81.000                  4.000                  14.000           73.3        747.519           95.2        692.829           278.6        788.577          3.403          9.365         31.748         20.142          3.637          4.981         11.740         15.937         30.972         16.539          3.056          4.124         41.637         16.451         16.269         12.408          2.685          3.631            0.000
     11/11/1991           1991          9.000           43.960           29.876              2.191              -0.123         15.805         13.796          25.964          16.204        821.349        328.853         50.164         70.621        180.510        101.921         14.307          7.556           300.000             8.213           31.0           44.0            114.3             78.9       3619.281       2917.007         52.000        11284.5        23153.5          24.59              ?        140.000         74.000                  0.000                  20.000           68.4        810.236           88.1        473.069           296.7        760.732          2.244          6.596         30.585         20.277          3.666          5.018         39.814         28.826         14.448         14.274          3.116          4.218         34.724         23.712         10.930         12.374          2.574          3.691            0.000
     11/11/1992           1992          9.000           22.700           16.991              3.822               0.111         10.897          8.898           7.982           7.982        879.812        575.766         49.338         62.193         49.177         49.177         29.614          8.345           300.000             8.798           83.7           91.5            140.5            128.1       2533.040       2421.786         12.000        15339.7        28986.6          32.02              ?        186.000         87.000                  2.000                  14.000           78.5        750.134           72.6        663.569           318.9        713.568          4.264         11.243         34.258         20.215          3.602          4.889         16.404         28.419         19.604          7.051          2.126          3.903         27.371         16.257         19.672          4.486          1.057          3.548            0.000
     11/11/1993           1993          9.000           78.508           66.823              4.253               0.917         24.148         21.289          50.107          44.617       1370.990       1047.319         46.812         66.248        323.673        323.673         40.267         10.115           300.000            13.710           97.8          104.4            164.8            144.9       2849.719       2658.896         31.000        13920.2        25418.4          27.69              ?        162.000         87.000                  2.000                  17.000           80.3        771.665           75.5        767.644           289.0        753.991          6.090         10.636         34.533         20.409          3.676          4.995          9.131          6.786         21.472         16.638          3.088          4.140         21.783         15.355         17.069         14.450          2.659          3.573            0.000
     11/11/1994           1994          9.000            8.142            5.246              1.538              -0.268          6.604          5.514           0.000           0.000        681.161        482.246         48.850         66.437          0.000          0.000          9.945          5.368           300.000             6.812           61.9           69.7            136.1            108.9       3004.924       2753.627         33.000        16745.8        29852.2          32.65              ?        164.000         84.000                  1.000                   7.000           85.0        681.992           84.5        488.704           331.8        660.018         11.682         15.694         31.330         18.082          3.338          4.891         44.159         39.267         21.540         13.685          2.659          4.199         24.997         28.937         15.736          8.586          1.814          3.886            0.000
     11/11/1995           1995          9.000           27.446           24.071              2.667               0.659         10.604          9.237          14.174          14.174        751.645        493.575         48.086         64.915         77.901         77.901         26.807          8.396           300.000             7.516           77.7           86.0            145.0            123.9       2764.728       2591.195         35.000        13287.3        26203.5          28.68              ?        167.000         91.000                  1.000                  15.000           83.2        750.153          103.2        534.081           285.1        737.037          5.277         13.069         36.917         19.679          3.382          4.857         26.882         25.365         15.271         10.677          3.070          4.251         41.624         27.934         16.499         10.081          2.579          3.723            0.000
     11/11/1996           1996          9.000           72.931            6.800              3.754               0.406         36.806          6.394          32.371           0.000        848.413        172.669         46.596         55.542        104.397        104.397         16.935          2.450           300.000             8.484          123.8          -21.9            167.0             -3.7       2735.663        272.804          3.000            0.0            1.8           0.01              ?         40.000          0.000                 17.000                 176.000           81.3        691.708          320.1        778.133           285.1        737.037          8.736         13.456         32.001         18.649          3.540          4.889         26.882         25.365         15.271         10.677          3.070          4.251        164.329         76.748         49.341         20.445          3.468          4.552            0.000
     11/11/1997           1997          9.000           18.082            7.011              4.127              -0.503         13.173          7.513           0.782           0.000        698.516        375.616         47.187         65.982          0.000          0.000         42.101          7.757           300.000             6.985           31.9           40.2            104.9             78.5       2964.064       2617.941         37.000        13832.2        26271.3          28.49              ?        161.000         86.000                  5.000                  12.000           80.6        737.944           81.0        473.507           314.8        749.125          5.528         12.556         33.792         20.058          3.682          5.016         48.814         28.432         10.672         10.629          2.972          4.157         30.943         24.331         10.475          8.971          2.366          3.654            0.000
     11/11/1998           1998          9.000           50.247           43.768              2.781               0.251         16.980         15.515          30.486          28.001        881.628        524.332         50.291         68.181        136.498        119.532         20.375          9.038           300.000             8.816           57.9           71.4            138.7            107.3       3285.676       2824.595         30.000        14710.1        27418.1          29.62              ?        154.000         85.000                  0.000                   7.000           75.5        768.811           47.0        509.595           326.4        719.679          3.001          9.539         33.881         20.481          3.653          4.950         14.972         13.256         19.038         14.106          3.059          4.092         14.498         10.856          6.956          8.507          2.568          3.543            0.000
     11/11/1999           1999          9.000           57.744           54.863              2.655               0.366         15.535         14.942          39.554          39.554        916.920        719.328         50.120         66.227        174.242        174.242         11.306          9.475           300.000             9.169          119.5          124.2            192.3            159.1       2964.396       2668.782         32.000        14475.3        27188.3          30.08              ?        161.000         84.000                  2.000                  12.000           82.2        769.142           80.3        633.825           287.2        753.321          3.995         11.063         36.855         21.392          3.773          5.082         12.789         12.278         14.949         13.977          3.136          4.160         29.029         17.904         16.089         10.277          2.666          3.588            0.000
     11/11/2000           2000          9.000           11.915            8.709              1.799              -0.167         10.116          8.876           0.000           0.000        560.980        329.362         51.136         67.683          0.000          0.000         13.474          6.739           300.000             5.610           40.2           58.0            130.1             94.5       3235.177       2753.498         31.000        13948.9        26590.6          29.22              ?        154.000         83.000                  0.000                  10.000           83.9        674.513           98.3        424.472           337.5        691.037          7.696         16.025         32.932         18.841          3.456          4.998         37.360         46.987         22.700         13.458          2.948          4.245         30.449         36.260         15.948          9.450          2.260          3.823            0.000
     11/11/2001           2001          9.000           31.004           26.757              1.749              -0.589         18.585         16.677          10.669          10.669        726.898        436.118         46.582         68.014         63.805         63.805         13.754          7.305           300.000             7.269           15.2           22.7             88.6             59.1       3084.816       2759.209         40.000        10687.9        23430.7          25.47              ?        151.000         83.000                  3.000                   9.000           78.2        761.273           62.1        502.676           305.9        746.331          4.246         11.589         33.893         19.914          3.599          4.938         24.067         17.844          5.448          6.838          2.935          4.129         21.631         21.003          6.017          6.693          2.284          3.651            0.000
     11/11/2002           2002          9.000           13.751           10.918              1.948               0.522         11.803         10.395           0.000           0.000        724.612        503.682         49.940         67.483          0.000          0.000         17.130          6.423           300.000             7.246           54.9           62.2            128.8            100.2       3067.122       2755.406         46.000        12570.8        25461.7          28.36              ?        154.000         83.000                  0.000                  21.000           84.0        672.273          104.1        492.051           310.8        733.663          9.944         16.784         31.144         18.042          3.245          4.829         23.157         31.710         18.700         14.073          3.260          4.481         35.941         25.590         22.764         12.823          2.737          3.943            0.000
