ApsimVersion = 7.8
factors = cultivar=Corn_long;date=15-may;fert_amount=0;FertAmt=150;initNCobs=SoilCobsNew19;Residue_SOM=SOMcorn;WTDepth=1800
Title = Cobs-Corn;cultivar=Corn_long;date=15-may;fert_amount=0;FertAmt=150;initNCobs=SoilCobsNew19;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            2.144            1.565              0.320              -0.073          1.824          1.638           0.000           0.000        599.700        452.120         50.511         67.668          0.000          0.000          4.592          2.175           150.000             5.997          109.7          109.9            167.9            137.2       3119.040       2732.310         29.000        13214.4        23227.3          23.94              ?        154.000         65.000                  0.000                  11.000           31.1        637.764           18.2        526.030           169.5        626.307          4.163          8.464         10.518          5.525          0.965          1.441          2.470          2.721          0.713          0.759          0.974          1.459         11.457          2.742          1.404          0.236          0.146          1.575            0.000
     11/11/1982           1982          9.000           10.984            8.439              0.582              -0.123          6.210          5.570           4.193           2.993        852.170        498.370         46.688         65.777         95.737         62.693         24.053          8.081           150.000             8.522          111.3          115.3            163.0            143.4       2883.870       2587.680         14.000        12696.3        24717.1          22.41              ?        161.000         73.000                  0.000                  12.000           23.0        768.617           12.4        595.461           135.2        759.785          2.337          5.075          8.482          4.799          0.965          1.354          3.990          1.088          0.405          1.540          0.807          1.137          6.532          2.078          1.379          0.278          0.704          1.135            0.000
     11/11/1983           1983          9.000           28.442           22.736              0.936              -0.058          7.620          6.340          19.886          16.454       1205.960        601.460         50.282         71.249        262.789        168.211         25.353          7.276           150.000            12.060           65.4           69.5            132.1            102.4       3293.730       2932.380         64.000         8662.8        19141.7          16.09              ?        137.000         69.000                  0.000                   7.000           22.7        759.117           23.7        578.464           145.0        753.828          1.897          3.927          8.821          5.520          1.054          1.432          2.974          1.384          0.590          2.641          0.901          1.219         11.104          5.839          1.468          2.148          0.815          1.188            0.000
     11/11/1984           1984          9.000           20.927           15.616              1.174              -0.246          6.671          5.920          13.083           9.941        971.040        494.780         47.181         68.705        170.437        105.044         42.912          6.920           150.000             9.710           49.4           55.3            106.4             87.5       3015.540       2814.660         33.000         9319.1        20955.1          16.37              ?        149.000         68.000                  0.000                  11.000           23.3        736.575           14.6        512.433           140.8        747.342          2.037          3.604          9.476          5.691          1.074          1.468          3.348          0.999          0.429          0.779          0.898          1.249          8.770          2.397          0.593          0.263          0.720          1.221            0.000
     11/11/1985           1985          9.000            3.030            1.237              0.631              -0.084          2.399          1.321           0.000           0.000        652.530        365.260         49.175         67.840          0.000          0.000         10.344          5.469           150.000             6.525           67.8           68.8            128.3             92.9       3120.119       2550.060         31.000         6595.0        16790.1          18.27              ?        141.000         69.000                  0.000                   8.000           29.9        680.263           29.5        541.761           167.9        662.895          3.744          7.525         10.426          5.677          1.071          1.451          5.627          1.842          0.505          0.198          0.266          1.222         13.635         12.382          1.788          0.178          0.084          1.282            0.000
     11/11/1986           1986          9.000           12.035            7.544              1.016               0.174          6.292          5.389           4.727           1.981       1091.450        710.430         48.344         67.646        135.346         95.505         20.350          9.158           150.000            10.914          140.0          144.1            197.3            165.4       3262.950       2760.930         28.000        13883.3        24613.9          25.26              ?        154.000         65.000                  0.000                   8.000           25.3        773.626           22.9        770.199           150.9        730.208          1.860          4.704         10.895          5.342          1.033          1.431          3.850          1.143          0.381          3.706          0.882          1.219          7.483          5.996          4.883          2.305          0.899          1.187            0.000
     11/11/1987           1987          9.000            6.872            5.624              0.850               0.125          5.979          5.499           0.043           0.000        866.160        650.760         51.669         70.129          0.790          0.000         15.354          6.248           150.000             8.662          135.1          130.4            194.8            160.8       3446.911       2882.970         41.000        12481.3        23263.3          25.57              ?        143.000         67.000                  0.000                  14.000           34.3        670.830           17.1        647.709           162.7        692.063          6.025          7.688         11.818          6.070          1.104          1.569          6.637          1.705          0.576          0.527          0.990          1.376         10.530          2.290          1.839          0.190          0.088          1.394            0.000
     11/11/1988           1988          9.000            4.157            2.647              0.128              -0.221          4.029          2.867           0.000           0.000        591.840        379.220         50.680         73.070          0.000          0.000         25.876          1.926           150.000             5.918           88.2           77.6            147.2            103.9       3582.810       3068.370         66.000         4818.9        11527.0          13.12              ?        133.000         63.000                  0.000                  18.000           30.2        637.954          100.3        569.694           169.0        643.691          4.251          8.051          9.930          5.520          0.984          1.489         36.336         14.201          2.004          3.399          1.002          1.502         37.077         34.007         22.131          3.725          0.997          1.601            0.000
     11/11/1989           1989          9.000            6.082            3.617              1.097               0.092          4.985          3.525           0.000           0.000        638.310        397.520         49.100         67.016          0.000          0.000         22.123          6.038           150.000             6.383           61.8           63.4            117.7             92.7       3103.650       2728.801         26.000         8981.9        19274.2          19.01              ?        157.000         66.000                  0.000                  18.000           29.1        674.984           14.0        483.857           152.5        706.145          3.434          7.017         10.340          5.686          1.072          1.508          4.405          1.747          0.470          0.251          0.658          1.279          9.192          2.383          0.599          0.148          0.070          1.330            0.000
