ApsimVersion = 7.8
factors = cultivar=Corn_long;date=15-may;fert_amount=0;FertAmt=300;initNCobs=SoilCobsNew19;Residue_SOM=SOMsoy;WTDepth=1200
Title = Cobs-Corn;cultivar=Corn_long;date=15-may;fert_amount=0;FertAmt=300;initNCobs=SoilCobsNew19;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           12.914           11.245              0.122              -0.091         12.791         11.336           0.000           0.000        599.700        462.280         50.511         67.157          0.000          0.000          0.786          1.546           300.000             5.997          186.2          171.2            202.8            174.9       3119.040       2748.780         29.000         7072.5        15583.0          20.93              ?        159.000         76.000                  0.000                  11.000           41.2        612.589          263.3        584.003           354.4        610.988         13.787          9.511         10.245          5.321          0.905          1.426         87.785         90.519         15.626          5.768          0.994          1.555        101.582        109.099         42.874          6.354          1.102          1.754            0.000
     11/11/1982           1982          9.000           23.601           14.757              0.821              -0.076         18.676         14.414           4.105           0.418        852.170        498.370         46.688         65.777         27.446          7.126         19.163          7.941           300.000             8.522          166.8          162.3            183.8            165.6       2883.870       2587.680         14.000        14488.3        26801.1          29.98              ?        161.000         73.000                  0.000                  12.000           33.5        729.262          134.1        562.282           315.6        758.812         10.064          6.360          9.297          5.391          1.002          1.384         56.869         52.776         20.460          4.710          0.840          1.161         50.743         55.102         21.523          4.613          0.785          1.160            0.000
     11/11/1983           1983          9.000           60.389           43.230              0.882              -0.084         22.371         17.200          37.135          26.114       1205.960        601.460         50.282         71.249        203.509        135.683         16.569          7.092           300.000            12.060          120.3          117.4            151.5            123.1       3293.730       2932.380         64.000         9184.4        20279.4          23.60              ?        137.000         69.000                  0.000                   7.000           32.0        754.005          119.6        557.398           313.9        750.999          7.525          5.706         10.270          5.886          1.103          1.488         26.898         26.537         39.140          5.550          0.943          1.266         41.082         43.581         26.236          5.399          0.842          1.228            0.000
     11/11/1984           1984          9.000           44.624           19.179              0.894              -0.018         16.503         13.729          27.227           5.468        971.040        494.780         47.181         68.705        106.181         34.743         17.543          6.550           300.000             9.710           99.0           97.9            121.0            102.9       3015.540       2814.660         33.000         9757.8        22263.3          25.38              ?        149.000         68.000                  0.000                  11.000           32.2        695.712          108.4        487.309           314.4        720.861          7.293          6.332         10.277          5.794          1.048          1.483         39.799         43.980         22.170          4.949          0.983          1.342         46.150         40.236         14.808          4.409          0.834          1.295            0.000
     11/11/1985           1985          9.000           15.344            6.712              0.174              -0.279         13.234          6.991           1.936           0.000        652.530        365.260         49.175         67.840         16.852          0.000          6.578          2.640           300.000             6.525          132.5          112.8            150.7            115.9       3120.119       2550.060         31.000         5677.0        14926.7          21.40              ?        141.000         68.000                  0.000                   8.000           43.2        642.940          203.2        533.319           346.2        643.231         15.888          8.827         10.541          5.509          0.997          1.462        167.754         19.225          7.488          3.966          0.940          1.384         79.101        101.341         16.402          4.020          0.906          1.454            0.000
     11/11/1986           1986          9.000           39.413           19.939              1.310               0.143         23.167         19.796          14.935           0.000       1091.450        710.430         48.344         67.646         43.361         29.560         17.268          8.511           300.000            10.914          199.4          190.0            220.0            192.2       3262.950       2760.930         28.000        14881.7        25592.8          29.84              ?        154.000         65.000                  0.000                   8.000           41.5        731.393          171.1        742.671           335.6        715.780         11.210          9.873         12.008          5.788          1.069          1.516         56.874         65.390         25.718          5.563          0.993          1.305         26.264         48.154         86.694          8.079          0.913          1.221            0.000
     11/11/1987           1987          9.000           24.834           17.751              0.440              -0.081         19.338         17.832           5.055           0.000        866.160        650.760         51.669         70.129         13.197          0.000          9.348          1.837           300.000             8.662          195.5          176.8            220.3            181.7       3446.911       2882.970         41.000        11822.5        22195.3          24.82              ?        143.000         65.000                  0.000                  14.000           48.4        629.937          224.4        617.737           348.1        648.218         18.899         10.072         11.393          5.573          0.958          1.488         71.922         63.948         18.668          6.159          1.080          1.593         53.831         59.938         99.808          7.139          1.151          1.747            0.000
     11/11/1988           1988          9.000           36.673           10.790              0.296              -0.214         15.426         11.004          20.951           0.000        591.840        379.220         50.680         73.070         48.340          0.000         11.586          1.517           300.000             5.918          158.4          130.3            178.9            134.3       3582.810       3068.370         66.000         4704.3        10921.7          14.69              ?        133.000         63.000                  0.000                  18.000           40.9        620.691          290.9        560.336           351.3        627.095         13.912          8.946         10.110          5.440          0.959          1.492        173.894         50.184          6.376          4.993          1.020          1.560        102.077        115.445         63.981          5.800          1.047          1.701            0.000
     11/11/1989           1989          9.000           18.839            8.103              0.368              -0.256         14.305          8.359           4.166           0.000        638.310        397.520         49.100         67.016         12.946          0.000         12.502          2.798           300.000             6.383          124.1          110.4            140.1            114.8       3103.650       2728.801         26.000         7823.8        17785.4          23.42              ?        157.000         66.000                  0.000                  18.000           39.2        643.133          174.1        468.946           330.0        664.121         13.023          8.094         10.019          5.601          1.011          1.501         99.349         44.116         11.898          5.002          1.020          1.464         88.971         64.199         13.578          4.626          0.973          1.564            0.000
