ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=1-jun;fert_amount=0;FertAmt=150;initNCobs=SoilCobsNew80;Residue_SOM=SOMsoy;WTDepth=1200
Title = Cobs-Corn;cultivar=Corn_normal;date=1-jun;fert_amount=0;FertAmt=150;initNCobs=SoilCobsNew80;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            7.882            6.455              0.557              -0.246          7.325          6.701           0.000           0.000        599.700        444.750         50.511         67.670          0.000          0.000          0.842          1.380           150.000             5.997          187.3          165.8            205.8            168.4       3119.040       2529.990         29.000         9536.9        19857.6          23.69              ?        142.000         69.000                  0.000                  11.000          112.2        608.716          152.5        544.804           282.4        642.431         32.298         24.039         31.275         16.930          2.971          4.657         38.229         50.601         31.797         16.929          3.050          4.739         44.956         47.871         34.772         16.600          3.042          4.835            0.000
     11/11/1982           1982          9.000           18.832            8.980              3.182              -0.047         11.272          7.983           4.379           1.044        852.170        404.120         46.688         66.156         27.967          6.503         20.262          7.774           150.000             8.522          166.4          152.7            184.0            154.1       2883.870       2374.110         14.000        11856.0        23875.6          26.20              ?        144.000         68.000                  0.000                  12.000           95.8        758.070           73.6        580.509           245.3        720.105         15.019         16.119         37.819         19.041          3.336          4.462         26.378         15.439          7.928         10.911          2.817          3.759         27.061         20.107         11.200          9.327          2.375          3.298            0.000
     11/11/1983           1983          9.000           52.769           34.879              2.488              -0.426         14.602         10.125          35.680          25.180       1205.960        516.110         50.282         73.090        207.148        107.078         16.643          6.171           150.000            12.060          130.6          124.8            160.3            128.6       3293.730       2882.520         65.000         8445.3        18672.5          20.15              ?        124.000         60.000                  0.000                   7.000           83.7        735.923           72.4        536.254           239.1        728.686         12.231         11.825         32.078         19.377          3.518          4.698         13.401          7.417          3.913          8.119          2.977          4.049         34.512         19.588          4.238          6.569          2.459          3.611            0.000
     11/11/1984           1984          9.000           27.688           12.368              2.144              -0.782          8.958          6.938          16.586           6.213        971.040        440.410         47.181         67.973        101.797         30.485         18.087          6.255           150.000             9.710          116.2          105.8            132.0            108.6       3015.540       2671.200         33.000         8933.9        20159.8          21.81              ?        145.000         63.000                  0.000                  11.000          100.1        736.833           73.3        541.135           244.7        751.204         15.114         18.628         37.559         20.010          3.780          4.989         26.775         15.586          6.845          8.750          3.146          4.281         22.634         27.839          8.351          8.088          2.439          3.786            0.000
     11/11/1985           1985          9.000           10.122            3.559              0.852              -0.768          8.378          4.327           0.893           0.000        652.530        353.060         49.175         68.208         16.621          0.000          6.815          2.361           150.000             6.525          145.7          118.0            169.5            120.5       3120.119       2292.300         31.000         5931.2        15101.1          19.27              ?        124.000         68.000                  0.000                   8.000          117.9        636.770          157.7        545.988           283.3        662.894         34.796         22.461         34.545         18.087          3.272          4.692         81.194         23.488         13.198         12.518          2.940          4.240         52.107         67.941         17.545         13.059          2.731          4.168            0.000
     11/11/1986           1986          9.000           30.247           14.448              4.013               0.239         15.688         12.167          10.547           2.042       1091.450        643.130         48.344         68.522         51.064         37.260         17.871          7.998           150.000            10.914          196.7          178.3            217.6            179.5       3262.950       2581.020         28.000        11517.7        23554.5          25.76              ?        137.000         61.000                  0.000                   8.000          106.1        732.126          110.3        738.130           265.5        708.701         19.938         17.725         38.713         21.177          3.707          4.878         23.501         27.624         19.376         14.061          3.160          4.144         17.334         26.763         45.686         14.205          2.734          3.612            0.000
     11/11/1987           1987          9.000           14.294            8.709              1.350              -0.068          9.992          8.778           2.952           0.000        866.160        571.010         51.669         70.563         13.724          0.000          9.684          1.802           150.000             8.662          209.7          175.9            234.9            178.0       3446.911       2595.420         39.000        12907.1        23543.3          26.71              ?        126.000         59.000                  0.000                  14.000          125.3        672.757          142.5        594.864           295.0        646.475         34.871         29.985         34.991         17.561          3.120          4.744         53.062         36.043         24.602         17.827          3.317          4.773         31.798         27.991         55.972         17.964          3.237          4.736            0.000
     11/11/1988           1988          9.000           20.242            5.466              0.937              -0.759          7.700          6.225          11.605           0.000        591.840        376.670         50.680         70.924         48.513          0.000         11.686          1.422           150.000             5.918          168.5          133.9            184.6            137.0       3582.810       2875.769         61.000         7393.6        15490.5          17.27              ?        136.000         62.000                  0.000                  18.000          120.3        618.383          197.9        498.292           295.0        615.233         37.938         24.607         32.652         17.336          3.096          4.704         80.054         34.123         18.228         14.542          3.103          4.669         62.380         74.112         39.100         14.179          2.867          4.687            0.000
     11/11/1989           1989          9.000           12.252            3.364              1.599              -0.507          8.481          3.871           2.172           0.000        638.310        305.830         49.100         66.682         16.084          0.000         13.624          2.941           150.000             6.383          135.0          113.2            154.3            115.4       3103.650       2450.431         24.000         8757.9        18976.8          22.23              ?        142.000         65.000                  0.000                  18.000          112.7        674.341          117.0        463.475           276.3        689.550         25.949         24.396         36.353         18.124          3.238          4.686         66.613         25.697         13.758          9.865          2.860          4.348         52.774         35.877         13.703          8.134          2.229          4.184            0.000
