ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=1-jun;fert_amount=0;FertAmt=300;initNCobs=SoilCobsNew40;Residue_SOM=SOMcorn;WTDepth=1800
Title = Cobs-Corn;cultivar=Corn_normal;date=1-jun;fert_amount=0;FertAmt=300;initNCobs=SoilCobsNew40;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000           12.446           10.736              0.610              -0.154         11.837         10.890           0.000           0.000        599.700        444.750         50.511         67.670          0.000          0.000          5.000          2.218           300.000             5.997          126.3          122.8            181.2            143.7       3119.040       2529.990         29.000         9911.5        19522.5          22.85              ?        142.000         64.000                  0.000                  11.000           54.8        631.563          206.4        573.576           342.6        668.543          6.880         14.177         19.434          9.957          1.764          2.593         56.636         72.070         24.381         10.204          1.785          2.551         74.324         79.830         37.055         10.287          1.799          2.619            0.000
     11/11/1982           1982          9.000           25.642           14.102              1.938              -0.017         15.743         12.888           7.961           1.231        852.170        404.120         46.688         66.156        104.832         12.892         24.930          7.879           300.000             8.522           95.3           97.3            146.3            114.7       2883.870       2374.110         14.000        11794.2        23818.8          26.68              ?        144.000         68.000                  0.000                  12.000           36.3        758.470          103.9        579.296           304.7        721.665          2.004          5.003         15.911          9.225          1.764          2.408         42.036         37.963         15.239          7.029          1.486          2.030         37.993         38.897         16.848          6.793          1.314          1.864            0.000
     11/11/1983           1983          9.000           67.266           48.029              1.679              -0.209         19.811         15.540          45.777          32.699       1205.960        516.110         50.282         73.090        275.371        130.261         25.110          6.177           300.000            12.060           66.0           69.5            129.7             95.5       3293.730       2882.520         65.000         8496.0        18772.4          20.66              ?        124.000         60.000                  0.000                   7.000           35.3        742.072           99.0        537.364           305.2        738.845          2.079          4.413         14.471          9.966          1.864          2.508         17.628         21.579         25.164          7.386          1.585          2.163         36.987         31.653         18.654          7.006          1.379          2.019            0.000
     11/11/1984           1984          9.000           35.547           19.759              2.732              -0.399         12.491         10.607          20.325           9.551        971.040        440.410         47.181         67.973        169.040         78.274         43.174          6.280           300.000             9.710           51.5           55.2            100.8             77.5       3015.540       2671.200         33.000         8956.8        20253.7          22.21              ?        145.000         63.000                  0.000                  11.000           39.6        771.653          102.7        542.878           290.9        754.689          1.819          5.254         17.590         10.430          1.924          2.581         42.234         33.069         14.356          6.360          1.609          2.215         31.674         46.098         15.471          5.939          1.322          2.065            0.000
     11/11/1985           1985          9.000           12.759            6.295              0.968              -0.447         11.791          6.743           0.000           0.000        652.530        353.060         49.175         68.208          0.000          0.000         11.319          5.304           300.000             6.525           82.8           75.5            139.3             95.0       3120.119       2292.300         31.000         6305.9        15720.0          20.88              ?        124.000         68.000                  0.000                   8.000           55.4        669.838          181.4        567.431           341.3        695.906          7.798         12.737         20.099         10.285          1.904          2.548        117.818         24.858         10.162          7.207          1.546          2.123         64.941         88.499         16.895          7.513          1.400          2.098            0.000
     11/11/1986           1986          9.000           39.144           21.329              2.235               0.104         20.785         18.158          16.123           3.067       1091.450        643.130         48.344         68.522        131.774         54.806         19.858          7.988           300.000            10.914          134.3          136.4            191.0            149.9       3262.950       2581.020         28.000        11523.5        23593.9          26.81              ?        137.000         61.000                  0.000                   8.000           39.5        748.644          135.9        738.258           317.5        721.953          2.469          5.461         17.216          9.941          1.871          2.545         34.227         52.644         29.136          7.894          1.588          2.159         22.196         37.755         63.555          9.070          1.443          1.975            0.000
     11/11/1987           1987          9.000           16.541           13.477              1.711               0.076         14.369         13.402           0.460           0.000        866.160        571.010         51.669         70.563          0.821          0.000         16.752          6.289           300.000             8.662          144.2          138.3            204.3            154.2       3446.911       2595.420         39.000        13002.0        23732.0          27.02              ?        126.000         59.000                  0.000                  14.000           57.1        716.073          172.9        633.108           350.3        688.699          5.252         13.984         22.352         10.738          1.991          2.773         69.840         47.625         20.974         10.489          1.839          2.375         41.680         44.126         71.159         11.144          1.729          2.226            0.000
     11/11/1988           1988          9.000           12.555            8.954              1.371              -0.422         11.183          9.376           0.000           0.000        591.840        376.670         50.680         71.604          0.000          0.000         26.016          1.818           300.000             5.918           96.9           84.8            149.1            105.3       3582.810       2854.709         61.000         7475.5        15553.3          18.30              ?        131.000         59.000                  0.000                  18.000           57.9        634.151          222.7        522.497           354.8        632.070          8.919         15.109         19.542          9.950          1.771          2.624        117.863         41.294         12.732          9.362          1.770          2.585         67.961         95.927         43.877         10.196          1.668          2.637            0.000
     11/11/1989           1989          9.000           12.646            6.757              1.621              -0.342         11.025          7.100           0.000           0.000        638.310        305.830         49.100         66.682          0.000          0.000         24.069          5.851           300.000             6.383           70.3           70.2            124.4             87.7       3103.650       2450.431         24.000         9343.2        19978.5          23.51              ?        142.000         65.000                  0.000                  18.000           52.0        715.596          142.3        484.835           330.9        726.695          4.038         10.823         22.038         10.603          1.943          2.590         98.074         34.438         11.884          7.932          1.657          2.191         69.827         49.162         12.863          6.854          1.373          2.120            0.000
