ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=1-may;fert_amount=0;FertAmt=100;initNCobs=SoilCobsNew80;Residue_SOM=SOMsoy;WTDepth=600
Title = Cobs-Corn;cultivar=Corn_normal;date=1-may;fert_amount=0;FertAmt=100;initNCobs=SoilCobsNew80;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            9.877            1.591             -0.693              -0.576          2.960          2.166           7.611           0.000        599.700        437.900         50.511         67.799         72.502          0.000        -29.810          1.463           100.000             5.997          147.5          146.2            181.8            150.5       3119.040       2696.490         27.000        11538.7        21819.4          24.40              ?        151.000         76.000                  2.000                  11.000           95.9        615.685           64.1        510.803           203.7        602.874         22.286         20.651         28.629         16.731          2.933          4.656         22.481         11.659          5.530          5.402          2.929          4.672         27.851         17.118          7.547          3.993          2.284          4.656            0.000
     11/11/1982           1982          9.000           15.757            6.459              0.916              -0.422          6.867          5.349           7.974           1.531        852.170        506.250         46.688         67.221        128.905          9.045        -19.520          7.715           100.000             8.522          136.5          143.0            172.5            148.9       2883.870       2604.870         15.000        13257.7        25968.6          24.76              ?        151.000         78.000                  0.000                  12.000           83.7        705.666           22.8        544.039           178.1        757.372         10.871         12.588         32.473         19.504          3.512          4.728          4.777          0.865          0.407          2.400          2.892          3.975         11.629          2.964          1.315          0.434          2.239          3.483            0.000
     11/11/1983           1983          9.000           30.771           22.442              2.639               0.148          7.025          5.196          21.107          17.098       1205.960        602.980         50.282         70.975        301.651        136.092        -19.232          7.709           100.000            12.060          102.6          102.3            152.6            109.8       3293.730       2758.230         62.000         9144.7        20742.3          18.67              ?        131.000         76.000                  0.000                   7.000           85.2        735.435           31.8        552.041           162.8        723.712          9.523         11.308         34.909         20.810          3.708          4.986          6.450          1.308          0.582         11.742          3.149          4.192         13.631          2.948          0.743          6.627          2.684          3.715            0.000
     11/11/1984           1984          9.000           21.505           13.629              0.240               0.563          6.213          5.259          15.053           7.807        971.040        449.320         47.181         68.800        213.470         37.514        -22.368          6.611           100.000             9.710           84.9           88.7            122.5             94.3       3015.540       2665.260         31.000         8845.7        21281.1          19.78              ?        141.000         76.000                  0.000                  11.000           89.8        729.372           21.2        492.224           181.0        725.628         11.006         18.995         34.138         17.766          3.162          4.716          5.638          1.152          0.456          6.167          3.334          4.467         11.129          1.774          0.561          0.694          2.497          3.890            0.000
     11/11/1985           1985          9.000            5.415            0.479              0.240              -0.318          2.939          0.797           2.236           0.000        652.530        292.600         49.175         68.965        111.886          0.000        -27.595          2.750           100.000             6.525           99.1           95.3            132.0            100.1       3120.119       2674.080         29.000         8086.8        19517.4          20.46              ?        141.000         73.000                  0.000                   8.000           95.2        648.157           47.6        413.584           200.7        632.597         19.498         18.006         31.671         17.954          3.275          4.809         13.890          4.458          1.128          0.870          0.783          4.311         31.386          9.296          1.026          0.423          0.196          4.212            0.000
     11/11/1986           1986          9.000           24.489            7.165              2.469               0.569          8.828          6.596          13.193           0.000       1091.450        664.960         48.344         68.772        175.830         62.706        -20.150          7.693           100.000            10.914          176.8          174.1            216.5            178.1       3262.950       2688.840         27.000        13727.3        24488.9          27.66              ?        143.000         72.000                  1.000                   8.000           93.8        712.248           41.8        675.381           187.8        728.393         15.709         17.455         33.579         18.774          3.420          4.903         14.401          6.853          5.046          9.953          3.332          4.385         19.626          8.139          3.385          3.027          2.710          3.778            0.000
     11/11/1987           1987          9.000           16.900            6.599              0.941              -0.244          8.892          6.843           7.067           0.000        866.160        613.420         51.669         71.451        111.236          0.000        -28.117          1.634           100.000             8.662          154.6          145.0            206.2            150.7       3446.911       2767.230         47.000         7426.1        17127.2          18.63              ?        129.000         66.000                  0.000                  14.000           97.5        636.410          118.6        652.145           209.2        656.776         20.665         21.030         30.920         17.152          3.005          4.714         21.040         22.820         11.914         11.666          3.011          4.714         24.803         25.436         47.488         11.812          2.832          4.666            0.000
     11/11/1988           1988          9.000           33.190            1.777             -1.295              -0.690          5.368          2.467          29.117           0.000        591.840        337.570         50.680         73.581        145.522          0.000        -28.122          1.468           100.000             5.918          124.3           83.2            155.7             88.6       3582.810       2876.940         62.000         4458.0        11476.5          14.57              ?        122.000         65.000                  0.000                  18.000           93.9        622.319          104.7        518.472           200.6        618.817         19.978         19.583         29.344         17.170          3.065          4.734         53.964         13.354          9.959          8.147          2.943          4.621         31.485         34.750         21.417          8.778          2.666          4.560            0.000
     11/11/1989           1989          9.000           26.803            2.872              0.342              -0.046          5.167          2.918          21.295           0.000        638.310        381.260         49.100         68.130        115.607          0.000        -27.642          2.698           100.000             6.383           99.9           91.9            130.3             97.0       3103.650       2627.190         26.000         8356.8        19855.0          21.49              ?        144.000         73.000                  1.000                  18.000           95.2        660.541           32.8        448.979           197.6        671.401         19.712         18.487         31.033         17.910          3.240          4.779          5.350          4.589          1.015          0.748          0.788          4.409         17.050          8.150          1.569          0.417          0.367          4.260            0.000
