ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=15-apr;fert_amount=0;FertAmt=150;initNCobs=SoilCobsNew80;Residue_SOM=SOMcorn;WTDepth=1200
Title = Cobs-Corn;cultivar=Corn_normal;date=15-apr;fert_amount=0;FertAmt=150;initNCobs=SoilCobsNew80;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            3.579            1.558              1.115               0.032          2.463          1.526           0.000           0.000        599.700        430.530         50.511         67.280          0.000          0.000          3.845          2.141           150.000             5.997           68.7           72.9            153.4            104.8       3119.040       2598.210         25.000        11737.4        22116.7          24.25              ?        149.000         82.000                  3.000                  11.000           83.7        659.375           30.0        525.650           216.2        637.440          8.257         20.008         30.524         17.155          3.028          4.692         12.180          6.253          2.148          3.596          1.217          4.540         15.050          6.779          1.803          0.478          0.151          4.399            0.000
     11/11/1982           1982          9.000           25.989           20.043              1.837              -0.256          8.663          7.201          15.489          13.098        852.170        544.610         46.688         66.657        113.529         81.429         18.144          8.165           150.000             8.522           78.2           84.8            155.6            123.4       2883.870       2562.390         15.000        11684.2        24580.8          21.74              ?        152.000         87.000                  2.000                  12.000           74.6        750.235           24.5        587.362           180.5        774.278          4.435          9.648         32.627         19.532          3.524          4.818          2.895          0.975          0.390          1.497          2.843          3.991         13.007          2.661          1.396          0.294          2.309          3.529            0.000
     11/11/1983           1983          9.000           36.498           23.981              3.519               0.393          7.777          5.999          25.202          17.589       1205.960        597.910         50.282         68.222        301.729        205.598         18.371          8.565           150.000            12.060           48.3           46.9            142.5             86.0       3293.730       2652.030         57.000         9962.2        21363.1          17.80              ?        140.000         87.000                  6.000                   7.000           75.8        795.209           29.7        575.608           168.0        751.256          3.779          8.737         34.014         20.574          3.678          5.006          4.437          0.940          0.393         10.674          3.080          4.128         10.897          3.811          0.840          6.561          2.662          3.707            0.000
     11/11/1984           1984          9.000           40.332           34.070              2.155               0.554          7.256          6.360          30.921          27.156        971.040        525.520         47.181         67.105        219.881        145.444         19.315          8.197           150.000             9.710           34.4           37.9            112.6             76.3       3015.540       2592.720         29.000         9871.3        21934.6          17.58              ?        148.000         86.000                  0.000                  11.000           82.8        739.849           16.8        491.983           184.9        768.630          6.398         14.631         34.715         18.735          3.386          4.888          3.570          0.997          0.424          6.687          3.209          4.270          7.236          0.975          0.614          1.250          2.524          3.731            0.000
     11/11/1985           1985          9.000            4.083            0.443              2.308               0.166          1.443          0.277           0.332           0.000        652.530        313.680         49.175         68.366         15.906          0.000          9.323          5.756           150.000             6.525           14.4           16.8             99.6             54.9       3120.119       2644.650         26.000         8072.1        20957.3          19.25              ?        144.000         78.000                  0.000                   8.000           82.9        702.292           20.1        449.562           203.0        678.211          7.991         14.204         32.893         19.098          3.581          5.090          3.587          1.443          0.464          0.160          0.156          4.088         11.272          2.642          0.499          0.081          0.051          3.943            0.000
     11/11/1986           1986          9.000           30.056           20.805              2.159              -0.053          9.948          8.448          17.949          12.411       1091.450        617.980         48.344         67.739        207.264        192.725         17.970          8.172           150.000            10.914          106.8          111.4            197.9            145.7       3262.950       2595.510         27.000        13034.8        24570.2          24.43              ?        144.000         79.000                  3.000                   8.000           81.3        756.318           27.1        635.598           179.9        779.945          4.951         11.936         34.910         20.735          3.713          5.082          2.876          0.856          0.398          5.111          3.128          4.274         14.047          3.075          2.013          0.494          2.543          3.740            0.000
     11/11/1987           1987          9.000            7.863            4.507              2.172               0.985          5.103          3.522           0.587           0.000        866.160        611.390         51.669         70.533         12.186          0.000         11.828          4.566           150.000             8.662           74.6           70.6            169.7            107.3       3446.911       2765.970         47.000         9838.0        21768.0          22.95              ?        134.000         72.000                  0.000                  14.000           86.1        712.666           35.9        633.076           212.4        667.149          8.902         17.780         33.232         18.219          3.171          4.773          4.017          2.919          0.635          0.441          0.528          4.440         15.003         10.704          5.116          0.184          0.123          4.161            0.000
     11/11/1988           1988          9.000            7.648            0.760              0.563              -0.419          3.465          1.179           3.620           0.000        591.840        347.480         50.680         70.897         46.623          0.000         11.714          2.001           150.000             5.918           46.6           18.5            123.5             50.0       3582.810       2814.570         62.000         4850.8        13169.8          15.89              ?        132.000         76.000                  4.000                  18.000           84.1        649.565           67.5        518.594           209.9        628.780          9.868         19.116         29.949         17.351          3.105          4.758         30.403          9.275          5.052          5.335          1.956          4.522         19.008         27.439          8.707          5.284          1.780          4.423            0.000
     11/11/1989           1989          9.000            9.841            4.517              2.726               0.603          5.557          3.914           1.558           0.000        638.310        399.040         49.100         67.895         11.702          0.000         15.658          6.213           150.000             6.383           27.0           25.5            106.3             65.4       3103.650       2643.210         28.000        10027.1        22720.4          20.61              ?        146.000         83.000                  3.000                  18.000           85.2        673.440           14.3        446.930           207.8        687.499         11.004         15.275         31.993         18.569          3.435          4.955          4.857          1.494          0.559          0.264          0.527          4.179          7.851          1.052          0.503          0.077          0.064          3.841            0.000
