ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=15-apr;fert_amount=0;FertAmt=200;initNCobs=SoilCobsNew19;Residue_SOM=SOMsoy;WTDepth=600
Title = Cobs-Corn;cultivar=Corn_normal;date=15-apr;fert_amount=0;FertAmt=200;initNCobs=SoilCobsNew19;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            6.659            3.515             -0.219              -0.176          5.107          3.691           1.771           0.000        599.700        430.530         50.511         67.280         72.502          0.000        -29.971          1.474           200.000             5.997          126.0          121.7            173.4            127.2       3119.040       2598.210         25.000        11160.9        20876.7          23.17              ?        149.000         82.000                  3.000                  11.000           29.0        622.674           86.2        516.503           229.4        612.682          7.302          6.624          7.833          5.004          0.875          1.398         51.302         10.033          4.507          4.412          0.921          1.486         36.661         33.760          7.740          4.210          0.903          1.563            0.000
     11/11/1982           1982          9.000           25.213           10.057              0.244              -0.006         10.588          9.143          14.382           0.920        852.170        544.610         46.688         66.657        130.827         12.650        -20.234          7.924           200.000             8.522          124.3          129.9            167.4            137.3       2883.870       2562.390         15.000        13448.0        27386.6          27.94              ?        152.000         87.000                  2.000                  12.000           23.0        706.107           19.0        543.044           213.0        736.554          3.893          3.578          7.793          5.238          1.036          1.447          3.399          1.165          0.417          0.367          0.842          1.195         13.490          1.919          0.935          0.136          0.230          1.148            0.000
     11/11/1983           1983          9.000           27.206           18.220              1.047               0.179         11.170          9.393          14.989           8.647       1205.960        597.910         50.282         68.222        294.390        128.555        -19.070          8.519           200.000            12.060          101.4           99.1            162.6            106.8       3293.730       2652.030         57.000        10212.9        21867.0          22.88              ?        140.000         87.000                  6.000                   7.000           25.9        772.678           38.1        567.547           196.0        743.990          3.070          4.505          9.707          5.900          1.114          1.554         11.626          4.795          3.487          4.209          0.963          1.290         19.977          9.545          2.291          2.886          0.867          1.202            0.000
     11/11/1984           1984          9.000           27.983           14.907             -0.010               0.269         10.031          9.445          17.961           5.193        971.040        525.520         47.181         67.105        211.957         37.165        -22.392          6.730           200.000             9.710           86.5           88.0            131.0             95.4       3015.540       2592.720         29.000         9688.0        22497.3          24.05              ?        148.000         86.000                  0.000                  11.000           24.6        685.270           15.0        482.976           209.5        724.108          4.895          5.033          7.400          4.898          0.912          1.420          5.513          2.828          0.626          2.282          1.029          1.379          9.294          1.440          0.791          0.739          0.841          1.269            0.000
     11/11/1985           1985          9.000            5.712            1.097             -0.008              -0.040          3.326          1.137           2.394           0.000        652.530        313.680         49.175         68.366        111.137          0.000        -27.849          2.824           200.000             6.525           78.2           69.1            123.2             76.3       3120.119       2644.650         26.000         6820.1        18873.6          21.32              ?        144.000         78.000                  0.000                   8.000           26.8        654.359           46.0        444.083           223.8        640.565          6.398          4.933          7.936          5.161          0.966          1.452         23.518          3.390          0.962          0.487          0.123          1.376         28.907         12.220          1.165          0.367          0.114          1.430            0.000
     11/11/1986           1986          9.000           39.576           12.112              0.890               0.281         13.932         11.831          24.754           0.000       1091.450        617.980         48.344         67.739        212.590         99.981        -20.681          7.045           200.000            10.914          159.6          161.2            215.9            167.7       3262.950       2595.510         27.000        13132.5        24809.0          27.53              ?        144.000         79.000                  3.000                   8.000           29.2        697.679           65.2        618.009           212.1        756.320          6.933          5.960          8.863          5.120          0.934          1.406         17.285         18.375          6.673          3.796          1.000          1.343         30.516         17.925         10.709          2.758          0.893          1.247            0.000
     11/11/1987           1987          9.000           19.323            5.858             -0.158              -0.054          8.075          5.911          11.406           0.000        866.160        611.390         51.669         70.533        110.758          0.000        -28.698          1.547           200.000             8.662          126.9          120.4            186.9            126.7       3446.911       2765.970         47.000         9183.7        20842.6          23.50              ?        134.000         72.000                  0.000                  14.000           29.6        667.704           74.8        601.846           223.1        625.766          7.218          6.445          8.271          5.275          0.913          1.449         23.484         13.830          2.483          1.189          0.325          1.529         25.293         29.615         16.001          1.389          0.408          1.595            0.000
     11/11/1988           1988          9.000           29.367            2.735             -0.248              -0.198          7.350          2.934          22.265           0.000        591.840        347.480         50.680         70.897        146.352          0.000        -28.200          1.634           200.000             5.918          107.9           68.9            148.0             74.7       3582.810       2814.570         62.000         4656.2        12250.7          15.05              ?        132.000         76.000                  4.000                  18.000           28.4        626.918          120.9        517.485           224.3        613.810          6.890          6.102          7.827          5.157          0.929          1.462         88.308          9.080          5.554          4.028          0.933          1.502         45.681         57.398         10.375          4.047          0.904          1.559            0.000
     11/11/1989           1989          9.000           31.657            4.474              0.025               0.042          6.940          4.431          24.692           0.000        638.310        399.040         49.100         67.895        114.342          0.000        -27.930          2.683           200.000             6.383           79.5           76.3            124.7             84.7       3103.650       2643.210         28.000         9127.5        21684.5          23.43              ?        146.000         83.000                  3.000                  18.000           27.4        645.001           28.9        427.156           225.0        654.912          6.722          4.955          7.942          5.350          0.984          1.482         15.915          6.991          1.058          0.381          0.096          1.437         18.213          6.116          1.691          0.318          0.137          1.480            0.000
