ApsimVersion = 7.8
factors = cultivar=Corn_normal;date=15-may;fert_amount=0;FertAmt=300;initNCobs=SoilCobsNew10;Residue_SOM=SOMcorn;WTDepth=1200
Title = Cobs-Corn;cultivar=Corn_normal;date=15-may;fert_amount=0;FertAmt=300;initNCobs=SoilCobsNew10;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            7.586            6.422              0.100              -0.098          7.485          6.521           0.000           0.000        599.700        430.030         50.511         69.186          0.000          0.000          4.305          2.091           300.000             5.997           97.0           96.3            163.4            123.9       3119.040       2667.240         29.000        11965.4        22184.3          25.35              ?        139.000         64.000                  0.000                  11.000           23.7        637.834          128.8        530.102           298.8        626.354          3.676          6.888          7.613          3.899          0.671          1.001         75.627         34.897          8.937          4.068          0.708          1.046         56.339         48.321         16.483          4.416          0.748          1.152            0.000
     11/11/1982           1982          9.000           20.900           15.218              0.515              -0.050         15.038         12.658           5.348           2.611        852.170        482.880         46.688         66.491        116.809         62.929         19.553          7.929           300.000             8.522           99.2          103.0            152.7            131.4       2883.870       2573.190         14.000        13245.4        25586.1          27.95              ?        155.000         73.000                  0.000                  12.000           16.8        768.720           77.3        572.197           266.6        759.694          2.202          4.411          5.672          2.994          0.643          0.923         28.850         27.596         12.967          2.607          0.537          0.774         30.722         29.941         12.352          2.451          0.541          0.829            0.000
     11/11/1983           1983          9.000           55.839           42.454              0.885              -0.038         17.563         14.110          37.391          28.382       1205.960        556.000         50.282         72.243        307.164        168.081         17.368          6.924           300.000            12.060           47.4           52.3            124.7             85.1       3293.730       2804.580         64.000         8433.9        19571.8          21.20              ?        126.000         69.000                  0.000                   7.000           16.8        759.145           65.4        542.953           274.6        753.802          1.774          3.434          6.209          3.685          0.726          0.989         11.347         12.484         14.885          3.041          0.620          0.842         32.761         17.109         10.081          3.165          0.584          0.858            0.000
     11/11/1984           1984          9.000           39.867           25.379              0.709              -0.134         13.653         12.179          25.505          13.334        971.040        478.780         47.181         70.119        222.180        105.488         19.071          6.596           300.000             9.710           31.5           38.1             96.4             70.4       3015.540       2725.650         33.000         8663.0        21131.1          23.32              ?        135.000         68.000                  0.000                  11.000           16.9        736.637           45.5        505.287           266.6        747.430          1.866          3.054          6.486          3.739          0.730          1.010         13.297         14.826          6.020          1.644          0.615          0.859         25.211         12.436          4.415          1.748          0.541          0.873            0.000
     11/11/1985           1985          9.000            9.476            4.434              0.257              -0.211          8.369          4.645           0.850           0.000        652.530        365.260         49.175         67.840         16.224          0.000         10.798          5.466           300.000             6.525           67.3           64.0            123.5             88.4       3120.119       2550.060         31.000         6564.6        16797.6          22.06              ?        141.000         68.000                  0.000                   8.000           22.7        680.328          125.7        541.755           300.0        662.924          3.393          6.336          7.318          3.879          0.732          0.998         97.947         14.359          4.651          2.064          0.569          0.857         48.279         62.550         11.147          2.167          0.540          0.950            0.000
     11/11/1986           1986          9.000           39.718           16.586              0.798               0.069         18.558         15.070          20.362           1.447       1091.450        626.100         48.344         69.518        161.585        107.292         19.474          8.453           300.000            10.914          126.3          129.2            192.0            150.8       3262.950       2693.430         28.000        14066.4        24852.4          28.34              ?        138.000         65.000                  0.000                   8.000           19.1        773.678          109.0        707.719           286.7        730.262          1.767          4.216          8.035          3.458          0.695          0.975         40.129         46.292         21.069          3.147          0.593          0.830         29.829         38.649         34.455          3.546          0.585          0.795            0.000
     11/11/1987           1987          9.000           20.301           15.182              0.661              -0.002         16.635         15.184           3.005           0.000        866.160        645.680         51.669         70.673         12.758          0.000         14.547          6.168           300.000             8.662          124.0          119.2            190.5            149.9       3446.911       2811.510         41.000        11268.2        22138.0          24.38              ?        136.000         67.000                  0.000                  14.000           26.9        670.913          149.1        661.586           293.5        692.102          5.524          6.496          8.678          4.303          0.778          1.107         49.458         48.863         16.855          4.524          0.761          0.975         37.007         38.095         65.382          5.388          0.773          1.038            0.000
     11/11/1988           1988          9.000           26.040            6.616              0.273              -0.147         11.574          6.763          14.193           0.000        591.840        332.990         50.680         73.579         48.188          0.000         12.177          1.881           300.000             5.918           90.2           65.2            145.7             91.2       3582.810       2947.410         64.000         4405.6        11126.5          15.66              ?        125.000         63.000                  0.000                  18.000           22.9        638.028          201.1        542.475           306.3        643.780          3.707          6.448          7.054          3.897          0.690          1.054        113.940         38.344          3.897          3.429          0.723          1.095         77.161         68.273         48.398          4.052          0.743          1.193            0.000
     11/11/1989           1989          9.000           16.037            7.880              0.434              -0.147         12.096          8.027           3.507           0.000        638.310        381.770         49.100         68.193         12.321          0.000         17.123          5.959           300.000             6.383           52.1           51.5            112.8             81.0       3103.650       2642.311         26.000         8651.3        19103.2          21.88              ?        144.000         66.000                  0.000                  18.000           21.6        675.071          110.5        482.503           279.5        706.417          3.034          5.694          7.157          3.953          0.750          1.062         57.201         35.829          9.588          3.190          0.683          0.903         51.088         43.898         10.570          2.888          0.624          0.978            0.000
