ApsimVersion = 7.8
factors = cultivar=Corn_short;date=1-jun;fert_amount=0;FertAmt=100;initNCobs=SoilCobsNew10;Residue_SOM=SOMsoy;WTDepth=600
Title = Cobs-Corn;cultivar=Corn_short;date=1-jun;fert_amount=0;FertAmt=100;initNCobs=SoilCobsNew10;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            5.201            3.795             -0.019              -0.057          4.225          3.851           0.995           0.000        599.700        444.750         50.511         67.670         72.502          0.000        -29.536          1.380           100.000             5.997          186.3          165.1            205.6            167.7       3119.040       2529.990         29.000         9484.8        19814.4          21.66              ?        142.000         69.000                  0.000                  11.000           43.0        608.716           56.0        545.098           164.2        642.437         17.917         10.204          9.311          3.905          0.643          1.010         12.505         11.603          4.475          2.099          0.586          1.164         27.590         15.338          8.606          2.092          0.533          1.347            0.000
     11/11/1982           1982          9.000           12.667            5.180              0.193              -0.050          6.876          5.006           5.598           0.224        852.170        404.120         46.688         66.156        127.313          6.503        -17.625          7.780           100.000             8.522          166.1          152.2            184.1            153.6       2883.870       2374.110         14.000        10838.2        23029.7          22.65              ?        144.000         68.000                  0.000                  12.000           35.1        758.070           13.5        590.680           142.0        720.137         11.192          8.752          9.937          3.652          0.658          0.922          5.179          1.066          0.389          1.211          0.553          0.774          7.999          1.954          1.513          0.426          0.530          0.831            0.000
     11/11/1983           1983          9.000           24.164           18.751              0.161              -0.104          8.243          6.729          15.761          12.127       1205.960        516.110         50.282         73.567        305.552        107.036        -19.958          6.042           100.000            12.060          123.1          117.1            161.0            120.8       3293.730       2729.610         64.000         7316.7        17571.1          16.88              ?        115.000         60.000                  0.000                   7.000           28.8        735.923           20.9        563.000           139.2        728.705          8.646          6.170          8.354          3.839          0.745          1.005          5.969          1.496          0.542          1.254          0.637          0.865         12.097          5.817          0.843          0.363          0.577          0.897            0.000
     11/11/1984           1984          9.000           14.258            6.081             -0.008              -0.184          5.083          4.216           9.184           2.049        971.040        377.930         47.181         69.702        202.537         30.457        -21.813          6.138           100.000             9.710          105.7           97.1            130.8             99.9       3015.540       2588.760         33.000         8131.6        19627.9          17.53              ?        130.000         63.000                  0.000                  11.000           34.1        736.833           12.8        496.287           139.9        751.185          9.863          8.842          9.316          4.184          0.793          1.065          5.842          1.456          0.523          0.767          0.671          0.913          7.932          1.955          0.631          0.260          0.556          0.936            0.000
     11/11/1985           1985          9.000            5.107            2.122             -0.120              -0.153          4.023          2.275           1.204           0.000        652.530        353.060         49.175         68.208        112.093          0.000        -27.077          2.361           100.000             6.525          143.6          117.6            170.1            120.1       3120.119       2292.300         31.000         5932.2        15102.9          17.20              ?        124.000         68.000                  0.000                   8.000           49.3        636.770           62.4        545.957           166.3        662.903         23.536         10.397          9.686          3.988          0.699          1.020         23.742          6.196          1.642          1.059          0.468          1.019         26.775         28.099          4.352          1.392          0.461          1.098            0.000
     11/11/1986           1986          9.000           22.332            7.779              0.387               0.032          8.877          7.042          13.068           0.705       1091.450        643.130         48.344         68.522        160.112         47.610        -18.689          8.010           100.000            10.914          196.5          177.6            217.4            178.8       3262.950       2581.020         28.000        10544.0        22660.8          24.26              ?        137.000         61.000                  0.000                   8.000           42.2        732.126           30.4        748.398           155.7        708.721         14.980          9.528         11.324          4.516          0.779          1.034          2.911          1.494          0.395          1.523          0.666          0.878          9.687          9.293          8.573          1.084          0.636          0.894            0.000
     11/11/1987           1987          9.000           11.147            4.982             -0.129              -0.068          6.021          5.050           5.255           0.000        866.160        571.010         51.669         70.563        112.889          0.000        -27.752          1.802           100.000             8.662          210.1          175.5            235.4            177.6       3446.911       2595.420         39.000        11143.5        21778.8          23.91              ?        126.000         59.000                  0.000                  14.000           56.1        672.757           55.7        623.650           177.9        646.475         23.875         15.032         11.305          4.151          0.702          1.080         21.875         10.056          2.818          1.353          0.824          1.204         24.842         13.088         13.243          1.511          0.864          1.354            0.000
     11/11/1988           1988          9.000           15.375            3.525             -0.466              -0.205          5.169          3.730          10.671           0.000        591.840        364.990         50.680         73.393        149.633          0.000        -27.807          1.350           100.000             5.918          157.7          123.1            183.7            126.1       3582.810       2807.189         61.000         6555.2        14709.7          15.48              ?        120.000         62.000                  0.000                  18.000           51.1        618.383           89.8        511.992           176.1        615.233         24.484         10.933          9.872          4.000          0.690          1.078         42.903         14.738          3.893          1.508          0.775          1.194         38.419         32.914         13.335          1.886          0.785          1.337            0.000
     11/11/1989           1989          9.000           14.019            2.145             -0.044              -0.002          4.212          2.147           9.851           0.000        638.310        305.830         49.100         66.682        121.846          0.000        -26.687          2.941           100.000             6.383          134.0          112.7            154.8            114.9       3103.650       2450.431         24.000         8739.8        18966.5          19.95              ?        142.000         65.000                  0.000                  18.000           44.3        674.341           23.7        463.676           160.0        689.558         17.162         11.282         10.003          4.078          0.719          1.069         16.195          5.053          1.021          0.335          0.489          1.078         15.137          5.318          1.423          0.334          0.141          1.191            0.000
