ApsimVersion = 7.8
factors = cultivar=Corn_short;date=1-jun;fert_amount=0;FertAmt=200;initNCobs=SoilCobsNew19;Residue_SOM=SOMcorn;WTDepth=1200
Title = Cobs-Corn;cultivar=Corn_short;date=1-jun;fert_amount=0;FertAmt=200;initNCobs=SoilCobsNew19;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            7.290            6.238              0.276              -0.098          7.014          6.337           0.000           0.000        599.700        444.750         50.511         67.670          0.000          0.000          4.718          2.226           200.000             5.997          125.9          120.6            180.9            143.0       3119.040       2529.990         29.000         9407.8        19261.0          21.15              ?        142.000         63.000                  0.000                  11.000           35.6        631.732          106.5        578.867           226.4        668.848          5.586         10.109         11.834          5.640          0.983          1.449         27.132         33.645         12.221          5.242          1.021          1.478         41.874         35.269         20.655          5.555          1.072          1.600            0.000
     11/11/1982           1982          9.000           16.798            8.519              0.844              -0.043          9.766          7.790           6.189           0.772        852.170        404.120         46.688         66.156        127.249         13.242         20.642          7.886           200.000             8.522           96.3           97.6            147.6            115.7       2883.870       2374.110         14.000        10788.2        23002.5          24.60              ?        144.000         68.000                  0.000                  12.000           22.9        758.648           21.2        589.226           200.8        721.810          1.821          4.192         10.017          4.634          0.939          1.314          6.372          2.275          0.470          1.829          0.788          1.106         12.316          3.407          2.229          1.168          0.726          1.100            0.000
     11/11/1983           1983          9.000           41.154           31.961              0.654              -0.135         11.827         10.112          28.673          21.984       1205.960        516.110         50.282         73.567        320.322        130.507         17.369          6.048           200.000            12.060           61.8           64.5            133.8             90.6       3293.730       2729.610         64.000         7369.2        17674.8          18.32              ?        115.000         60.000                  0.000                   7.000           22.3        742.160           28.1        564.072           201.6        738.967          1.893          3.689          9.044          5.303          1.023          1.385          4.729          2.437          0.645          1.701          0.874          1.195         15.327          8.669          1.182          0.705          0.765          1.184            0.000
     11/11/1984           1984          9.000           21.647           12.539              0.507              -0.245          7.450          6.581          13.690           6.203        971.040        377.930         47.181         69.702        221.823         79.003         19.591          6.160           200.000             9.710           43.9           48.5            102.8             71.4       3015.540       2588.760         33.000         8152.6        19726.0          19.97              ?        130.000         63.000                  0.000                  11.000           24.4        771.747           16.1        497.863           189.8        754.776          1.535          4.200         10.685          5.470          1.043          1.421          7.211          3.225          0.645          1.077          0.877          1.218          9.506          3.047          0.722          0.329          0.711          1.203            0.000
     11/11/1985           1985          9.000            6.838            3.544              0.441              -0.248          6.210          3.792           0.187           0.000        652.530        353.060         49.175         68.208         16.323          0.000         11.796          5.306           200.000             6.525           79.8           74.2            140.3             94.5       3120.119       2292.300         31.000         6311.4        15733.0          18.31              ?        124.000         68.000                  0.000                   8.000           36.4        669.920           90.6        567.515           228.0        696.035          6.533          9.680         12.044          5.660          1.040          1.404         48.217         12.532          3.826          2.856          0.836          1.201         34.018         43.102          8.163          3.168          0.749          1.250            0.000
     11/11/1986           1986          9.000           24.971           13.219              1.092               0.057         12.837         11.096          11.042           2.066       1091.450        643.130         48.344         68.522        157.615         65.647         19.244          8.001           200.000            10.914          133.6          135.0            190.7            149.0       3262.950       2581.020         28.000        10549.4        22700.0          24.43              ?        137.000         61.000                  0.000                   8.000           25.4        748.951           59.1        748.604           210.0        722.212          2.156          4.620         11.018          5.167          1.008          1.391          9.870          9.747          3.071          2.755          0.854          1.179         14.041         17.835         21.918          3.205          0.833          1.162            0.000
     11/11/1987           1987          9.000           11.386            7.773              0.903               0.031          8.939          7.742           1.544           0.000        866.160        571.010         51.669         70.563         13.763          0.000         15.952          6.307           200.000             8.662          144.1          136.4            203.9            152.9       3446.911       2595.420         39.000        11223.4        21954.6          24.16              ?        126.000         59.000                  0.000                  14.000           37.9        716.367           88.5        662.591           236.4        689.070          4.137         10.806         14.110          6.106          1.124          1.570         35.414         21.749          8.931          4.435          1.054          1.346         29.983         20.826         29.937          4.636          1.026          1.352            0.000
     11/11/1988           1988          9.000           14.484            5.177              0.274              -0.225          7.257          5.402           6.953           0.000        591.840        355.340         50.680         73.570         48.582          0.000         12.370          1.743           200.000             5.918           85.5           72.5            148.6             93.6       3582.810       2757.689         61.000         6617.5        14792.5          15.58              ?        117.000         60.000                  0.000                  18.000           38.3        634.289          123.4        524.949           237.5        632.250          7.222         10.911         11.984          5.643          0.996          1.495         63.067         24.644          7.820          5.559          1.031          1.525         44.099         48.874         21.923          5.132          1.005          1.604            0.000
     11/11/1989           1989          9.000            8.757            3.981              0.764              -0.159          6.427          4.141           1.566           0.000        638.310        305.830         49.100         66.682         15.132          0.000         18.515          5.867           200.000             6.383           69.8           68.9            125.3             87.5       3103.650       2450.431         24.000         9334.2        19993.0          21.56              ?        142.000         65.000                  0.000                  18.000           33.0        716.503           45.8        485.801           219.3        727.694          3.304          7.988         13.232          5.911          1.088          1.458         26.172         10.463          2.069          0.794          0.880          1.235         24.938         14.361          3.310          1.113          0.605          1.300            0.000
