ApsimVersion = 7.8
factors = cultivar=Corn_short;date=15-apr;fert_amount=0;FertAmt=100;initNCobs=SoilCobsNew10;Residue_SOM=SOMsoy;WTDepth=1200
Title = Cobs-Corn;cultivar=Corn_short;date=15-apr;fert_amount=0;FertAmt=100;initNCobs=SoilCobsNew10;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            1.591            0.775              0.103              -0.020          1.488          0.795           0.000           0.000        599.700        390.400         50.511         67.344          0.000          0.000          0.407          1.435           100.000             5.997          118.5          110.7            175.5            116.1       3119.040       2451.600         24.000         9545.7        19452.1          18.18              ?        140.000         82.000                  3.000                  11.000           20.9        622.674           20.6        508.738           127.7        612.682          5.794          4.905          5.201          3.469          0.603          0.962          6.401          1.191          0.457          0.140          0.170          1.063         13.309          3.778          0.781          0.093          0.037          1.137            0.000
     11/11/1982           1982          9.000            7.409            5.440              0.317              -0.030          5.840          4.896           1.252           0.575        852.170        515.910         46.688         66.499         31.694         12.505         18.051          8.179           100.000             8.522          133.7          134.9            182.8            142.3       2883.870       2422.890         15.000         9406.2        21952.2          19.13              ?        145.000         87.000                  2.000                  12.000           15.2        706.107           21.9        595.148           114.8        736.518          3.180          2.409          4.574          3.363          0.696          0.990          3.300          0.977          0.382          0.322          0.575          0.816         13.276          3.832          1.838          0.177          0.523          0.810            0.000
     11/11/1983           1983          9.000           13.750            5.530              0.778               0.150          5.333          3.956           7.639           1.424       1205.960        516.890         50.282         67.904        227.675        161.289         17.874          8.310           100.000            12.060          104.0           96.8            169.4            104.4       3293.730       2500.020         53.000         9131.1        20449.7          16.43              ?        134.000         87.000                  6.000                   7.000           18.1        772.678           18.4        524.107           106.2        743.983          2.581          3.358          6.236          4.024          0.776          1.085          5.945          0.930          0.341          2.106          0.669          0.900         11.399          1.263          0.941          1.609          0.623          0.841            0.000
     11/11/1984           1984          9.000           11.384            7.093              0.419               0.242          4.950          4.644           6.016           2.207        971.040        498.090         47.181         67.061        111.170         36.984         17.791          6.751           100.000             9.710           93.1           93.6            142.3            101.0       3015.540       2449.620         26.000         9532.8        21523.1          16.77              ?        140.000         86.000                  0.000                  11.000           16.4        685.270            9.0        477.460           113.4        724.072          3.837          3.271          4.432          3.299          0.626          0.983          4.113          1.001          0.410          1.640          0.719          0.963          5.222          1.082          0.716          0.440          0.624          0.909            0.000
     11/11/1985           1985          9.000            1.573            0.253              0.234              -0.003          1.061          0.256           0.277           0.000        652.530        306.060         49.175         68.053         15.638          0.000          5.801          2.775           100.000             6.525           66.2           62.9            124.8             70.1       3120.119       2491.290         23.000         6487.7        17988.6          14.36              ?        138.000         78.000                  0.000                   8.000           18.8        654.359           16.0        457.940           121.2        640.570          5.270          3.430          4.913          3.502          0.667          1.007          4.558          0.983          0.423          0.067          0.033          0.982         10.040          3.177          0.486          0.076          0.035          1.038            0.000
     11/11/1986           1986          9.000           13.390            5.849              0.377               0.184          6.744          5.665           6.268           0.000       1091.450        594.360         48.344         67.922        148.880        134.871         16.488          6.890           100.000            10.914          155.6          151.2            216.4            157.6       3262.950       2460.600         27.000        10981.5        22411.6          21.15              ?        135.000         79.000                  3.000                   8.000           21.2        697.679           21.3        637.228           118.0        756.251          6.062          4.537          5.605          3.412          0.635          0.961          3.164          0.895          0.407          0.826          0.691          0.926         13.510          2.792          1.913          0.172          0.609          0.888            0.000
     11/11/1987           1987          9.000            4.142            1.949              0.421               0.001          3.149          1.947           0.572           0.000        866.160        437.910         51.669         70.923         11.782          0.000          9.293          1.501           100.000             8.662          120.2          107.9            184.1            114.2       3446.911       2629.980         45.000         8272.2        19904.7          17.76              ?        125.000         72.000                  0.000                  14.000           21.5        667.704           21.3        519.347           121.4        625.771          5.813          4.678          5.583          3.731          0.639          1.015          4.552          1.742          0.508          0.131          0.120          1.110         10.904          6.502          1.076          0.089          0.036          1.173            0.000
     11/11/1988           1988          9.000            4.864            0.396              0.158              -0.079          2.087          0.475           2.620           0.000        591.840        205.490         50.680         70.650         46.743          0.000         11.309          1.597           100.000             5.918           99.9           65.3            149.3             71.1       3582.810       2637.360         59.000         4400.6        11994.1          13.24              ?        125.000         76.000                  4.000                  18.000           20.3        626.919           29.3        404.406           121.4        613.814          5.499          4.425          5.095          3.591          0.648          1.027         14.931          1.960          0.702          0.363          0.464          1.091         20.691          5.542          1.275          0.323          0.188          1.149            0.000
     11/11/1989           1989          9.000            4.478            2.157              0.300               0.037          3.369          2.120           0.809           0.000        638.310        351.540         49.100         67.779         10.569          0.000         11.490          2.646           100.000             6.383           83.8           82.8            137.0             91.2       3103.650       2501.820         28.000         8459.9        20331.7          16.17              ?        139.000         83.000                  3.000                  18.000           19.3        645.000           16.2        407.212           123.7        654.909          5.512          3.401          4.973          3.700          0.687          1.040          5.763          1.285          0.560          0.071          0.052          1.039         12.122          1.043          0.532          0.081          0.034          1.082            0.000
