ApsimVersion = 7.8
factors = cultivar=Corn_short;date=15-apr;fert_amount=0;FertAmt=200;initNCobs=SoilCobsNew40;Residue_SOM=SOMcorn;WTDepth=1800
Title = Cobs-Corn;cultivar=Corn_short;date=15-apr;fert_amount=0;FertAmt=200;initNCobs=SoilCobsNew40;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            3.866            2.120              0.464              -0.073          3.402          2.192           0.000           0.000        599.700        390.400         50.511         67.344          0.000          0.000          4.139          2.096           200.000             5.997           57.4           58.1            153.8             91.3       3119.040       2451.600         24.000        10179.2        20843.8          22.16              ?        140.000         82.000                  3.000                  11.000           46.0        659.704           48.0        515.194           222.8        637.697          4.785         11.327         16.236          9.381          1.658          2.565         21.227          8.002          2.878          3.973          1.042          2.532         21.847         14.298          4.623          2.710          0.659          2.502            0.000
     11/11/1982           1982          9.000           21.244           17.961              1.268              -0.041         10.707          9.633           9.268           8.369        852.170        515.910         46.688         66.499         93.942         81.616         21.472          7.890           200.000             8.522           63.7           67.8            147.5            106.5       2883.870       2422.890         15.000        11332.0        25152.6          22.42              ?        145.000         87.000                  2.000                  12.000           39.4        750.260           20.2        555.050           195.6        774.311          2.626          5.367         16.684         10.186          1.896          2.618          2.978          1.039          0.403          0.687          1.528          2.166         11.743          2.939          1.327          0.199          0.762          1.985            0.000
     11/11/1983           1983          9.000           31.083           22.527              2.010               0.247          9.393          7.883          19.680          14.397       1205.960        516.890         50.282         67.904        270.026        217.977         26.066          8.291           200.000            12.060           42.7           35.5            145.1             74.2       3293.730       2500.020         53.000         9586.1        21081.1          19.36              ?        134.000         87.000                  6.000                   7.000           41.2        795.209           20.0        516.383           183.9        751.254          2.324          5.063         18.008         11.064          2.014          2.741          4.671          1.067          0.412          6.265          1.684          2.261          9.105          1.194          0.834          3.785          1.500          2.081            0.000
     11/11/1984           1984          9.000           33.992           30.514              1.900               0.337          8.898          8.364          23.194          21.813        971.040        498.090         47.181         67.061        167.819        145.405         42.605          7.911           200.000             9.710           25.6           27.8            109.7             66.0       3015.540       2449.620         26.000         9315.4        22102.6          18.77              ?        140.000         86.000                  0.000                  11.000           43.8        739.849           10.5        470.803           195.4        768.628          3.515          7.929         17.821         10.016          1.843          2.674          3.730          1.070          0.425          3.844          1.739          2.337          4.289          0.953          0.598          1.073          1.441          2.106            0.000
     11/11/1985           1985          9.000            2.676            0.494              1.246               0.089          1.430          0.405           0.000           0.000        652.530        306.060         49.175         68.053          0.000          0.000          8.740          5.709           200.000             6.525           10.6            7.0            102.9             45.0       3120.119       2491.290         23.000         7251.3        20185.3          19.75              ?        138.000         78.000                  0.000                   8.000           44.4        702.292           15.3        457.847           211.3        678.205          4.449          7.918         17.064         10.254          1.954          2.786          4.159          1.546          0.471          0.106          0.087          2.256          8.387          2.959          0.512          0.079          0.042          2.224            0.000
     11/11/1986           1986          9.000           27.759           18.660              1.217               0.032         12.260         10.879          14.282           7.748       1091.450        594.360         48.344         67.922        212.204        212.204         18.977          7.944           200.000            10.914           97.3           98.6            198.4            133.3       3262.950       2460.600         27.000        11555.5        23169.8          25.15              ?        135.000         79.000                  3.000                   8.000           44.3        756.453           26.5        641.717           192.5        779.988          3.208          7.038         18.355         10.974          2.006          2.759          2.953          0.946          0.412          2.810          1.690          2.319         15.089          3.640          2.274          0.528          1.451          2.110            0.000
     11/11/1987           1987          9.000            8.275            5.088              1.718               0.511          6.486          4.578           0.071           0.000        866.160        437.910         51.669         70.923          0.673          0.000         14.423          4.495           200.000             8.662           66.4           55.9            169.1             92.4       3446.911       2629.980         45.000         8856.4        20884.4          21.91              ?        125.000         72.000                  0.000                  14.000           47.0        712.693           43.1        548.329           221.4        667.182          4.714         10.001         17.842         10.070          1.752          2.633          5.738          4.946          0.819          0.402          0.303          2.480         17.253         17.050          4.256          0.466          0.266          2.373            0.000
     11/11/1988           1988          9.000            4.873            0.893              0.819              -0.221          4.054          1.114           0.000           0.000        591.840        205.490         50.680         70.650          0.000          0.000         24.127          1.958           200.000             5.918           46.0           12.7            123.9             44.5       3582.810       2637.360         59.000         4626.2        12946.1          15.74              ?        125.000         76.000                  4.000                  18.000           45.8        649.662           75.1        401.917           217.2        628.825          5.557         10.642         15.768          9.509          1.711          2.627         47.763          8.374          4.303          3.542          1.107          2.543         44.424         18.350          5.049          3.535          1.043          2.525            0.000
     11/11/1989           1989          9.000            8.060            5.446              1.597               0.333          6.463          5.113           0.000           0.000        638.310        351.540         49.100         67.779          0.000          0.000         19.529          6.157           200.000             6.383           24.9           24.5            114.6             64.2       3103.650       2501.820         28.000         9231.0        21942.0          21.22              ?        139.000         83.000                  3.000                  18.000           46.2        673.439           15.5        416.493           214.3        687.499          6.591          8.275         16.600         10.098          1.891          2.732          5.458          2.076          0.579          0.179          0.291          2.317         10.274          1.170          0.534          0.078          0.046          2.182            0.000
     11/11/1990           1990          9.000           38.548           32.779              1.925               0.419         12.079         10.334          24.544          22.027        998.533        718.820         49.689         67.634        198.605        174.027         14.713          8.482           200.000             9.985          100.6           93.0            204.2            130.7       3276.134       2454.006         28.000        11305.6        22259.6          22.86              ?        136.000         81.000                  4.000                  14.000           39.7        747.661           27.0        739.603           180.5        788.616          2.046          5.463         16.714         10.735          1.980          2.716          1.936          0.571          0.332          7.173          1.660          2.247         12.994          3.214          1.588          3.513          1.500          2.038            0.000
     11/11/1991           1991          9.000           24.972           17.753              1.038              -0.032          9.795          8.820          14.139           8.966        821.349        328.853         50.164         70.064        182.787        102.285         13.614          7.343           200.000             8.213           51.4           47.5            150.0             82.6       3619.281       2598.263         44.000         8579.1        20491.8          20.61              ?        128.000         74.000                  0.000                  20.000           38.5        810.248           19.6        515.501           189.7        760.830          1.613          4.470         16.860         10.771          1.999          2.753          6.207          1.560          0.479          4.235          1.696          2.312         11.476          1.329          0.792          1.769          1.437          2.105            0.000
     11/11/1992           1992          9.000           10.314            7.594              1.833               0.139          4.090          3.064           4.391           4.391        879.812        560.604         49.338         63.501         49.387         49.387         29.945          7.958           200.000             8.798           68.5           77.2            140.2            114.2       2533.040       2288.696         12.000        12495.2        26178.8          24.51              ?        162.000         87.000                  2.000                  14.000           43.3        750.224           19.1        699.646           203.2        713.638          2.650          6.532         18.430         10.994          1.982          2.685          1.302          0.581          0.340          0.057          0.078          2.161          9.563          4.032          2.668          0.144          0.051          2.035            0.000
     11/11/1993           1993          9.000           27.768           22.559              1.957               0.440         12.543         11.121          13.268          10.998       1370.990       1001.853         46.812         66.821        374.446        374.446         40.141          8.859           200.000            13.710           85.3           85.6            166.5            126.1       2849.719       2415.184         29.000        10053.5        22121.9          23.20              ?        142.000         87.000                  2.000                  17.000           42.7        771.665           31.5        771.693           180.8        753.973          3.845          5.791         17.573         10.749          1.996          2.728          2.786          0.464          0.217          8.662          1.672          2.260         10.370          5.447          3.212          7.956          1.510          2.046            0.000
     11/11/1994           1994          9.000            4.897            3.088              1.283               0.259          3.614          2.830           0.000           0.000        681.161        427.815         48.850         66.389          0.000          0.000          9.764          5.269           200.000             6.812           65.3           63.5            151.9            102.6       3004.924       2483.487         30.000        13542.1        26664.1          25.06              ?        148.000         84.000                  1.000                   7.000           45.8        681.992           18.6        495.149           208.1        660.081          6.826          8.490         16.190          9.748          1.825          2.684          4.899          2.057          0.529          0.213          0.102          2.336         11.133          3.018          0.822          0.114          0.053          2.207            0.000
     11/11/1995           1995          9.000           15.101           14.002              0.968               0.425          6.250          5.693           7.883           7.883        751.645        432.716         48.086         65.955         77.900         77.900         26.699          8.034           200.000             7.516           73.6           78.0            158.1            115.7       2764.728       2372.343         34.000         9863.6        22813.4          23.69              ?        144.000         91.000                  1.000                  15.000           44.4        750.153           25.1        547.829           182.1        737.026          2.715          7.183         19.354         10.664          1.857          2.669          3.275          1.010          0.365          0.924          1.682          2.337         14.454          3.715          2.195          0.279          1.444          2.142            0.000
