ApsimVersion = 7.8
factors = cultivar=Corn_short;date=15-may;fert_amount=0;FertAmt=150;initNCobs=SoilCobsNew10;Residue_SOM=SOMsoy;WTDepth=1800
Title = Cobs-Corn;cultivar=Corn_short;date=15-may;fert_amount=0;FertAmt=150;initNCobs=SoilCobsNew10;Residue_SOM=SOMsoy;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            6.226            5.104              0.086              -0.062          6.140          5.166           0.000           0.000        599.700        446.280         50.511         67.939          0.000          0.000          2.528          1.496           150.000             5.997          178.3          165.1            201.5            168.8       3119.040       2702.340         29.000         6662.0        15267.3          17.60              ?        150.000         76.000                  0.000                  11.000           33.2        612.589          138.7        580.132           201.0        610.988         12.244          7.866          7.652          3.792          0.631          0.993         37.789         39.052          9.620          4.038          0.721          1.133         57.891         48.520         25.000          4.569          0.821          1.313            0.000
     11/11/1982           1982          9.000            9.478            7.098              0.579              -0.061          8.616          6.877           0.282           0.282        852.170        462.300         46.688         67.594          7.123          7.123         23.090          7.668           150.000             8.522          154.2          152.1            182.9            155.4       2883.870       2499.840         14.000        11617.1        23789.3          25.53              ?        142.000         73.000                  0.000                  12.000           26.1        729.262           22.4        575.463           171.4        758.887          9.378          5.310          6.198          3.573          0.678          0.952          5.673          1.980          0.496          0.911          0.567          0.797         14.279          3.488          1.889          0.376          0.524          0.829            0.000
     11/11/1983           1983          9.000           25.780           22.537              0.843              -0.011          9.481          7.986          15.456          14.562       1205.960        530.600         50.282         72.805        159.135        136.319         24.616          6.743           150.000            12.060          104.0           98.9            154.7            104.6       3293.730       2670.120         62.000         7362.6        18554.3          18.57              ?        117.000         69.000                  0.000                   7.000           24.7        754.005           24.0        544.239           171.3        751.015          7.009          4.837          7.087          3.988          0.767          1.037          4.981          1.803          0.659          1.946          0.654          0.882         15.119          3.672          0.715          1.576          0.612          0.872            0.000
     11/11/1984           1984          9.000           14.144           10.697              0.882              -0.008          8.037          7.257           5.225           3.448        971.040        437.890         47.181         70.455         58.450         34.680         41.110          6.339           150.000             9.710           90.5           89.7            128.1             94.7       3015.540       2597.760         31.000         7731.3        20137.5          19.66              ?        127.000         68.000                  0.000                  11.000           24.3        695.712           16.3        485.012           174.7        720.859          6.539          5.100          6.974          3.965          0.723          1.032          4.155          1.394          0.454          0.647          0.683          0.934         11.355          1.984          0.596          0.219          0.560          0.916            0.000
     11/11/1985           1985          9.000            4.995            1.577              0.056              -0.181          4.939          1.758           0.000           0.000        652.530        282.700         49.175         69.375          0.000          0.000          5.846          2.588           150.000             6.525          125.2          107.6            150.7            110.7       3120.119       2538.090         31.000         5589.6        14845.6          18.57              ?        131.000         68.000                  0.000                   8.000           35.3        642.940           74.9        467.254           197.1        643.231         14.706          7.394          7.594          3.847          0.692          1.020         39.828          5.855          1.462          1.093          0.556          0.997         48.761         19.546          2.864          1.289          0.536          1.067            0.000
     11/11/1986           1986          9.000           16.539            7.363              0.803               0.132          9.564          7.232           6.172           0.000       1091.450        601.970         48.344         69.453         66.128         66.128         18.355          7.897           150.000            10.914          178.6          168.1            216.4            170.3       3262.950       2548.350         27.000        12491.6        23347.6          26.00              ?        131.000         65.000                  0.000                   8.000           33.7        731.393           50.5        685.615           187.7        715.793         10.579          8.637          8.704          3.996          0.738          1.051         20.874         14.674          5.845          3.305          0.688          0.905         18.191         20.219          6.837          2.302          0.646          0.869            0.000
     11/11/1987           1987          9.000           10.431            8.283              0.334              -0.045          9.946          8.328           0.151           0.000        866.160        643.650         51.669         71.444          0.743          0.000          9.920          1.712           150.000             8.662          174.5          156.9            217.7            161.8       3446.911       2680.470         41.000         9417.0        19868.4          21.14              ?        125.000         66.000                  0.000                  14.000           40.3        629.937           95.0        655.587           200.1        648.270         17.542          8.442          8.622          4.007          0.677          1.055         32.180         23.984          8.689          3.823          0.783          1.174         28.934         23.936         34.760          4.184          0.833          1.288            0.000
     11/11/1988           1988          9.000            8.146            4.085              0.668              -0.130          7.478          4.215           0.000           0.000        591.840        320.800         50.680         73.965          0.000          0.000         24.464          1.431           150.000             5.918          155.4          110.6            179.0            114.6       3582.810       2803.950         63.000         3685.4         9938.2          13.65              ?        117.000         63.000                  0.000                  18.000           32.8        620.691          131.0        538.802           197.4        627.095         12.477          7.330          7.417          3.872          0.675          1.060         73.193         22.941          2.831          3.067          0.744          1.148         52.748         43.666         28.059          3.570          0.773          1.255            0.000
     11/11/1989           1989          9.000            6.610            3.793              0.424              -0.086          6.186          3.878           0.000           0.000        638.310        367.290         49.100         69.592          0.000          0.000         16.251          2.664           150.000             6.383          114.1           97.3            140.1            101.7       3103.650       2566.530         26.000         7122.5        17173.4          19.45              ?        131.000         66.000                  0.000                  18.000           31.2        643.131           48.1        466.703           185.5        664.132         11.855          6.557          7.088          3.956          0.712          1.066         20.706          9.230          1.744          1.119          0.558          1.070         26.360         15.694          2.764          1.001          0.387          1.133            0.000
