ApsimVersion = 7.8
factors = cultivar=Corn_short;date=15-may;fert_amount=0;FertAmt=200;initNCobs=SoilCobsNew40;Residue_SOM=SOMcorn;WTDepth=600
Title = Cobs-Corn;cultivar=Corn_short;date=15-may;fert_amount=0;FertAmt=200;initNCobs=SoilCobsNew40;Residue_SOM=SOMcorn;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()         (days)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980          9.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981          9.000            9.007            3.356             -0.081              -0.242          4.576          3.599           4.511           0.000        599.700        428.000         50.511         69.405         85.534          0.000        -28.628          2.052           200.000             5.997           95.1           99.2            167.7            124.9       3119.040       2600.730         27.000        10295.9        21066.7          23.13              ?        134.000         66.000                  0.000                  11.000           50.5        637.565           81.3        548.131           237.6        625.237          5.499         12.661         18.202          9.844          1.741          2.592         22.557         17.523          6.704          5.036          1.681          2.537         34.086         24.862         12.223          5.103          1.533          2.553            0.000
     11/11/1982           1982          9.000           28.158           12.875              0.533              -0.126          9.570          7.813          18.056           5.189        852.170        462.300         46.688         67.594        215.018         62.092        -18.278          7.728           200.000             8.522           91.6           98.0            154.2            125.4       2883.870       2499.840         14.000        11615.3        23773.2          25.46              ?        142.000         73.000                  0.000                  12.000           39.4        768.350           21.1        579.894           194.2        759.696          2.704          6.845         15.941          9.584          1.814          2.483          4.593          1.666          0.479          2.678          1.519          2.090         11.948          2.774          1.669          0.571          1.256          1.912            0.000
     11/11/1983           1983          9.000           47.025           33.920              1.452              -0.016         10.351          8.732          35.223          25.203       1205.960        530.600         50.282         72.805        406.007        169.319        -18.828          6.748           200.000            12.060           43.1           44.9            128.5             77.2       3293.730       2670.120         62.000         7388.5        18586.6          17.98              ?        117.000         69.000                  0.000                   7.000           38.1        759.079           24.6        544.954           203.9        753.792          2.239          5.238         15.735         10.377          1.920          2.591          3.132          1.645          0.680          4.661          1.643          2.208         12.507          3.070          0.686          3.529          1.439          2.032            0.000
     11/11/1984           1984          9.000           35.371           22.512              0.145              -0.346          9.090          8.108          26.137          14.751        971.040        437.890         47.181         70.455        326.101        104.322        -20.808          6.517           200.000             9.710           31.0           37.1            102.6             68.6       3015.540       2597.760         31.000         7753.5        20152.2          19.20              ?        127.000         68.000                  0.000                  11.000           40.5        736.415           16.8        487.224           201.0        747.141          2.496          5.091         17.418         10.848          1.980          2.664          3.495          1.268          0.450          1.272          1.638          2.270         10.052          1.853          0.599          0.315          1.282          2.071            0.000
     11/11/1985           1985          9.000            7.228            1.291              0.338              -0.436          4.797          1.727           2.093           0.000        652.530        282.700         49.175         69.375        111.709          0.000        -23.019          5.403           200.000             6.525           62.9           62.2            124.1             85.2       3120.119       2538.090         31.000         6391.6        16641.1          20.02              ?        131.000         68.000                  0.000                   8.000           49.0        680.100           73.3        474.999           235.7        662.822          4.681         10.652         18.620         10.431          1.959          2.632         34.841          8.059          2.647          2.626          1.144          2.173         42.491         20.044          4.150          2.708          0.988          2.133            0.000
     11/11/1986           1986          9.000           40.055           11.817              1.533               0.224         10.610          8.120          27.912           3.473       1091.450        601.970         48.344         69.453        270.587        118.647        -17.197          8.111           200.000            10.914          117.4          120.9            192.5            141.4       3262.950       2548.350         27.000        12514.4        23438.1          26.05              ?        131.000         65.000                  0.000                   8.000           41.5        773.504           49.3        700.124           212.5        729.969          2.121          6.019         18.487         10.315          1.921          2.621         15.840         11.560          5.655          7.927          1.645          2.236         16.435         16.372          5.814          5.761          1.461          1.983            0.000
     11/11/1987           1987          9.000           20.919            9.380              1.048               0.025         11.314          9.355           8.558           0.000        866.160        643.650         51.669         71.444        111.373          0.000        -22.576          6.003           200.000             8.662          111.8          110.0            190.2            139.7       3446.911       2680.470         41.000         9814.2        20770.5          22.14              ?        125.000         67.000                  0.000                  14.000           53.9        670.669           94.9        686.486           229.7        691.714          7.426         10.904         20.110         10.755          1.963          2.776         25.322         21.868         11.052          7.865          1.839          2.427         26.661         20.672         34.533          8.007          1.674          2.263            0.000
     11/11/1988           1988          9.000           30.551            3.770             -0.493              -0.299          7.283          4.069          23.761           0.000        591.840        320.800         50.680         73.965        148.448          0.000        -27.299          1.828           200.000             5.918           89.9           60.6            146.4             85.0       3582.810       2803.950         63.000         3809.4        10550.9          14.66              ?        117.000         63.000                  0.000                  18.000           49.8        637.814          135.5        548.041           239.0        643.519          5.744         12.306         17.551          9.837          1.759          2.631         69.131         27.587          5.151          7.865          1.739          2.568         46.137         42.759         33.276          8.161          1.642          2.575            0.000
     11/11/1989           1989          9.000           33.785            4.943              0.320              -0.194          7.893          5.137          25.571           0.000        638.310        367.290         49.100         69.592        116.612          0.000        -22.630          5.853           200.000             6.383           50.8           48.2            113.2             76.4       3103.650       2566.530         26.000         8090.9        18530.0          20.37              ?        131.000         66.000                  0.000                  18.000           48.7        674.721           51.2        482.682           218.3        705.261          4.516         10.539         18.772         10.286          1.920          2.678         18.401         12.691          3.291          3.298          1.561          2.263         23.450         17.259          4.114          2.508          0.976          2.130            0.000
