ApsimVersion = 7.8
factors = cultivar=Soy_long;date=1-jun;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=1200
Title = Ames-Soy;cultivar=Soy_long;date=1-jun;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            6.118            1.017              1.102              -0.631          5.016          1.648           0.000           0.000        599.700        445.510         50.511         66.801          0.000          0.000       -108.553        -88.299             1.000             4.678           91.6           99.5            140.3            118.1       3119.040       2512.530         29.000         3431.0         6528.0          24.36              ?        146.000         43.000                  0.000                  11.000           29.6        646.747           21.0        672.597            15.1        652.516          6.065          7.263          7.690          4.178          2.091          0.866          2.131          0.703          0.160          0.092          0.230          0.477         15.715          3.107          1.131          0.431          0.184          0.228            0.000
     11/11/1982           1982         35.000           19.300            1.416             15.328               0.167          3.972          1.249           0.000           0.000        852.170        437.900         46.688         64.621          0.000          0.000        128.626        -44.286             1.000             6.647           74.9           80.2            118.5            101.0       2883.870       2380.590         14.000         3135.7         5964.5          22.79              ?        157.000         49.000                  0.000                  12.000           26.0        754.819           21.7        698.403            16.2        750.152          1.165          2.751          5.267          5.904          5.393          2.789          2.612          0.406          0.147          0.494          3.801          2.265         12.050          5.079          1.579          0.622          0.552          1.006            0.000
     11/11/1983           1983         35.000           25.429            2.354             19.622              -0.120          5.807          2.473           0.000           0.000       1205.960        671.570         50.282         69.381          0.000          0.000        248.829        -27.369             1.000             9.406           75.5           81.5            122.6            108.7       3293.730       2959.470         65.000         2683.8         5004.2          18.00              ?        150.000         44.000                  0.000                   7.000           21.8        737.082           23.2        755.616            19.2        714.529          1.210          1.984          3.394          4.274          4.667          3.010          2.603          0.453          0.221          1.095          3.369          2.369          7.623          7.346          4.639          1.261          0.441          0.819            0.000
     11/11/1984           1984         35.000           21.332            2.293             17.485               1.135          3.847          1.158           0.000           0.000        971.040        454.130         47.181         66.859          0.000          0.000         84.085       -110.321             1.000             7.574           53.0           59.2             96.8             84.1       3015.540       2664.090         33.000         3283.9         6153.5          22.70              ?        153.000         43.000                  0.000                  11.000           24.6        761.745           20.4        685.684            17.7        685.432          0.994          2.876          4.855          5.288          5.040          2.753          2.988          0.359          0.115          0.202          1.631          2.255         10.001          5.651          2.451          0.766          0.535          0.510            0.000
     11/11/1985           1985         35.000           10.076           -0.195              6.014              -1.744          4.063          1.549           0.000           0.000        652.530        448.560         49.175         64.437          0.000          0.000        -87.579       -155.665             1.000             5.090           72.9           76.2            117.1             93.8       3120.119       2379.600         31.000         3406.7         6138.1          24.28              ?        158.000         48.000                  0.000                   8.000           32.3        649.700           18.3        719.847            18.4        608.288          6.663          5.955          7.060          5.262          4.121          1.469          2.927          0.719          0.196          0.130          0.145          0.672          9.302          4.631          3.021          0.938          0.165          0.072            0.000
     11/11/1986           1986         35.000           21.577            5.291             14.486               1.193          7.091          4.097           0.000           0.000       1091.450        696.220         48.344         66.027          0.000          0.000        251.285         84.669             1.000             8.513           89.8           95.6            134.6            112.9       3262.950       2619.090         28.000         3461.1         6536.1          23.90              ?        158.000         43.000                  0.000                   8.000           25.6        739.861           22.8        753.693            18.3        751.808          1.305          2.730          5.243          5.840          5.166          2.576          2.343          0.350          0.179          1.263          4.063          2.234          8.925          6.194          3.778          1.350          0.720          0.862            0.000
     11/11/1987           1987         35.000           10.404            1.222              5.193              -0.597          5.211          1.819           0.000           0.000        866.160        571.010         51.669         69.097          0.000          0.000         41.848          2.316             1.000             6.756           93.9           98.8            144.1            115.5       3446.911       2585.880         39.000         3470.9         6627.8          23.92              ?        134.000         42.000                  0.000                  14.000           29.3        711.147           13.9        683.394            21.0        729.763          2.915          6.522          7.884          5.795          3.569          1.201          5.587          0.606          0.179          0.268          1.846          0.816         10.126          1.603          0.806          0.405          0.006          0.333            0.000
     11/11/1988           1988         35.000            9.383           -0.805              6.350              -1.625          3.033          0.821           0.000           0.000        591.840        383.530         50.680         69.044          0.000          0.000       -111.312       -161.325             1.000             4.616           80.7           82.1            124.7            102.3       3582.810       2883.690         60.000         3062.9         5857.1          20.97              ?        148.000         43.000                  0.000                  18.000           31.5        650.346           24.5        652.076            18.9        607.722          6.110          6.066          6.988          5.091          3.907          1.297          3.446          0.738          0.230          0.178          0.360          0.640         17.374          4.258          1.756          0.596          0.192          0.106            0.000
     11/11/1989           1989         35.000           10.341           -0.130              6.896              -0.791          3.446          0.661           0.000           0.000        638.310        305.830         49.100         66.587          0.000          0.000        -98.644       -154.265             1.000             4.979           65.3           67.9            110.4             86.7       3103.650       2436.931         24.000         3480.1         6295.9          25.05              ?        143.000         46.000                  0.000                  18.000           28.7        709.128           15.2        640.856            16.7        637.470          2.524          4.921          7.530          6.928          3.881          1.372          3.661          0.594          0.173          0.136          0.390          0.847         10.983          2.138          1.048          0.399          0.163          0.141            0.000
