ApsimVersion = 7.8
factors = cultivar=Soy_long;date=15-apr;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=600
Title = Ames-Soy;cultivar=Soy_long;date=15-apr;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            7.062            1.966             -0.001              -0.595          7.063          2.561           0.000           0.000        599.700        451.870         50.511         66.742          0.000          0.000       -130.949       -125.761             1.000             4.678           74.7           79.8            130.4            113.7       3119.040       2871.630         30.000         2633.7         5028.5          17.73              ?        171.000         71.000                  3.000                  11.000           13.4        749.574           19.6        722.524            16.7        723.608          1.996          3.658          3.648          2.066          0.788          0.514          4.013          0.398          0.114          0.370          0.558          0.193         14.782          3.075          0.921          0.098          0.253          0.091            0.000
     11/11/1982           1982         35.000           10.001            1.933              3.825               0.105          6.175          1.828           0.000           0.000        852.170        575.350         46.688         65.767          0.000          0.000         41.351        -55.894             1.000             6.647           58.7           62.6            109.5            100.5       2883.870       2775.510         15.000         3442.8         6603.7          23.78              ?        175.000         77.000                  2.000                  12.000           12.7        770.847           20.4        730.922             7.8        724.072          0.922          2.013          3.283          2.901          2.016          0.872          1.027          0.151          0.019          1.606          1.531          0.700         13.577          2.902          1.040          1.028          0.916          0.274            0.000
     11/11/1983           1983         35.000           12.501            1.458              3.865              -0.397          8.636          1.855           0.000           0.000       1205.960        678.670         50.282         68.329          0.000          0.000         71.895        -69.181             1.000             9.406           60.2           61.9            116.9             99.0       3293.730       3006.180         64.000         2376.2         4715.3          15.99              ?        160.000         78.000                  6.000                   7.000           12.1        781.203           20.5        744.485             7.2        779.262          0.719          1.723          2.932          2.758          2.052          0.923          2.177          0.382          0.476          1.777          1.493          0.717         10.964          5.726          1.555          0.736          0.800          0.266            0.000
     11/11/1984           1984         35.000            7.407            0.490              2.882              -0.609          4.525          1.099           0.000           0.000        971.040        602.480         47.181         66.145          0.000          0.000        -30.288       -107.939             1.000             7.574           38.6           45.1             93.7             82.7       3015.540       2864.610         33.000         3524.8         6681.3          24.04              ?        173.000         74.000                  0.000                  11.000           12.5        783.898           17.9        673.875             8.7        750.720          0.901          2.064          3.182          2.803          1.917          0.819          1.709          0.273          0.248          1.216          1.477          0.672         10.552          4.167          1.389          0.649          0.481          0.166            0.000
     11/11/1985           1985         35.000            8.109           -0.492              1.702              -1.054          6.407          0.561           0.000           0.000        652.530        315.970         49.175         68.619          0.000          0.000       -215.371       -285.793             1.000             5.090           51.8           56.2            108.3             93.1       3120.119       2941.830         33.000         4738.2         9114.0          32.63              ?        159.000         64.000                  0.000                   8.000           13.2        750.297           22.7        642.522             3.0        690.492          1.382          2.433          3.452          2.696          1.637          0.688          2.693          0.529          0.124          0.060          0.102          0.230         17.636          2.615          1.016          0.314          0.090          0.035            0.000
     11/11/1986           1986         35.000           12.652            3.527              4.367               1.027          8.285          2.499           0.000           0.000       1091.450        732.530         48.344         67.692          0.000          0.000        145.436         26.610             1.000             8.513           59.9           60.9            115.3             96.7       3262.950       2857.320         27.000         2088.5         4072.7          14.39              ?        161.000         68.000                  3.000                   8.000           13.5        771.764           17.8        783.900             8.9        740.328          1.639          2.427          3.336          2.751          1.727          0.735          1.491          0.110          0.445          1.625          1.490          0.702          8.539          4.389          2.014          1.323          1.002          0.437            0.000
     11/11/1987           1987         35.000            7.918            1.056              1.201              -0.686          6.717          1.741           0.000           0.000        866.160        628.920         51.669         70.365          0.000          0.000        -50.773        -89.655             1.000             6.756           68.2           68.4            132.4            104.7       3446.911       2966.580         48.000         3986.2         7659.0          26.95              ?        146.000         57.000                  0.000                  14.000           12.9        783.017           11.5        764.323             6.9        735.704          1.541          2.975          3.365          2.432          1.350          0.582          1.387          0.372          0.116          0.329          0.917          0.312          8.923          1.332          0.178          0.034          0.169          0.139            0.000
     11/11/1988           1988         35.000            6.719           -0.355              1.992              -0.954          4.727          0.599           0.000           0.000        591.840        369.820         50.680         70.470          0.000          0.000       -291.290       -304.036             1.000             4.616           52.0           50.1            108.7             84.2       3582.810       3220.020         66.000         4126.6         7943.5          27.68              ?        156.000         64.000                  4.000                  18.000           13.8        740.672           17.0        658.938             4.4        691.959          1.857          2.827          3.328          2.621          1.662          0.674          2.324          0.710          0.188          0.061          0.033          0.190         12.308          2.146          1.006          0.353          0.091          0.026            0.000
     11/11/1989           1989         35.000            7.694            0.972              1.884              -1.106          5.810          2.078           0.000           0.000        638.310        447.300         49.100         65.889          0.000          0.000       -118.039       -169.759             1.000             4.979           71.9           72.0            121.2            110.1       3103.650       2904.750         28.000         2575.0         4878.3          17.39              ?        180.000         70.000                  3.000                  18.000           13.0        738.240           24.6        691.814            14.0        708.769          1.731          2.317          3.074          2.562          1.676          0.696          2.563          0.648          0.186          0.674          1.083          0.386         18.194          3.714          1.474          0.451          0.168          0.086            0.000
