ApsimVersion = 7.8
factors = cultivar=Soy_long;date=15-apr;initNAmes=SoilAmesCorn19;Residue_SOM=SOMsoy;WTDepth=600
Title = Ames-Soy;cultivar=Soy_long;date=15-apr;initNAmes=SoilAmesCorn19;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           12.598            7.326             -0.408              -0.582         13.006          7.908           0.000           0.000        599.700        451.870         50.511         66.742          0.000          0.000       -231.943       -165.260             1.000             4.678          140.4          140.8            162.0            145.5       3119.040       2871.630         30.000         2633.7         5028.5          17.74              ?        171.000         71.000                  3.000                  11.000           19.0        711.051           23.8        720.785            55.4        719.478          7.762          4.241          3.625          1.572          0.758          0.371         26.424          6.467          1.914          0.655          0.516          0.093         18.339          3.698          1.081          0.104          0.185          0.039            0.000
     11/11/1982           1982         35.000           10.492            2.410              1.525              -1.295          8.967          3.705           0.000           0.000        852.170        575.350         46.688         65.767          0.000          0.000        -87.820       -150.114             1.000             6.647          120.8          123.1            139.2            128.8       2883.870       2775.510         15.000         4199.6         8004.9          28.72              ?        175.000         77.000                  2.000                  12.000           14.4        750.173           26.3        721.059             8.1        692.886          2.088          2.367          3.637          2.848          1.745          0.725          2.951          0.285          0.049          0.332          1.080          0.390         20.108          3.526          1.003          0.476          0.342          0.111            0.000
     11/11/1983           1983         35.000           18.303            5.065              2.471              -1.026         15.833          6.090           0.000           0.000       1205.960        678.670         50.282         68.329          0.000          0.000         -7.574       -116.463             1.000             9.406          117.6          115.5            142.1            121.8       3293.730       3006.180         64.000         2556.9         5063.7          17.21              ?        160.000         78.000                  6.000                   7.000           13.9        780.240           31.5        734.218            26.6        778.187          2.046          2.341          3.262          2.748          1.856          0.800          8.407          0.833          0.403          1.363          1.313          0.514         18.554          9.197          2.031          0.663          0.489          0.169            0.000
     11/11/1984           1984         35.000            9.708            3.158              2.041              -0.399          7.668          3.557           0.000           0.000        971.040        597.400         47.181         66.196          0.000          0.000       -145.998       -177.056             1.000             7.574           83.0           86.1            106.0             92.1       3015.540       2857.140         33.000         4274.1         8129.7          29.14              ?        172.000         74.000                  0.000                  11.000           15.1        770.664           23.7        655.041            10.0        739.104          3.057          2.911          3.502          2.631          1.544          0.633          5.180          0.335          0.135          0.414          1.101          0.420         16.163          5.120          1.213          0.396          0.164          0.078            0.000
     11/11/1985           1985         35.000            8.812           -0.213              0.913              -0.772          7.898          0.560           0.000           0.000        652.530        315.970         49.175         68.619          0.000          0.000       -315.021       -336.374             1.000             5.090          100.2          102.3            124.1            107.2       3120.119       2941.830         33.000         4882.0         9400.9          33.60              ?        159.000         64.000                  0.000                   8.000           15.9        720.122           30.4        634.451             5.7        669.707          4.208          3.122          3.674          2.351          1.237          0.527          6.240          0.639          0.149          0.038          0.017          0.110         24.689          2.939          1.065          0.322          0.080          0.010            0.000
     11/11/1986           1986         35.000           14.643            5.736              2.225              -0.018         12.418          5.754           0.000           0.000       1091.450        733.040         48.344         67.669          0.000          0.000         45.400        -45.054             1.000             8.513          120.4          123.4            146.9            128.7       3262.950       2871.270         27.000         3832.9         7443.9          26.43              ?        162.000         68.000                  3.000                   8.000           17.0        761.422           20.3        781.571            17.2        719.627          4.632          3.433          3.553          2.565          1.413          0.611          2.874          0.241          0.002          0.673          1.142          0.461         10.656          6.337          1.458          0.702          0.628          0.222            0.000
     11/11/1987           1987         35.000            9.764            2.706              0.251              -0.594          9.512          3.300           0.000           0.000        866.160        619.520         51.669         70.378          0.000          0.000       -185.847       -166.623             1.000             6.756          127.6          122.9            159.7            127.9       3446.911       2948.040         48.000         4180.7         8047.6          28.31              ?        145.000         57.000                  0.000                  14.000           17.2        750.798           16.2        757.457            10.7        700.797          5.218          4.394          3.791          1.812          0.944          0.429          4.416          0.656          0.139          0.086          0.201          0.140         11.161          2.866          0.898          0.131          0.021          0.047            0.000
     11/11/1988           1988         35.000            7.436           -0.317              1.263              -0.926          6.173          0.609           0.000           0.000        591.840        369.820         50.680         70.470          0.000          0.000       -381.867       -352.577             1.000             4.616           98.9           90.7            122.8             94.5       3582.810       3220.020         66.000         4036.5         7809.5          27.08              ?        156.000         64.000                  4.000                  18.000           16.8        702.397           28.1        658.222             9.1        669.787          4.580          3.373          3.745          2.350          1.430          0.509          6.477          0.768          0.261          0.066          0.018          0.093         21.079          3.257          1.602          0.469          0.124          0.042            0.000
     11/11/1989           1989         35.000            9.305            3.363              0.797              -0.992          8.508          4.355           0.000           0.000        638.310        447.300         49.100         65.889          0.000          0.000       -248.238       -249.514             1.000             4.979          135.8          131.8            151.6            139.0       3103.650       2904.750         28.000         2579.3         4885.8          17.42              ?        180.000         70.000                  3.000                  18.000           15.9        705.364           33.8        687.390            43.9        683.670          4.755          2.890          3.367          2.283          1.280          0.508         19.650          6.552          1.335          0.815          0.712          0.158         25.648          5.100          1.856          0.450          0.090          0.031            0.000
