ApsimVersion = 7.8
factors = cultivar=Soy_long;date=15-jun;initNAmes=SoilAmesCorn80;Residue_SOM=SOMsoy;WTDepth=1800
Title = Ames-Soy;cultivar=Soy_long;date=15-jun;initNAmes=SoilAmesCorn80;Residue_SOM=SOMsoy;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           14.182           11.111              1.519               0.110         12.663         11.002           0.000           0.000        599.700        405.130         50.511         66.104          0.000          0.000        -94.805        -34.449             1.000             4.678          163.1          129.1            174.3            130.6       3119.040       2186.100         23.000         2489.1         4644.1          18.63              ?        132.000         39.000                  0.000                  11.000          112.0        628.815           64.8        634.239           132.4        603.148         62.492         20.513         14.991          6.486          3.925          1.354         29.440         32.616         21.904          7.725          3.652          1.073         33.899         14.665          9.607          3.596          1.750          0.729            0.000
     11/11/1982           1982         35.000           32.360            2.966             24.179              -1.222          8.182          4.189           0.000           0.000        852.170        384.820         46.688         64.707          0.000          0.000         50.864        -47.151             1.000             6.647          139.8          123.4            150.5            123.9       2883.870       2188.080         14.000         2578.3         4916.3          19.36              ?        143.000         41.000                  0.000                  12.000           80.4        676.245           42.4        644.717            94.8        653.781         21.891          9.967         14.141         13.193         11.672          4.843         24.365          9.575          8.061          7.611          8.678          3.589         22.352         10.843          3.290          1.425          1.213          1.764            0.000
     11/11/1983           1983         35.000           51.432           10.645             42.755               5.384          8.677          5.260           0.000           0.000       1205.960        672.320         50.282         67.463          0.000          0.000        203.477         21.825             1.000             9.406          140.3          126.7            150.9            129.1       3293.730       2714.220         64.000         2615.1         4909.0          18.27              ?        149.000         38.000                  0.000                   7.000           68.9        661.923           37.5        712.510            73.5        647.613         19.067          6.995          9.006          9.767         11.330          6.222         16.973          3.718          3.441          4.404          8.110          5.227         10.640          8.953          7.671          3.595          1.703          2.398            0.000
     11/11/1984           1984         35.000           36.683            3.252             31.215               1.438          5.468          1.815           0.000           0.000        971.040        337.030         47.181         66.466          0.000          0.000         79.510        -38.037             1.000             7.574          102.3           87.6            112.1             88.0       3015.540       2373.840         33.000         2745.8         5036.7          19.66              ?        139.000         39.000                  0.000                  11.000           75.0        705.264           25.5        585.453            74.4        612.707         17.480         11.259         12.594         11.953         11.510          5.177         17.475          2.194          1.081          1.674          4.744          4.119         11.821          6.347          2.889          0.663          0.818          1.458            0.000
     11/11/1985           1985         35.000           14.021            1.342              8.514              -1.876          5.507          3.218           0.000           0.000        652.530        406.660         49.175         64.320          0.000          0.000        -58.100        -78.070             1.000             5.090          139.8          106.8            150.4            107.7       3120.119       2160.720         28.000         2659.9         4850.9          19.45              ?        144.000         41.000                  0.000                   8.000          105.9        617.092           37.0        674.388           104.5        589.175         48.390         17.874         17.318         10.115          7.264          2.141         35.704          8.393          4.988          3.810          4.368          1.342         14.148          9.752          8.117          2.867          0.818          0.654            0.000
     11/11/1986           1986         35.000           42.176           15.507             28.026               5.935         14.150          9.572           0.000           0.000       1091.450        642.620         48.344         65.698          0.000          0.000        163.202         67.960             1.000             8.513          159.9          136.4            169.7            136.5       3262.950       2347.650         27.000         2870.1         5283.0          20.26              ?        144.000         37.000                  0.000                   8.000           89.3        656.086           43.9        716.938           105.9        650.107         28.620         11.619         15.533         13.616         11.217          4.296         20.709         16.893         10.812          8.973          9.101          3.708         11.432          9.449          9.639          6.135          3.275          1.990            0.000
     11/11/1987           1987         35.000           29.610           18.993             14.716               8.303         14.894         10.690           0.000           0.000        866.160        555.520         51.669         68.553          0.000          0.000         41.681         52.078             1.000             6.756          167.3          123.5            180.5            124.8       3446.911       2253.780         31.000         2836.1         5295.6          20.57              ?        120.000         39.000                  0.000                  14.000          112.4        629.744           43.7        645.467           131.1        648.988         49.693         22.383         19.056         10.071          5.673          1.750         31.560         26.830         15.085          6.928          4.756          1.260         18.643          6.546          6.588          4.596          3.387          1.997            0.000
     11/11/1988           1988         35.000           18.317            1.929             11.619              -2.669          6.698          4.598           0.000           0.000        591.840        356.870         50.680         68.796          0.000          0.000        -55.081        -78.661             1.000             4.616          159.1          118.7            170.3            120.3       3582.810       2584.169         52.000         2493.5         4646.3          17.59              ?        134.000         39.000                  0.000                  18.000          108.9        607.233           56.1        604.581           122.3        629.739         51.967         17.070         15.962          9.801          7.847          2.280         37.812         13.501          9.174          5.788          5.596          1.478         28.210         12.730          8.704          3.232          1.583          0.830            0.000
     11/11/1989           1989         35.000           17.501            0.519             11.770              -1.637          5.731          2.155           0.000           0.000        638.310        276.110         49.100         66.726          0.000          0.000        -48.553        -65.408             1.000             4.979          132.5          102.7            142.1            103.6       3103.650       2222.551         24.000         2649.6         4917.6          19.98              ?        129.000         41.000                  0.000                  18.000           92.8        628.365           29.8        565.936           107.4        626.419         34.143         15.831         17.460         11.772          8.215          2.468         35.675          9.937          6.911          4.558          4.718          1.597         18.755          5.659          2.505          0.830          0.514          0.743            0.000
