ApsimVersion = 7.8
factors = cultivar=Soy_long;date=15-may;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=600
Title = Ames-Soy;cultivar=Soy_long;date=15-may;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            6.248            3.221             -0.071              -0.120          6.319          3.341           0.000           0.000        599.700        463.040         50.511         66.444          0.000          0.000       -284.298       -195.591             1.000             4.678          146.4          141.5            160.8            143.8       3119.040       2740.320         29.000         4152.6         7955.9          28.66              ?        163.000         52.000                  0.000                  11.000           21.1        676.994           24.0        725.867            11.4        712.346         12.992          3.262          2.447          1.131          0.353          0.127          4.565          1.670          0.233          0.097          0.234          0.032         18.527          4.092          1.177          0.225          0.010          0.005            0.000
     11/11/1982           1982         35.000            8.136            3.996              0.841              -0.726          7.295          4.722           0.000           0.000        852.170        523.510         46.688         64.393          0.000          0.000        -95.054       -163.860             1.000             6.647          130.5          130.4            140.8            132.3       2883.870       2589.660         14.000         4032.7         7680.0          28.28              ?        174.000         59.000                  0.000                  12.000           15.0        748.732           25.1        751.250             4.8        731.413          5.801          3.063          2.744          1.407          0.884          0.334          4.947          0.299          0.106          0.394          0.581          0.180         15.680          7.252          1.616          0.333          0.179          0.040            0.000
     11/11/1983           1983         35.000           12.526            3.817              1.473              -0.568         11.053          4.384           0.000           0.000       1205.960        601.460         50.282         71.376          0.000          0.000        -35.049       -146.800             1.000             9.406          113.5          115.7            137.2            120.2       3293.730       3011.940         65.000         3226.5         6122.5          21.54              ?        141.000         55.000                  0.000                   7.000           12.9        739.090           26.2        694.977            17.3        758.917          4.721          2.595          2.056          1.398          0.957          0.394          5.140          0.589          0.222          0.597          0.729          0.246         17.789          4.945          1.655          0.410          0.128          0.065            0.000
     11/11/1984           1984         35.000            9.149            3.863              1.091              -0.491          8.059          4.353           0.000           0.000        971.040        556.750         47.181         67.704          0.000          0.000       -148.980       -218.301             1.000             7.574          100.2          101.9            113.2            105.7       3015.540       2863.530         33.000         3826.1         7285.9          26.20              ?        160.000         52.000                  0.000                  11.000           11.7        726.745           28.5        727.958            11.0        706.907          4.268          2.153          1.834          1.347          0.850          0.341          3.978          0.364          0.123          0.242          0.561          0.194         14.684          9.421          3.377          0.653          0.133          0.028            0.000
     11/11/1985           1985         35.000            6.700            3.728              0.524              -0.204          6.176          3.932           0.000           0.000        652.530        460.000         49.175         64.548          0.000          0.000       -284.773       -287.086             1.000             5.090          126.0          119.5            136.0            120.8       3120.119       2644.380         31.000         4375.4         8122.2          29.88              ?        175.000         55.000                  0.000                   8.000           22.0        681.424           25.5        755.779            11.8        648.846         12.891          3.157          2.820          1.556          0.577          0.195          7.172          0.745          0.199          0.056          0.022          0.045         13.324          7.884          3.624          0.591          0.085          0.009            0.000
     11/11/1986           1986         35.000           13.653            8.362              1.261               0.021         12.392          8.341           0.000           0.000       1091.450        728.980         48.344         66.500          0.000          0.000         38.186        -29.319             1.000             8.513          138.1          135.2            148.3            136.2       3262.950       2802.960         28.000         4050.0         7666.3          27.92              ?        168.000         53.000                  0.000                   8.000           15.0        783.900           20.6        772.987             8.2        767.368          6.604          3.738          1.972          1.279          0.755          0.311          3.887          0.379          0.322          1.190          0.593          0.211         12.818          4.840          1.737          0.536          0.336          0.127            0.000
     11/11/1987           1987         35.000            8.239            4.513              0.111              -0.274          8.128          4.787           0.000           0.000        866.160        650.760         51.669         68.907          0.000          0.000       -157.188       -115.616             1.000             6.756          149.2          140.4            166.0            144.2       3446.911       2881.980         41.000         3925.4         7541.0          26.69              ?        151.000         48.000                  0.000                  14.000           24.5        680.345           19.1        723.141            27.3        687.963         15.236          3.373          2.646          1.317          0.446          0.160          4.789          0.371          0.113          0.033          0.203          0.058         15.679          2.531          0.664          0.007          0.025          0.024            0.000
     11/11/1988           1988         35.000            5.889            1.056              0.752              -0.295          5.136          1.351           0.000           0.000        591.840        400.550         50.680         72.713          0.000          0.000       -338.651       -284.246             1.000             4.616          124.5          110.8            137.7            113.2       3582.810       3134.430         65.000         4055.2         7723.5          27.23              ?        139.000         48.000                  0.000                  18.000           21.1        677.616           23.8        710.283            19.8        640.320         11.632          3.163          2.686          1.437          0.635          0.180          5.492          1.087          0.229          0.073          0.036          0.048         15.995          5.434          1.253          0.347          0.066          0.007            0.000
     11/11/1989           1989         35.000            5.141            1.691              0.533              -0.287          4.608          1.978           0.000           0.000        638.310        397.520         49.100         66.564          0.000          0.000       -313.031       -290.787             1.000             4.979          115.5          111.2            128.9            114.2       3103.650       2715.301         26.000         4336.2         8068.0          29.43              ?        160.000         53.000                  0.000                  18.000           17.9        686.384           23.6        677.565             8.9        664.257          8.741          3.341          2.806          1.425          0.573          0.182          6.256          0.544          0.139          0.059          0.049          0.056         18.601          3.048          1.217          0.362          0.091          0.007            0.000
