ApsimVersion = 7.8
factors = cultivar=Soy_long;date=15-may;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=1800
Title = Ames-Soy;cultivar=Soy_long;date=15-may;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            2.643            0.267              0.954              -0.129          1.689          0.396           0.000           0.000        599.700        463.040         50.511         66.444          0.000          0.000        -89.851        -73.480             1.000             4.678           87.7           94.0            137.0            119.3       3119.040       2740.320         29.000         3868.7         7450.4          26.78              ?        163.000         52.000                  0.000                  11.000           21.3        630.510           25.5        618.979             6.6        649.430          3.466          5.354          6.072          3.532          1.374          0.631          1.586          0.920          0.221          0.087          0.032          0.255         19.018          3.763          1.672          0.629          0.183          0.062            0.000
     11/11/1982           1982         35.000           13.846            3.056             12.006               2.313          1.840          0.743           0.000           0.000        852.170        523.510         46.688         64.393          0.000          0.000        156.741         14.342             1.000             6.647           76.6           81.2            120.2            109.5       2883.870       2589.660         14.000         3531.6         6760.4          24.86              ?        174.000         59.000                  0.000                  12.000           19.5        703.867           26.1        634.662             9.6        686.686          1.435          2.952          3.906          3.804          3.852          1.884          3.284          0.370          0.117          0.048          0.132          1.575         15.505          6.632          2.033          0.703          0.347          0.408            0.000
     11/11/1983           1983         35.000           19.071            3.348             16.497               2.734          2.573          0.614           0.000           0.000       1205.960        601.460         50.282         71.376          0.000          0.000        327.228         87.574             1.000             9.406           64.1           68.6            120.3            100.5       3293.730       3011.940         65.000         3014.3         5713.1          20.09              ?        141.000         55.000                  0.000                   7.000           16.6        707.694           20.0        585.639             9.9        751.865          1.100          1.971          2.644          3.122          3.375          2.072          1.866          0.549          0.155          0.252          1.879          1.630         11.140          3.731          1.636          0.486          0.348          0.986            0.000
     11/11/1984           1984         35.000           16.192            4.018             14.372               3.392          1.820          0.626           0.000           0.000        971.040        556.750         47.181         67.704          0.000          0.000        216.695         52.278             1.000             7.574           49.0           54.2             95.6             86.4       3015.540       2863.530         33.000         3452.4         6584.9          23.39              ?        160.000         52.000                  0.000                  11.000           18.3        696.218           18.7        574.145            12.8        684.319          1.453          2.029          3.154          3.858          3.771          1.944          2.145          0.419          0.132          0.119          0.443          1.701          9.044          6.212          1.709          0.449          0.293          0.366            0.000
     11/11/1985           1985         35.000            6.826           -0.236              5.203              -0.997          1.623          0.761           0.000           0.000        652.530        460.000         49.175         64.548          0.000          0.000        -20.868       -100.854             1.000             5.090           60.1           64.1            103.8             86.1       3120.119       2644.380         31.000         3579.4         6709.8          24.51              ?        175.000         55.000                  0.000                   8.000           21.8        626.267           21.1        621.550             9.2        590.337          2.591          4.226          5.033          4.059          3.286          1.228          2.419          0.765          0.264          0.099          0.026          0.329          9.701          5.438          4.108          1.273          0.294          0.097            0.000
     11/11/1986           1986         35.000           17.329            7.200             13.040               4.355          4.289          2.845           0.000           0.000       1091.450        728.980         48.344         66.390          0.000          0.000        260.753        117.794             1.000             8.513           97.4          101.5            142.4            124.2       3262.950       2802.960         28.000         3737.0         7084.6          25.83              ?        169.000         53.000                  0.000                   8.000           20.7        749.834           30.0        720.818            12.5        716.539          1.334          2.779          4.815          4.995          3.833          1.652          3.293          0.451          0.131          0.060          1.013          1.719         10.122          7.835          6.535          2.954          0.971          0.661            0.000
     11/11/1987           1987         35.000            6.811            0.921              4.563              -0.183          2.248          1.104           0.000           0.000        866.160        650.760         51.669         68.907          0.000          0.000         64.073          6.541             1.000             6.756           96.6           98.2            147.1            127.9       3446.911       2881.980         41.000         3877.0         7451.7          26.38              ?        151.000         48.000                  0.000                  14.000           23.7        629.590           22.6        637.863            10.7        631.001          4.441          4.321          5.436          4.082          2.879          1.029          3.922          0.439          0.156          0.067          0.030          0.540         17.081          3.101          1.326          0.578          0.201          0.046            0.000
     11/11/1988           1988         35.000            6.575           -0.723              5.353              -1.018          1.222          0.295           0.000           0.000        591.840        400.550         50.680         72.713          0.000          0.000        -32.107        -83.045             1.000             4.616           63.7           59.9            109.4             86.0       3582.810       3134.430         65.000         2937.5         5611.6          19.64              ?        139.000         48.000                  0.000                  18.000           21.6        623.200           18.1        601.175            11.7        574.625          2.861          4.138          5.003          3.846          3.097          1.115          1.957          0.626          0.273          0.119          0.045          0.454         10.972          4.254          1.421          0.490          0.156          0.076            0.000
     11/11/1989           1989         35.000            7.310            0.164              5.967              -0.212          1.343          0.376           0.000           0.000        638.310        397.520         49.100         66.669          0.000          0.000         -3.427        -66.920             1.000             4.979           52.6           56.7            100.5             85.6       3103.650       2715.301         26.000         3789.3         7066.1          25.74              ?        159.000         53.000                  0.000                  18.000           21.3        636.413           15.2        521.449             9.9        626.198          2.389          3.911          5.166          4.096          3.200          1.170          2.922          0.610          0.179          0.069          0.024          0.349         11.025          2.407          0.882          0.413          0.192          0.087            0.000
