ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=1-jun;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=1800
Title = Ames-Soy;cultivar=Soy_normal;date=1-jun;initNAmes=SoilAmesCorn19;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            3.114            0.730              0.980              -0.136          2.134          0.866           0.000           0.000        599.700        445.510         50.511         66.801          0.000          0.000        -70.899        -53.729             1.000             4.678           91.1           96.0            140.8            115.9       3119.040       2512.530         29.000         3393.1         6392.1          23.05              ?        146.000         43.000                  0.000                  11.000           22.6        619.757           21.0        627.240            11.7        620.964          4.787          5.687          5.795          3.236          1.359          0.568          2.018          0.708          0.182          0.098          0.077          0.304         15.702          3.103          1.302          0.516          0.153          0.066            0.000
     11/11/1982           1982         35.000           14.356            2.102             12.417               1.437          1.939          0.665           0.000           0.000        852.170        437.900         46.688         64.621          0.000          0.000        163.222         -6.446             1.000             6.647           76.7           80.9            120.5            101.0       2883.870       2380.590         14.000         3140.7         5885.3          21.72              ?        157.000         49.000                  0.000                  12.000           19.5        717.009           21.3        643.497            12.3        708.002          1.261          2.218          3.819          4.272          3.891          1.986          2.777          0.548          0.149          0.134          0.561          1.618         12.562          5.215          1.678          0.608          0.294          0.438            0.000
     11/11/1983           1983         35.000           20.829            4.584             17.013               2.356          3.815          2.228           0.000           0.000       1205.960        671.570         50.282         69.381          0.000          0.000        343.141         55.358             1.000             9.406           74.8           79.7            122.1            106.4       3293.730       2959.470         65.000         2175.2         4834.2          15.16              ?        150.000         44.000                  0.000                   7.000           16.0        705.549           32.3        713.679            14.3        704.461          1.284          1.771          2.519          2.962          3.094          2.028          2.676          0.517          0.194          0.566          2.271          1.642          8.466          8.592          8.161          3.842          1.091          0.939            0.000
     11/11/1984           1984         35.000           16.155            3.065             14.253               2.351          1.902          0.713           0.000           0.000        971.040        454.130         47.181         66.859          0.000          0.000        216.656         20.132             1.000             7.574           50.9           56.5             95.3             81.1       3015.540       2664.090         33.000         3136.6         5782.5          20.69              ?        153.000         43.000                  0.000                  11.000           18.0        727.492           18.4        583.776            12.8        660.195          0.926          2.112          3.474          3.826          3.597          1.969          3.236          0.441          0.141          0.132          0.415          1.641          8.944          5.141          2.579          0.510          0.321          0.354            0.000
     11/11/1985           1985         35.000            7.018            0.093              5.200              -0.828          1.817          0.921           0.000           0.000        652.530        448.560         49.175         64.437          0.000          0.000        -11.079        -91.139             1.000             5.090           68.7           69.6            112.7             88.5       3120.119       2379.600         31.000         3110.1         5641.3          21.12              ?        158.000         48.000                  0.000                   8.000           24.6        615.906           18.6        660.331            16.1        576.324          4.930          5.036          5.206          3.733          3.057          1.090          2.639          0.762          0.231          0.142          0.130          0.597          8.871          4.505          3.270          1.247          0.341          0.133            0.000
     11/11/1986           1986         35.000           17.374            5.956             13.197               3.105          4.178          2.850           0.000           0.000       1091.450        696.220         48.344         66.027          0.000          0.000        269.142        100.321             1.000             8.513           98.4          102.5            143.1            118.7       3262.950       2619.090         28.000         3443.8         6338.0          23.24              ?        158.000         43.000                  0.000                   8.000           20.2        703.876           26.4        717.225            14.0        711.941          1.460          2.395          3.975          4.448          3.896          1.883          2.794          0.461          0.155          0.135          0.889          1.674          9.515          6.819          5.481          2.572          0.918          0.525            0.000
     11/11/1987           1987         35.000            7.247            1.276              4.777               0.065          2.470          1.211           0.000           0.000        866.160        571.010         51.669         69.097          0.000          0.000        101.267         38.666             1.000             6.756           97.1           98.5            147.7            116.1       3446.911       2585.880         39.000         3346.5         6294.0          22.48              ?        134.000         42.000                  0.000                  14.000           23.1        671.773           16.0        648.308            16.7        698.471          2.730          5.622          5.961          3.940          2.732          0.904          5.298          0.710          0.206          0.166          0.570          0.694         12.006          1.916          0.910          0.419          0.159          0.138            0.000
     11/11/1988           1988         35.000            6.696           -0.280              5.328              -0.845          1.368          0.565           0.000           0.000        591.840        383.530         50.680         69.239          0.000          0.000        -20.174        -87.843             1.000             4.616           80.9           79.0            124.6             99.7       3582.810       2883.690         60.000         2548.3         4826.9          17.00              ?        147.000         43.000                  0.000                  18.000           25.1        618.014           25.8        605.057            16.7        573.623          5.457          5.176          5.208          3.553          2.877          0.980          3.277          0.775          0.266          0.175          0.213          0.582         16.892          5.065          2.283          0.834          0.287          0.140            0.000
     11/11/1989           1989         35.000            7.473            0.047              5.945              -0.373          1.528          0.420           0.000           0.000        638.310        305.830         49.100         66.587          0.000          0.000         -2.307        -66.941             1.000             4.979           59.4           61.4            106.3             80.9       3103.650       2436.931         24.000         3337.1         6035.6          22.86              ?        143.000         46.000                  0.000                  18.000           21.8        675.177           14.4        552.002            15.1        610.545          2.330          4.088          5.506          4.269          3.161          1.162          3.362          0.692          0.202          0.127          0.142          0.711          9.960          2.226          1.076          0.507          0.194          0.115            0.000
