ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=1-may;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=1200
Title = Ames-Soy;cultivar=Soy_normal;date=1-may;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            6.474            0.801              1.199              -0.492          5.275          1.294           0.000           0.000        599.700        459.990         50.511         66.666          0.000          0.000       -134.387       -126.991             1.000             4.678           82.8           91.5            135.4            119.3       3119.040       2803.140         29.000         3975.3         7288.8          26.33              ?        168.000         61.000                  2.000                  11.000           31.3        679.645           26.6        683.451             7.1        671.081          4.047          7.535          9.637          5.793          1.955          1.038          4.115          0.641          0.171          0.057          0.039          0.455         19.867          4.223          1.389          0.468          0.105          0.082            0.000
     11/11/1982           1982         35.000           19.645            3.798             15.130               2.205          4.515          1.593           0.000           0.000        852.170        558.830         46.688         65.530          0.000          0.000        113.808        -19.250             1.000             6.647           71.4           77.2            118.5            111.8       2883.870       2774.790         15.000         3707.2         6856.4          24.60              ?        176.000         65.000                  0.000                  12.000           28.7        718.943           27.2        680.475            12.4        683.978          1.717          3.126          6.006          6.860          5.748          2.660          2.252          0.273          0.082          0.045          1.884          2.292         17.612          5.059          1.555          0.626          0.566          0.965            0.000
     11/11/1983           1983         35.000           26.849            3.602             20.611               2.235          6.238          1.367           0.000           0.000       1205.960        660.890         50.282         69.921          0.000          0.000        249.716         -0.705             1.000             9.406           59.1           61.8            115.9             98.4       3293.730       3018.060         64.000         2500.2         5759.2          17.62              ?        151.000         65.000                  0.000                   7.000           25.0        734.808           28.4        679.985            12.6        783.900          1.719          2.024          4.068          5.398          5.463          3.117          1.642          0.417          0.153          0.480          3.065          2.435         13.934          7.027          3.040          0.945          0.773          1.110            0.000
     11/11/1984           1984         35.000           20.966            4.335             17.377               3.549          3.589          0.786           0.000           0.000        971.040        506.210         47.181         67.551          0.000          0.000        100.472        -41.289             1.000             7.574           41.5           49.7             95.1             84.0       3015.540       2882.160         33.000         3377.6         6442.0          22.13              ?        163.000         61.000                  0.000                  11.000           26.9        780.142           22.3        638.959            17.7        722.391          1.299          3.089          5.779          6.335          5.438          2.625          2.602          0.340          0.112          0.269          2.832          2.432         12.467          5.042          1.586          0.745          0.710          0.742            0.000
     11/11/1985           1985         35.000           10.760            0.210              6.444              -1.636          4.316          1.847           0.000           0.000        652.530        479.810         49.175         64.615          0.000          0.000       -153.929       -229.710             1.000             5.090           59.4           65.2            103.3             93.2       3120.119       2837.430         31.000         4206.6         7749.0          27.84              ?        188.000         61.000                  0.000                   8.000           30.8        693.298           27.8        712.849             7.9        649.648          2.406          5.552          7.968          6.713          4.595          1.773          2.529          0.724          0.222          0.066          0.036          0.393         12.525          7.996          5.487          1.534          0.184          0.032            0.000
     11/11/1986           1986         35.000           20.467            4.777             13.621               2.920          6.846          1.858           0.000           0.000       1091.450        684.520         48.344         69.036          0.000          0.000        254.560         74.074             1.000             8.513           76.3           83.5            134.3            112.9       3262.950       2859.840         28.000         3776.1         7102.1          25.35              ?        151.000         58.000                  1.000                   8.000           29.3        758.745           26.3        740.095            14.9        687.037          1.287          4.384          7.400          6.985          5.100          2.159          2.588          0.314          0.134          0.144          2.894          2.249         11.934          5.891          3.060          0.969          1.080          1.385            0.000
     11/11/1987           1987         35.000           11.837            1.840              5.269              -0.498          6.569          2.338           0.000           0.000        866.160        657.620         51.669         70.366          0.000          0.000         23.258        -35.676             1.000             6.756           82.4           83.9            139.3            116.9       3446.911       2973.420         46.000         3581.5         7072.4          23.81              ?        147.000         52.000                  0.000                  14.000           32.0        696.829           17.4        735.430            13.1        661.066          4.330          5.571          8.358          6.911          3.825          1.404          1.847          0.339          0.135          0.051          0.031          0.774         12.379          3.214          0.648          0.100          0.025          0.175            0.000
     11/11/1988           1988         35.000            9.913           -1.436              6.629              -1.733          3.284          0.297           0.000           0.000        591.840        385.310         50.680         72.872          0.000          0.000       -175.115       -204.810             1.000             4.616           47.7           46.3            102.3             77.4       3582.810       3224.970         67.000         3121.2         6657.2          21.51              ?        142.000         51.000                  0.000                  18.000           29.9        681.833           22.7        645.624            11.5        632.242          3.019          5.399          7.670          6.314          4.337          1.600          2.026          0.820          0.278          0.090          0.039          0.352         15.998          3.169          1.869          0.676          0.197          0.048            0.000
     11/11/1989           1989         35.000           10.119           -0.001              6.943              -0.657          3.176          0.656           0.000           0.000        638.310        405.900         49.100         66.256          0.000          0.000       -136.382       -190.648             1.000             4.979           57.3           63.4            106.7             94.3       3103.650       2805.481         26.000         4018.5         7504.6          26.53              ?        170.000         62.000                  1.000                  18.000           30.3        714.467           22.8        642.722             9.3        680.616          2.478          5.646          8.047          6.747          4.231          1.561          2.142          0.474          0.143          0.057          0.062          0.803         16.227          3.704          1.701          0.542          0.201          0.087            0.000
