ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=15-apr;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1800
Title = Ames-Soy;cultivar=Soy_normal;date=15-apr;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            6.420            4.830              0.413              -0.026          6.007          4.857           0.000           0.000        599.700        451.870         50.511         66.742          0.000          0.000       -112.204        -78.102             1.000             4.678          150.2          147.9            171.9            152.7       3119.040       2871.630         30.000         2477.1         4609.3          16.26              ?        171.000         71.000                  3.000                  11.000           18.7        616.394           44.9        640.250            54.8        647.819          7.104          4.331          3.646          1.789          0.876          0.330         29.434          7.828          2.716          0.837          0.273          0.085         31.307          7.824          3.644          1.313          0.245          0.045            0.000
     11/11/1982           1982         35.000            7.314            2.291              4.801               0.884          2.512          1.407           0.000           0.000        852.170        575.350         46.688         65.767          0.000          0.000         14.213        -39.769             1.000             6.647          127.2          128.9            147.2            134.4       2883.870       2775.510         15.000         4215.5         7789.5          27.69              ?        175.000         77.000                  2.000                  12.000           14.5        661.779           28.6        592.542             8.9        619.801          1.996          2.201          3.298          2.867          2.301          0.867          3.597          0.385          0.133          0.045          0.006          0.043         20.947          4.469          1.620          0.508          0.143          0.063            0.000
     11/11/1983           1983         35.000           17.128            5.681             10.506               2.304          6.622          3.378           0.000           0.000       1205.960        678.670         50.282         67.922          0.000          0.000        195.411         67.805             1.000             9.406          113.1          109.3            137.6            115.4       3293.730       3024.630         64.000         2662.1         6069.8          18.83              ?        164.000         78.000                  6.000                   7.000           14.3        729.989           40.2        595.713            29.3        755.248          1.453          2.005          2.998          3.084          2.524          1.094          6.145          0.559          0.155          0.082          0.793          1.083         21.099         11.799          4.375          0.725          0.432          0.632            0.000
     11/11/1984           1984         35.000            8.804            3.876              6.382               2.378          2.423          1.498           0.000           0.000        971.040        602.480         47.181         66.145          0.000          0.000         85.735         22.207             1.000             7.574           75.2           81.4            102.5             88.2       3015.540       2864.610         33.000         3785.9         7360.9          24.41              ?        173.000         74.000                  0.000                  11.000           14.6        686.847           17.7        496.327            10.9        680.180          2.729          2.393          3.105          2.634          2.032          0.775          6.300          0.541          0.140          0.050          0.031          0.534         12.064          4.128          0.589          0.176          0.084          0.069            0.000
     11/11/1985           1985         35.000            4.778           -0.297              2.240              -0.448          2.538          0.151           0.000           0.000        652.530        324.100         49.175         68.528          0.000          0.000        -74.108        -83.107             1.000             5.090           87.3           88.6            113.1             93.6       3120.119       2945.880         33.000         2812.8         6312.1          19.21              ?        160.000         64.000                  0.000                   8.000           16.4        627.012           32.8        484.554             6.9        586.163          4.027          2.960          3.637          2.646          1.710          0.567          5.204          0.749          0.278          0.089          0.009          0.014         27.339          3.412          0.972          0.147          0.053          0.027            0.000
     11/11/1986           1986         35.000           11.488            3.864              6.449               1.398          5.039          2.466           0.000           0.000       1091.450        732.530         48.344         67.692          0.000          0.000        118.913         -2.416             1.000             8.513          136.2          136.1            167.2            141.3       3262.950       2857.320         27.000         3907.9         7390.6          25.84              ?        161.000         68.000                  3.000                   8.000           18.2        672.514           25.7        699.072            19.3        633.883          5.114          3.484          3.696          2.784          1.745          0.606          3.907          0.343          0.117          0.041          0.004          0.049         12.410          8.099          3.186          0.588          0.102          0.054            0.000
     11/11/1987           1987         35.000            7.150            3.691              3.227               1.294          3.922          2.396           0.000           0.000        866.160        628.920         51.669         70.315          0.000          0.000        -44.175        -61.516             1.000             6.756          134.0          121.7            163.5            126.7       3446.911       2979.630         48.000         3431.3         7378.0          24.26              ?        147.000         57.000                  0.000                  14.000           17.6        665.604           34.8        683.764            12.0        628.715          5.314          4.160          3.813          2.161          1.193          0.362          4.511          0.864          0.226          0.077          0.012          0.041         16.125          6.789          6.163          3.300          1.275          0.206            0.000
     11/11/1988           1988         35.000            4.052           -0.346              2.595              -0.673          1.457          0.328           0.000           0.000        591.840        369.820         50.680         70.470          0.000          0.000        -60.112        -81.167             1.000             4.616           92.6           83.7            118.4             88.2       3582.810       3220.020         66.000         2251.2         4926.9          13.67              ?        156.000         64.000                  4.000                  18.000           16.7        615.002           26.9        532.112            12.2        591.736          4.011          3.214          3.574          2.448          1.912          0.613          7.100          0.812          0.336          0.136          0.015          0.076         20.247          2.946          1.510          0.609          0.086          0.045            0.000
     11/11/1989           1989         35.000            5.663            2.042              2.499              -0.163          3.164          2.205           0.000           0.000        638.310        447.300         49.100         65.889          0.000          0.000        -71.275        -97.523             1.000             4.979          135.5          132.1            152.1            139.3       3103.650       2904.750         28.000         2305.4         4609.7          15.48              ?        180.000         70.000                  3.000                  18.000           16.7        620.046           43.1        569.373            48.6        623.462          4.472          2.819          3.543          2.616          1.825          0.576         24.369          8.344          2.155          0.865          0.353          0.180         27.545          9.183          4.383          1.075          0.301          0.060            0.000
