ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=15-apr;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=1200
Title = Ames-Soy;cultivar=Soy_normal;date=15-apr;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           12.944            3.817              2.380              -0.159         10.565          3.976           0.000           0.000        599.700        451.870         50.511         66.742          0.000          0.000        -86.987        -75.240             1.000             4.678           82.6           90.8            139.8            121.9       3119.040       2871.630         30.000         2477.1         4609.3          16.26              ?        171.000         71.000                  3.000                  11.000           58.6        708.239           28.8        683.450            54.5        687.670          5.883         13.964         19.115         11.852          3.490          2.194         14.479          6.092          4.350          2.036          1.276          1.131         21.611          4.026          1.291          0.405          0.048          0.499            0.000
     11/11/1982           1982         35.000           34.683            8.643             28.547               7.242          6.136          1.400           0.000           0.000        852.170        575.350         46.688         65.767          0.000          0.000        104.575          0.744             1.000             6.647           64.8           70.5            117.9            107.8       2883.870       2775.510         15.000         3907.8         7251.7          25.70              ?        175.000         77.000                  2.000                  12.000           54.3        738.495           26.8        675.443            25.3        683.993          2.250          5.994         12.924         13.930         10.789          4.745          1.738          0.277          0.081          0.050          2.801          4.403         16.364          3.572          1.220          0.593          0.881          2.017            0.000
     11/11/1983           1983         35.000           45.971            7.556             36.638               5.537          9.332          2.019           0.000           0.000       1205.960        678.670         50.282         68.329          0.000          0.000        272.549         45.003             1.000             9.406           60.6           61.9            119.2             98.9       3293.730       3006.180         64.000         2021.3         4807.1          14.43              ?        160.000         78.000                  6.000                   7.000           47.1        779.928           34.7        707.825            28.2        776.681          1.165          3.787          8.886         11.291         10.904          5.852          2.499          0.468          0.190          1.736          5.932          4.612         15.090          9.238          2.697          1.292          1.871          2.421            0.000
     11/11/1984           1984         35.000           37.472           10.518             32.661               9.444          4.810          1.074           0.000           0.000        971.040        602.480         47.181         66.145          0.000          0.000         96.906         -8.382             1.000             7.574           34.7           42.9             92.7             80.0       3015.540       2864.610         33.000         3457.4         6851.5          22.99              ?        173.000         74.000                  0.000                  11.000           52.3        753.370           21.8        625.230            30.1        736.786          1.713          5.846         12.471         13.080         10.403          4.702          2.209          0.320          0.119          0.430          5.258          4.664         10.391          4.658          1.530          0.997          1.260          1.463            0.000
     11/11/1985           1985         35.000           19.032           -1.578             12.825              -2.086          6.207          0.509           0.000           0.000        652.530        324.100         49.175         68.528          0.000          0.000       -160.856       -209.360             1.000             5.090           39.4           46.0             98.2             81.6       3120.119       2945.880         33.000         4349.7         8313.9          29.16              ?        160.000         64.000                  0.000                   8.000           56.5        709.295           25.4        578.120            12.6        636.148          3.310          8.608         15.010         13.874          8.974          3.553          2.949          0.696          0.201          0.060          0.054          0.601         20.152          3.061          0.959          0.309          0.126          0.057            0.000
     11/11/1986           1986         35.000           33.778           11.288             25.542               9.040          8.237          2.248           0.000           0.000       1091.450        733.040         48.344         67.669          0.000          0.000        244.070         80.870             1.000             8.513           71.1           79.2            136.0            113.3       3262.950       2871.270         27.000         3638.1         6921.8          24.02              ?        162.000         68.000                  3.000                   8.000           56.8        752.701           27.6        745.564            29.5        706.175          2.663          7.963         15.555         14.329          9.344          3.794          2.087          0.261          0.061          0.103          4.845          4.287         10.007          6.709          3.240          0.868          1.093          2.738            0.000
     11/11/1987           1987         35.000           20.026            3.585             10.359               0.839          9.667          2.746           0.000           0.000        866.160        628.920         51.669         70.365          0.000          0.000        -12.515        -74.330             1.000             6.756           73.5           71.5            138.0            106.8       3446.911       2966.580         48.000         3520.7         7576.7          24.96              ?        146.000         57.000                  0.000                  14.000           57.9        745.786           24.3        751.504            20.7        680.639          4.659         11.071         17.156         13.412          6.726          2.590          2.002          0.604          0.149          0.063          0.097          1.439         11.938          5.327          3.949          1.386          0.326          0.331            0.000
     11/11/1988           1988         35.000           17.285           -2.704             12.547              -3.254          4.738          0.550           0.000           0.000        591.840        369.820         50.680         70.470          0.000          0.000       -186.170       -207.255             1.000             4.616           40.4           39.3             97.6             71.2       3582.810       3220.020         66.000         3078.9         6654.6          21.07              ?        156.000         64.000                  4.000                  18.000           55.5        697.375           21.9        603.171            17.4        637.776          4.054          8.822         14.744         12.961          8.617          3.331          2.312          0.741          0.299          0.111          0.050          0.420         14.894          3.171          1.849          0.657          0.191          0.063            0.000
     11/11/1989           1989         35.000           19.994            1.057             13.408              -1.215          6.586          2.272           0.000           0.000        638.310        447.300         49.100         65.889          0.000          0.000        -81.342       -138.767             1.000             4.979           74.0           74.9            124.9            112.6       3103.650       2904.750         28.000         2305.7         4610.3          15.47              ?        180.000         70.000                  3.000                  18.000           56.2        692.347           33.1        648.987            48.8        668.042          4.944          8.829         14.962         12.694          8.481          3.299          9.280          4.587          2.899          2.305          2.796          1.998         22.418          5.781          2.459          0.730          0.408          0.495            0.000
     11/11/1990           1990         35.000           37.616           21.405             26.486              16.653         11.130          4.752           0.000           0.000        998.533        745.008         49.689         68.491          0.000          0.000        196.571        168.365             1.000             7.789           83.0           74.0            133.9            110.6       3276.134       2991.117         41.000         1010.8         2300.6           7.05              ?        160.000         74.000                  4.000                  14.000           55.7        726.672           57.7        671.743            41.9        749.317          2.764          8.845         16.112         13.852          8.131          3.197          4.568          1.897          2.928          7.044          7.825          4.501         32.891          5.100          2.839          3.885          5.273          3.561            0.000
     11/11/1991           1991         35.000           35.192           10.127             29.324               8.964          5.868          1.162           0.000           0.000        821.349        328.853         50.164         70.732          0.000          0.000         32.512        -10.424             1.000             6.407           48.7           45.6            107.7             79.0       3619.281       2993.147         52.000         3513.5         7240.8          23.63              ?        144.000         60.000                  0.000                  20.000           53.1        779.716           17.8        564.228            32.5        739.128          1.786          5.670         12.498         13.652         10.754          4.782          2.389          0.499          0.164          0.473          4.249          4.710         10.806          1.339          0.940          0.540          0.756          1.715            0.000
     11/11/1992           1992         35.000           31.967            3.097             26.655               1.571          5.311          1.526           0.000           0.000        879.812        557.478         49.338         61.766          0.000          0.000        212.725         61.503             1.000             6.863           58.1           63.8            104.5             99.2       2533.040       2461.563         12.000         4083.2         7591.7          28.30              ?        195.000         76.000                  2.000                  14.000           47.7        740.896           20.7        681.838            15.9        622.173          1.596          4.587         10.037         11.974         10.391          5.005          0.522          0.089          0.010          0.001          0.000          2.426         13.911          2.568          1.074          0.372          0.065          1.132            0.000
     11/11/1993           1993         35.000           47.905           18.357             41.147              15.547          6.758          2.810           0.000           0.000       1370.990       1093.373         46.812         65.647          0.000          0.000        428.944        267.115             1.000            10.694           52.3           55.6            101.1             95.1       2849.719       2803.673         31.000         2136.7         4130.6          14.01              ?        179.000         79.000                  2.000                  17.000           51.2        760.032           25.4        725.584            27.0        767.302          2.489          5.025         10.755         12.415         10.780          5.211          1.252          0.321          0.745          3.773          5.762          4.580         10.929          3.138          1.348          1.299          2.506          2.726            0.000
     11/11/1994           1994         35.000           17.250            2.804              8.009              -1.059          9.241          3.862           0.000           0.000        681.161        511.716         48.850         65.454          0.000          0.000        -54.646        -99.922             1.000             5.313           83.9           86.8            133.4            123.8       3004.924       2901.098         33.000         2617.5         4889.2          17.44              ?        185.000         69.000                  1.000                   7.000           60.0        705.022           34.6        691.159            51.6        716.670          6.587         12.065         17.268         12.098          6.816          2.630         10.406          4.076          3.854          2.684          3.479          1.627         21.934          7.549          2.577          0.726          0.263          0.606            0.000
     11/11/1995           1995         35.000           30.279           10.590             25.144               9.366          5.135          1.224           0.000           0.000        751.645        508.555         48.086         63.441          0.000          0.000         52.534        -20.946             1.000             5.863           75.1           80.8            120.8            117.0       2764.728       2743.193         35.000         3409.4         6831.4          22.59              ?        195.000         86.000                  1.000                  15.000           54.7        760.176           29.4        639.898            18.9        693.598          1.759          7.222         15.630         14.240          9.144          3.668          2.191          0.350          0.102          0.149          1.703          3.792         19.499          3.910          1.586          0.811          0.928          1.354            0.000
     11/11/1996           1996         35.000           27.023           12.101             19.664               8.896          7.359          3.206           0.000           0.000        848.413        706.659         46.596         62.811          0.000          0.000         87.239         28.746             1.000             6.618           69.8           74.2            113.1            112.1       2735.663       2698.651         20.000         3727.9         6927.5          24.66              ?        200.000         77.000                  3.000                  14.000           59.1        698.520           28.7        721.123            33.9        726.903          6.486          9.793         16.008         13.459          7.629          2.973          1.813          0.272          0.097          0.243          5.100          3.644         13.415          7.865          2.868          0.827          0.573          1.766            0.000
     11/11/1997           1997         35.000           30.980            1.718             25.295               0.440          5.685          1.279           0.000           0.000        698.516        375.616         47.187         66.288          0.000          0.000         33.492        -97.139             1.000             5.448           69.1           70.8            119.9            108.2       2964.064       2869.278         43.000         2594.5         4895.8          17.03              ?        175.000         77.000                  5.000                  12.000           50.4        730.729           30.1        636.344            40.8        682.973          1.912          5.315         10.990         12.269         10.477          5.018          3.792          2.092          0.886          0.676          1.074          3.278         20.705          4.031          1.419          0.545          0.492          0.982            0.000
     11/11/1998           1998         35.000           29.404            6.105             23.525               5.087          5.879          1.017           0.000           0.000        881.628        520.827         50.291         68.363          0.000          0.000        121.895         42.869             1.000             6.877           53.1           57.3            119.6             93.3       3285.676       2885.696         30.000         3326.1         7038.6          23.14              ?        157.000         73.000                  0.000                   7.000           53.1        762.724           31.5        618.384            26.6        744.080          1.784          6.318         13.117         13.484         10.146          4.424          2.479          0.314          0.199          3.871          7.165          4.511         16.209          3.330          1.492          1.909          3.530          2.443            0.000
     11/11/1999           1999         35.000           29.180           16.973             21.769              14.249          7.411          2.723           0.000           0.000        916.920        718.318         50.120         64.972          0.000          0.000        137.608        116.926             1.000             7.152           85.0           88.9            131.8            121.3       2964.396       2835.056         32.000         3224.1         6364.1          21.76              ?        185.000         77.000                  2.000                  12.000           56.9        783.900           35.7        658.917            31.5        732.486          2.553          9.773         18.842         14.038          6.844          2.674          2.888          0.332          0.204          4.291          7.823          4.375         20.563          3.518          1.386          1.453          3.619          2.608            0.000
     11/11/2000           2000         35.000           14.845            0.215              8.851              -1.293          5.994          1.508           0.000           0.000        560.980        332.664         51.136         67.768          0.000          0.000       -134.265       -128.160             1.000             4.376           60.5           64.0            124.8             98.2       3235.177       2831.254         33.000         3739.6         7474.2          25.62              ?        159.000         71.000                  0.000                  10.000           56.3        692.294           17.0        593.692            16.1        691.920          4.097         10.334         16.685         12.640          7.236          2.774          3.524          0.441          0.146          0.146          1.189          1.652         10.531          2.885          1.351          0.502          0.380          0.586            0.000
     11/11/2001           2001         35.000           31.607            9.242             25.898               7.737          5.709          1.505           0.000           0.000        726.898        470.916         46.582         67.473          0.000          0.000          8.549        -68.644             1.000             5.670           51.2           51.0            100.5             86.4       3084.816       2867.779         40.000         3511.9         7186.8          23.75              ?        163.000         73.000                  3.000                   9.000           55.8        747.603           19.7        670.615            26.6        675.134          2.247          7.010         14.446         14.138         10.118          4.228          2.268          0.545          0.139          0.150          0.341          3.615          9.995          5.166          2.443          0.558          0.332          0.474            0.000
     11/11/2002           2002         35.000           20.700            5.445             13.465               3.481          7.235          1.964           0.000           0.000        724.612        533.146         49.940         66.922          0.000          0.000        -13.683        -41.914             1.000             5.652           77.9           84.1            131.3            117.9       3067.122       2905.949         47.000         2990.9         6020.2          20.34              ?        169.000         74.000                  0.000                  21.000           55.7        700.227           29.6        640.648            42.9        665.612          3.535         10.325         17.234         12.673          6.928          2.650          3.616          0.533          0.243          0.186          0.925          2.302         19.822          4.343          1.596          0.585          0.470          1.060            0.000
     11/11/2003           2003         35.000           15.236            6.829              8.161               4.479          7.075          2.350           0.000           0.000        762.244        596.067         47.711         64.279          0.000          0.000        -52.600        -44.375             1.000             5.946           50.8           56.8             95.5             91.4       2896.081       2770.120         26.000         4189.1         8011.2          27.69              ?        191.000         80.000                  0.000                  15.000           60.7        705.738           25.5        636.528            15.4        695.910          7.134         13.493         19.142         11.974          4.411          2.162          2.484          0.333          0.104          0.136          3.999          2.510         15.729          4.450          1.820          0.827          0.800          0.789            0.000
     11/11/2004           2004         35.000           32.947            8.334             26.767               6.090          6.180          2.244           0.000           0.000        782.783        583.393         48.235         62.342          0.000          0.000        102.303        -11.684             1.000             6.106           69.3           73.7            114.5            111.2       2714.813       2642.299          7.000         2379.1         4422.4          15.87              ?        205.000         74.000                  1.000                  10.000           54.0        720.980           30.8        693.620            40.8        719.768          2.762          5.880         12.483         13.611         10.520          4.626          4.769          0.646          0.394          0.758          5.794          4.216         15.804          7.988          2.279          0.864          0.992          1.606            0.000
     11/11/2005           2005         35.000           27.207            4.284             20.574               2.551          6.633          1.732           0.000           0.000        808.621        586.132         50.179         67.269          0.000          0.000          8.377        -72.416             1.000             6.307           90.3           86.0            143.0            120.4       3247.023       2897.562         35.000         4141.9         7839.0          27.40              ?        164.000         74.000                  5.000                  12.000           54.2        732.453           26.7        697.920            18.3        701.667          2.399          6.868         14.005         13.821          9.672          4.002          3.146          0.551          0.149          0.108          0.226          2.858         17.311          5.395          1.317          0.377          0.193          0.643            0.000
