ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=15-jun;initNAmes=SoilAmesCorn80;Residue_SOM=SOMsoy;WTDepth=1200
Title = Ames-Soy;cultivar=Soy_normal;date=15-jun;initNAmes=SoilAmesCorn80;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           19.725           14.443             -0.462              -0.810         20.187         15.254           0.000           0.000        599.700        405.130         50.511         66.104          0.000          0.000       -148.343        -54.348             1.000             4.678          160.2          126.9            173.6            128.4       3119.040       2186.100         23.000         2490.5         4646.4          17.71              ?        132.000         39.000                  0.000                  11.000          103.8        663.868           53.9        678.334           121.7        637.595         66.359         16.625         10.414          4.597          2.900          0.998         28.786         30.022         17.609          5.363          2.200          0.593         30.782         11.942          6.539          2.484          1.559          0.356            0.000
     11/11/1982           1982         35.000           27.054            3.643             14.889              -2.596         12.165          6.240           0.000           0.000        852.170        384.820         46.688         64.707          0.000          0.000         -3.979        -92.260             1.000             6.647          137.4          123.1            148.3            123.6       2883.870       2188.080         14.000         2588.9         4934.9          18.50              ?        143.000         41.000                  0.000                  12.000           69.7        708.268           34.6        700.446            81.4        683.925         22.158          9.440         12.091         10.898          8.325          3.269         22.852          7.924          5.668          4.986          5.814          2.214         19.557          9.092          2.607          1.000          0.738          0.909            0.000
     11/11/1983           1983         35.000           41.474            8.540             26.473              -1.005         15.001          9.545           0.000           0.000       1205.960        650.220         50.282         67.860          0.000          0.000        143.631        -25.728             1.000             9.406          139.9          127.5            150.8            129.9       3293.730       2714.220         64.000         2403.7         4466.5          15.86              ?        147.000         38.000                  0.000                   7.000           61.7        695.079           41.1        746.522            71.5        671.631         18.890          6.851          8.479          8.976          8.977          4.592         18.952          5.302          4.603          5.123          7.031          3.823         12.358         11.039          9.477          3.701          1.783          1.335            0.000
     11/11/1984           1984         35.000           29.164            2.259             20.335              -0.797          8.828          3.056           0.000           0.000        971.040        365.480         47.181         66.301          0.000          0.000        -35.455       -145.265             1.000             7.574          104.5           92.2            114.9             92.6       3015.540       2373.840         33.000         3028.2         5515.0          20.66              ?        140.000         39.000                  0.000                  11.000           66.4        744.279           27.1        708.499            64.3        647.486         17.044         11.061         11.476         11.039          8.510          3.580         15.664          1.489          0.712          1.069          3.681          2.748         14.127          7.570          2.811          0.768          0.585          0.648            0.000
     11/11/1985           1985         35.000           13.078            1.930              4.622              -2.076          8.456          4.007           0.000           0.000        652.530        406.660         49.175         64.320          0.000          0.000       -119.527       -113.554             1.000             5.090          145.3          111.6            155.9            112.5       3120.119       2160.720         28.000         2800.0         5112.0          19.55              ?        144.000         41.000                  0.000                   8.000           97.0        651.169           29.2        721.350            93.8        625.532         53.411         15.221         12.510          7.120          4.998          1.555         32.919          5.488          2.225          1.566          1.915          0.763         12.930          7.989          5.729          1.684          0.317          0.285            0.000
     11/11/1986           1986         35.000           34.327           12.487             14.641               0.227         19.686         12.260           0.000           0.000       1091.450        642.620         48.344         65.698          0.000          0.000        128.787         47.213             1.000             8.513          153.0          131.8            163.0            131.9       3262.950       2347.650         27.000         2892.8         5298.6          19.42              ?        144.000         37.000                  0.000                   8.000           76.4        694.593           30.1        755.792            90.7        682.295         27.979         10.774         12.944         10.788          7.576          2.957         18.310         14.190          7.699          5.573          5.851          2.229         10.008          7.750          5.819          2.699          1.570          1.132            0.000
     11/11/1987           1987         35.000           26.678           15.135              5.217               1.683         21.461         13.453           0.000           0.000        866.160        555.520         51.669         68.553          0.000          0.000        -37.677          3.210             1.000             6.756          162.2          122.2            177.7            123.4       3446.911       2253.780         31.000         2854.4         5310.7          19.80              ?        120.000         39.000                  0.000                  14.000          100.9        657.822           34.2        682.996           116.4        679.129         51.845         19.465         14.003          6.992          3.819          1.289         30.761         23.621         11.017          4.405          2.972          0.807         17.184          5.775          4.979          2.868          1.666          0.867            0.000
     11/11/1988           1988         35.000           15.649            3.125              6.845              -2.391          8.804          5.516           0.000           0.000        591.840        356.870         50.680         68.796          0.000          0.000       -147.911       -133.371             1.000             4.616          161.3          120.7            172.4            122.2       3582.810       2584.169         52.000         2833.1         5245.8          19.02              ?        134.000         39.000                  0.000                  18.000          100.9        641.355           38.8        654.720           110.4        667.099         57.102         14.941         11.878          7.034          5.276          1.471         36.569          9.860          4.892          2.758          2.899          0.753         24.907          7.960          3.683          1.071          0.416          0.323            0.000
     11/11/1989           1989         35.000           15.348            1.365              6.043              -1.916          9.305          3.281           0.000           0.000        638.310        276.110         49.100         66.726          0.000          0.000       -150.631       -142.564             1.000             4.979          136.6          110.4            148.2            111.3       3103.650       2222.551         24.000         2690.5         4981.3          19.29              ?        129.000         41.000                  0.000                  18.000           82.1        656.417           27.1        645.749            94.5        657.865         36.831         14.597         13.410          8.180          5.289          1.584         34.285          7.590          4.171          2.429          2.707          0.900         19.572          4.233          1.632          0.557          0.291          0.341            0.000
     11/11/1990           1990         35.000           33.505           13.241             13.849               2.481         19.656         10.760           0.000           0.000        998.533        499.470         49.689         68.039          0.000          0.000         43.194          6.388             1.000             7.789          153.8          140.2            167.0            140.7       3276.134       2519.522         40.000         2463.6         4935.4          16.31              ?        136.000         39.000                  0.000                  14.000           69.3        702.396           49.8        657.986            75.7        722.320         21.758          9.944         13.069         11.229          7.290          2.748         13.291          5.507          4.883          8.254          6.984          3.038         30.293          6.432          3.073          3.055          3.860          1.625            0.000
     11/11/1991           1991         35.000           27.521           -2.980             16.830              -4.307         10.691          1.328           0.000           0.000        821.349        129.272         50.164         68.152          0.000          0.000        -45.132       -152.705             1.000             6.407          143.8          109.0            159.7            109.4       3619.281       2391.874         43.000         2674.0         5029.3          17.98              ?        128.000         37.000                  0.000                  20.000           83.6        704.386           39.1        623.628           106.9        633.489         33.763         12.264         10.149          9.843          8.824          4.042         43.887          6.406          3.924          3.998          5.612          2.462         29.352          5.133          1.677          0.759          0.643          0.773            0.000
     11/11/1992           1992         35.000           37.345           15.645             21.935               5.011         15.410         10.634           0.000           0.000        879.812        474.928         49.338         62.776          0.000          0.000        125.807         38.798             1.000             6.863          129.5          104.2            142.2            106.8       2533.040       1789.805          6.000         2071.5         4278.7          16.97              ?        135.000         48.000                  0.000                  14.000           78.8        645.269           24.2        679.404            76.7        781.152         35.673          9.614         10.405          8.628          7.479          2.832          7.014          1.802          4.158          9.473          7.517          3.060         11.187          1.653          0.799          1.180          4.974          2.298            0.000
     11/11/1993           1993         35.000           55.531           23.319             36.615               9.723         18.916         13.596           0.000           0.000       1370.990        853.954         46.812         66.022          0.000          0.000        317.090        150.450             1.000            10.694          117.2          108.0            126.3            108.5       2849.719       2271.750         31.000         1795.9         3389.0          12.78              ?        138.000         40.000                  0.000                  17.000           57.6        709.657           35.0        708.344            68.3        753.378         13.314          7.025          8.845         10.053          9.030          4.576          8.737          8.534          7.556          8.160          7.321          4.260         15.058          4.445          2.258          2.562          4.059          3.255            0.000
     11/11/1994           1994         35.000           11.373            2.882              2.050              -1.304          9.323          4.186           0.000           0.000        681.161        412.429         48.850         64.213          0.000          0.000       -159.886       -121.378             1.000             5.313          146.4          124.8            156.3            125.5       3004.924       2223.276         25.000         1795.9         3389.0          12.78              ?        138.000         40.000                  0.000                   7.000           88.1        664.958           35.0        708.344            88.2        624.916         42.855         18.267         12.784          6.330          4.040          1.317         23.720         11.120          4.369          2.511          2.221          0.718         15.058          4.445          2.258          2.562          4.059          3.255            0.000
     11/11/1995           1995         35.000           21.324           -0.466             12.129              -3.447          9.194          2.981           0.000           0.000        751.645        343.830         48.086         65.744          0.000          0.000        -53.086       -125.080             1.000             5.863          136.9          128.7            148.4            130.0       2764.728       2319.935         33.000         2477.1         4650.2          17.41              ?        140.000         41.000                  0.000                  15.000           64.2        664.495           41.1        674.600            74.9        661.415         19.659          8.428         11.506         10.056          7.901          3.080         27.868          7.821          5.450          4.886          5.528          1.912         30.276          5.817          2.179          0.985          0.746          0.660            0.000
     11/11/1996           1996         35.000           21.519            6.961              7.721               0.212         13.798          6.748           0.000           0.000        848.413        449.180         46.596         64.680          0.000          0.000        -11.515        -30.318             1.000             6.618          135.0          124.4            144.3            125.6       2735.663       2132.285         12.000         2932.3         5417.4          21.07              ?        139.000         39.000                  0.000                  14.000           72.9        703.429           21.5        723.280            74.5        695.094         23.685         12.739         14.991         10.995          5.819          1.997         16.062          6.585          5.051          4.300          4.742          1.633         11.034          5.880          1.953          0.597          0.418          0.911            0.000
