ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=15-may;initNAmes=SoilAmesCorn40;Residue_SOM=SOMsoy;WTDepth=1200
Title = Ames-Soy;cultivar=Soy_normal;date=15-may;initNAmes=SoilAmesCorn40;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            5.224            1.809             -0.169              -0.746          5.393          2.556           0.000           0.000        599.700        463.040         50.511         66.444          0.000          0.000       -210.208       -140.341             1.000             4.678          147.9          143.0            163.0            145.4       3119.040       2740.320         29.000         4046.9         7390.8          26.85              ?        163.000         52.000                  0.000                  11.000           47.6        640.974           29.2        678.129            36.0        666.643         25.105          8.866          6.816          3.127          1.824          0.661          7.764          3.083          0.361          0.144          0.119          0.315         22.301          4.553          1.494          0.533          0.140          0.057            0.000
     11/11/1982           1982         35.000           14.108            2.981              8.234              -0.232          5.874          3.213           0.000           0.000        852.170        523.510         46.688         64.393          0.000          0.000        -35.236       -112.771             1.000             6.647          132.4          132.0            143.1            133.8       2883.870       2589.660         14.000         4084.1         7476.6          27.17              ?        174.000         59.000                  0.000                  12.000           37.4        708.312           29.7        699.372            13.2        695.965          9.351          6.126          7.517          6.264          4.584          1.741          5.820          0.373          0.108          0.123          1.436          1.255         18.211          7.725          2.074          0.647          0.347          0.416            0.000
     11/11/1983           1983         35.000           26.681            5.105             15.907               0.851         10.774          4.253           0.000           0.000       1205.960        601.460         50.282         71.376          0.000          0.000        130.262        -63.204             1.000             9.406          113.9          114.8            137.7            119.1       3293.730       3011.940         65.000         2635.6         5974.1          18.59              ?        141.000         55.000                  0.000                   7.000           32.1        706.674           41.8        664.594            31.5        753.510          6.017          3.965          5.492          6.119          5.295          2.570          5.605          0.693          0.257          0.787          3.791          2.185         24.404          9.357          3.550          0.972          0.735          0.883            0.000
     11/11/1984           1984         35.000           18.116            3.440             11.445               0.769          6.671          2.671           0.000           0.000        971.040        522.720         47.181         68.536          0.000          0.000        -53.909       -142.242             1.000             7.574           94.1           95.6            109.5             99.4       3015.540       2863.530         33.000         3866.4         7251.4          25.41              ?        154.000         52.000                  0.000                  11.000           33.2        694.796           31.2        646.648            22.9        675.462          6.237          4.684          6.721          6.581          4.858          1.994          5.101          0.550          0.156          0.141          0.524          1.607         21.397          6.538          1.380          0.534          0.321          0.239            0.000
     11/11/1985           1985         35.000            7.539            0.966              2.638              -1.460          4.901          2.425           0.000           0.000        652.530        460.000         49.175         64.548          0.000          0.000       -214.941       -228.588             1.000             5.090          118.3          110.7            128.3            112.0       3120.119       2644.380         31.000         3972.4         7411.1          26.28              ?        175.000         55.000                  0.000                   8.000           46.1        647.339           29.8        712.104            25.7        605.340         19.918          7.738          7.884          4.887          3.187          1.040         10.723          1.135          0.289          0.093          0.038          0.306         14.032          8.262          5.636          1.561          0.170          0.026            0.000
     11/11/1986           1986         35.000           19.182            8.274              7.925               1.366         11.257          6.908           0.000           0.000       1091.450        728.980         48.344         66.600          0.000          0.000        108.944         30.922             1.000             8.513          150.7          145.9            161.3            147.0       3262.950       2802.960         28.000         3958.0         7350.2          26.59              ?        167.000         53.000                  0.000                   8.000           41.4        750.518           28.7        767.429            31.7        730.104          9.710          8.091          9.550          7.116          3.924          1.458          5.384          0.505          0.196          0.765          3.439          1.299         11.400          9.006          5.083          1.675          0.508          0.440            0.000
     11/11/1987           1987         35.000           10.310            4.538              1.586              -0.536          8.723          5.074           0.000           0.000        866.160        650.760         51.669         68.907          0.000          0.000        -64.434        -42.883             1.000             6.756          153.3          143.3            170.8            147.2       3446.911       2881.980         41.000         3808.1         6997.4          24.95              ?        151.000         48.000                  0.000                  14.000           49.6        649.407           23.0        693.136            51.3        652.112         23.896          8.549          7.922          4.263          2.309          0.805         11.106          2.582          1.170          0.538          0.644          0.431         17.769          3.077          1.301          0.378          0.005          0.136            0.000
     11/11/1988           1988         35.000            7.938           -0.255              3.843              -1.723          4.094          1.467           0.000           0.000        591.840        400.550         50.680         72.713          0.000          0.000       -202.575       -203.199             1.000             4.616          124.4          108.8            138.0            111.5       3582.810       3134.430         65.000         3162.8         6192.7          21.09              ?        139.000         48.000                  0.000                  18.000           43.7        642.486           29.1        691.758            41.7        600.647         18.155          7.168          7.220          4.650          3.454          1.014          8.442          2.378          0.369          0.172          0.107          0.405         18.473          7.036          2.107          0.593          0.150          0.040            0.000
     11/11/1989           1989         35.000            8.000            0.861              3.395              -1.042          4.604          1.903           0.000           0.000        638.310        397.520         49.100         66.564          0.000          0.000       -222.207       -225.035             1.000             4.979          104.7          100.8            118.6            103.7       3103.650       2715.301         26.000         4082.4         7465.0          26.97              ?        160.000         53.000                  0.000                  18.000           41.0        650.649           24.6        632.565            22.3        628.073         14.907          7.529          7.819          5.012          3.212          0.987          7.027          0.839          0.185          0.064          0.033          0.377         18.616          3.444          1.560          0.532          0.177          0.035            0.000
     11/11/1990           1990         35.000           18.264           10.048              8.490               5.038          9.774          5.010           0.000           0.000        998.533        608.432         49.689         70.649          0.000          0.000         65.825         75.779             1.000             7.789          146.7          143.3            166.7            145.7       3276.134       2891.756         41.000         2990.6         6529.5          21.04              ?        141.000         53.000                  0.000                  14.000           37.7        734.591           45.4        648.653            29.2        731.565          8.595          7.945          8.940          6.550          3.267          1.144          2.541          0.297          0.100          3.386          4.001          1.783         31.166          4.411          1.916          2.148          2.853          1.249            0.000
     11/11/1991           1991         35.000           17.153            1.755             10.194              -0.619          6.959          2.374           0.000           0.000        821.349        239.695         50.164         74.087          0.000          0.000        -97.018       -139.488             1.000             6.407          100.5           90.6            119.5             92.6       3619.281       3039.506         55.000         3479.2         7025.8          23.70              ?        127.000         43.000                  0.000                  20.000           36.5        723.179           19.2        561.762            45.8        662.537          8.212          4.298          6.606          6.846          5.331          2.331         13.772          0.872          0.219          0.194          0.344          1.534         15.534          1.235          0.995          0.475          0.192          0.185            0.000
     11/11/1992           1992         35.000           13.896            1.477              8.168              -1.461          5.727          2.939           0.000           0.000        879.812        499.312         49.338         63.111          0.000          0.000        126.945         26.194             1.000             6.863          123.4          120.8            136.2            124.1       2533.040       2249.294         11.000         3579.2         6610.3          25.46              ?        166.000         57.000                  0.000                  14.000           35.3        669.371           19.1        678.490            29.8        691.061          9.507          4.552          6.492          6.056          4.575          1.822          1.863          0.101          0.011          0.054          1.073          1.100         13.858          2.063          0.884          0.370          0.230          0.676            0.000
     11/11/1993           1993         35.000           28.201           12.829             18.115               5.346         10.086          7.483           0.000           0.000       1370.990        965.206         46.812         65.076          0.000          0.000        309.192        161.625             1.000            10.694          119.4          120.1            128.4            122.1       2849.719       2609.465         31.000         2607.8         4868.8          17.57              ?        169.000         59.000                  0.000                  17.000           31.3        750.770           25.0        709.806            33.2        778.719          4.195          4.579          6.334          6.191          5.121          2.426          4.351          0.755          1.074          4.030          4.052          2.319         13.818          3.614          1.480          1.089          1.733          1.575            0.000
     11/11/1994           1994         35.000            8.334            3.903              1.425              -0.775          6.909          4.678           0.000           0.000        681.161        493.965         48.850         64.811          0.000          0.000       -199.908       -182.393             1.000             5.313          145.8          144.8            155.2            147.4       3004.924       2771.593         32.000         2607.8         4868.8          17.57              ?        169.000         59.000                  0.000                   7.000           41.6        655.562           25.0        709.806            37.4        673.379         16.892          8.184          7.811          4.180          2.512          0.853          8.815          0.591          0.153          0.057          0.037          0.390         13.818          3.614          1.480          1.089          1.733          1.575            0.000
     11/11/1995           1995         35.000           12.092            1.194              7.258              -0.321          4.834          1.515           0.000           0.000        751.645        397.545         48.086         65.017          0.000          0.000        -73.874       -137.581             1.000             5.863          133.5          136.2            144.7            138.7       2764.728       2686.988         35.000         3448.3         6773.5          22.90              ?        171.000         59.000                  0.000                  15.000           33.3        744.154           30.0        675.722            20.7        656.694          4.512          5.586          8.432          7.062          4.478          1.672          4.887          0.454          0.138          0.076          0.194          1.066         22.904          4.012          1.590          0.602          0.351          0.304            0.000
