ApsimVersion = 7.8
factors = cultivar=Soy_short;date=1-jun;initNAmes=SoilAmesCorn40;Residue_SOM=SOMsoy;WTDepth=600
Title = Ames-Soy;cultivar=Soy_short;date=1-jun;initNAmes=SoilAmesCorn40;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           13.873            8.015             -0.846              -0.751         14.719          8.766           0.000           0.000        599.700        445.510         50.511         66.801          0.000          0.000       -235.813       -131.516             1.000             4.678          147.3          134.5            162.7            136.2       3119.040       2512.530         29.000         2872.1         5883.4          19.68              ?        146.000         43.000                  0.000                  11.000           48.8        674.226           22.1        737.299            56.7        688.706         31.017          7.073          4.816          2.442          1.262          0.453         11.389          7.920          2.054          0.648          0.727          0.163         16.390          4.232          1.076          0.199          0.119          0.073            0.000
     11/11/1982           1982         35.000           15.338            2.617              3.472              -2.699         11.866          5.316           0.000           0.000        852.170        437.900         46.688         64.621          0.000          0.000        -72.451       -149.696             1.000             6.647          126.3          122.7            138.9            124.6       2883.870       2380.590         14.000         3411.5         6137.2          22.00              ?        157.000         49.000                  0.000                  12.000           31.9        755.481           21.8        756.128            24.8        758.764          8.584          6.060          6.466          4.736          3.201          1.313          5.511          0.619          0.411          1.580          2.091          0.700         12.972          6.442          1.304          0.375          0.414          0.215            0.000
     11/11/1983           1983         35.000           26.929            5.529              5.349              -2.588         21.580          8.116           0.000           0.000       1205.960        547.350         50.282         72.882          0.000          0.000         -1.045       -132.341             1.000             9.406          118.1          119.4            139.7            122.2       3293.730       2902.500         65.000         1724.9         4818.1          13.09              ?        127.000         44.000                  0.000                   7.000           28.5        735.065           47.4        745.218            37.3        717.795          7.288          4.500          5.385          4.620          3.443          1.509          7.994          1.145          0.766          1.850          2.451          0.931         24.237         14.156          6.036          1.312          0.853          0.326            0.000
     11/11/1984           1984         35.000           17.355            4.593              3.962              -1.898         13.393          6.491           0.000           0.000        971.040        454.130         47.181         66.859          0.000          0.000       -135.633       -207.961             1.000             7.574          105.4          104.1            116.4            105.7       3015.540       2664.090         33.000         2693.2         6112.9          18.86              ?        153.000         43.000                  0.000                  11.000           31.8        751.478           34.8        743.243            30.5        694.854          8.309          6.625          6.540          4.550          3.039          1.234          5.738          0.380          0.124          0.268          1.754          0.723         18.394         10.852          4.375          0.715          0.248          0.129            0.000
     11/11/1985           1985         35.000           11.592            3.952              1.295              -1.173         10.297          5.125           0.000           0.000        652.530        448.560         49.175         64.437          0.000          0.000       -214.603       -197.368             1.000             5.090          139.1          120.7            149.6            122.0       3120.119       2379.600         31.000         3159.4         6272.8          21.31              ?        158.000         48.000                  0.000                   8.000           50.4        675.011           23.4        761.981            44.4        643.770         29.484          6.959          5.884          3.582          2.008          0.686         13.538          0.753          0.158          0.108          0.277          0.225         11.950          7.229          3.409          0.640          0.111          0.059            0.000
     11/11/1986           1986         35.000           22.346            9.604              4.410              -0.705         17.936         10.309           0.000           0.000       1091.450        696.220         48.344         66.027          0.000          0.000         43.346        -27.710             1.000             8.513          137.6          131.0            147.5            131.4       3262.950       2619.090         28.000         3226.1         5976.8          21.14              ?        158.000         43.000                  0.000                   8.000           32.4        743.017           20.2        768.291            37.9        767.196         10.477          5.558          5.758          4.569          2.899          1.244          3.208          0.412          0.438          2.869          2.119          0.806         12.296          3.825          1.387          0.799          1.018          0.512            0.000
     11/11/1987           1987         35.000           16.593            8.334              0.344              -0.864         16.248          9.198           0.000           0.000        866.160        571.010         51.669         69.097          0.000          0.000       -124.443        -70.270             1.000             6.756          148.0          129.8            165.7            131.2       3446.911       2585.880         39.000         2867.6         5797.5          19.31              ?        134.000         42.000                  0.000                  14.000           50.7        725.947           16.7        737.214            61.9        754.307         25.085         12.325          6.596          3.232          1.569          0.576         16.224          3.248          1.594          1.257          1.011          0.273         13.460          2.051          0.272          0.057          0.430          0.184            0.000
     11/11/1988           1988         35.000           12.579            3.808              2.182              -1.314         10.396          5.122           0.000           0.000        591.840        383.530         50.680         69.044          0.000          0.000       -261.458       -225.298             1.000             4.616          147.3          126.6            158.1            128.4       3582.810       2883.690         60.000         2701.7         5807.6          18.35              ?        148.000         43.000                  0.000                  18.000           51.1        675.999           35.0        717.162            56.6        643.739         30.036          6.996          5.635          3.481          2.090          0.606         13.584          1.377          0.265          0.173          0.656          0.209         24.918          6.744          2.671          0.418          0.097          0.049            0.000
     11/11/1989           1989         35.000           10.787            1.759              1.664              -1.299          9.123          3.059           0.000           0.000        638.310        305.830         49.100         66.587          0.000          0.000       -258.724       -226.489             1.000             4.979          126.8          115.8            141.2            117.2       3103.650       2436.931         24.000         3143.8         6060.4          20.93              ?        143.000         46.000                  0.000                  18.000           40.9        714.355           21.7        690.886            43.5        661.896         17.871          8.456          6.804          3.721          2.055          0.670         10.315          0.723          0.188          0.156          0.726          0.260         17.217          2.647          1.062          0.351          0.101          0.058            0.000
