ApsimVersion = 7.8
factors = cultivar=Soy_short;date=1-may;initNAmes=SoilAmesCorn19;Residue_SOM=SOMsoy;WTDepth=600
Title = Ames-Soy;cultivar=Soy_short;date=1-may;initNAmes=SoilAmesCorn19;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           10.695            4.581             -0.384              -0.519         11.079          5.100           0.000           0.000        599.700        455.170         50.511         66.828          0.000          0.000       -244.834       -180.053             1.000             4.678          139.2          138.4            156.9            141.4       3119.040       2779.650         29.000         3180.0         6860.5          22.52              ?        165.000         61.000                  2.000                  11.000           22.5        685.250           29.8        743.210            14.3        703.761         11.308          4.115          3.494          1.693          0.713          0.310          7.297          0.500          0.131          0.068          0.298          0.079         22.022          6.403          0.985          0.063          0.010          0.028            0.000
     11/11/1982           1982         35.000           13.080            4.191              1.613              -1.359         11.467          5.550           0.000           0.000        852.170        543.340         46.688         66.484          0.000          0.000        -66.045       -146.101             1.000             6.647          123.3          126.5            139.2            130.7       2883.870       2752.290         15.000         3138.5         6919.7          21.89              ?        167.000         65.000                  0.000                  12.000           15.2        722.781           35.2        737.261             7.4        688.418          3.297          2.458          3.350          2.699          1.708          0.704          3.821          0.278          0.077          0.331          1.041          0.376         24.082          7.925          1.921          0.524          0.391          0.113            0.000
     11/11/1983           1983         35.000           19.235            4.180              2.707              -1.147         16.528          5.327           0.000           0.000       1205.960        660.890         50.282         70.102          0.000          0.000         -4.967       -129.229             1.000             9.406          106.4          105.7            131.7            111.7       3293.730       2944.710         64.000         2055.0         5742.3          15.83              ?        146.000         65.000                  0.000                   7.000           15.2        732.878           41.4        741.523            13.0        783.900          3.686          2.232          3.004          2.604          1.821          0.782          5.733          0.428          0.218          0.912          1.276          0.490         19.925         13.992          5.738          0.973          0.435          0.157            0.000
     11/11/1984           1984         35.000           12.340            3.634              2.125              -0.630         10.215          4.264           0.000           0.000        971.040        495.800         47.181         67.775          0.000          0.000       -106.861       -172.263             1.000             7.574           87.9           94.6            112.1             99.0       3015.540       2829.690         33.000         2854.7         6747.1          20.16              ?        158.000         61.000                  0.000                  11.000           14.9        780.620           30.3        691.533            12.8        725.407          3.270          2.929          3.243          2.553          1.577          0.649          5.704          0.357          0.131          0.368          1.053          0.406         19.842          7.018          1.972          0.554          0.210          0.087            0.000
     11/11/1985           1985         35.000           11.060            3.508              0.817              -0.743         10.243          4.251           0.000           0.000        652.530        463.810         49.175         65.744          0.000          0.000       -285.319       -314.019             1.000             5.090          116.3          116.1            130.0            118.7       3120.119       2802.510         31.000         3826.7         8068.1          26.43              ?        175.000         61.000                  0.000                   8.000           21.3        698.644           38.6        777.987             6.3        678.275          8.667          3.696          3.886          2.393          1.164          0.458          5.947          0.712          0.183          0.049          0.021          0.096         17.128         14.578          5.880          0.830          0.115          0.015            0.000
     11/11/1986           1986         35.000           17.873            6.975              2.249              -0.097         15.625          7.071           0.000           0.000       1091.450        678.930         48.344         69.043          0.000          0.000         49.654        -42.170             1.000             8.513          121.0          125.8            146.3            128.6       3262.950       2841.840         28.000         3071.7         6993.4          21.66              ?        150.000         58.000                  1.000                   8.000           17.8        766.789           26.0        776.049            11.0        694.898          5.166          4.096          3.324          2.449          1.403          0.597          3.393          0.372          0.086          0.649          1.109          0.445         14.543          7.570          1.664          0.668          0.630          0.234            0.000
     11/11/1987           1987         35.000           17.059            8.151              0.325              -0.520         16.734          8.671           0.000           0.000        866.160        657.620         51.669         70.461          0.000          0.000       -148.132       -127.425             1.000             6.756          139.9          131.9            160.4            136.4       3446.911       2946.330         46.000         2523.6         6635.7          19.66              ?        145.000         52.000                  0.000                  14.000           21.2        696.992           31.2        768.433            27.0        680.551          9.454          4.095          3.637          1.676          0.895          0.384          2.887          0.364          0.113          0.038          0.223          0.125         19.041          7.228          3.459          0.856          0.196          0.066            0.000
     11/11/1988           1988         35.000            9.079            0.158              1.318              -0.744          7.762          0.902           0.000           0.000        591.840        342.640         50.680         72.880          0.000          0.000       -339.938       -307.327             1.000             4.616          101.3           89.4            124.4             93.0       3582.810       3134.520         65.000         2743.3         7127.9          21.39              ?        138.000         51.000                  0.000                  18.000           19.0        683.023           32.7        669.885            10.1        654.674          7.002          3.483          3.666          2.305          1.291          0.425          5.824          0.963          0.260          0.071          0.024          0.100         23.003          4.771          2.962          0.705          0.125          0.018            0.000
     11/11/1989           1989         35.000            8.070            2.000              0.935              -0.715          7.134          2.714           0.000           0.000        638.310        390.150         49.100         66.452          0.000          0.000       -297.986       -287.486             1.000             4.979          112.5          110.5            128.2            114.0       3103.650       2777.041         26.000         3246.8         7278.5          22.91              ?        167.000         62.000                  1.000                  18.000           20.2        719.673           36.4        680.917             7.5        692.859          7.634          4.178          3.793          2.267          1.182          0.431          4.646          0.500          0.129          0.071          0.071          0.130         27.131          5.791          2.133          0.482          0.104          0.020            0.000
