ApsimVersion = 7.8
factors = cultivar=Soy_short;date=15-apr;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1200
Title = Ames-Soy;cultivar=Soy_short;date=15-apr;initNAmes=SoilAmesCorn10;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           11.774            6.819              0.193              -0.214         11.581          7.033           0.000           0.000        599.700        451.870         50.511         66.946          0.000          0.000       -153.840       -104.235             1.000             4.678          145.0          142.5            169.1            147.3       3119.040       2815.470         28.000         1904.5         4388.7          13.42              ?        166.000         71.000                  3.000                  11.000           16.7        654.602           48.7        703.149            54.2        683.240          7.090          3.749          3.001          1.452          0.694          0.198         28.644          7.022          1.995          0.559          0.203          0.066         31.724         10.485          4.651          1.244          0.075          0.029            0.000
     11/11/1982           1982         35.000            9.734            3.159              3.087               0.268          6.647          2.891           0.000           0.000        852.170        562.390         46.688         65.802          0.000          0.000        -26.115        -93.999             1.000             6.647          122.6          126.2            144.8            131.7       2883.870       2750.040         15.000         3152.2         7205.5          21.99              ?        173.000         77.000                  2.000                  12.000           12.8        707.129           39.5        678.430             7.3        656.738          2.019          2.112          2.979          2.636          1.660          0.582          3.408          0.344          0.102          0.028          0.007          0.386         27.930          7.848          2.078          0.511          0.187          0.184            0.000
     11/11/1983           1983         35.000           18.419            5.600              6.780               0.873         11.639          4.727           0.000           0.000       1205.960        633.210         50.282         68.502          0.000          0.000        157.567        -14.992             1.000             9.406          113.7          110.2            142.6            116.5       3293.730       2951.730         64.000         1814.8         5231.4          14.04              ?        156.000         78.000                  6.000                   7.000           12.3        769.369           43.2        673.192            26.0        775.780          1.507          2.083          2.789          2.426          1.849          0.796          6.661          0.527          0.150          0.096          1.241          0.756         27.197         10.322          3.134          0.721          0.411          0.421            0.000
     11/11/1984           1984         35.000            8.347            3.058              4.056               1.111          4.290          1.947           0.000           0.000        971.040        557.270         47.181         67.139          0.000          0.000        -14.594        -68.630             1.000             7.574           79.4           82.1            106.5             88.0       3015.540       2836.710         33.000         3098.3         7572.6          22.39              ?        163.000         74.000                  0.000                  11.000           12.7        732.065           24.1        597.993             8.3        720.432          2.558          2.270          2.774          2.469          1.447          0.516          5.869          0.408          0.107          0.083          0.496          0.553         17.038          3.668          1.262          0.504          0.261          0.212            0.000
     11/11/1985           1985         35.000            5.923           -0.076              1.596              -0.437          4.326          0.361           0.000           0.000        652.530        315.970         49.175         68.534          0.000          0.000       -219.119       -224.145             1.000             5.090           92.0           92.6            119.1             97.5       3120.119       2891.340         31.000         3595.6         7894.7          24.73              ?        157.000         64.000                  0.000                   8.000           14.5        671.556           35.5        576.937             5.9        626.223          4.044          2.782          3.201          2.211          1.201          0.360          5.816          0.740          0.217          0.056          0.010          0.059         27.544          4.529          1.665          0.325          0.119          0.016            0.000
     11/11/1986           1986         35.000           15.486            5.377              4.664               0.661         10.822          4.716           0.000           0.000       1091.450        732.530         48.344         67.692          0.000          0.000        130.374         -4.306             1.000             8.513          129.5          132.2            159.9            137.3       3262.950       2857.320         27.000         2814.6         6760.4          20.34              ?        161.000         68.000                  3.000                   8.000           16.4        720.378           37.9        762.560            15.5        678.517          5.152          3.442          3.253          2.295          1.204          0.399          3.721          0.307          0.085          0.018          0.094          0.367         16.606         13.661          5.576          0.914          0.141          0.197            0.000
     11/11/1987           1987         35.000           10.609            4.214              1.905               0.266          8.704          3.948           0.000           0.000        866.160        628.920         51.669         70.365          0.000          0.000       -102.416       -116.416             1.000             6.756          133.0          123.5            162.9            128.6       3446.911       2966.580         48.000         3111.9         7356.6          22.92              ?        146.000         57.000                  0.000                  14.000           15.6        705.545           34.0        751.347            10.5        661.591          5.009          3.804          3.306          1.904          0.860          0.233          4.537          0.802          0.183          0.055          0.015          0.141         15.669          7.952          6.625          2.376          0.468          0.083            0.000
     11/11/1988           1988         35.000            4.231           -0.155              1.454              -0.669          2.777          0.515           0.000           0.000        591.840        357.630         50.680         70.509          0.000          0.000       -235.750       -217.547             1.000             4.616           98.9           82.3            122.3             86.3       3582.810       3123.540         65.000         2477.0         6405.3          19.11              ?        151.000         64.000                  4.000                  18.000           15.0        650.772           30.3        598.384            10.3        629.505          4.564          2.911          3.012          2.034          1.382          0.374          6.947          0.787          0.314          0.099          0.015          0.072         20.297          4.453          3.118          0.862          0.201          0.026            0.000
     11/11/1989           1989         35.000            7.217            3.328              1.295              -0.228          5.922          3.557           0.000           0.000        638.310        432.820         49.100         66.945          0.000          0.000       -156.993       -166.948             1.000             4.979          134.4          126.2            153.8            133.4       3103.650       2816.010         28.000         1800.2         4426.4          12.95              ?        165.000         70.000                  3.000                  18.000           14.4        656.105           46.3        654.488            45.2        652.001          4.638          2.644          3.018          2.055          1.117          0.319         22.310          7.225          1.509          0.532          0.241          0.128         29.959         10.873          3.883          0.791          0.202          0.089            0.000
     11/11/1990           1990         35.000           19.197           14.561              3.834               2.675         15.364         11.886           0.000           0.000        998.533        729.006         49.689         68.803          0.000          0.000         81.320         93.769             1.000             7.789          145.6          127.5            167.0            133.2       3276.134       2871.588         40.000         1080.4         2978.3           8.21              ?        151.000         74.000                  4.000                  14.000           12.6        704.279           67.7        678.339            37.4        721.233          2.255          2.621          3.177          2.362          1.247          0.389         18.329          9.353          5.113          2.744          1.647          0.605         47.425          9.640          4.476          2.296          1.498          0.594            0.000
     11/11/1991           1991         35.000            9.176            4.068              3.887               1.435          5.289          2.634           0.000           0.000        821.349        328.853         50.164         70.730          0.000          0.000        -88.364        -69.842             1.000             6.407          110.7           96.1            134.5            100.7       3619.281       3013.685         53.000         2940.2         7099.1          21.60              ?        145.000         60.000                  0.000                  20.000           16.1        778.705           30.8        561.092            25.5        707.886          3.256          3.430          3.779          2.807          1.676          0.555          7.986          0.617          0.162          0.084          0.159          0.599         25.868          2.221          1.171          0.515          0.207          0.138            0.000
     11/11/1992           1992         35.000            6.548            2.275              2.882               0.003          3.666          2.273           0.000           0.000        879.812        557.478         49.338         61.766          0.000          0.000        122.850         30.265             1.000             6.863          119.0          121.9            131.7            126.1       2533.040       2461.563         12.000         4058.5         7150.9          26.91              ?        195.000         76.000                  2.000                  14.000           12.5        708.889           23.2        687.646            15.0        617.116          2.232          2.197          2.915          2.349          1.504          0.544          1.304          0.195          0.021          0.002          0.000          0.211         18.013          3.092          1.220          0.389          0.023          0.081            0.000
     11/11/1993           1993         35.000           14.921            8.578              4.918               1.411         10.002          7.168           0.000           0.000       1370.990       1086.513         46.812         65.801          0.000          0.000        333.149        191.664             1.000            10.694          111.0          111.9            127.0            119.0       2849.719       2799.388         31.000         2051.9         5305.9          15.06              ?        177.000         79.000                  2.000                  17.000           11.0        738.076           31.2        733.894             6.1        739.683          2.129          1.619          2.136          2.070          1.574          0.658          3.406          0.513          0.019          0.246          0.861          0.647         19.451          6.678          2.774          0.687          0.371          0.366            0.000
     11/11/1994           1994         35.000            9.795            4.205              0.852              -0.332          8.943          4.536           0.000           0.000        681.161        482.246         48.850         66.292          0.000          0.000       -133.229       -144.238             1.000             5.313          139.9          133.6            159.5            140.2       3004.924       2793.624         33.000         2072.1         4641.3          14.30              ?        169.000         69.000                  1.000                   7.000           16.0        668.747           46.1        698.034            47.0        698.545          6.079          3.084          3.160          1.866          0.960          0.272         26.122          5.087          1.785          0.574          0.281          0.107         26.638         12.981          4.600          0.960          0.135          0.066            0.000
     11/11/1995           1995         35.000            6.220            2.851              2.648               0.989          3.572          1.862           0.000           0.000        751.645        507.035         48.086         64.525          0.000          0.000        -50.312        -66.642             1.000             5.863          133.8          131.0            145.3            135.8       2764.728       2716.600         35.000         2373.6         6381.9          18.07              ?        181.000         86.000                  1.000                  15.000           13.6        733.446           40.4        657.531             6.3        671.822          2.177          2.842          3.780          2.716          1.190          0.354          4.441          0.423          0.121          0.038          0.019          0.330         29.751          6.482          2.058          0.639          0.238          0.147            0.000
     11/11/1996           1996         35.000            8.597            5.497              1.747               0.557          6.850          4.941           0.000           0.000        848.413        684.049         46.596         63.463          0.000          0.000        -30.220        -51.369             1.000             6.618          128.8          129.3            138.7            136.1       2735.663       2698.651         20.000         3004.7         6666.3          21.01              ?        195.000         77.000                  3.000                  14.000           13.0        663.631           37.2        714.128            21.2        697.824          4.171          2.389          2.712          1.841          0.969          0.295          3.773          0.349          0.106          0.041          0.080          0.262         21.175         10.635          3.827          0.884          0.106          0.101            0.000
     11/11/1997           1997         35.000            8.162            1.947              2.505              -0.223          5.657          2.170           0.000           0.000        698.516        375.616         47.187         66.042          0.000          0.000        -45.604       -132.514             1.000             5.448          131.6          125.2            149.2            131.9       2964.064       2746.153         38.000         1937.2         4629.6          13.87              ?        170.000         77.000                  5.000                  12.000           11.7        701.963           41.6        644.194            41.0        663.163          2.670          2.071          2.353          2.035          1.318          0.534         15.352          7.352          1.424          0.333          0.191          0.249         32.100          5.971          1.823          0.542          0.152          0.081            0.000
     11/11/1998           1998         35.000            9.650            3.533              2.775               0.600          6.875          2.933           0.000           0.000        881.628        520.827         50.291         68.324          0.000          0.000         42.450          1.721             1.000             6.877          117.4          112.6            150.4            117.5       3285.676       2824.595         30.000         2689.6         6848.3          20.23              ?        154.000         73.000                  0.000                   7.000           12.3        744.341           40.1        624.159            13.8        741.794          1.946          2.349          2.936          2.341          1.436          0.518          4.800          0.334          0.172          0.994          1.564          0.644         30.632          4.538          1.636          0.828          0.804          0.316            0.000
     11/11/1999           1999         35.000            9.987            7.944              2.626               2.089          7.361          5.855           0.000           0.000        916.920        717.298         50.120         65.276          0.000          0.000          9.742         46.430             1.000             7.152          149.7          140.7            160.1            145.1       2964.396       2795.988         32.000         2969.5         6903.1          21.32              ?        179.000         77.000                  2.000                  12.000           17.4        749.318           40.2        680.169            11.0        713.448          4.606          4.420          4.420          2.533          0.796          0.234          5.208          0.393          0.113          0.128          1.192          0.510         29.211          6.692          2.412          0.724          0.153          0.260            0.000
     11/11/2000           2000         35.000            4.527            1.775              0.454              -0.216          4.074          1.991           0.000           0.000        560.980        331.648         51.136         67.866          0.000          0.000       -218.726       -163.467             1.000             4.376          124.6          119.0            153.7            123.7       3235.177       2828.830         33.000         2927.5         7017.1          21.49              ?        158.000         71.000                  0.000                  10.000           15.4        656.161           30.2        607.681            13.8        669.002          5.337          3.186          3.370          1.930          0.795          0.250          6.013          0.524          0.175          0.057          0.014          0.098         22.701          4.284          1.877          0.577          0.192          0.085            0.000
     11/11/2001           2001         35.000            8.162            2.889              2.845               0.290          5.317          2.599           0.000           0.000        726.898        470.916         46.582         67.691          0.000          0.000        -95.182       -143.757             1.000             5.670          106.5           98.9            123.4            104.3       3084.816       2865.040         40.000         2888.4         7191.0          21.06              ?        161.000         73.000                  3.000                   9.000           12.8        723.971           32.6        669.358             7.7        646.234          2.765          2.182          2.654          2.317          1.513          0.547          7.071          0.648          0.162          0.044          0.027          0.278         17.052         10.164          3.883          0.538          0.136          0.041            0.000
