ApsimVersion = 7.8
factors = cultivar=Soy_short;date=15-apr;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=1200
Title = Ames-Soy;cultivar=Soy_short;date=15-apr;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           15.164            4.754              2.412              -0.149         12.753          4.903           0.000           0.000        599.700        451.870         50.511         66.946          0.000          0.000        -78.746        -71.190             1.000             4.678           78.9           85.7            138.4            116.7       3119.040       2815.470         28.000         1904.5         4388.7          13.41              ?        166.000         71.000                  3.000                  11.000           58.6        708.239           37.4        705.737            54.5        687.670          5.883         13.964         19.115         11.852          3.490          2.194         14.479          6.092          4.350          2.036          1.276          1.131         25.209          7.186          2.627          0.749          0.083          0.590            0.000
     11/11/1982           1982         35.000           35.840            9.112             28.491               7.154          7.349          1.957           0.000           0.000        852.170        562.390         46.688         65.802          0.000          0.000        119.356         10.231             1.000             6.647           61.4           68.2            116.9            105.5       2883.870       2750.040         15.000         2913.3         6734.0          20.35              ?        173.000         77.000                  2.000                  12.000           54.3        738.495           34.8        677.517            25.3        683.993          2.250          5.994         12.924         13.930         10.789          4.745          1.738          0.277          0.082          0.050          2.800          4.403         20.090          6.244          1.934          0.867          1.228          2.181            0.000
     11/11/1983           1983         35.000           46.898            7.684             36.955               5.482          9.943          2.203           0.000           0.000       1205.960        633.210         50.282         68.502          0.000          0.000        284.987         53.358             1.000             9.406           57.6           58.5            118.8             95.3       3293.730       2951.730         64.000         1567.7         4592.0          12.16              ?        156.000         78.000                  6.000                   7.000           47.1        779.928           37.8        684.065            28.2        776.681          1.165          3.787          8.886         11.291         10.904          5.852          2.499          0.468          0.190          1.735          5.931          4.612         17.824          7.665          2.910          1.750          2.548          2.614            0.000
     11/11/1984           1984         35.000           38.134           10.500             32.935               9.509          5.199          0.990           0.000           0.000        971.040        557.270         47.181         67.139          0.000          0.000        135.886         13.967             1.000             7.574           35.3           41.5             94.9             78.4       3015.540       2836.710         33.000         2556.4         6406.7          18.52              ?        163.000         74.000                  0.000                  11.000           52.3        753.370           22.5        625.021            30.1        736.786          1.713          5.846         12.471         13.080         10.402          4.701          2.210          0.320          0.119          0.430          5.257          4.663         10.781          3.627          1.649          1.012          1.414          1.862            0.000
     11/11/1985           1985         35.000           19.363           -1.504             12.991              -2.089          6.372          0.585           0.000           0.000        652.530        315.970         49.175         68.534          0.000          0.000       -148.393       -203.261             1.000             5.090           37.1           43.0             98.0             78.8       3120.119       2891.340         31.000         3650.1         8038.1          24.97              ?        157.000         64.000                  0.000                   8.000           56.5        709.295           24.6        580.466            12.6        636.148          3.311          8.609         15.010         13.873          8.973          3.552          2.950          0.697          0.201          0.060          0.054          0.600         18.346          3.366          1.293          0.320          0.135          0.067            0.000
     11/11/1986           1986         35.000           37.038           12.236             26.341               9.079         10.697          3.157           0.000           0.000       1091.450        732.530         48.344         67.692          0.000          0.000        266.081         89.712             1.000             8.513           67.7           76.4            133.3            110.5       3262.950       2857.320         27.000         2610.1         6336.0          18.88              ?        161.000         68.000                  3.000                   8.000           56.8        752.701           36.9        765.842            29.5        706.174          2.663          7.963         15.555         14.329          9.344          3.793          2.087          0.261          0.061          0.103          4.842          4.286         13.027         10.739          4.353          1.131          1.804          2.867            0.000
     11/11/1987           1987         35.000           21.093            4.097             10.664               0.941         10.429          3.156           0.000           0.000        866.160        628.920         51.669         70.365          0.000          0.000         -9.427        -72.169             1.000             6.756           73.4           71.2            137.6            106.4       3446.911       2966.580         48.000         3137.0         7409.4          23.11              ?        146.000         57.000                  0.000                  14.000           57.9        745.786           28.6        751.516            20.7        680.639          4.659         11.071         17.156         13.411          6.725          2.590          2.002          0.604          0.149          0.063          0.097          1.438         13.022          6.479          5.278          1.932          0.459          0.374            0.000
     11/11/1988           1988         35.000           17.475           -2.681             12.526              -3.264          4.949          0.583           0.000           0.000        591.840        357.630         50.680         70.509          0.000          0.000       -176.834       -197.386             1.000             4.616           41.6           35.2             97.2             67.1       3582.810       3123.540         65.000         2545.1         6555.7          19.68              ?        151.000         64.000                  4.000                  18.000           55.5        697.375           19.1        600.608            17.4        637.776          4.054          8.822         14.744         12.960          8.617          3.331          2.312          0.741          0.299          0.111          0.050          0.420         11.916          3.054          2.058          0.692          0.235          0.090            0.000
     11/11/1989           1989         35.000           20.448            1.318             13.326              -1.239          7.121          2.557           0.000           0.000        638.310        432.820         49.100         66.945          0.000          0.000        -72.923       -123.195             1.000             4.979           71.1           68.0            124.9            105.7       3103.650       2816.010         28.000         1806.9         4441.9          12.99              ?        165.000         70.000                  3.000                  18.000           56.2        692.347           33.4        656.496            48.8        668.042          4.944          8.829         14.961         12.694          8.481          3.298          9.280          4.587          2.899          2.305          2.796          1.998         20.192          7.384          3.007          0.801          0.498          0.680            0.000
