ApsimVersion = 7.8
factors = cultivar=Soy_short;date=15-jun;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=1800
Title = Ames-Soy;cultivar=Soy_short;date=15-jun;initNAmes=SoilAmesCorn80;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           12.433            5.275              4.573               0.918          7.860          4.357           0.000           0.000        599.700        405.130         50.511         66.104          0.000          0.000        -34.096        -14.817             1.000             4.678           93.9          101.0            144.7            114.9       3119.040       2186.100         23.000         2468.3         4543.2          16.44              ?        132.000         39.000                  0.000                  11.000           67.3        640.411           34.2        634.123            72.9        611.907         16.028         16.305         17.419          9.062          4.445          1.854         11.147         10.542         10.485          6.612          4.249          1.528         22.031          5.259          2.670          1.350          0.991          1.039            0.000
     11/11/1982           1982         35.000           44.360            1.957             39.996               0.766          4.364          1.191           0.000           0.000        852.170        384.820         46.688         64.707          0.000          0.000        164.630        -24.060             1.000             6.647           77.0           81.7            121.2             97.6       2883.870       2188.080         14.000         2567.2         4703.3          17.08              ?        143.000         41.000                  0.000                  12.000           50.4        695.811           24.5        650.636            40.6        660.531          3.534          4.074          7.908          9.922         11.831          6.755          3.758          0.581          0.306          1.069          5.230          5.142         12.042          4.990          1.566          0.669          0.788          2.258            0.000
     11/11/1983           1983         35.000           57.930            7.522             51.548               3.996          6.382          3.526           0.000           0.000       1205.960        650.220         50.282         67.860          0.000          0.000        357.630         70.364             1.000             9.406           80.2           83.0            124.5            107.6       3293.730       2714.220         64.000         1535.8         4091.4          11.35              ?        147.000         38.000                  0.000                   7.000           40.9        684.633           42.4        709.249            32.4        659.756          4.594          3.093          4.904          6.520          8.777          6.451          4.109          0.572          0.294          1.568          5.719          4.600         10.490          9.097          9.295          5.472          2.820          2.498            0.000
     11/11/1984           1984         35.000           49.588            3.342             45.912               2.581          3.677          0.761           0.000           0.000        971.040        365.480         47.181         66.301          0.000          0.000        217.651         -2.821             1.000             7.574           48.7           54.6             92.8             68.6       3015.540       2373.840         33.000         2473.8         4977.5          16.76              ?        140.000         39.000                  0.000                  11.000           45.7        758.176           23.8        621.331            32.5        631.230          1.795          3.317          6.675          9.770         10.871          6.724          3.924          0.656          0.228          0.672          3.221          4.983          9.373          5.382          2.800          0.881          1.257          2.117            0.000
     11/11/1985           1985         35.000           20.996           -1.761             17.179              -2.874          3.818          1.113           0.000           0.000        652.530        406.660         49.175         64.320          0.000          0.000          2.372        -74.151             1.000             5.090           75.8           76.2            120.6             89.4       3120.119       2160.720         28.000         2688.8         4899.5          17.56              ?        144.000         41.000                  0.000                   8.000           66.8        625.710           18.4        676.107            47.2        592.866         10.841         12.224         15.382         11.533          9.890          3.490          6.011          1.150          0.396          0.782          1.952          2.204          8.678          3.957          2.755          1.120          0.397          0.650            0.000
     11/11/1986           1986         35.000           47.545            8.136             40.535               4.436          7.010          3.700           0.000           0.000       1091.450        642.620         48.344         65.698          0.000          0.000        287.912        103.203             1.000             8.513           98.0          101.9            143.5            112.1       3262.950       2347.650         27.000         2542.7         4937.3          17.34              ?        144.000         37.000                  0.000                   8.000           53.6        682.492           27.7        720.673            49.3        657.064          4.932          4.650          8.691         10.482         11.979          6.559          3.433          1.156          0.282          0.778          4.652          5.356          9.181          6.451          5.009          2.289          0.822          1.669            0.000
     11/11/1987           1987         35.000           26.267            6.461             18.481               2.244          7.787          4.216           0.000           0.000        866.160        555.520         51.669         68.553          0.000          0.000        131.962         66.849             1.000             6.756           97.5           94.7            149.0            107.7       3446.911       2253.780         31.000         2698.6         4934.2          17.91              ?        120.000         39.000                  0.000                  14.000           68.9        638.502           18.1        655.486            69.1        659.443         12.005         10.775         16.720         13.183          9.054          3.086         10.386          6.932          5.009          4.946          6.877          2.485         11.077          1.884          0.965          0.508          0.347          1.376            0.000
     11/11/1988           1988         35.000           21.503           -1.316             17.481              -2.958          4.023          1.643           0.000           0.000        591.840        356.870         50.680         68.796          0.000          0.000         -7.845        -72.640             1.000             4.616           91.1           86.0            135.7            102.8       3582.810       2584.169         52.000         2088.9         4473.3          14.48              ?        134.000         39.000                  0.000                  18.000           68.8        615.552           29.5        613.633            62.9        636.557         13.741         12.694         15.256         10.953          9.187          3.116          9.670          3.118          2.299          2.888          5.499          2.042         18.192          5.391          2.418          0.941          0.555          1.023            0.000
     11/11/1989           1989         35.000           24.191           -0.992             20.174              -1.790          4.016          0.798           0.000           0.000        638.310        276.110         49.100         66.726          0.000          0.000          9.059        -57.252             1.000             4.979           67.9           71.6            116.5             84.1       3103.650       2222.551         24.000         2669.0         4932.7          17.72              ?        129.000         41.000                  0.000                  18.000           59.7        648.785           17.2        572.572            53.0        638.336          5.427          8.421         14.906         13.343         10.361          3.804          6.905          1.392          0.840          1.272          3.195          2.542         10.958          2.194          1.144          0.528          0.401          0.903            0.000
