ApsimVersion = 7.8
factors = cultivar=Soy_short;date=15-may;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=1800
Title = Ames-Soy;cultivar=Soy_short;date=15-may;initNAmes=SoilAmesCorn40;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            5.121            0.892              1.680              -0.293          3.441          1.185           0.000           0.000        599.700        463.040         50.511         66.444          0.000          0.000        -81.145        -70.965             1.000             4.678           84.9           94.6            135.5            118.8       3119.040       2740.320         29.000         3257.8         6699.5          22.16              ?        163.000         52.000                  0.000                  11.000           35.5        630.268           33.2        646.209            10.5        641.654          5.113          8.677         10.624          6.160          2.456          1.188          1.621          0.947          0.237          0.106          0.055          0.519         23.246          6.250          2.259          0.884          0.213          0.113            0.000
     11/11/1982           1982         35.000           24.591            5.049             21.644               3.880          2.947          1.169           0.000           0.000        852.170        523.510         46.688         64.393          0.000          0.000        157.565         14.187             1.000             6.647           75.5           81.0            119.4            108.9       2883.870       2589.660         14.000         2980.1         6194.1          20.20              ?        174.000         59.000                  0.000                  12.000           32.1        703.669           31.4        650.406            16.0        684.840          1.599          3.919          6.377          6.722          7.026          3.470          3.356          0.376          0.119          0.056          0.177          2.842         17.158          8.703          2.756          0.849          0.473          0.723            0.000
     11/11/1983           1983         35.000           35.111            5.400             30.371               4.077          4.740          1.323           0.000           0.000       1205.960        601.460         50.282         71.420          0.000          0.000        357.259         90.054             1.000             9.406           61.3           64.6            118.2             96.3       3293.730       2953.890         64.000         1835.9         5120.1          13.95              ?        138.000         55.000                  0.000                   7.000           26.5        707.539           35.5        628.654            15.6        751.684          1.176          2.377          3.918          5.259          6.030          3.799          1.892          0.554          0.161          0.364          2.959          2.797         15.249          8.784          5.020          1.314          0.952          1.783            0.000
     11/11/1984           1984         35.000           28.352            5.756             25.608               5.170          2.744          0.587           0.000           0.000        971.040        497.320         47.181         68.708          0.000          0.000        214.190         56.042             1.000             7.574           45.6           52.2             97.5             84.1       3015.540       2815.110         33.000         2430.3         5953.7          17.33              ?        150.000         52.000                  0.000                  11.000           29.9        696.009           25.0        555.069            19.8        683.804          1.593          2.611          4.900          6.698          6.870          3.626          2.197          0.427          0.136          0.179          0.767          2.969         13.590          5.638          1.804          0.651          0.662          1.057            0.000
     11/11/1985           1985         35.000           12.303           -0.626              9.497              -1.904          2.806          1.278           0.000           0.000        652.530        460.000         49.175         64.681          0.000          0.000        -19.528        -99.786             1.000             5.090           58.4           63.6            102.4             84.9       3120.119       2644.380         31.000         2923.1         6218.4          20.20              ?        174.000         55.000                  0.000                   8.000           35.6        626.077           29.8        637.948            14.2        582.851          3.072          6.077          8.591          7.304          6.032          2.281          2.351          0.762          0.289          0.125          0.042          0.624         12.026          8.181          6.613          2.059          0.439          0.206            0.000
     11/11/1986           1986         35.000           28.428            9.149             23.056               6.374          5.371          2.775           0.000           0.000       1091.450        686.050         48.344         67.215          0.000          0.000        276.419        110.880             1.000             8.513           91.8           97.9            141.5            120.1       3262.950       2766.330         28.000         3253.6         6476.4          21.49              ?        159.000         53.000                  0.000                   8.000           33.7        749.356           32.2        717.201            20.2        714.744          1.448          3.562          7.322          8.647          7.115          3.132          3.354          0.459          0.134          0.083          1.622          3.112         10.650          7.966          6.561          3.042          1.066          1.183            0.000
     11/11/1987           1987         35.000           13.972            2.630              8.959               0.081          5.013          2.549           0.000           0.000        866.160        650.760         51.669         69.630          0.000          0.000         93.629         20.696             1.000             6.756           93.2           95.7            144.5            124.9       3446.911       2881.980         41.000         2789.9         6359.1          19.66              ?        147.000         48.000                  0.000                  14.000           37.7        629.450           31.5        669.436            18.1        629.716          5.339          6.361          9.300          7.366          5.266          1.926          4.091          0.444          0.157          0.076          0.052          0.914         21.039          5.416          2.799          1.147          0.423          0.208            0.000
     11/11/1988           1988         35.000           12.380           -1.180              9.801              -1.886          2.579          0.706           0.000           0.000        591.840        379.220         50.680         72.917          0.000          0.000        -21.754        -80.601             1.000             4.616           59.5           56.6            107.8             81.9       3582.810       3093.840         65.000         1855.6         4719.5          14.05              ?        136.000         48.000                  0.000                  18.000           35.0        623.080           29.9        622.440            17.7        571.549          3.468          6.114          8.527          6.882          5.629          2.053          2.030          0.643          0.284          0.152          0.074          0.853         15.408          7.590          3.847          1.370          0.386          0.253            0.000
     11/11/1989           1989         35.000           13.011           -0.002             10.813              -0.536          2.197          0.534           0.000           0.000        638.310        397.520         49.100         66.669          0.000          0.000         -4.811        -68.303             1.000             4.979           48.5           54.1             97.2             82.4       3103.650       2715.301         26.000         2855.4         6301.9          19.93              ?        159.000         53.000                  0.000                  18.000           35.0        636.201           25.4        537.620            15.4        620.049          2.880          5.698          8.857          7.401          5.862          2.147          2.955          0.652          0.190          0.081          0.039          0.635         17.064          4.725          2.143          0.555          0.317          0.198            0.000
