ApsimVersion = 7.8
factors = cultivar=Soy_long;date=1-jun;initNCobs=SoilCobsNew40;Residue_SOM=SOMsoy;WTDepth=600
Title = Cobs-Soy;cultivar=Soy_long;date=1-jun;initNCobs=SoilCobsNew40;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000           10.233            5.133             -0.831              -0.074          5.753          4.755           5.310           0.451        599.700        445.510         50.511         66.801        138.513         43.820       -257.089       -107.766             1.000             5.997          210.6          179.5            224.8            181.5       3119.040       2512.530         29.000         3402.4         6476.6          24.16              ?        146.000         43.000                  0.000                  11.000           60.6        724.996           38.6        752.063            79.2        721.099         35.013         11.910          9.422          2.492          0.131          0.000         20.818         21.159          7.597          1.505          0.066          0.000         25.786          7.835          4.156          0.681          0.030          0.000            0.000
     11/11/1982           1982         35.000           20.222            4.560             -0.836              -0.092          3.822          2.205          17.237           2.447        852.170        437.900         46.688         64.621        365.311         54.425       -273.719       -138.347             1.000             8.522          177.9          159.0            188.9            159.6       2883.870       2380.590         14.000         3396.5         6472.8          24.58              ?        157.000         49.000                  0.000                  12.000           38.5        746.897           35.6        754.701            48.8        785.528         12.042          9.642         13.305          2.715          0.145          0.000         10.233          3.435          3.299          1.723          0.075          0.000         20.859          8.930          4.721          0.956          0.023          0.000            0.000
     11/11/1983           1983         35.000           33.996           13.290             -0.839              -0.098          4.758          3.333          30.076          10.055       1205.960        688.840         50.282         68.683        595.127        195.764       -292.451       -157.842             1.000            12.060          177.4          164.2            189.3            166.9       3293.730       2979.090         65.000         3121.1         5874.5          20.93              ?        156.000         44.000                  0.000                   7.000           29.4        734.469           42.4        763.502            37.3        721.747          8.919          6.354         10.511          2.703          0.145          0.000          6.940          2.776          1.215          1.923          0.074          0.000         13.508         13.140         14.889          0.452          0.019          0.000            0.000
     11/11/1984           1984         35.000           22.053            5.109             -0.845              -0.099          2.750          1.352          20.148           3.856        971.040        454.130         47.181         66.859        410.377         77.911       -307.453       -163.853             1.000             9.710          140.2          125.3            151.3            127.2       3015.540       2664.090         33.000         3389.4         6347.9          23.01              ?        153.000         43.000                  0.000                  11.000           34.7        757.000           28.1        704.371            44.7        719.287         10.171          9.218         11.859          2.700          0.144          0.000          7.701          2.293          0.664          1.704          0.072          0.000         13.841          9.157          4.462          0.412          0.018          0.000            0.000
     11/11/1985           1985         35.000           10.506            1.872             -0.828              -0.087          2.340          1.677           8.994           0.282        652.530        448.560         49.175         64.437        216.159         31.511       -283.570       -144.529             1.000             6.525          182.9          148.7            193.7            150.2       3120.119       2379.600         31.000         3429.0         6213.9          24.43              ?        158.000         48.000                  0.000                   8.000           61.7        724.889           27.2        751.301            65.8        690.841         33.786         12.205         11.472          2.538          0.133          0.000         16.360          5.589          0.648          1.537          0.060          0.000         12.848          7.501          6.383          0.278          0.020          0.000            0.000
     11/11/1986           1986         35.000           25.197           10.603             -0.830              -0.083          6.666          4.925          19.362           5.760       1091.450        696.220         48.344         66.027        515.014        221.776       -247.652       -113.247             1.000            10.914          211.7          188.2            221.9            188.7       3262.950       2619.090         28.000         3530.4         6665.5          24.33              ?        158.000         43.000                  0.000                   8.000           44.7        738.570           39.5        756.676            66.5        772.770         15.968         10.741         14.038          2.698          0.145          0.000         15.460         10.768          9.609          1.789          0.078          0.000         13.869         11.871         12.912          0.787          0.030          0.000            0.000
     11/11/1987           1987         35.000           19.607           11.146             -0.829              -0.073          6.804          4.967          13.633           6.251        866.160        571.010         51.669         69.097        313.076        157.950       -256.030       -100.694             1.000             8.662          220.3          178.4            236.8            179.9       3446.911       2585.880         39.000         3240.2         6266.4          22.52              ?        134.000         42.000                  0.000                  14.000           64.0        771.814           40.7        733.620            88.9        801.998         29.196         18.693         12.320          2.527          0.135          0.000         22.662         14.196         11.823          1.640          0.071          0.000         24.861          8.272          6.067          1.178          0.033          0.000            0.000
     11/11/1988           1988         35.000           11.759            1.688             -0.840              -0.085          2.422          1.773          10.177           0.000        591.840        383.530         50.680         69.239        187.699          0.000       -303.128       -151.709             1.000             5.918          206.0          167.5            217.3            169.5       3582.810       2883.690         60.000         3130.6         6004.8          21.50              ?        147.000         43.000                  0.000                  18.000           61.5        726.223           45.1        713.823            81.4        690.162         33.933         11.793         11.031          2.509          0.128          0.000         19.045         10.340          3.552          1.680          0.061          0.000         26.636         11.479          6.205          0.443          0.018          0.000            0.000
     11/11/1989           1989         35.000           12.484            1.707             -0.819              -0.084          2.835          1.418          10.468           0.372        638.310        305.830         49.100         66.587        219.342          7.692       -294.653       -137.874             1.000             6.383          171.9          140.5            183.4            142.1       3103.650       2436.931         24.000         3413.2         6205.0          24.53              ?        143.000         46.000                  0.000                  18.000           49.6        744.544           22.3        684.051            65.6        713.179         20.681         12.916         12.388          2.495          0.131          0.000         18.320          8.222          4.023          1.477          0.065          0.000         13.460          4.745          3.465          0.368          0.021          0.000            0.000
