ApsimVersion = 7.8
factors = cultivar=Soy_long;date=1-may;initNCobs=SoilCobsNew80;Residue_SOM=SOMcorn;WTDepth=1200
Title = Cobs-Soy;cultivar=Soy_long;date=1-may;initNCobs=SoilCobsNew80;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            1.287           -0.474             -0.441              -0.868          1.728          0.394           0.000           0.000        599.700        470.910         50.511         65.538          0.000          0.000        -88.578        -84.799             1.000             5.997          141.1          146.0            192.5            170.8       3119.040       2819.610         29.000         4004.2         7696.4          27.16              ?        177.000         61.000                  2.000                  11.000           62.0        721.947           44.5        695.536            33.3        716.477          8.567         17.594         23.815          9.854          1.647          0.000          4.201          1.706          0.450          3.507          0.942          0.000         27.228          8.207          6.203          2.331          0.323          0.000            0.000
     11/11/1982           1982         35.000           25.432            5.948              1.397              -0.661          2.124          0.510          21.911           6.099        852.170        550.960         46.688         66.110        190.940         58.860        -40.739        -58.100             1.000             8.522          121.8          120.8            169.7            154.8       2883.870       2774.790         15.000         4209.1         7995.5          29.02              ?        172.000         65.000                  0.000                  12.000           46.1        735.429           37.4        677.967            14.6        708.324          2.602          6.163         23.161         11.627          2.198          0.000          2.904          0.675          0.292          5.522          1.653          0.000         20.340          7.807          5.068          3.130          0.535          0.000            0.000
     11/11/1983           1983         35.000           41.576            9.588              1.745              -0.368          2.921          0.655          36.909           9.301       1205.960        660.890         50.282         69.912        430.355        203.242        -27.261        -43.732             1.000            12.060           87.9           82.4            146.6            118.9       3293.730       3056.580         64.000         3242.3         6183.2          21.62              ?        153.000         65.000                  0.000                   7.000           36.3        742.626           31.5        640.117            16.0        789.563          2.333          3.384         16.592         11.446          2.179          0.000          1.023          1.476          0.508          7.697          1.750          0.000         14.745          8.498          3.260          3.471          0.655          0.000            0.000
     11/11/1984           1984         35.000           34.368           12.590              1.482              -0.698          2.141          0.358          30.744          12.930        971.040        508.750         47.181         67.489        296.107        136.261        -73.228        -82.451             1.000             9.710           71.3           72.1            122.1            105.8       3015.540       2924.640         33.000         3687.1         7040.9          23.75              ?        166.000         61.000                  0.000                  11.000           41.5        788.400           24.1        602.565            21.0        721.543          2.004          4.953         21.507         11.632          2.221          0.000          3.443          1.181          0.394          5.347          1.678          0.000         12.624          5.225          1.845          3.308          0.408          0.000            0.000
     11/11/1985           1985         35.000            9.559           -0.293              0.204              -1.316          2.365          1.023           6.990           0.000        652.530        479.810         49.175         64.758         60.292          0.000       -130.135       -147.610             1.000             6.525           94.2           96.1            139.5            123.4       3120.119       2837.430         31.000         3372.1         7073.9          22.49              ?        187.000         61.000                  0.000                   8.000           55.2        731.392           43.2        718.204            15.8        688.440          4.825         11.829         25.245         10.847          2.008          0.000          2.013          2.086          0.549          3.789          0.947          0.000         16.021         12.628         11.635          2.544          0.195          0.000            0.000
     11/11/1986           1986         35.000           27.762            8.233              2.074              -0.099          3.892          1.117          21.796           7.215       1091.450        684.520         48.344         69.036        263.557        162.219         15.892        -21.104             1.000            10.914          143.4          136.9            201.2            163.9       3262.950       2859.840         28.000         4287.7         8347.3          29.93              ?        151.000         58.000                  1.000                   8.000           49.6        773.701           36.3        766.163            19.0        699.534          2.415          8.594         25.101         11.262          2.147          0.000          3.589          0.740          0.279          7.153          1.823          0.000         14.943          9.061          6.487          3.620          0.918          0.000            0.000
     11/11/1987           1987         35.000            8.626            0.879              1.042              -0.506          2.898          1.216           4.686           0.169        866.160        657.620         51.669         70.302         86.826         44.459        -15.807        -35.985             1.000             8.662          146.4          135.4            204.0            167.4       3446.911       2984.400         46.000         3917.1         7491.9          26.40              ?        148.000         52.000                  0.000                  14.000           58.0        730.643           30.9        742.694            49.1        716.861          7.083         12.073         25.717         10.548          1.992          0.000          2.686          1.192          0.634          4.345          1.359          0.000         17.728          5.669          3.441          2.534          0.766          0.000            0.000
     11/11/1988           1988         35.000            9.513           -1.139              0.286              -1.241          1.749          0.102           7.479           0.000        591.840        354.070         50.680         72.936         60.030          0.000       -137.246       -114.760             1.000             5.918           90.0           74.2            147.4            104.5       3582.810       3211.020         67.000         2988.8         5923.1          19.56              ?        141.000         51.000                  0.000                  18.000           55.1        719.049           25.9        630.867            25.5        673.957          6.671         11.120         24.378         10.720          1.969          0.000          1.726          2.542          0.599          3.870          0.963          0.000         13.797          4.257          3.375          2.712          0.294          0.000            0.000
     11/11/1989           1989         35.000           10.381            0.695              0.799              -0.971          2.020          0.489           7.562           1.177        638.310        405.900         49.100         65.755         66.821         11.280        -97.400       -103.565             1.000             6.383           84.0           85.1            134.2            114.4       3103.650       2805.481         26.000         3962.1         7443.5          25.76              ?        173.000         62.000                  1.000                  18.000           53.9        752.317           24.6        615.805            19.6        718.926          5.055         11.878         23.930         10.700          2.016          0.000          2.192          1.366          0.422          3.731          1.279          0.000         13.261          5.432          2.670          2.732          0.308          0.000            0.000
