ApsimVersion = 7.8
factors = cultivar=Soy_long;date=15-apr;initNCobs=SoilCobsNew40;Residue_SOM=SOMsoy;WTDepth=1200
Title = Cobs-Soy;cultivar=Soy_long;date=15-apr;initNCobs=SoilCobsNew40;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            4.984            4.369             -0.423              -0.247          5.407          4.615           0.000           0.000        599.700        458.980         50.511         66.633          0.000          0.000        -87.796        -59.322             1.000             5.997          205.1          192.7            226.8            197.7       3119.040       2871.630         30.000         2621.6         5002.0          17.70              ?        172.000         71.000                  3.000                  11.000           44.0        703.994           87.4        722.332            92.4        739.447         15.420         10.425         11.896          5.221          0.589          0.000         38.539         22.860         13.961          3.676          0.311          0.000         43.203         22.642         18.946          1.882          0.185          0.000            0.000
     11/11/1982           1982         35.000            8.734            3.121              0.445              -0.299          2.345          1.390           5.944           2.030        852.170        566.710         46.688         65.797         94.113         31.975        -59.013        -57.200             1.000             8.522          171.2          163.5            191.1            169.4       2883.870       2765.070         15.000         4343.2         8276.1          29.70              ?        174.000         77.000                  2.000                  12.000           32.4        741.831           33.5        665.645            22.5        706.250          4.819          6.015         14.333          5.851          1.067          0.000          3.974          0.777          0.344          2.221          0.756          0.000         20.399          6.220          3.903          1.601          0.270          0.000            0.000
     11/11/1983           1983         35.000           24.950           12.570              0.725              -0.106          4.870          2.544          19.355          10.131       1205.960        678.670         50.282         67.929        301.750        170.383        -33.400        -39.551             1.000            12.060          153.0          141.2            177.7            147.5       3293.730       3079.530         64.000         3056.9         5852.0          20.33              ?        167.000         78.000                  6.000                   7.000           28.2        782.162           39.4        636.401            47.7        782.717          3.043          4.683         13.621          5.908          1.075          0.000          6.733          2.037          0.684          4.798          0.873          0.000         21.143         11.498          3.469          2.034          0.344          0.000            0.000
     11/11/1984           1984         35.000           14.459            7.962              0.490              -0.245          2.615          1.430          11.354           6.777        971.040        612.890         47.181         66.065        176.582        110.457        -88.002        -80.322             1.000             9.710          109.0          105.3            131.7            111.9       3015.540       2899.080         33.000         3851.1         7336.4          24.63              ?        176.000         74.000                  0.000                  11.000           32.1        771.679           25.0        603.301            22.6        726.871          5.323          6.104         13.567          5.789          1.048          0.000          5.042          1.248          0.359          2.452          0.788          0.000         15.186          5.308          1.515          2.024          0.214          0.000            0.000
     11/11/1985           1985         35.000            3.676           -0.412             -0.079              -0.594          2.362          0.182           1.393           0.000        652.530        324.100         49.175         68.528         24.938          0.000       -146.206       -122.691             1.000             6.525          132.9          123.4            159.7            129.1       3120.119       2945.880         33.000         3186.2         6890.3          20.52              ?        160.000         64.000                  0.000                   8.000           36.8        714.866           36.8        588.872            32.9        675.459          8.971          7.718         13.280          5.429          0.963          0.000          4.954          2.084          0.510          2.035          0.410          0.000         26.352          5.858          1.632          1.672          0.147          0.000            0.000
     11/11/1986           1986         35.000           13.521            4.706              0.758              -0.100          4.957          2.517           7.806           2.288       1091.450        732.530         48.344         67.692        168.771        130.267          2.113        -27.029             1.000            10.914          193.7          177.5            222.4            183.0       3262.950       2857.320         27.000         4081.0         7925.9          28.09              ?        161.000         68.000                  3.000                   8.000           37.3        750.728           32.9        772.996            45.6        719.728          8.327          7.866         14.089          5.669          1.052          0.000          9.214          3.967          2.405          4.126          0.832          0.000         13.849         10.548          4.792          1.738          0.422          0.000            0.000
     11/11/1987           1987         35.000            3.361            2.021              0.012              -0.338          2.959          1.970           0.390           0.388        866.160        628.920         51.669         70.315         16.378         16.378        -66.002        -68.595             1.000             8.662          189.9          165.3            221.2            170.7       3446.911       2979.630         48.000         4071.4         7870.1          27.57              ?        147.000         57.000                  0.000                  14.000           40.5        752.365           36.6        750.411            43.9        715.229         12.105          9.730         12.361          5.162          0.824          0.000          5.130          2.334          0.607          1.906          0.480          0.000         17.176          7.273          8.701          2.021          0.258          0.000            0.000
     11/11/1988           1988         35.000            4.063           -0.322             -0.024              -0.584          1.392          0.263           2.695           0.000        591.840        359.150         50.680         70.424         41.847          0.000       -162.912       -122.440             1.000             5.918          137.6          112.4            165.4            117.0       3582.810       3172.050         65.000         2812.1         5866.3          17.68              ?        154.000         64.000                  4.000                  18.000           37.0        704.032           31.5        612.732            27.6        670.257          8.930          7.670         13.531          5.494          0.932          0.000          6.330          3.142          0.603          2.065          0.370          0.000         19.137          5.179          4.082          1.682          0.144          0.000            0.000
     11/11/1989           1989         35.000            4.718            1.754              0.215              -0.480          3.395          2.234           1.108           0.000        638.310        447.300         49.100         65.857         18.886          0.000        -86.194        -86.647             1.000             6.383          181.2          169.6            197.2            177.0       3103.650       2914.740         28.000         2534.6         4805.5          17.14              ?        181.000         70.000                  3.000                  18.000           36.2        713.708           74.3        662.504            78.7        713.853          9.396          7.356         12.651          5.410          0.999          0.000         33.043         19.164         12.279          4.588          0.647          0.000         37.997         21.504         11.451          2.495          0.201          0.000            0.000
     11/11/1990           1990         35.000           21.020           16.847              0.336               0.366          7.731          6.750          12.953           9.731        998.533        745.008         49.689         68.491        178.134        125.049         -6.750         13.355             1.000             9.985          214.7          192.3            233.6            197.8       3276.134       2991.117         41.000         1666.1         3215.3          11.13              ?        160.000         74.000                  4.000                  14.000           35.1        722.699          114.3        714.211            68.4        744.493          6.450          7.530         14.934          5.156          0.746          0.000         27.283         21.073         23.493          4.715          0.693          0.000         62.195         26.036         20.317          4.058          0.591          0.000            0.000
     11/11/1991           1991         35.000           14.469            6.863              0.311              -0.199          2.762          1.443          11.396           5.619        821.349        328.853         50.164         70.835        167.013         65.569        -91.685        -58.034             1.000             8.213          132.4          113.8            158.1            118.3       3619.281       3070.430         55.000         3550.3         6843.7          23.50              ?        147.000         60.000                  0.000                  20.000           33.7        791.440           17.0        554.176            52.3        756.178          3.957          6.493         17.130          5.661          0.997          0.000          9.708          2.179          0.571          3.354          0.791          0.000          9.602          3.384          1.348          1.997          0.286          0.000            0.000
     11/11/1992           1992         35.000            9.413            2.741              0.766              -0.088          2.712          1.469           5.934           1.361        879.812        557.478         49.338         61.704        173.089        101.904          1.050        -21.901             1.000             8.798          176.7          174.1            189.9            178.4       2533.040       2461.563         12.000         4160.5         7862.9          30.07              ?        196.000         76.000                  2.000                  14.000           32.2        742.724           35.8        707.412            39.6        667.228          5.408          6.008         13.696          5.666          1.048          0.000          4.280          2.594          1.483          1.845          0.662          0.000         22.751          6.260          4.607          1.368          0.405          0.000            0.000
     11/11/1993           1993         35.000           17.716            8.758              1.500               0.475          3.674          2.674          12.542           5.608       1370.990       1093.373         46.812         65.398        397.491        285.164         45.994         16.226             1.000            13.710          184.1          179.2            197.4            186.4       2849.719       2820.829         31.000         3867.2         7396.8          26.51              ?        183.000         79.000                  2.000                  17.000           27.2        763.314           36.2        735.966            25.2        776.600          3.669          3.959         12.349          5.883          1.101          0.000          3.553          0.749          0.366          4.650          0.959          0.000         21.229          7.040          4.216          2.441          0.689          0.000            0.000
     11/11/1994           1994         35.000            4.291            2.455             -0.114              -0.470          4.405          2.925           0.000           0.000        681.161        554.646         48.850         65.452          0.000          0.000        -76.239        -81.771             1.000             6.812          195.2          183.6            209.0            190.4       3004.924       2916.020         33.000         2708.6         5169.1          18.45              ?        186.000         69.000                  1.000                   7.000           40.7        724.395           83.1        752.350            83.4        756.498         12.475          8.862         12.707          5.339          0.905          0.000         35.740         19.092         12.828          4.350          0.540          0.000         39.096         25.638         15.181          2.380          0.180          0.000            0.000
     11/11/1995           1995         35.000            7.742            4.640              0.325              -0.265          1.888          1.000           5.529           3.905        751.645        519.475         48.086         62.835         90.384         59.538        -68.745        -75.995             1.000             7.516          174.2          172.1            185.7            177.3       2764.728       2743.193         35.000         3876.5         7296.1          26.04              ?        200.000         86.000                  1.000                  15.000           35.9        763.273           35.0        647.997            28.7        718.913          5.917          8.252         15.111          5.499          0.986          0.000          4.279          1.093          0.408          2.430          0.672          0.000         21.585          5.835          5.468          1.730          0.191          0.000            0.000
     11/11/1996           1996         35.000            9.085            6.732              0.049              -0.213          3.789          3.000           5.247           3.945        848.413        706.659         46.596         62.811         90.549         71.440        -54.884        -58.111             1.000             8.484          179.0          177.4            188.7            184.5       2735.663       2698.651         20.000         4006.2         7717.1          27.78              ?        200.000         77.000                  3.000                  14.000           36.3        710.346           40.5        755.864            51.3        731.656          9.567          7.564         12.604          5.312          0.853          0.000          6.522          2.192          0.854          3.173          0.635          0.000         18.876         13.079          6.801          1.463          0.222          0.000            0.000
     11/11/1997           1997         35.000            8.490            1.303              0.523              -0.392          3.314          1.695           4.653           0.000        698.516        375.616         47.187         66.288         73.847          0.000        -55.723        -61.484             1.000             6.985          174.8          165.1            192.3            172.1       2964.064       2869.278         43.000         2746.5         5277.5          18.58              ?        175.000         77.000                  5.000                  12.000           30.3        747.426           60.5        649.293            69.7        723.612          5.236          5.287         12.594          5.820          1.102          0.000         23.712         19.112          9.019          4.768          0.764          0.000         36.448         13.454          6.912          1.965          0.265          0.000            0.000
     11/11/1998           1998         35.000           12.776            7.223              0.564              -0.186          2.482          1.622           9.729           5.787        881.628        520.827         50.291         68.363        153.086         83.538        -56.644        -39.401             1.000             8.816          141.8          138.2            176.4            142.8       3285.676       2885.696         30.000         4283.1         8219.6          28.95              ?        157.000         73.000                  0.000                   7.000           30.9        764.142           18.6        586.583            28.1        734.540          3.911          5.766         14.032          5.758          1.089          0.000          5.283          0.897          0.360          4.193          0.870          0.000         10.419          3.108          2.515          1.753          0.354          0.000            0.000
     11/11/1999           1999         35.000           12.586           11.388             -0.017               0.067          2.974          2.377           9.629           8.944        916.920        718.318         50.120         64.972        131.109        116.762        -56.172        -34.079             1.000             9.169          208.0          193.7            219.0            198.4       2964.396       2835.056         32.000         4182.0         7993.9          28.24              ?        185.000         77.000                  2.000                  12.000           44.4        782.428           37.8        689.619            45.7        738.268          9.887         12.118         16.578          4.969          0.691          0.000          6.928          1.811          0.728          4.237          0.648          0.000         23.724          6.639          5.067          1.475          0.260          0.000            0.000
     11/11/2000           2000         35.000            1.974            1.199             -0.222              -0.356          2.196          1.555           0.000           0.000        560.980        345.872         51.136         67.494          0.000          0.000        -96.137        -64.616             1.000             5.610          146.1          138.5            174.5            143.5       3235.177       2840.398         33.000         4035.1         7738.3          27.46              ?        162.000         71.000                  0.000                  10.000           42.7        708.145           15.2        559.112            53.9        723.155         12.955          9.814         13.538          5.126          0.823          0.000         15.176          6.052          2.877          3.863          0.506          0.000          7.826          3.239          2.173          1.389          0.221          0.000            0.000
