ApsimVersion = 7.8
factors = cultivar=Soy_long;date=15-apr;initNCobs=SoilCobsNew80;Residue_SOM=SOMcorn;WTDepth=1200
Title = Cobs-Soy;cultivar=Soy_long;date=15-apr;initNCobs=SoilCobsNew80;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            4.212            2.255             -0.084              -0.435          4.296          2.691           0.000           0.000        599.700        458.980         50.511         66.633          0.000          0.000        -37.874        -35.804             1.000             5.997          140.3          137.2            197.9            168.1       3119.040       2871.630         30.000         2621.6         5002.1          17.67              ?        172.000         71.000                  3.000                  11.000           64.0        744.150           64.6        724.417            75.6        744.513          8.583         18.153         25.037         10.209          1.676          0.000         17.897         16.953         14.569          7.726          1.066          0.000         34.049         14.453         11.124          3.783          0.656          0.000            0.000
     11/11/1982           1982         35.000           25.347            8.203              1.334              -0.463          2.071          0.545          21.942           8.121        852.170        566.710         46.688         65.797        191.207         76.299        -46.641        -51.124             1.000             8.522          113.4          109.3            167.1            147.0       2883.870       2765.070         15.000         4339.2         8269.3          29.67              ?        174.000         77.000                  2.000                  12.000           48.5        755.223           30.7        668.045            14.3        709.323          2.852          6.897         24.889         11.816          2.216          0.000          2.431          0.671          0.315          4.605          1.611          0.000         16.338          5.954          3.847          3.068          0.584          0.000            0.000
     11/11/1983           1983         35.000           42.620           14.440              1.756              -0.130          3.337          1.024          37.526          13.546       1205.960        678.670         50.282         67.929        428.730        231.244        -26.021        -36.796             1.000            12.060           95.5           88.6            154.4            126.1       3293.730       3079.530         64.000         3058.1         5854.2          20.34              ?        167.000         78.000                  6.000                   7.000           38.3        785.852           32.5        638.911            26.4        783.568          1.649          3.723         19.583         11.730          2.203          0.000          1.426          1.236          0.481          8.685          1.804          0.000         15.102          9.191          3.240          3.522          0.693          0.000            0.000
     11/11/1984           1984         35.000           33.745           16.019              1.471              -0.481          1.989          0.461          30.286          16.040        971.040        612.890         47.181         66.065        298.879        182.215        -74.427        -75.510             1.000             9.710           62.9           64.6            119.2            102.0       3015.540       2899.080         33.000         3844.6         7332.2          24.80              ?        176.000         74.000                  0.000                  11.000           47.0        775.922           21.3        604.528            19.1        732.463          2.534          7.008         23.487         11.851          2.238          0.000          2.889          1.122          0.373          5.263          1.705          0.000         10.665          4.746          1.577          3.356          0.429          0.000            0.000
     11/11/1985           1985         35.000            9.692           -1.082              0.185              -1.186          2.517          0.105           6.990           0.000        652.530        324.100         49.175         68.528         60.291          0.000       -127.691       -114.829             1.000             6.525           77.7           73.5            139.0            110.0       3120.119       2945.880         33.000         3272.0         6984.6          20.94              ?        160.000         64.000                  0.000                   8.000           55.7        745.287           30.4        596.131            22.3        684.155          4.786         10.658         26.666         11.190          2.061          0.000          2.289          1.734          0.485          3.819          0.990          0.000         19.265          5.393          1.733          2.752          0.296          0.000            0.000
     11/11/1986           1986         35.000           27.514            9.046              2.090               0.102          3.660          0.990          21.765           7.954       1091.450        732.530         48.344         67.692        261.262        167.606         17.882        -16.000             1.000            10.914          136.8          128.2            202.0            161.9       3262.950       2857.320         27.000         4079.1         7923.3          28.07              ?        161.000         68.000                  3.000                   8.000           52.1        760.208           31.9        774.687            26.3        726.209          3.699          8.645         25.860         11.481          2.167          0.000          3.013          0.624          0.217          5.972          1.804          0.000         11.975          9.487          4.623          3.490          0.967          0.000            0.000
     11/11/1987           1987         35.000            8.670            1.983              0.860              -0.605          2.884          1.029           4.926           1.560        866.160        628.920         51.669         70.315         66.247         34.734        -32.263        -51.699             1.000             8.662          129.8          113.1            196.2            148.9       3446.911       2979.630         48.000         4070.4         7868.1          27.56              ?        147.000         57.000                  0.000                  14.000           58.9        778.907           31.8        750.399            30.4        727.279          6.745         13.341         25.767         10.799          2.011          0.000          1.972          1.374          0.396          3.908          1.332          0.000         14.187          5.915          6.754          3.191          0.637          0.000            0.000
     11/11/1988           1988         35.000            9.443           -1.113              0.264              -1.214          1.701          0.101           7.477           0.000        591.840        359.150         50.680         70.424         60.030          0.000       -141.198       -111.913             1.000             5.918           81.9           66.0            143.0             97.9       3582.810       3172.050         65.000         2834.4         5963.4          17.57              ?        154.000         64.000                  4.000                  18.000           55.6        734.470           25.6        618.357            19.6        677.663          5.323         11.145         25.679         11.136          2.047          0.000          1.328          2.294          0.588          3.858          0.925          0.000         13.103          4.578          3.694          2.832          0.306          0.000            0.000
     11/11/1989           1989         35.000           11.238            1.430              0.963              -0.789          2.719          1.048           7.556           1.171        638.310        447.300         49.100         65.857         66.767         11.226        -63.624        -71.428             1.000             6.383          119.1          111.9            170.1            150.2       3103.650       2914.740         28.000         2545.0         4824.5          17.19              ?        181.000         70.000                  3.000                  18.000           55.4        728.664           44.3        666.041            60.1        721.746          6.933         10.594         24.342         11.126          2.117          0.000         12.818         10.742         11.204          8.929          1.564          0.000         22.425         10.366          7.017          3.394          0.446          0.000            0.000
     11/11/1990           1990         35.000           36.740           22.822              1.564               0.989          4.147          2.641          31.029          19.192        998.533        745.008         49.689         68.491        295.984        196.307         17.101         19.560             1.000             9.985          152.3          133.1            205.6            169.6       3276.134       2991.117         41.000         1666.1         3215.3          11.11              ?        160.000         74.000                  4.000                  14.000           51.5        744.533           76.8        714.738            43.2        746.592          3.254          8.902         26.529         10.756          1.829          0.000         11.001          8.082         12.388          9.005          1.679          0.000         43.217         14.233          9.623          7.259          1.408          0.000            0.000
     11/11/1991           1991         35.000           34.786           11.508              1.161              -0.236          2.101          0.442          31.524          11.302        821.349        328.853         50.164         70.835        281.841         98.992        -65.672        -40.644             1.000             8.213           79.9           71.0            139.6            103.9       3619.281       3070.430         55.000         3476.6         6694.6          22.57              ?        147.000         60.000                  0.000                  20.000           41.0        793.838           15.6        551.919            28.8        762.222          1.588          4.530         22.602         11.482          2.119          0.000          2.050          1.321          0.495          7.224          1.715          0.000          6.885          3.173          1.205          3.359          0.692          0.000            0.000
     11/11/1992           1992         35.000           25.148            5.188              1.973              -0.095          2.255          0.478          20.920           4.805        879.812        557.478         49.338         61.704        268.581        136.559         10.805        -18.743             1.000             8.798          112.8          113.6            160.7            148.9       2533.040       2461.563         12.000         4163.5         7868.6          30.08              ?        196.000         76.000                  2.000                  14.000           44.0        767.054           32.6        707.724            16.7        668.856          2.140          5.756         22.543         11.512          2.188          0.000          1.165          0.567          0.232          3.407          1.402          0.000         18.437          5.837          4.448          2.646          0.858          0.000            0.000
     11/11/1993           1993         35.000           36.523           15.250              3.399               1.215          2.711          1.225          30.413          12.810       1370.990       1106.833         46.812         65.351        502.701        353.742         53.906         22.004             1.000            13.710          128.5          125.8            174.8            165.5       2849.719       2827.677         31.000         3795.3         7260.5          26.02              ?        184.000         79.000                  2.000                  17.000           44.3        771.118           36.9        747.691            17.6        777.279          3.537          5.274         21.404         11.792          2.239          0.000          2.117          0.612          0.667          9.109          1.986          0.000         17.634          6.098          3.926          7.333          1.436          0.000            0.000
     11/11/1994           1994         35.000            6.689            1.243              0.868              -0.634          3.887          1.876           1.933           0.000        681.161        511.716         48.850         65.454         17.763          0.000        -31.375        -51.676             1.000             6.812          131.6          125.6            181.6            163.2       3004.924       2901.098         33.000         2716.3         5184.3          18.45              ?        185.000         69.000                  1.000                   7.000           61.8        747.833           55.1        720.135            66.8        773.170          9.971         13.764         24.630         11.048          2.074          0.000         13.980         11.241         12.344          8.463          1.633          0.000         26.776         14.344          8.814          3.870          0.564          0.000            0.000
     11/11/1995           1995         35.000           23.739           10.641              1.303              -0.558          1.914          0.396          20.522          10.803        751.645        519.475         48.086         62.835        183.688         94.352        -49.834        -68.961             1.000             7.516          117.5          119.5            163.8            155.5       2764.728       2743.193         35.000         3880.9         7302.2          26.07              ?        200.000         86.000                  1.000                  15.000           50.1        767.668           32.5        651.697            14.2        726.339          2.742          7.701         26.287         11.419          2.178          0.000          2.336          0.930          0.369          5.626          1.525          0.000         17.635          5.872          5.473          2.956          0.420          0.000            0.000
     11/11/1996           1996         35.000           20.638           13.430              0.985              -0.310          2.887          1.442          16.766          12.298        848.413        706.659         46.596         62.811        165.174        126.851        -30.373        -48.277             1.000             8.484          119.7          121.1            163.5            159.7       2735.663       2698.651         20.000         4006.7         7717.9          27.78              ?        200.000         77.000                  3.000                  14.000           58.7        736.776           37.3        756.964            31.8        732.963          7.902         11.593         25.824         11.080          2.024          0.000          2.366          0.796          0.384          5.461          1.553          0.000         15.705         11.557          6.561          2.917          0.535          0.000            0.000
     11/11/1997           1997         35.000           20.548            1.297              1.532              -0.604          2.389          0.683          16.627           1.218        698.516        375.616         47.187         66.288        140.898         11.494        -38.798        -51.139             1.000             6.985          113.2          107.4            164.1            144.7       2964.064       2869.278         43.000         2751.2         5284.7          18.60              ?        175.000         77.000                  5.000                  12.000           45.2        754.297           34.2        652.683            49.2        736.779          2.505          6.205         22.145         11.897          2.290          0.000          6.612          7.073          5.205          8.859          1.685          0.000         18.255          6.603          4.235          3.122          0.614          0.000            0.000
     11/11/1998           1998         35.000           27.591           11.318              1.433              -0.231          1.934          0.457          24.224          11.093        881.628        520.827         50.291         68.363        238.902        122.721        -47.785        -34.467             1.000             8.816           91.4           88.7            157.2            124.2       3285.676       2885.696         30.000         4236.3         8128.4          28.63              ?        157.000         73.000                  0.000                   7.000           47.4        770.734           18.5        591.810            19.7        737.221          2.239          6.746         24.410         11.557          2.209          0.000          3.347          0.836          0.372          9.208          1.822          0.000          8.253          3.051          2.595          3.468          0.745          0.000            0.000
     11/11/1999           1999         35.000           29.529           19.843              0.861               0.074          2.164          0.844          26.504          18.925        916.920        718.318         50.120         64.972        234.836        165.161        -29.094        -29.324             1.000             9.169          150.2          145.2            197.6            177.0       2964.396       2835.056         32.000         4190.6         8007.6          28.30              ?        185.000         77.000                  2.000                  12.000           55.4        786.814           36.5        691.083            20.3        742.482          3.702         10.317         29.024         10.596          1.854          0.000          3.873          0.973          0.397          7.247          1.592          0.000         20.877          6.450          4.967          2.964          0.645          0.000            0.000
     11/11/2000           2000         35.000            6.569            0.194              0.685              -0.597          2.469          0.791           3.414           0.000        560.980        345.872         51.136         67.494         31.805          0.000        -64.895        -47.413             1.000             5.610           87.7           86.6            152.1            120.9       3235.177       2840.398         33.000         4066.7         7791.5          27.62              ?        162.000         71.000                  0.000                  10.000           57.9        729.743           15.7        571.480            32.4        742.095          5.975         13.194         25.621         10.827          2.046          0.000          3.762          1.126          0.567          8.086          1.519          0.000          6.208          3.125          2.477          2.959          0.614          0.000            0.000
     11/11/2001           2001         35.000           21.284            8.102              1.061              -0.607          2.004          0.688          18.219           8.022        726.898        470.916         46.582         67.195        162.197         70.379        -92.931        -84.373             1.000             7.269           81.2           74.8            130.8            110.5       3084.816       2891.461         40.000         3792.3         7266.8          24.92              ?        167.000         73.000                  3.000                   9.000           50.3        767.768           23.9        634.461            15.8        695.964          2.877          7.915         25.859         11.578          2.165          0.000          1.984          1.423          0.434          4.140          1.439          0.000         11.148          6.056          2.744          3.095          0.394          0.000            0.000
     11/11/2002           2002         35.000           12.361            6.496              1.122              -0.229          2.726          1.140           8.513           5.586        724.612        533.146         49.940         66.922         77.602         51.653        -31.744        -31.519             1.000             7.246          124.2          118.6            178.2            152.9       3067.122       2905.949         47.000         3408.5         6462.0          23.01              ?        169.000         74.000                  0.000                  21.000           58.0        740.169           30.9        661.519            54.8        718.544          6.435         13.173         25.286         10.944          2.055          0.000          5.910          4.303          4.031          8.116          1.644          0.000         15.090          6.373          4.440          3.262          0.734          0.000            0.000
     11/11/2003           2003         35.000           12.721           11.298              0.155              -0.133          2.133          0.998          10.433          10.433        762.244        596.067         47.711         64.216        145.334        145.334        -63.621        -48.339             1.000             7.622           83.4           84.6            128.6            119.7       2896.081       2772.240         26.000         4311.7         8122.7          29.05              ?        192.000         80.000                  0.000                  15.000           65.1        748.128           27.4        607.362            15.4        736.073          9.433         17.489         25.767         10.306          1.669          0.000          2.384          0.908          0.368          6.779          1.444          0.000         14.667          5.927          3.012          2.827          0.474          0.000            0.000
     11/11/2004           2004         35.000           25.397            7.783              1.485              -0.433          2.480          0.946          21.432           7.271        782.783        583.393         48.235         62.342        190.715         70.349        -27.692        -52.799             1.000             7.828          117.3          117.9            163.8            155.8       2714.813       2642.299          7.000         2631.3         5008.4          17.71              ?        205.000         74.000                  1.000                  10.000           48.3        731.406           39.3        726.463            48.5        742.001          3.496          6.627         24.015         11.607          2.205          0.000         10.714          5.874          6.029          9.278          1.721          0.000         17.496         11.656          6.319          3.088          0.519          0.000            0.000
     11/11/2005           2005         35.000           18.231            5.551              1.165              -0.674          2.441          0.759          14.625           5.466        808.621        594.463         50.179         67.178        127.695         49.881        -58.405        -64.966             1.000             8.086          145.7          130.0            197.1            164.6       3247.023       2917.211         35.000         4189.4         8026.9          28.55              ?        166.000         74.000                  5.000                  12.000           52.2        766.148           38.1        712.356            22.7        738.721          3.433          8.963         26.338         11.425          2.173          0.000          2.832          1.338          0.419          3.979          1.402          0.000         20.704          8.585          4.302          3.061          0.501          0.000            0.000
     11/11/2006           2006         35.000           14.299           -0.678              0.705              -1.082          2.164          0.393          11.430           0.011        622.522        364.744         49.283         66.902         98.316          0.010       -106.685       -103.958             1.000             6.225          115.3          107.0            163.3            142.9       3110.728       2916.314         35.000         3460.8         6670.5          23.26              ?        172.000         70.000                  0.000                  17.000           49.6        746.203           32.7        643.781            45.7        686.445          3.627          7.756         24.821         11.410          2.167          0.000          3.253          2.087          0.491          3.848          1.241          0.000         16.172          8.018          4.114          2.916          0.327          0.000            0.000
