ApsimVersion = 7.8
factors = cultivar=Soy_long;date=15-jun;initNCobs=SoilCobsNew10;Residue_SOM=SOMcorn;WTDepth=1200
Title = Cobs-Soy;cultivar=Soy_long;date=15-jun;initNCobs=SoilCobsNew10;Residue_SOM=SOMcorn;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            2.908            2.407              0.029              -0.010          2.536          2.075           0.342           0.342        599.700        405.130         50.511         66.104         11.656         11.656        -21.645        -14.802             1.000             5.997          152.5          131.3            199.5            147.3       3119.040       2186.100         23.000         2489.1         4644.0          18.63              ?        132.000         39.000                  0.000                  11.000           31.2        725.344           25.2        716.249            48.8        699.831         10.348         10.146          8.294          1.157          0.170          0.000          9.771          9.677          9.077          1.256          0.135          0.000         15.565          4.375          3.219          1.760          0.097          0.000            0.000
     11/11/1982           1982         35.000            7.383            1.800              0.254              -0.086          1.631          1.010           5.498           0.875        852.170        384.820         46.688         64.707        213.297         21.019         -8.573        -44.439             1.000             8.522          127.5          118.3            171.8            133.4       2883.870       2188.080         14.000         2573.8         4914.3          19.33              ?        143.000         41.000                  0.000                  12.000           19.9        761.374           26.8        728.564            24.8        737.722          4.519          4.734          7.947          1.726          0.279          0.000          3.227          1.021          0.533          1.639          0.230          0.000         14.710          7.011          4.209          0.665          0.091          0.000            0.000
     11/11/1983           1983         35.000           14.988            7.788              0.270              -0.078          2.150          1.611          12.568           6.254       1205.960        650.220         50.282         67.860        442.820        159.816        -13.174        -53.142             1.000            12.060          133.1          123.8            178.1            147.7       3293.730       2714.220         64.000         2586.7         4867.1          18.15              ?        147.000         38.000                  0.000                   7.000           19.9        751.598           31.2        756.200            19.8        709.927          6.285          4.571          6.491          1.665          0.274          0.000          3.605          1.405          0.636          1.997          0.227          0.000         10.084          8.723         11.142          0.873          0.085          0.000            0.000
     11/11/1984           1984         35.000            8.581            2.438              0.261              -0.096          1.083          0.418           7.238           2.116        971.040        337.030         47.181         66.466        295.367         64.149        -39.127        -70.444             1.000             9.710           91.6           84.7            135.5             97.5       3015.540       2373.840         33.000         2808.5         5171.1          20.09              ?        139.000         39.000                  0.000                  11.000           17.9        800.502           21.7        669.197            14.1        697.213          2.784          4.846          7.850          1.675          0.281          0.000          3.510          1.361          0.446          1.675          0.218          0.000          9.933          7.008          3.483          1.019          0.086          0.000            0.000
     11/11/1985           1985         35.000            2.469            0.673              0.077              -0.104          1.117          0.777           1.274           0.000        652.530        406.660         49.175         64.320         60.291          0.000        -49.690        -66.784             1.000             6.525          128.1          110.2            173.2            124.8       3120.119       2160.720         28.000         2673.4         4937.7          19.67              ?        144.000         41.000                  0.000                   8.000           31.3        713.988           25.8        754.148            28.0        684.617         10.362          9.890          8.752          1.346          0.208          0.000          2.925          2.272          0.441          1.023          0.128          0.000         11.341          6.874          6.826          0.521          0.055          0.000            0.000
     11/11/1986           1986         35.000            9.662            5.148              0.374               0.052          3.176          2.611           6.112           2.485       1091.450        642.620         48.344         65.698        308.437        139.586         41.787          4.588             1.000            10.914          154.4          142.2            200.2            151.9       3262.950       2347.650         27.000         2854.0         5254.5          20.15              ?        144.000         37.000                  0.000                   8.000           24.2        747.502           29.8        756.617            35.6        728.263          6.616          6.023          8.797          1.604          0.271          0.000          6.859          4.211          2.976          1.535          0.233          0.000         11.089          8.599          8.418          1.394          0.173          0.000            0.000
     11/11/1987           1987         35.000            7.477            5.852              0.224               0.022          3.053          2.479           4.201           3.351        866.160        555.520         51.669         68.553        157.150        114.539         14.122         -1.453             1.000             8.662          162.6          132.7            210.6            146.2       3446.911       2253.780         31.000         2739.7         5136.6          19.86              ?        120.000         39.000                  0.000                  14.000           34.9        729.743           17.9        706.197            48.2        733.208         11.226          9.727         10.341          1.400          0.235          0.000         10.166          9.062          5.834          1.929          0.191          0.000         11.359          3.165          2.254          0.642          0.153          0.000            0.000
     11/11/1988           1988         35.000            2.648            0.793              0.083              -0.108          1.231          0.901           1.334           0.000        591.840        356.870         50.680         68.796         60.030          0.000        -70.691        -77.572             1.000             5.918          148.9          123.0            194.2            140.3       3582.810       2584.169         52.000         2700.4         5055.4          19.07              ?        134.000         39.000                  0.000                  18.000           36.5        703.988           27.9        684.417            48.1        727.192         13.001         10.835          9.587          1.387          0.211          0.000          7.498          5.061          1.438          1.672          0.133          0.000         15.688          6.354          4.825          0.666          0.054          0.000            0.000
     11/11/1989           1989         35.000            2.852            0.500              0.150              -0.097          1.247          0.597           1.455           0.000        638.310        276.110         49.100         66.726         68.303          0.000        -44.490        -59.949             1.000             6.383          124.5          105.6            169.4            118.4       3103.650       2222.551         24.000         2655.9         4926.1          19.89              ?        129.000         41.000                  0.000                  18.000           24.3        728.812           20.0        663.061            32.6        723.236          5.668          7.218          8.984          1.428          0.231          0.000          4.660          2.132          0.622          1.492          0.178          0.000         11.535          4.014          3.475          0.599          0.067          0.000            0.000
