ApsimVersion = 7.8
factors = cultivar=Soy_long;date=15-may;initNCobs=SoilCobsNew19;Residue_SOM=SOMsoy;WTDepth=600
Title = Cobs-Soy;cultivar=Soy_long;date=15-may;initNCobs=SoilCobsNew19;Residue_SOM=SOMsoy;WTDepth=600
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            4.060            1.336             -0.380              -0.044          2.166          1.381           2.274           0.000        599.700        463.040         50.511         66.444        113.289         18.596       -268.738       -131.722             1.000             5.997          206.7          189.4            221.7            192.0       3119.040       2740.320         29.000         4007.2         7727.2          27.74              ?        163.000         52.000                  0.000                  11.000           34.1        727.237           36.6        745.853            36.8        752.030         18.731          7.286          5.904          1.276          0.071          0.000          7.150          3.010          0.830          0.699          0.032          0.000         25.762          6.546          3.942          0.263          0.012          0.000            0.000
     11/11/1982           1982         35.000            9.761            3.137             -0.390              -0.052          2.285          1.637           7.866           1.551        852.170        523.510         46.688         64.393        346.169         85.204       -279.813       -155.157             1.000             8.522          177.0          168.7            187.9            170.8       2883.870       2589.660         14.000         4032.0         7699.8          28.32              ?        174.000         59.000                  0.000                  12.000           23.1        768.760           38.9        750.773            15.4        767.267          9.417          5.364          6.189          1.405          0.078          0.000          4.933          0.788          0.338          0.820          0.037          0.000         23.113          9.755          5.100          0.782          0.010          0.000            0.000
     11/11/1983           1983         35.000           23.398            9.251             -0.389              -0.051          4.169          2.052          19.618           7.250       1205.960        632.700         50.282         71.233        616.591        253.708       -290.803       -141.007             1.000            12.060          150.3          138.0            172.8            142.4       3293.730       3034.440         65.000         3152.2         6010.5          21.01              ?        143.000         55.000                  0.000                   7.000           18.7        743.382           39.9        704.524            20.0        747.210          6.284          4.232          6.255          1.398          0.078          0.000          4.843          1.744          0.651          1.007          0.036          0.000         23.209         10.465          4.873          0.391          0.012          0.000            0.000
     11/11/1984           1984         35.000           12.696            4.428             -0.394              -0.055          2.380          1.550          10.710           2.933        971.040        563.870         47.181         66.870        411.313         97.798       -313.710       -176.986             1.000             9.710          130.6          123.9            142.3            128.1       3015.540       2878.470         33.000         3703.9         7060.3          23.84              ?        167.000         52.000                  0.000                  11.000           19.3        731.790           30.8        689.255            19.4        711.921          6.077          4.554          6.422          1.398          0.078          0.000          4.224          1.364          0.442          0.909          0.035          0.000         15.235         10.759          4.028          0.289          0.008          0.000            0.000
     11/11/1985           1985         35.000            5.462            1.332             -0.381              -0.052          1.773          1.384           4.070           0.000        652.530        460.000         49.175         64.548        184.649          0.000       -317.449       -190.757             1.000             6.525          164.0          146.5            174.5            148.2       3120.119       2644.380         31.000         3952.8         7433.4          26.89              ?        175.000         55.000                  0.000                   8.000           34.1        728.201           38.4        753.248            23.1        688.206         17.616          7.285          6.967          1.303          0.072          0.000          6.053          2.395          0.578          0.412          0.028          0.000         16.661         11.935          9.359          0.272          0.006          0.000            0.000
     11/11/1986           1986         35.000           16.062            9.616             -0.387              -0.047          4.949          3.964          11.500           5.699       1091.450        739.140         48.344         65.694        495.971        241.457       -250.801       -126.694             1.000            10.914          209.3          195.4            219.3            196.7       3262.950       2807.460         28.000         3916.8         7472.3          27.19              ?        174.000         53.000                  0.000                   8.000           28.9        784.921           43.6        758.557            35.0        778.550         10.597          8.412          7.718          1.389          0.079          0.000          6.848          1.893          2.678          0.889          0.039          0.000         15.392         13.377         14.384          0.406          0.014          0.000            0.000
     11/11/1987           1987         35.000            7.757            3.657             -0.386              -0.044          3.683          2.845           4.460           0.857        866.160        650.760         51.669         68.907        283.518        128.391       -258.782       -116.701             1.000             8.662          216.0          191.6            233.4            195.8       3446.911       2881.980         41.000         3947.9         7579.9          26.86              ?        151.000         48.000                  0.000                  14.000           37.3        727.609           34.2        740.023            53.3        728.525         20.016          7.999          6.321          1.324          0.074          0.000         13.793          7.123          3.544          0.781          0.036          0.000         24.293          6.021          3.207          0.397          0.015          0.000            0.000
     11/11/1988           1988         35.000            5.632            0.649             -0.394              -0.048          1.138          0.698           4.888           0.000        591.840        400.550         50.680         72.633        187.699          0.000       -323.143       -153.061             1.000             5.918          175.6          146.0            188.4            148.8       3582.810       3145.950         65.000         3564.4         6738.9          23.83              ?        140.000         48.000                  0.000                  18.000           31.9        726.585           30.5        697.266            41.9        681.524         15.734          6.616          6.703          1.328          0.071          0.000          6.062          3.586          0.748          0.713          0.030          0.000         18.151          7.413          3.592          0.239          0.010          0.000            0.000
     11/11/1989           1989         35.000            6.414            1.832             -0.376              -0.049          1.694          1.110           5.096           0.771        638.310        397.520         49.100         66.669        219.359         32.029       -320.577       -171.351             1.000             6.383          146.4          131.2            160.7            134.4       3103.650       2715.301         26.000         4088.3         7631.4          27.72              ?        159.000         53.000                  0.000                  18.000           28.3        736.101           24.8        651.093            21.0        706.541         13.123          6.419          6.473          1.277          0.070          0.000          5.430          1.557          0.431          0.810          0.029          0.000         15.575          5.356          3.321          0.274          0.008          0.000            0.000
     11/11/1990           1990         35.000           14.954            9.772             -0.385              -0.041          3.679          2.748          11.661           7.065        998.533        608.432         49.689         70.649        411.912        197.656       -251.474        -99.199             1.000             9.985          208.8          192.7            229.7            195.4       3276.134       2891.756         41.000         3645.1         6870.4          24.21              ?        141.000         53.000                  0.000                  14.000           24.1        781.519           37.1        703.830            33.6        758.071          7.723          6.810          7.665          1.361          0.076          0.000          6.347          2.345          3.469          0.898          0.037          0.000         24.994          6.625          4.096          0.535          0.019          0.000            0.000
     11/11/1991           1991         35.000           12.973            2.110             -0.393              -0.051          2.573          1.321          10.792           0.840        821.349        239.695         50.164         73.456        399.093         29.525       -318.652       -135.640             1.000             8.213          141.8          118.3            161.0            120.5       3619.281       3040.519         55.000         3594.6         6930.6          24.30              ?        130.000         43.000                  0.000                  20.000           24.9        744.189           20.2        583.034            48.4        723.753          8.927          4.661          8.535          1.407          0.078          0.000         12.252          2.708          0.554          1.079          0.038          0.000         13.398          3.803          2.313          0.259          0.013          0.000            0.000
     11/11/1992           1992         35.000           14.815            6.715             -0.382              -0.044          2.773          1.834          12.424           4.925        879.812        499.312         49.338         63.111        501.109        211.423       -247.152       -117.632             1.000             8.798          181.7          169.0            194.7            172.4       2533.040       2249.294         11.000         3685.4         6817.8          27.35              ?        166.000         57.000                  0.000                  14.000           24.1        728.660           26.6        744.465            34.3        749.855          9.653          5.144          6.814          1.348          0.075          0.000          3.222          1.075          2.446          0.801          0.033          0.000         18.763          4.387          2.637          0.425          0.015          0.000            0.000
     11/11/1993           1993         35.000           23.366           14.614             -0.369              -0.044          3.881          3.215          19.854          11.443       1370.990        965.206         46.812         65.076        721.108        355.798       -241.887       -114.826             1.000            13.710          187.5          181.1            196.5            183.1       2849.719       2609.465         31.000         3234.1         6203.4          22.79              ?        169.000         59.000                  0.000                  17.000           18.9        759.656           32.8        743.982            28.8        794.778          5.331          5.011          6.503          1.351          0.076          0.000          3.970          0.983          2.603          0.863          0.036          0.000         21.537          6.972          3.743          0.420          0.016          0.000            0.000
     11/11/1994           1994         35.000            5.985            2.612             -0.392              -0.051          2.467          2.109           3.910           0.553        681.161        493.965         48.850         64.811        177.155         25.779       -292.431       -168.874             1.000             6.812          185.3          176.2            195.2            179.1       3004.924       2771.593         32.000         3234.1         6203.4          22.79              ?        169.000         59.000                  0.000                   7.000           27.4        739.667           32.8        743.982            34.9        741.543         13.090          6.151          6.105          1.340          0.074          0.000          6.532          1.233          0.326          0.897          0.033          0.000         21.537          6.972          3.743          0.420          0.016          0.000            0.000
     11/11/1995           1995         35.000            8.622            1.453             -0.389              -0.051          1.727          0.835           7.284           0.670        751.645        397.545         48.086         65.017        308.918         20.664       -281.676       -154.160             1.000             7.516          176.5          170.8            188.1            173.6       2764.728       2686.988         35.000         3730.5         6904.0          25.38              ?        171.000         59.000                  0.000                  15.000           19.5        756.379           32.6        735.229            21.2        728.428          4.591          4.993          8.048          1.381          0.078          0.000          4.634          1.009          0.411          0.746          0.035          0.000         20.689          6.167          4.776          0.824          0.010          0.000            0.000
     11/11/1996           1996         35.000           10.393            5.360             -0.391              -0.049          3.117          2.212           7.667           3.197        848.413        586.517         46.596         64.647        348.132        162.916       -274.338       -145.400             1.000             8.484          177.9          172.3            187.4            176.3       2735.663       2581.757         20.000         4290.1         8137.8          29.78              ?        170.000         53.000                  0.000                  14.000           23.0        770.818           32.2        774.234            16.8        710.718          7.918          6.819          6.417          1.356          0.076          0.000          3.559          0.784          0.311          0.777          0.033          0.000         16.492         10.607          4.753          0.328          0.011          0.000            0.000
     11/11/1997           1997         35.000            8.030            0.920             -0.380              -0.050          1.460          0.755           6.950           0.215        698.516        324.868         47.187         69.040        301.133         13.639       -296.644       -141.695             1.000             6.985          142.9          133.4            158.0            137.9       2964.064       2817.948         43.000         4255.6         8219.2          28.93              ?        149.000         55.000                  0.000                  12.000           19.7        732.255           21.0        638.270            15.8        712.879          7.501          4.980          5.227          1.342          0.076          0.000          4.344          1.515          0.501          0.904          0.033          0.000         14.699          2.818          2.722          0.172          0.012          0.000            0.000
     11/11/1998           1998         35.000           13.032            6.671             -0.390              -0.049          2.842          2.261          10.579           4.460        881.628        545.080         50.291         69.075        391.881        116.043       -287.351       -135.431             1.000             8.816          154.3          141.2            175.4            144.3       3285.676       2870.346         33.000         3958.2         7488.3          26.79              ?        151.000         54.000                  0.000                   7.000           24.6        728.503           18.8        644.840            36.6        766.237         10.486          5.292          6.304          1.373          0.077          0.000          6.170          1.195          0.501          0.830          0.036          0.000         11.553          3.664          2.828          0.395          0.013          0.000            0.000
     11/11/1999           1999         35.000           11.695            5.434             -0.386              -0.047          2.600          1.661           9.481           3.821        916.920        579.634         50.120         66.237        338.777         93.844       -264.108       -129.694             1.000             9.169          207.0          188.4            218.0            191.2       2964.396       2704.898         32.000         4057.0         7747.0          28.22              ?        162.000         53.000                  0.000                  12.000           26.2        772.617           30.2        721.163            34.8        752.592          6.659          7.345         10.404          1.361          0.076          0.000          6.994          1.387          0.552          0.763          0.036          0.000         20.511          5.553          3.552          0.283          0.013          0.000            0.000
