ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=1-jun;initNCobs=SoilCobsNew80;Residue_SOM=SOMsoy;WTDepth=1200
Title = Cobs-Soy;cultivar=Soy_normal;date=1-jun;initNCobs=SoilCobsNew80;Residue_SOM=SOMsoy;WTDepth=1200
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            3.920            3.808             -0.895              -0.345          4.814          4.153           0.000           0.000        599.700        445.510         50.511         66.801          0.000          0.000       -100.041        -55.630             1.000             5.997          210.3          181.2            225.8            183.2       3119.040       2512.530         29.000         3346.6         6312.7          22.76              ?        146.000         43.000                  0.000                  11.000          100.0        695.658           75.3        707.180           117.4        696.309         44.943         21.596         22.218          8.843          0.876          0.000         27.522         32.051         18.055          6.440          0.560          0.000         37.685         19.799         14.295          3.079          0.303          0.000            0.000
     11/11/1982           1982         35.000           17.802            3.381              1.274              -0.607          4.555          2.274          11.973           1.714        852.170        437.900         46.688         64.621        104.628         14.230        -25.818        -49.679             1.000             8.522          178.0          159.3            189.2            159.8       2883.870       2380.590         14.000         3397.5         6383.5          23.47              ?        157.000         49.000                  0.000                  12.000           67.5        746.676           39.5        708.802            76.7        785.319         14.199         13.381         26.873         10.521          1.982          0.000         14.376          7.255          9.590          8.973          1.641          0.000         21.061          9.117          5.187          3.431          0.571          0.000            0.000
     11/11/1983           1983         35.000           40.096           14.822              1.439              -0.743          6.161          4.002          32.497          11.563       1205.960        688.840         50.282         68.683        284.510        107.527        -30.776        -64.203             1.000            12.060          175.6          162.5            187.6            165.2       3293.730       2979.090         65.000         2534.2         5529.4          17.60              ?        156.000         44.000                  0.000                   7.000           52.5        733.822           60.4        767.364            55.1        719.251         10.018          8.129         20.904         10.708          2.025          0.000          9.780          4.587          3.988          8.396          1.593          0.000         15.934         17.569         22.336          3.700          0.488          0.000            0.000
     11/11/1984           1984         35.000           24.509            7.094              1.080              -0.848          3.602          1.499          19.828           6.442        971.040        454.130         47.181         66.859        168.900         54.786        -69.383        -87.598             1.000             9.710          135.5          121.0            146.8            122.9       3015.540       2664.090         33.000         3303.1         6115.8          21.98              ?        153.000         43.000                  0.000                  11.000           61.7        757.174           33.4        658.417            66.2        708.044         11.856         12.275         24.730         10.543          1.983          0.000         11.999          5.213          4.071          7.577          1.519          0.000         14.692         10.804          4.208          3.134          0.372          0.000            0.000
     11/11/1985           1985         35.000            5.595            0.919             -0.007              -0.889          2.994          1.808           2.608           0.000        652.530        448.560         49.175         64.437         24.939          0.000        -96.441       -100.187             1.000             6.525          178.0          144.7            189.0            146.3       3120.119       2379.600         31.000         3222.5         5844.8          21.85              ?        158.000         48.000                  0.000                   8.000           95.0        698.050           44.8        735.692            99.3        659.601         38.801         18.938         24.868          9.453          1.498          0.000         27.393         13.438          4.938          5.574          0.822          0.000         16.363         12.959         12.322          2.714          0.271          0.000            0.000
     11/11/1986           1986         35.000           25.945           13.083              1.863               0.013          8.635          5.913          15.446           7.157       1091.450        696.220         48.344         66.027        197.840        122.664         17.376        -10.254             1.000            10.914          212.6          189.2            222.7            189.8       3262.950       2619.090         28.000         3429.5         6330.0          23.20              ?        158.000         43.000                  0.000                   8.000           74.1        737.441           56.1        756.424            93.7        772.788         18.635         14.824         27.261         10.297          1.975          0.000         18.305         14.755         16.951          8.866          1.648          0.000         15.274         14.471         20.097          5.300          0.992          0.000            0.000
     11/11/1987           1987         35.000           14.617           12.346              0.410              -0.035          7.451          5.624           6.756           6.756        866.160        571.010         51.669         69.097         69.818         69.818        -18.786        -11.751             1.000             8.662          224.1          181.7            241.5            183.2       3446.911       2585.880         39.000         3184.0         6054.5          21.53              ?        134.000         42.000                  0.000                  14.000          101.7        745.717           69.0        713.603           127.1        776.363         37.494         27.923         24.807          8.825          1.367          0.000         29.010         22.789         23.105          7.384          1.106          0.000         30.664         13.515         17.929          5.869          0.798          0.000            0.000
     11/11/1988           1988         35.000            8.543            1.481              0.086              -0.779          3.377          2.260           5.080           0.000        591.840        383.530         50.680         69.239         41.846          0.000       -111.785       -101.832             1.000             5.918          203.2          164.0            214.6            166.1       3582.810       2883.690         60.000         2840.2         5289.4          18.85              ?        147.000         43.000                  0.000                  18.000           95.2        698.650           73.1        680.265           116.6        660.743         38.508         18.416         25.077          9.822          1.333          0.000         26.101         18.019         13.493          6.881          0.762          0.000         33.503         20.314         15.670          3.052          0.251          0.000            0.000
     11/11/1989           1989         35.000            6.029            0.599              0.450              -0.786          3.503          1.385           2.076           0.000        638.310        305.830         49.100         66.587         18.896          0.000        -80.228        -77.143             1.000             6.383          166.6          136.2            180.1            137.7       3103.650       2436.931         24.000         3320.9         6060.4          22.77              ?        143.000         46.000                  0.000                  18.000           83.9        736.534           33.2        631.949           100.2        687.318         26.138         20.135         25.731          9.289          1.624          0.000         25.532         15.524         12.765          7.593          1.131          0.000         16.893          8.688          4.029          2.934          0.375          0.000            0.000
