ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=1-may;initNCobs=SoilCobsNew10;Residue_SOM=SOMcorn;WTDepth=1800
Title = Cobs-Soy;cultivar=Soy_normal;date=1-may;initNCobs=SoilCobsNew10;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            0.381            0.023             -0.090              -0.234          0.472          0.257           0.000           0.000        599.700        470.910         50.511         65.538          0.000          0.000        -51.574        -49.424             1.000             5.997          139.5          136.8            190.6            165.7       3119.040       2819.610         29.000         3772.2         7022.6          25.04              ?        177.000         61.000                  2.000                  11.000           20.7        688.180           43.5        658.609             8.2        685.538          3.309          6.068          7.247          3.112          0.292          0.000          3.032          1.697          0.497          1.049          0.302          0.000         26.247          8.542          6.810          1.470          0.299          0.000            0.000
     11/11/1982           1982         35.000            4.762            1.968              2.138               0.463          0.932          0.423           1.692           1.082        852.170        558.830         46.688         65.961         55.041         33.379        114.473         16.637             1.000             8.522          123.7          122.3            172.1            157.1       2883.870       2774.790         15.000         3950.9         7254.2          26.16              ?        173.000         65.000                  0.000                  12.000           15.2        732.172           37.1        655.734             6.5        697.166          1.618          2.663          6.012          3.816          0.730          0.000          2.809          0.681          0.311          1.528          0.715          0.000         20.689          8.174          5.426          1.874          0.538          0.000            0.000
     11/11/1983           1983         35.000           10.087            3.967              2.848               0.756          2.303          0.779           4.937           2.433       1205.960        660.890         50.282         69.912        227.187        129.760        165.841         42.137             1.000            12.060           91.3           84.2            149.4            121.2       3293.730       3056.580         64.000         2679.2         5974.5          18.89              ?        153.000         65.000                  0.000                   7.000           13.1        736.943           38.0        616.646             7.3        790.179          1.690          1.800          4.766          3.668          0.749          0.000          1.015          1.454          0.436          2.446          0.737          0.000         18.222         11.651          4.696          1.976          0.623          0.000            0.000
     11/11/1984           1984         35.000            7.245            4.120              2.172               0.642          0.988          0.280           4.084           3.199        971.040        508.750         47.181         67.489        142.246         95.857        128.174         30.766             1.000             9.710           73.4           74.0            127.9            111.0       3015.540       2924.640         33.000         3418.7         6410.4          19.37              ?        166.000         61.000                  0.000                  11.000           14.0        788.270           18.6        558.518             9.2        719.162          1.349          2.451          6.044          3.470          0.639          0.000          3.365          1.170          0.355          1.612          0.666          0.000          9.624          4.856          1.190          1.787          0.503          0.000            0.000
     11/11/1985           1985         35.000            2.124            0.737              0.837              -0.311          1.287          1.048           0.000           0.000        652.530        479.810         49.175         64.758          0.000          0.000         20.925        -45.643             1.000             6.525          100.2           98.3            145.5            128.1       3120.119       2837.430         31.000         2384.9         5530.9          14.69              ?        187.000         61.000                  0.000                   8.000           18.5        707.666           41.3        666.718             6.6        665.636          2.512          4.645          6.747          3.479          0.631          0.000          1.813          1.966          0.548          1.246          0.591          0.000         15.251         11.815         12.005          1.672          0.362          0.000            0.000
     11/11/1986           1986         35.000            8.528            3.048              2.318               0.713          2.620          1.016           3.590           1.319       1091.450        684.520         48.344         69.036        106.505         85.073        158.928         41.305             1.000            10.914          142.9          135.8            202.3            164.3       3262.950       2859.840         28.000         4080.8         7656.3          27.39              ?        151.000         58.000                  1.000                   8.000           16.5        771.126           34.5        750.464             8.6        687.985          1.518          4.105          6.555          3.267          0.602          0.000          3.466          0.756          0.303          1.271          0.636          0.000         14.877          9.288          6.951          1.576          0.487          0.000            0.000
     11/11/1987           1987         35.000            2.896            1.680              1.240               0.343          1.612          1.292           0.045           0.045        866.160        657.620         51.669         70.302          4.538          4.538         86.367         21.105             1.000             8.662          147.1          133.3            205.0            166.9       3446.911       2984.400         46.000         3436.5         6830.6          22.89              ?        148.000         52.000                  0.000                  14.000           20.7        715.468           37.3        744.299            19.8        692.544          3.915          4.697          7.456          3.380          0.496          0.000          2.022          0.750          0.421          1.275          0.457          0.000         19.818          8.165          6.506          1.430          0.537          0.000            0.000
     11/11/1988           1988         35.000            1.577           -0.175              0.844              -0.271          0.733          0.096           0.000           0.000        591.840        354.070         50.680         72.936          0.000          0.000         19.767        -35.179             1.000             5.918           95.4           76.9            153.1            108.8       3582.810       3211.020         67.000         2087.3         4533.4          11.72              ?        141.000         51.000                  0.000                  18.000           18.3        688.942           26.7        607.243            10.2        648.440          2.431          4.321          7.124          3.443          0.592          0.000          1.638          2.224          0.595          1.344          0.561          0.000         14.740          4.755          3.860          1.523          0.411          0.000            0.000
     11/11/1989           1989         35.000            1.556            0.185              0.921              -0.086          0.635          0.271           0.000           0.000        638.310        405.900         49.100         65.755          0.000          0.000         40.450        -22.700             1.000             6.383           88.2           86.3            140.1            119.1       3103.650       2805.481         26.000         3151.9         6109.3          18.21              ?        173.000         62.000                  1.000                  18.000           18.0        726.208           24.5        570.200             7.4        698.617          2.650          4.519          6.593          3.288          0.551          0.000          1.946          1.348          0.447          1.456          0.575          0.000         14.285          5.302          2.546          1.759          0.413          0.000            0.000
     11/11/1990           1990         35.000            8.282            5.775              2.192               1.488          1.034          0.636           5.055           3.651        998.533        709.448         49.689         69.663        169.900        120.624        129.873         93.078             1.000             9.985          153.5          139.6            207.7            173.7       3276.134       2914.730         41.000         3027.2         6611.0          21.36              ?        149.000         63.000                  1.000                  14.000           16.9        727.179           49.1        671.021            10.0        747.007          2.256          3.708          6.490          3.504          0.557          0.000          3.145          1.100          0.418          3.033          0.732          0.000         29.397          9.271          6.364          2.397          0.624          0.000            0.000
     11/11/1991           1991         35.000            7.897            1.114              1.886               0.544          0.949          0.318           5.062           0.252        821.349        259.511         50.164         73.214        161.068          7.144         90.239         23.775             1.000             8.213           90.4           78.9            151.3            108.2       3619.281       3073.597         55.000         2905.0         5913.8          17.47              ?        133.000         47.000                  0.000                  20.000           14.3        765.510           15.7        522.876            14.5        748.549          0.841          2.082          6.323          4.014          0.726          0.000          2.213          1.462          0.453          1.701          0.727          0.000          8.846          3.059          0.979          1.635          0.622          0.000            0.000
     11/11/1992           1992         35.000            5.057            1.143              2.851               0.815          1.004          0.305           1.201           0.022        879.812        500.074         49.338         62.866         87.888         45.031        188.692         56.365             1.000             8.798          114.6          113.0            161.8            146.1       2533.040       2391.525         11.000         4062.8         7590.0          28.16              ?        180.000         64.000                  0.000                  14.000           14.1        747.141           28.4        681.467             6.7        722.879          0.921          2.101          6.125          3.646          0.713          0.000          0.970          0.457          0.208          1.219          0.636          0.000         16.428          5.269          4.676          1.206          0.469          0.000            0.000
     11/11/1993           1993         35.000            7.529            4.658              3.850               1.802          1.644          1.315           2.035           1.542       1370.990       1065.587         46.812         64.871        271.595        248.652        275.520        133.629             1.000            13.710          134.9          135.0            177.5            170.0       2849.719       2783.387         31.000         3624.2         6677.9          23.83              ?        183.000         66.000                  0.000                  17.000           13.0        769.302           34.7        721.925             6.0        789.976          1.640          2.584          4.562          3.263          0.684          0.000          2.259          0.660          0.295          2.506          0.687          0.000         20.027          7.659          5.191          1.196          0.547          0.000            0.000
     11/11/1994           1994         35.000            1.310            0.445              0.392              -0.234          0.919          0.679           0.000           0.000        681.161        524.803         48.850         66.442          0.000          0.000         -4.478        -34.576             1.000             6.812          125.3          118.1            171.1            150.1       3004.924       2851.305         32.000         4486.8         8331.8          30.16              ?        174.000         59.000                  0.000                   7.000           18.9        714.214           38.6        658.158             7.9        716.201          2.847          4.954          7.024          3.235          0.502          0.000          2.924          1.131          0.362          1.182          0.438          0.000         16.228         13.578          6.255          1.555          0.377          0.000            0.000
     11/11/1995           1995         35.000            4.568            1.794              1.581               0.335          0.583          0.180           2.404           1.280        751.645        445.805         48.086         64.319         78.643         39.398         84.805          6.290             1.000             7.516          120.8          121.0            166.9            155.3       2764.728       2743.031         35.000         3326.1         6663.4          22.08              ?        184.000         71.000                  0.000                  15.000           14.6        770.224           33.0        615.793             7.0        703.714          0.826          2.317          6.911          3.681          0.628          0.000          2.225          0.969          0.363          1.507          0.619          0.000         18.234          6.414          5.766          1.961          0.478          0.000            0.000
     11/11/1996           1996         35.000            4.479            3.227              1.351               0.534          1.225          0.790           1.902           1.902        848.413        675.773         46.596         63.768         55.833         55.833         72.502         23.549             1.000             8.484          121.7          122.8            165.6            158.8       2735.663       2645.793         20.000         4130.4         7592.0          27.32              ?        184.000         65.000                  0.000                  14.000           15.6        710.272           32.9        730.413             9.8        714.730          2.427          3.522          5.505          3.170          0.547          0.000          1.542          0.754          0.327          1.441          0.617          0.000         14.030         10.296          6.355          1.690          0.471          0.000            0.000
     11/11/1997           1997         35.000            2.530            0.307              1.776               0.100          0.754          0.206           0.000           0.000        698.516        315.951         47.187         67.916          0.000          0.000        119.587         -2.383             1.000             6.985           90.3           88.3            141.6            124.8       2964.064       2860.142         43.000         3858.5         7303.1          25.86              ?        160.000         64.000                  1.000                  12.000           13.7        767.336           23.7        552.624             7.3        698.969          2.510          2.936          4.457          2.906          0.595          0.000          2.185          1.223          0.466          1.450          0.546          0.000         14.368          3.482          2.790          1.735          0.458          0.000            0.000
     11/11/1998           1998         35.000            5.940            3.428              1.916               0.597          0.728          0.327           3.296           2.503        881.628        508.762         50.291         69.857        100.937         68.828        111.850         34.230             1.000             8.816          100.2           97.4            165.1            130.7       3285.676       2921.401         32.000         3617.3         7275.7          24.32              ?        148.000         61.000                  0.000                   7.000           15.4        740.209           22.7        571.946             8.9        756.731          1.907          3.081          5.794          3.438          0.665          0.000          3.485          0.958          0.362          2.414          0.680          0.000         12.364          3.993          3.489          1.801          0.615          0.000            0.000
