ApsimVersion = 7.8
factors = cultivar=Soy_normal;date=15-apr;initNCobs=SoilCobsNew10;Residue_SOM=SOMcorn;WTDepth=1800
Title = Cobs-Soy;cultivar=Soy_normal;date=15-apr;initNCobs=SoilCobsNew10;Residue_SOM=SOMcorn;WTDepth=1800
           Date           year  plant_density AnnualNlossTotal SeasonNlossTotal AnnualNlossProfile SeasonNlossProfilel AnnualNlossAir SeasonNlossAir AnnualNlossTile SeasonNlosstile     AnnualRain     SeasonRain  AnnualAvgTemp  SeasonAvgTemp     AnnualTile     SeasonTile    AnnualDrain    SeasonDrain AnnualNfertilizer AnnualNdeposition AnnualNetMiner SeasonNetMiner AnnualGrossMiner SeasonGrossMiner      AnnualGDD      SeasonGDD SeasonHeatDays      CropYield    CropBiomass       CropNupt       SowingSW    GrowthCycle      FlowerDAS FrostDaysSincePlanting FrostDaysSinceGrainFill   SowingNO3Sum    SowingSWSum  HarvestNO3Sum   HarvestSWSum FloweringNO3Sum FloweringSWSum         SowN30         SowN60         SowN90        SowN120        SowN150        SowN180         FloN30         FloN60         FloN90        FloN120        FloN150        FloN180         HarN30        HarvN60         HarN90        HarN120        HarN150        HarN180 AnnualIrrigation
   (dd/mm/yyyy)         (year)             ()               ()               ()                 ()                  ()             ()             ()              ()              ()           (mm)           (mm)             ()             ()           (mm)           (mm)           (mm)           (mm)                ()                ()        (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)        (g/m^2)             ()          (day)         (days)                     ()                      ()        (kg/ha)           (mm)        (kg/ha)           (mm)         (kg/ha)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)
     11/11/1980           1980         35.000                ?                ?                  ?                   ?              ?              ?               ?               ?              ?              ?              ?              ?              ?              ?              ?              ?                 ?                 ?              ?              ?                ?                ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                      ?                       ?              ?              ?              ?              ?               ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?              ?                ?
     11/11/1981           1981         35.000            1.730            1.185              0.131              -0.056          1.599          1.241           0.000           0.000        599.700        458.980         50.511         66.633          0.000          0.000        -15.482        -23.537             1.000             5.997          142.2          134.8            199.4            168.2       3119.040       2871.630         30.000         2468.1         4589.2          16.20              ?        172.000         71.000                  3.000                  11.000           18.4        706.282           44.9        705.426            37.6        714.048          2.753          5.314          6.498          3.122          0.283          0.000          9.304          7.783          4.700          1.675          0.262          0.000         27.254          9.034          6.372          1.306          0.359          0.000            0.000
     11/11/1982           1982         35.000            4.669            2.406              2.097               0.731          0.866          0.415           1.707           1.260        852.170        575.350         46.688         65.767         55.332         39.633        110.580         35.273             1.000             8.522          115.7          112.2            169.9            150.2       2883.870       2775.510         15.000         4038.2         7477.2          26.54              ?        175.000         77.000                  2.000                  12.000           14.1        753.524           31.2        648.989             6.0        699.621          1.295          2.306          6.023          3.779          0.704          0.000          2.345          0.669          0.334          1.550          0.711          0.000         17.393          6.396          4.196          1.772          0.573          0.000            0.000
     11/11/1983           1983         35.000           10.544            5.400              2.780               1.019          2.592          1.039           5.172           3.342       1205.960        678.670         50.282         67.929        226.845        150.751        160.550         58.215             1.000            12.060           97.0           89.3            155.9            127.1       3293.730       3079.530         64.000         2534.2         5767.2          17.78              ?        167.000         78.000                  6.000                   7.000           12.3        785.664           38.3        612.407            13.7        783.351          0.904          1.650          5.282          3.676          0.732          0.000          1.332          1.243          0.417          2.505          0.742          0.000         18.283         12.191          4.403          1.955          0.624          0.000            0.000
     11/11/1984           1984         35.000            6.681            4.453              2.161               0.894          0.784          0.298           3.736           3.261        971.040        612.890         47.181         66.065        145.218        125.922        127.490         49.916             1.000             9.710           65.7           66.8            125.0            106.8       3015.540       2899.080         33.000         3464.8         6771.7          20.47              ?        176.000         74.000                  0.000                  11.000           13.4        774.736           14.8        562.094             7.9        732.930          1.102          2.398          5.561          3.400          0.612          0.000          2.787          1.110          0.339          1.614          0.672          0.000          7.091          4.057          0.931          1.714          0.516          0.000            0.000
     11/11/1985           1985         35.000            2.194           -0.002              0.859              -0.068          1.335          0.066           0.000           0.000        652.530        324.100         49.175         68.528          0.000          0.000         20.372        -20.785             1.000             6.525           75.5           70.7            137.3            108.2       3120.119       2945.880         33.000         2312.1         5780.4          14.46              ?        160.000         64.000                  0.000                   8.000           15.7        725.661           28.7        542.094             5.1        655.660          1.735          3.180          6.175          3.544          0.622          0.000          1.353          1.686          0.521          1.262          0.598          0.000         19.036          5.671          1.439          1.302          0.380          0.000            0.000
     11/11/1986           1986         35.000            8.195            2.924              2.191               0.760          2.372          0.853           3.632           1.311       1091.450        732.530         48.344         67.692        108.300         86.868        150.955         44.662             1.000            10.914          136.8          128.8            204.3            163.5       3262.950       2857.320         27.000         3888.6         7362.7          25.73              ?        161.000         68.000                  3.000                   8.000           15.4        758.728           30.8        760.158             7.5        711.046          2.065          3.326          5.891          3.201          0.571          0.000          2.897          0.635          0.292          1.299          0.623          0.000         12.241          9.949          5.200          1.488          0.530          0.000            0.000
     11/11/1987           1987         35.000            2.491            1.060              0.937               0.086          1.554          0.973           0.000           0.000        866.160        628.920         51.669         70.315          0.000          0.000         49.824         -5.285             1.000             8.662          132.2          112.2            197.0            148.4       3446.911       2979.630         48.000         3447.8         7469.8          24.47              ?        147.000         57.000                  0.000                  14.000           17.0        758.676           39.0        737.866             7.9        704.090          2.302          4.062          6.562          3.273          0.464          0.000          1.693          1.408          0.429          1.258          0.520          0.000         15.391          8.106         11.327          2.615          0.480          0.000            0.000
     11/11/1988           1988         35.000            1.507           -0.115              0.859              -0.216          0.647          0.100           0.000           0.000        591.840        369.820         50.680         70.428          0.000          0.000         19.771        -32.000             1.000             5.918           92.7           75.1            153.3            108.3       3582.810       3193.020         65.000         1861.3         4428.8          10.85              ?        155.000         64.000                  4.000                  18.000           17.3        702.561           23.4        613.468             8.3        654.926          2.320          3.847          6.631          3.456          0.605          0.000          1.290          2.137          0.584          1.340          0.572          0.000         12.640          4.315          3.439          1.446          0.384          0.000            0.000
     11/11/1989           1989         35.000            2.024            0.643              0.895              -0.038          1.129          0.680           0.000           0.000        638.310        447.300         49.100         65.857          0.000          0.000         40.175        -15.933             1.000             6.383          122.6          115.0            173.8            153.5       3103.650       2914.740         28.000         2296.1         4589.9          15.40              ?        181.000         70.000                  3.000                  18.000           15.9        703.434           41.2        613.375            32.2        701.359          2.582          3.030          6.064          3.361          0.557          0.000          8.328          5.909          3.388          1.963          0.502          0.000         21.183          9.542          7.485          1.943          0.444          0.000            0.000
